Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82691,01/01/2014,0000,,34.6,,8.9,8.1,27.5,52.75,3,
82691,01/01/2014,1200,0,,22.2,,,,,,
82691,02/01/2014,0000,,34.1,,7.4,10.1,27.66,52.75,3,
82691,02/01/2014,1200,0,,23.4,,,,,,
82691,03/01/2014,0000,,35.3,,10.4,9.2,27.6,52.75,3,
82691,03/01/2014,1200,0,,23.2,,,,,,
82691,04/01/2014,0000,,35.1,,9.5,9.7,27.02,58.25,3,
82691,04/01/2014,1200,0,,21.4,,,,,,
82691,05/01/2014,0000,,32.9,,7.2,8.2,27.94,55,3,
82691,05/01/2014,1200,0,,23.4,,,,,,
82691,06/01/2014,0000,,30.7,,0.6,9,26.82,64.5,3,
82691,06/01/2014,1200,0,,24.2,,,,,,
82691,07/01/2014,0000,,32,,3.6,7.5,27.54,57.75,3,
82691,07/01/2014,1200,0,,23.5,,,,,,
82691,08/01/2014,0000,,33.7,,6.9,9.9,27.72,51.75,3,
82691,08/01/2014,1200,0,,22.9,,,,,,
82691,09/01/2014,0000,,32.5,,3.7,9.6,27.02,70,3,
82691,09/01/2014,1200,0,,24,,,,,,
82691,10/01/2014,0000,,32.7,,2.6,5.3,27.34,64,4,
82691,10/01/2014,1200,2.4,,24,,,,,,
82691,11/01/2014,0000,,32.9,,9.5,8.5,27.26,61,5,
82691,11/01/2014,1200,0,,22.2,,,,,,
82691,12/01/2014,0000,,33.7,,5.9,8.7,27.66,65,4,
82691,12/01/2014,1200,0,,22.2,,,,,,
82691,13/01/2014,0000,,32.9,,3,8.5,27.22,71,3,
82691,13/01/2014,1200,0,,24,,,,,,
82691,14/01/2014,0000,,33.5,,9.9,6,27.48,65,3,
82691,14/01/2014,1200,1.2,,22.7,,,,,,
82691,15/01/2014,0000,,35.3,,8.9,9.4,28.66,62,3,
82691,15/01/2014,1200,0,,24,,,,,,
82691,16/01/2014,0000,,35.7,,9.4,9.1,28.48,56,3,
82691,16/01/2014,1200,0,,22.7,,,,,,
82691,17/01/2014,0000,,34.6,,4.1,9,28.12,66,2,
82691,17/01/2014,1200,0,,23.5,,,,,,
82691,18/01/2014,0000,,35.5,,7.3,6.3,28.34,68,3,
82691,18/01/2014,1200,0,,23,,,,,,
82691,19/01/2014,0000,,33.7,,6.8,6.9,27.66,67,2,
82691,19/01/2014,1200,0.4,,23,,,,,,
82691,20/01/2014,0000,,33.9,,5.7,6,27.66,63,4,
82691,20/01/2014,1200,4.4,,24.4,,,,,,
82691,21/01/2014,0000,,34.9,,8.5,8.1,27.9,55,3,
82691,21/01/2014,1200,0,,22.8,,,,,,
