Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82598,01/01/2014,0000,,30.6,,10.9,6.8,27.6,77.5,4.733333,
82598,01/01/2014,1200,0,,24.8,,,,,,
82598,02/01/2014,0000,,30.2,,11,6.5,27.2,74.5,3.966667,
82598,02/01/2014,1200,0,,24.2,,,,,,
82598,03/01/2014,0000,,30.2,,10.9,7.1,27.2,75,4.533333,
82598,03/01/2014,1200,0.1,,24.4,,,,,,
82598,04/01/2014,0000,,30.2,,6.2,7.1,26.66,75.25,4.566667,
82598,04/01/2014,1200,1.8,,22.9,,,,,,
82598,05/01/2014,0000,,30.2,,5.6,5.8,26.78,75.75,5.066667,
82598,05/01/2014,1200,0,,22.9,,,,,,
82598,06/01/2014,0000,,30.4,,6.8,4.5,27.08,79.25,3.866667,
82598,06/01/2014,1200,0.4,,23.4,,,,,,
82598,07/01/2014,0000,,28.8,,1.6,5,26.36,77,3.3,
82598,07/01/2014,1200,0,,23.6,,,,,,
82598,08/01/2014,0000,,30.4,,10.6,5,26.86,76.25,3.3,
82598,08/01/2014,1200,0,,23.1,,,,,,
82598,09/01/2014,0000,,30.2,,8.6,6.7,27.08,81.5,3.3,
82598,09/01/2014,1200,0,,24.4,,,,,,
82598,10/01/2014,0000,,30,,9,5,26.78,78.25,3.566667,
82598,10/01/2014,1200,1.6,,22.3,,,,,,
82598,11/01/2014,0000,,30.8,,10,5.8,26.56,82.75,2.866667,
82598,11/01/2014,1200,0,,23.4,,,,,,
82598,12/01/2014,0000,,30.2,,11.1,5,27.08,81.5,3.6,
82598,12/01/2014,1200,2,,23.4,,,,,,
82598,13/01/2014,0000,,30.2,,6.9,4.7,26.54,82,2.9,
82598,13/01/2014,1200,0.7,,22.9,,,,,,
82598,14/01/2014,0000,,30.6,,4.5,5,26.98,77.5,4.933333,
82598,14/01/2014,1200,1.6,,22.7,,,,,,
82598,15/01/2014,0000,,30.4,,9.1,5.1,27.08,80,4.8,
82598,15/01/2014,1200,1.4,,24.2,,,,,,
82598,16/01/2014,0000,,30.6,,10.3,4.7,27.24,77.25,4.233333,
82598,16/01/2014,1200,0,,23.6,,,,,,
82598,17/01/2014,0000,,30.8,,10.4,5.5,27.72,81,3.866667,
82598,17/01/2014,1200,0,,25,,,,,,
82598,18/01/2014,0000,,29.6,,10,6,27.48,78.25,4.7,
82598,18/01/2014,1200,0,,25,,,,,,
82598,19/01/2014,0000,,30.4,,10.4,6.2,27.48,77.5,3.866667,
82598,19/01/2014,1200,0,,24.6,,,,,,
82598,20/01/2014,0000,,30.6,,10.4,7.3,27.52,79.5,4.633333,
82598,20/01/2014,1200,0,,25,,,,,,
82598,21/01/2014,0000,,30.4,,9.2,7.5,27.52,77.75,4.4,
82598,21/01/2014,1200,0,,24.4,,,,,,
82598,22/01/2014,0000,,31.2,,9.1,6.5,27.96,73.5,5.466667,
82598,22/01/2014,1200,0,,25,,,,,,
82598,23/01/2014,0000,,30.8,,7.9,6.5,27.16,76.75,4.633333,
82598,23/01/2014,1200,0,,23.4,,,,,,
82598,24/01/2014,0000,,30.4,,10.4,6.7,27.64,77.75,4.966667,
82598,24/01/2014,1200,0,,25,,,,,,
82598,25/01/2014,0000,,30,,4.5,6.3,26.82,77.25,5.566667,
82598,25/01/2014,1200,0,,22.7,,,,,,
82598,26/01/2014,0000,,30.6,,10.4,5.5,27.14,80.5,4.666667,
82598,26/01/2014,1200,1.2,,22.3,,,,,,
82598,27/01/2014,0000,,31.2,,9.7,5,27.68,77.25,5.7,
82598,27/01/2014,1200,0,,23.6,,,,,,
82598,28/01/2014,0000,,31,,11.3,6.8,27.88,73.75,5,
82598,28/01/2014,1200,0,,25,,,,,,
82598,29/01/2014,0000,,30.8,,9.5,5.7,27.14,76.5,4.7,
82598,29/01/2014,1200,0,,22.5,,,,,,
82598,30/01/2014,0000,,27.8,,0,3.5,24.66,94.25,3.033333,
82598,30/01/2014,1200,64,,22.1,,,,,,
82598,31/01/2014,0000,,30,,11.1,1.1,26.82,75,4.933333,
82598,31/01/2014,1200,4.2,,21.9,,,,,,
82598,01/02/2014,0000,,30.2,,9.9,6.1,27.36,74.5,4.7,
82598,01/02/2014,1200,0,,24.2,,,,,,
82598,02/02/2014,0000,,30.6,,9.5,6.3,27.36,76.75,4.4,
82598,02/02/2014,1200,0,,24,,,,,,
82598,03/02/2014,0000,,30,,4.5,5.6,26.58,83.75,3.3,
82598,03/02/2014,1200,0,,22.5,,,,,,
82598,04/02/2014,0000,,30,,10.4,3.4,26.78,75,3.866667,
82598,04/02/2014,1200,9.4,,22.3,,,,,,
82598,05/02/2014,0000,,30,,10.8,5,26.74,78,3.866667,
82598,05/02/2014,1200,0.8,,22.1,,,,,,
82598,06/02/2014,0000,,30.4,,11.2,5.5,26.94,81,3.3,
82598,06/02/2014,1200,0,,22.5,,,,,,
82598,07/02/2014,0000,,30.4,,7.7,5,27.38,78.5,3.566667,
82598,07/02/2014,1200,0,,23.1,,,,,,
82598,08/02/2014,0000,,30.6,,9.3,5.5,27.8,80.5,4.7,
82598,08/02/2014,1200,0,,25.2,,,,,,
82598,09/02/2014,0000,,30.4,,11,6.3,27.44,76.75,4.4,
82598,09/02/2014,1200,0,,24.4,,,,,,
82598,10/02/2014,0000,,30.4,,10.7,5.7,27.36,76.75,4.266667,
82598,10/02/2014,1200,0,,23.6,,,,,,
82598,11/02/2014,0000,,30.2,,8.3,5.5,26.38,84.5,2.9,
82598,11/02/2014,1200,13,,22.5,,,,,,
82598,12/02/2014,0000,,30.2,,10,4.5,27.22,77.5,4.433333,
82598,12/02/2014,1200,11.3,,23.1,,,,,,
82598,13/02/2014,0000,,30.2,,10.8,4.9,27.4,78.75,3.966667,
82598,13/02/2014,1200,4.5,,23.4,,,,,,
82598,14/02/2014,0000,,30.2,,8.5,5.6,27.68,78.25,3.566667,
82598,14/02/2014,1200,0,,25,,,,,,
82598,15/02/2014,0000,,29.8,,6.6,5,27.56,79.5,4.033333,
82598,15/02/2014,1200,0.1,,25,,,,,,
