Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82024,01/01/2014,0000,,33.8,,2.1,4.6,28.08,73.75,0.666667,
82024,01/01/2014,1200,0,,25.5,,,,,,
82024,02/01/2014,0000,,33.3,,4.6,4.6,27.78,74,1.833333,
82024,02/01/2014,1200,0.2,,25.4,,,,,,
82024,03/01/2014,0000,,34.1,,8,3.1,28.52,66.5,0.666667,
82024,03/01/2014,1200,0,,24.2,,,,,,
82024,04/01/2014,0000,,34.1,,6.9,5.6,28.88,67.5,2.5,
82024,04/01/2014,1200,0,,25.8,,,,,,
82024,05/01/2014,0000,,35.3,,7.9,4.7,29.2,66.75,1.333333,
82024,05/01/2014,1200,0,,24.2,,,,,,
82024,06/01/2014,0000,,35.1,,7.9,5.9,28.7,70.5,2,
82024,06/01/2014,1200,0,,24.8,,,,,,
82024,07/01/2014,0000,,35.3,,6.8,4.7,29.04,72,1.5,
82024,07/01/2014,1200,0,,24.8,,,,,,
82024,08/01/2014,0000,,33.1,,5.1,4.7,28.26,76,1.333333,
82024,08/01/2014,1200,0,,25,,,,,,
82024,09/01/2014,0000,,34.8,,6.9,4.9,28.58,67.75,2.666667,
82024,09/01/2014,1200,0,,23.8,,,,,,
82024,10/01/2014,0000,,33.5,,7.9,6.4,28.2,66.75,1.833333,
82024,10/01/2014,1200,0,,24.9,,,,,,
82024,11/01/2014,0000,,34.6,,9.4,5.8,28.36,64.5,1.5,
82024,11/01/2014,1200,0,,23,,,,,,
82024,12/01/2014,0000,,32.3,,3.9,5.4,27.12,70,1.333333,
82024,12/01/2014,1200,0,,23.3,,,,,,
82024,13/01/2014,0000,,35,,4.6,5.4,28.14,67.75,1.5,
82024,13/01/2014,1200,0,,23.3,,,,,,
82024,14/01/2014,0000,,34.5,,6.6,3.6,28.1,68.75,1.333333,
82024,14/01/2014,1200,0,,23.5,,,,,,
82024,15/01/2014,0000,,34.1,,6.6,4,28.54,67.75,1.333333,
82024,15/01/2014,1200,2,,24.8,,,,,,
82024,16/01/2014,0000,,34.6,,7.9,4.5,29.06,66.5,1.666667,
82024,16/01/2014,1200,0,,25.4,,,,,,
82024,17/01/2014,0000,,35.1,,6.9,7.5,29.46,64,2.5,
82024,17/01/2014,1200,0,,25.1,,,,,,
82024,18/01/2014,0000,,33.6,,4.6,2.5,27.88,66.75,2.5,
82024,18/01/2014,1200,0,,23.1,,,,,,
82024,19/01/2014,0000,,34.2,,9.1,2.5,28.46,59.25,2.833333,
82024,19/01/2014,1200,0,,24.4,,,,,,
82024,20/01/2014,0000,,33.4,,9.8,10.8,27.98,61.25,2.666667,
82024,20/01/2014,1200,0,,23.6,,,,,,
82024,21/01/2014,0000,,35,,9.9,6.9,28.2,60.75,1.833333,
82024,21/01/2014,1200,0,,23.5,,,,,,
82024,22/01/2014,0000,,35.6,,10,10,28.74,61.5,3.166667,
82024,22/01/2014,1200,0,,23.7,,,,,,
82024,23/01/2014,0000,,33.6,,7.9,6.4,28.02,68.25,2.166667,
82024,23/01/2014,1200,0,,24.4,,,,,,
82024,24/01/2014,0000,,35.1,,9.6,4.1,28.74,62.75,1.666667,
82024,24/01/2014,1200,1.6,,24.3,,,,,,
82024,25/01/2014,0000,,35.7,,10.1,6.7,28.98,60,2.5,
82024,25/01/2014,1200,0,,23.8,,,,,,
82024,26/01/2014,0000,,34.2,,7.2,7.4,29.16,61.25,2.5,
82024,26/01/2014,1200,0,,25.3,,,,,,
82024,27/01/2014,0000,,36.7,,9.4,5.4,29.28,61.5,1.333333,
82024,27/01/2014,1200,0,,25,,,,,,
82024,28/01/2014,0000,,36.4,,10,5.4,29.58,59,2,
82024,28/01/2014,1200,0,,25,,,,,,
82024,29/01/2014,0000,,34.7,,8.3,7,28.74,61.5,2.666667,
82024,29/01/2014,1200,0,,24.6,,,,,,
82024,30/01/2014,0000,,34.8,,8.2,7.8,28.36,63.5,2.333333,
82024,30/01/2014,1200,0,,24.2,,,,,,
82024,31/01/2014,0000,,36.5,,7.7,5.7,28.94,65.25,1.333333,
82024,31/01/2014,1200,0,,24.6,,,,,,
82024,01/02/2014,0000,,32.3,,2.1,5.7,26.8,77,1,
82024,01/02/2014,1200,0.2,,23.3,,,,,,
82024,02/02/2014,0000,,34,,5.5,3.5,28.52,60.5,2,
82024,02/02/2014,1200,6.8,,24.4,,,,,,
82024,03/02/2014,0000,,33.1,,6.6,6.3,28.56,65.75,2.166667,
82024,03/02/2014,1200,0,,24.3,,,,,,
82024,04/02/2014,0000,,36,,9.8,5,28.84,61.5,1.333333,
82024,04/02/2014,1200,0,,24.1,,,,,,
82024,05/02/2014,0000,,36.8,,10.1,6.5,29.42,62.25,0.666667,
82024,05/02/2014,1200,0,,22.4,,,,,,
82024,06/02/2014,0000,,35.1,,4.2,6.5,29.08,62.25,1,
82024,06/02/2014,1200,0,,24.7,,,,,,
82024,07/02/2014,0000,,33.7,,0.3,3.9,27.4,74.25,1,
82024,07/02/2014,1200,0,,25,,,,,,
82024,08/02/2014,0000,,34.6,,4.3,4.1,28.02,67.25,0.666667,
82024,08/02/2014,1200,0,,25.2,,,,,,
82024,09/02/2014,0000,,34.2,,5.4,5.5,28.8,72.5,2,
82024,09/02/2014,1200,0,,25.4,,,,,,
82024,10/02/2014,0000,,34.4,,5.6,3.7,28.98,62.75,1.333333,
82024,10/02/2014,1200,7.6,,25.2,,,,,,
82024,11/02/2014,0000,,33.6,,4.6,5.9,28.04,68.25,1.666667,
82024,11/02/2014,1200,0.4,,24.1,,,,,,
82024,12/02/2014,0000,,35.1,,5.2,5.9,28.76,60,1.333333,
82024,12/02/2014,1200,0,,25,,,,,,
82024,13/02/2014,0000,,34.4,,9,5.7,28.64,59.75,1.333333,
82024,13/02/2014,1200,0,,24.2,,,,,,
82024,14/02/2014,0000,,35.1,,9.7,6.7,28.88,59,1.666667,
82024,14/02/2014,1200,0,,24.3,,,,,,
82024,15/02/2014,0000,,35.1,,8.1,7.3,28.82,59.5,1.666667,
82024,15/02/2014,1200,0,,24.6,,,,,,
82024,16/02/2014,0000,,35.6,,6.7,7.3,28.98,57.5,2.166667,
82024,16/02/2014,1200,0,,25,,,,,,
82024,17/02/2014,0000,,34,,5.4,6.1,28.8,57.25,2,
82024,17/02/2014,1200,0,,24.8,,,,,,
82024,18/02/2014,0000,,35.2,,8.4,6.8,28.64,54.75,1.666667,
82024,18/02/2014,1200,0,,24.4,,,,,,
82024,19/02/2014,0000,,36,,10.1,7.2,29.04,51.5,2.333333,
82024,19/02/2014,1200,0,,22.6,,,,,,
82024,20/02/2014,0000,,35.6,,9.1,7.2,29.08,55.75,1.333333,
82024,20/02/2014,1200,0,,24.7,,,,,,
82024,21/02/2014,0000,,33.4,,2.7,9.1,28.76,62.75,2,
82024,21/02/2014,1200,0,,26,,,,,,
82024,22/02/2014,0000,,35.2,,6.7,5.7,29.16,64.75,2,
82024,22/02/2014,1200,0,,25.4,,,,,,
82024,23/02/2014,0000,,34.7,,4,7.2,28.86,64.25,1.5,
82024,23/02/2014,1200,0,,25.2,,,,,,
82024,24/02/2014,0000,,34.8,,4.7,7.2,28.74,67.25,1,
82024,24/02/2014,1200,0,,24.3,,,,,,
82024,25/02/2014,0000,,33.8,,3,4,27.9,70.25,1.833333,
82024,25/02/2014,1200,0,,24.2,,,,,,
82024,26/02/2014,0000,,35.2,,2.6,5,28.7,69.75,1.333333,
82024,26/02/2014,1200,0,,24.9,,,,,,
82024,27/02/2014,0000,,33.8,,2,3.8,28.24,69.5,1,
82024,27/02/2014,1200,4.2,,24.4,,,,,,
82024,28/02/2014,0000,,33.5,,2.1,5.3,28.78,63.25,1.666667,
82024,28/02/2014,1200,0,,24.9,,,,,,
82024,01/03/2014,0000,,35,,9.1,5.3,29.34,58,2,
82024,01/03/2014,1200,0,,25.8,,,,,,
82024,02/03/2014,0000,,35.6,,6.2,8.4,29.1,60.75,1.666667,
82024,02/03/2014,1200,0,,24.4,,,,,,
82024,03/03/2014,0000,,35.5,,7.6,6.6,28.88,59,2,
82024,03/03/2014,1200,0,,24.6,,,,,,
82024,04/03/2014,0000,,34.4,,7.9,6.9,29.18,58,2,
82024,04/03/2014,1200,0,,24.7,,,,,,
82024,05/03/2014,0000,,31.4,,9.5,6.9,28.52,59.75,1.666667,
82024,05/03/2014,1200,0,,25.3,,,,,,
82024,06/03/2014,0000,,35.4,,8.5,7.6,29.22,58,1.666667,
82024,06/03/2014,1200,0,,25,,,,,,
82024,07/03/2014,0000,,36,,9.7,7.1,29.88,55.75,2.333333,
82024,07/03/2014,1200,0,,25.9,,,,,,
82024,08/03/2014,0000,,36,,9.3,8.3,29.32,52.75,2.333333,
82024,08/03/2014,1200,0,,24.9,,,,,,
82024,09/03/2014,0000,,35.9,,7.7,8.3,29.96,52.25,2,
82024,09/03/2014,1200,0,,24.6,,,,,,
82024,10/03/2014,0000,,36.3,,8.9,6,,52,1,
82024,10/03/2014,1200,0,,26,,,,,,
82024,11/03/2014,0000,,37,,6.7,6.9,30.24,59,1.666667,
82024,11/03/2014,1200,0,,26,,,,,,
82024,12/03/2014,0000,,37,,7.2,6.8,29.92,57.25,2.166667,
82024,12/03/2014,1200,0,,26.2,,,,,,
82024,13/03/2014,0000,,37.4,,9.5,6.8,30.72,54,1.666667,
82024,13/03/2014,1200,0,,24.8,,,,,,
82024,14/03/2014,0000,,38.6,,8.7,6.9,30.96,58.75,1.666667,
82024,14/03/2014,1200,0,,26.3,,,,,,
82024,15/03/2014,0000,,37.4,,4.5,6.9,30.9,60.75,1.333333,
82024,15/03/2014,1200,0,,26.8,,,,,,
82024,16/03/2014,0000,,36.6,,6.2,5.2,30.3,64,0.833333,
82024,16/03/2014,1200,0,,26.1,,,,,,
82024,17/03/2014,0000,,35.9,,4.7,5.2,29.62,61,2.666667,
82024,17/03/2014,1200,1.8,,24.9,,,,,,
82024,18/03/2014,0000,,34.9,,8,6.5,29.14,59.5,2.8,
82024,18/03/2014,1200,1.2,,24.6,,,,,,
82024,19/03/2014,0000,,34.4,,2.1,7.5,28.76,70,1.333333,
82024,19/03/2014,1200,0,,24.9,,,,,,
82024,20/03/2014,0000,,34.5,,5,5.2,28.94,63.5,2,
82024,20/03/2014,1200,1.4,,25.3,,,,,,
82024,21/03/2014,0000,,32.6,,0.9,6.1,28.6,63,2.666667,
82024,21/03/2014,1200,0,,25.1,,,,,,
82024,22/03/2014,0000,,33.3,,0.7,6.1,28.62,66.25,1.666667,
82024,22/03/2014,1200,0,,24.7,,,,,,
82024,23/03/2014,0000,,35.6,,6.1,7.6,29.56,65,1,
82024,23/03/2014,1200,0,,26.2,,,,,,
82024,24/03/2014,0000,,29.7,,0.1,4.9,25.48,93.25,0.666667,
82024,24/03/2014,1200,6.8,,24.5,,,,,,
