Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82042,01/01/2014,0000,,32.4,,,4.4,27.2,89,1.333333,
82042,01/01/2014,1200,0,,24.6,,,,,,
82042,02/01/2014,0000,,31.8,,,1.6,26.28,87.5,0,
82042,02/01/2014,1200,4.2,,24.4,,,,,,
82042,03/01/2014,0000,,34.6,,,2.8,27.76,83,1.333333,
82042,03/01/2014,1200,0,,22.6,,,,,,
82042,04/01/2014,0000,,34.6,,,5.1,27.44,84.5,0.666667,
82042,04/01/2014,1200,0,,23.2,,,,,,
82042,05/01/2014,0000,,34.2,,,4.5,28.12,88.25,1,
82042,05/01/2014,1200,0,,23.2,,,,,,
82042,06/01/2014,0000,,34,,,4,27.28,88.5,1.666667,
82042,06/01/2014,1200,1,,23.4,,,,,,
82042,07/01/2014,0000,,33.4,,,3,26.88,89,1.666667,
82042,07/01/2014,1200,0,,24,,,,,,
82042,08/01/2014,0000,,32.8,,,4.2,27.64,84.75,0.666667,
82042,08/01/2014,1200,0,,23.4,,,,,,
82042,09/01/2014,0000,,33.2,,,4.2,27.36,83.5,1.333333,
82042,09/01/2014,1200,0,,23,,,,,,
82042,10/01/2014,0000,,33,,,4.5,27.44,81.25,1.333333,
82042,10/01/2014,1200,0,,23.6,,,,,,
82042,11/01/2014,0000,,33.6,,,5.5,26.76,84,1.666667,
82042,11/01/2014,1200,0,,22.4,,,,,,
82042,12/01/2014,0000,,33.4,,,4.4,27.16,83.25,0.666667,
82042,12/01/2014,1200,0,,23,,,,,,
82042,13/01/2014,0000,,33.8,,,4.6,27.32,83.75,0.666667,
82042,13/01/2014,1200,0,,23.2,,,,,,
82042,14/01/2014,0000,,35.2,,,3,27.76,91.5,0.666667,
82042,14/01/2014,1200,0,,23,,,,,,
82042,15/01/2014,0000,,31.2,,,3.8,26.96,96.75,0,
82042,15/01/2014,1200,0,,23.8,,,,,,
82042,16/01/2014,0000,,33.8,,,4.2,27.76,89.25,0,
82042,16/01/2014,1200,0,,24.2,,,,,,
82042,17/01/2014,0000,,35,,,3.2,28.52,86.75,0.666667,
82042,17/01/2014,1200,0,,23.8,,,,,,
82042,18/01/2014,0000,,30.8,,,4.2,27.44,91.5,1,
82042,18/01/2014,1200,0,,25.2,,,,,,
82042,19/01/2014,0000,,33.6,,,2.1,27.84,76.25,1.333333,
82042,19/01/2014,1200,2,,23.6,,,,,,
82042,20/01/2014,0000,,34.8,,,5.4,27.92,75,1.666667,
82042,20/01/2014,1200,0,,22.6,,,,,,
82042,21/01/2014,0000,,34.4,,,3.5,27.6,82,1.666667,
82042,21/01/2014,1200,0,,21.6,,,,,,
82042,22/01/2014,0000,,35.8,,,3.6,28.68,73.75,1.666667,
82042,22/01/2014,1200,0,,21.4,,,,,,
82042,23/01/2014,0000,,34.6,,,3.4,29.08,80.75,1.333333,
82042,23/01/2014,1200,0,,22.4,,,,,,
82042,24/01/2014,0000,,35.4,,,3.6,28.88,85,1.666667,
82042,24/01/2014,1200,0,,24.6,,,,,,
82042,25/01/2014,0000,,36.2,,,4.5,28.28,81.5,1.666667,
82042,25/01/2014,1200,0,,22,,,,,,
82042,26/01/2014,0000,,35,,,5.2,28.6,80.75,1.333333,
82042,26/01/2014,1200,0,,22.6,,,,,,
82042,27/01/2014,0000,,34.6,,,4.1,28.8,80.25,1.333333,
82042,27/01/2014,1200,0,,23.8,,,,,,
82042,28/01/2014,0000,,34.8,,,3.8,28.28,83.75,1.666667,
82042,28/01/2014,1200,0,,22.2,,,,,,
82042,29/01/2014,0000,,34.8,,,3.4,28.52,83.5,1.333333,
82042,29/01/2014,1200,0,,23.8,,,,,,
82042,30/01/2014,0000,,35,,,2.8,28.32,77.25,1.666667,
82042,30/01/2014,1200,0,,22.6,,,,,,
82042,31/01/2014,0000,,34.2,,,6.5,28.6,83,1.333333,
82042,31/01/2014,1200,0,,24,,,,,,
82042,01/02/2014,0000,,32,,,5.5,26.8,90.25,0.666667,
82042,01/02/2014,1200,5,,24.6,,,,,,
82042,02/02/2014,0000,,34.4,,,2.5,28.44,81.75,1.333333,
82042,02/02/2014,1200,0,,24,,,,,,
82042,03/02/2014,0000,,34.6,,,6,28.2,78,1.666667,
82042,03/02/2014,1200,0,,23.8,,,,,,
82042,04/02/2014,0000,,35.6,,,7,29.28,78.5,1.666667,
82042,04/02/2014,1200,0,,24.4,,,,,,
