Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83919,01/01/2014,0000,,27.4,,2.9,0.6,21.52,91,2.266667,
83919,01/01/2014,1200,36.7,,18.2,,,,,,
83919,02/01/2014,0000,,26.6,,1.3,1.2,21.84,93,7.833333,
83919,02/01/2014,1200,14.3,,19,,,,,,
83919,03/01/2014,0000,,21.2,,0,1.8,16.84,92.5,3.366667,
83919,03/01/2014,1200,34.4,,14.6,,,,,,
83919,04/01/2014,0000,,19.6,,5,0.4,15.6,86.75,4.066667,
83919,04/01/2014,1200,24.6,,13.4,,,,,,
83919,05/01/2014,0000,,26.6,,10.8,1.6,18.72,79,3.8,
83919,05/01/2014,1200,0,,12.4,,,,,,
83919,06/01/2014,0000,,29,,10,2.4,21,70.25,2.6,
83919,06/01/2014,1200,0,,14.8,,,,,,
83919,07/01/2014,0000,,28,,10.7,3.8,20.96,72.25,3.6,
83919,07/01/2014,1200,0,,16.8,,,,,,
83919,08/01/2014,0000,,26.6,,5.6,1.6,21,82.75,5.1,
83919,08/01/2014,1200,0,,16.6,,,,,,
83919,09/01/2014,0000,,27.8,,9.9,2,21.32,79.25,2.9,
83919,09/01/2014,1200,4.2,,16.4,,,,,,
83919,10/01/2014,0000,,28.8,,7.7,2.5,20.52,82.5,4.633333,
83919,10/01/2014,1200,4.5,,17,,,,,,
83919,11/01/2014,0000,,23.8,,1.1,3,19.28,91.25,2.833333,
83919,11/01/2014,1200,23,,15.8,,,,,,
83919,12/01/2014,0000,,20,,0,0.5,18.12,97.25,2.933333,
83919,12/01/2014,1200,32.6,,17,,,,,,
83919,13/01/2014,0000,,25,,1.4,0.8,20.28,80.5,3.166667,
83919,13/01/2014,1200,8.9,,16.6,,,,,,
83919,14/01/2014,0000,,25.2,,6.2,1.8,20.16,78.75,4.3,
83919,14/01/2014,1200,0.6,,16.2,,,,,,
83919,15/01/2014,0000,,22.6,,3.4,1.8,18.88,88,2.866667,
83919,15/01/2014,1200,0,,16,,,,,,
83919,16/01/2014,0000,,26,,9.7,1.1,19.08,79.25,2.966667,
83919,16/01/2014,1200,21.8,,14.4,,,,,,
83919,17/01/2014,0000,,27.8,,10.5,2,20.12,72,2.766667,
83919,17/01/2014,1200,0,,15.4,,,,,,
83919,18/01/2014,0000,,30,,12.1,3.5,21.8,56.75,3.233333,
83919,18/01/2014,1200,0,,15,,,,,,
83919,19/01/2014,0000,,29.8,,12,4.5,22.4,59.75,3.466667,
83919,19/01/2014,1200,0,,15.6,,,,,,
83919,20/01/2014,0000,,30,,11,4.5,22.4,56.25,3.1,
83919,20/01/2014,1200,0,,16.4,,,,,,
83919,21/01/2014,0000,,29.4,,11.7,2,22.32,63,4.666667,
83919,21/01/2014,1200,0,,16.4,,,,,,
83919,22/01/2014,0000,,30.6,,9.5,5.5,23.68,68.75,3.533333,
83919,22/01/2014,1200,0,,18.2,,,,,,
83919,23/01/2014,0000,,31,,9.3,5.1,24.08,73,3.833333,
83919,23/01/2014,1200,0,,20,,,,,,
83919,24/01/2014,0000,,28.8,,8.6,4,23.64,78,5.566667,
83919,24/01/2014,1200,7.4,,19.2,,,,,,
83919,25/01/2014,0000,,23.4,,0,3,17.4,93.5,4.7,
83919,25/01/2014,1200,1.3,,15.2,,,,,,
83919,26/01/2014,0000,,27,,7.7,1.2,20.36,78.75,4.3,
83919,26/01/2014,1200,1.2,,15,,,,,,
83919,27/01/2014,0000,,28.6,,7.9,2.7,22.04,80.75,6.9,
83919,27/01/2014,1200,0,,18,,,,,,
83919,28/01/2014,0000,,30.6,,11.5,2.5,24.44,62.25,3.6,
83919,28/01/2014,1200,7,,18.8,,,,,,
83919,29/01/2014,0000,,31.6,,10.4,5,24.44,64.5,5.066667,
83919,29/01/2014,1200,0,,18.6,,,,,,
83919,30/01/2014,0000,,31.6,,10.8,1,23.4,53.75,4.3,
83919,30/01/2014,1200,0,,17.6,,,,,,
83919,31/01/2014,0000,,30.2,,7.3,5,21.76,72.5,4.8,
83919,31/01/2014,1200,7.2,,17.2,,,,,,
83919,01/02/2014,0000,,29,,5.2,3.5,21.64,87.5,3.966667,
83919,01/02/2014,1200,3.1,,17.2,,,,,,
83919,02/02/2014,0000,,31,,11.5,2.5,24.12,60.75,2.8,
83919,02/02/2014,1200,17.7,,17.2,,,,,,
83919,03/02/2014,0000,,31.4,,9.1,6,24.4,63.75,3.466667,
83919,03/02/2014,1200,0,,18.6,,,,,,
83919,04/02/2014,0000,,30.6,,10.7,3.8,23.48,64.25,3.866667,
83919,04/02/2014,1200,1.9,,18.6,,,,,,
83919,05/02/2014,0000,,32,,9.4,4.8,24.36,63.25,2.833333,
83919,05/02/2014,1200,0,,19.2,,,,,,
83919,06/02/2014,0000,,33.4,,10.5,4,25.48,60.75,2.933333,
83919,06/02/2014,1200,0,,19.8,,,,,,
83919,07/02/2014,0000,,32.6,,11.4,1.4,26.52,55.75,4.133333,
83919,07/02/2014,1200,3.7,,20,,,,,,
83919,08/02/2014,0000,,31.8,,4.9,5.4,22.8,79.5,3.633333,
83919,08/02/2014,1200,0,,18.8,,,,,,
83919,09/02/2014,0000,,29.8,,7.9,2.6,23.92,64.75,2.9,
83919,09/02/2014,1200,0.8,,18.2,,,,,,
83919,10/02/2014,0000,,31.4,,8.6,4,23.72,66.25,3.666667,
83919,10/02/2014,1200,0,,17.8,,,,,,
83919,11/02/2014,0000,,31.6,,11.3,4,25.16,47.5,2.266667,
83919,11/02/2014,1200,0,,17.2,,,,,,
83919,12/02/2014,0000,,31.8,,10.2,1.4,23.6,69,3.733333,
83919,12/02/2014,1200,0,,17.4,,,,,,
83919,13/02/2014,0000,,26.4,,4.5,8.1,20.44,89.5,2.766667,
83919,13/02/2014,1200,3.2,,17.6,,,,,,
83919,14/02/2014,0000,,17.8,,0.2,0.9,14.84,94.25,4.266667,
83919,14/02/2014,1200,48.7,,13.6,,,,,,
83919,15/02/2014,0000,,19,,7.7,1.1,15.12,75.75,8.733333,
83919,15/02/2014,1200,0.8,,12.6,,,,,,
83919,16/02/2014,0000,,21,,8.8,2.5,15.84,80,8.633333,
83919,16/02/2014,1200,0,,13.2,,,,,,
83919,17/02/2014,0000,,24.2,,8.8,2.6,17.92,76.25,7.066667,
83919,17/02/2014,1200,0,,12.2,,,,,,
83919,18/02/2014,0000,,25.4,,9.9,3,18.36,75.5,4.666667,
83919,18/02/2014,1200,0,,12.4,,,,,,
83919,19/02/2014,0000,,25.6,,9,3,19.56,65,3.3,
83919,19/02/2014,1200,0,,14.4,,,,,,
83919,20/02/2014,0000,,26,,5.5,2.9,19.72,75.75,3.933333,
83919,20/02/2014,1200,0,,12.8,,,,,,
83919,21/02/2014,0000,,26.4,,4.2,2.5,20.76,81.25,2.866667,
83919,21/02/2014,1200,0,,17.6,,,,,,
83919,22/02/2014,0000,,26.2,,6.5,2,20.16,82.25,2.666667,
83919,22/02/2014,1200,0.5,,16.2,,,,,,
83919,23/02/2014,0000,,23.2,,3.6,2,18.68,90,3.566667,
83919,23/02/2014,1200,8.9,,16.6,,,,,,
83919,24/02/2014,0000,,26.2,,5,1,20.52,81.5,3.533333,
83919,24/02/2014,1200,25.7,,14.6,,,,,,
83919,25/02/2014,0000,,28,,7.5,2,21.6,76.25,3.4,
83919,25/02/2014,1200,0.3,,17,,,,,,
83919,26/02/2014,0000,,25.8,,0,2.4,19.92,91.75,3.7,
83919,26/02/2014,1200,6.5,,17.6,,,,,,
83919,27/02/2014,0000,,19,,0,0.8,15.48,80.25,2.566667,
83919,27/02/2014,1200,72.2,,14.2,,,,,,
83919,28/02/2014,0000,,20.6,,1.9,0.8,15.2,77,2.166667,
83919,28/02/2014,1200,1,,11.8,,,,,,
83919,01/03/2014,0000,,22,,11.1,1.6,15.48,76.5,2.733333,
83919,01/03/2014,1200,0,,10,,,,,,
83919,02/03/2014,0000,,25.2,,5.5,2,16.16,82.25,3.933333,
83919,02/03/2014,1200,0,,10,,,,,,
83919,03/03/2014,0000,,25,,3.1,1.4,18.32,78.25,2.966667,
83919,03/03/2014,1200,0,,13.2,,,,,,
83919,04/03/2014,0000,,20,,0,1,16.52,87,3.2,
83919,04/03/2014,1200,18.8,,14,,,,,,
83919,05/03/2014,0000,,24.8,,5.7,0.5,18.12,84.75,1.833333,
83919,05/03/2014,1200,36.4,,13.8,,,,,,
83919,06/03/2014,0000,,23,,9.1,1.3,17.16,81.5,3.6,
83919,06/03/2014,1200,1,,13.2,,,,,,
83919,07/03/2014,0000,,25,,9.4,2.2,17.08,75.75,2.7,
83919,07/03/2014,1200,0,,12.2,,,,,,
83919,08/03/2014,0000,,23,,5.2,2.2,16.84,84.75,2.166667,
83919,08/03/2014,1200,2.6,,13.6,,,,,,
83919,09/03/2014,0000,,25,,8.8,1.4,18.12,74,2.433333,
83919,09/03/2014,1200,2.9,,12.8,,,,,,
83919,10/03/2014,0000,,23.4,,3.4,2.4,18.32,85,4.233333,
83919,10/03/2014,1200,0,,15.6,,,,,,
83919,11/03/2014,0000,,20.2,,1.8,2,17.2,91,2.033333,
83919,11/03/2014,1200,1.1,,16,,,,,,
83919,12/03/2014,0000,,26.2,,5.9,0.5,18.24,81.5,3.866667,
83919,12/03/2014,1200,30.9,,14.4,,,,,,
83919,13/03/2014,0000,,23.2,,1.6,2.3,17.92,85.25,2.566667,
83919,13/03/2014,1200,0,,15.8,,,,,,
83919,14/03/2014,0000,,27.6,,8.9,0.6,20.24,71.25,2.833333,
83919,14/03/2014,1200,16.8,,13.2,,,,,,
83919,15/03/2014,0000,,25.2,,2.7,3.2,20.64,83,4.566667,
83919,15/03/2014,1200,0,,15.4,,,,,,
83919,16/03/2014,0000,,28.6,,10.3,1.6,21.68,74.75,3,
83919,16/03/2014,1200,9.4,,17.4,,,,,,
83919,17/03/2014,0000,,26.6,,4.8,3,20.68,90.25,4.266667,
83919,17/03/2014,1200,1.5,,18,,,,,,
83919,18/03/2014,0000,,25.6,,7.5,1.3,19.28,89,3.1,
83919,18/03/2014,1200,7.9,,16,,,,,,
83919,19/03/2014,0000,,22,,0.1,1.5,18.04,91,2.966667,
83919,19/03/2014,1200,16.4,,16.2,,,,,,
83919,20/03/2014,0000,,19.8,,0,0.6,17.36,93,3.633333,
83919,20/03/2014,1200,16.6,,15,,,,,,
83919,21/03/2014,0000,,22.6,,5.1,0.8,18.12,90.25,5.5,
83919,21/03/2014,1200,5.2,,16.4,,,,,,
83919,22/03/2014,0000,,17.6,,2.2,0.9,10.84,93.75,3.333333,
83919,22/03/2014,1200,0.8,,8,,,,,,
83919,23/03/2014,0000,,21,,10.5,0.7,12.36,74,2.866667,
83919,23/03/2014,1200,0,,3.8,,,,,,
83919,24/03/2014,0000,,22,,8.6,2,15.04,77.25,3,
83919,24/03/2014,1200,0,,9.8,,,,,,
83919,25/03/2014,0000,,24.6,,9.3,2,16.76,77,3.333333,
83919,25/03/2014,1200,0,,11.2,,,,,,
83919,26/03/2014,0000,,23.6,,7.3,1.8,16.52,78.5,5.433333,
83919,26/03/2014,1200,0,,11.6,,,,,,
83919,27/03/2014,0000,,25.6,,8.2,2.6,18.12,83,4.966667,
83919,27/03/2014,1200,0,,14.2,,,,,,
83919,28/03/2014,0000,,25.8,,9.7,2.1,19.12,75.5,2.9,
83919,28/03/2014,1200,0.1,,14.6,,,,,,
83919,29/03/2014,0000,,25.4,,9.2,2.5,19.2,75.25,2.666667,
83919,29/03/2014,1200,0,,14.6,,,,,,
83919,30/03/2014,0000,,22.4,,0.7,2.5,19.16,84.25,5.666667,
83919,30/03/2014,1200,0,,16.6,,,,,,
83919,31/03/2014,0000,,22.2,,1.4,1.3,18.44,93.25,2.166667,
83919,31/03/2014,1200,4.8,,14.2,,,,,,
83919,01/04/2014,0000,,21,,1.4,0.8,17.84,94.5,1.866667,
83919,01/04/2014,1200,2.6,,16,,,,,,
83919,02/04/2014,0000,,21,,4.4,0.8,17.12,83.25,6.733333,
83919,02/04/2014,1200,7.8,,14.8,,,,,,
83919,03/04/2014,0000,,22.4,,7.5,1.6,17.28,78,6.633333,
83919,03/04/2014,1200,0.7,,14.4,,,,,,
83919,04/04/2014,0000,,25.2,,10.7,3,17.68,70,3.333333,
83919,04/04/2014,1200,0,,13.2,,,,,,
83919,05/04/2014,0000,,25,,10.7,2.8,18.12,71.75,2.9,
83919,05/04/2014,1200,0,,11.6,,,,,,
83919,06/04/2014,0000,,26.6,,7.9,2.2,19.84,73.5,2.333333,
83919,06/04/2014,1200,0,,14.8,,,,,,
83919,07/04/2014,0000,,27,,6.6,2,19.16,81.5,2.233333,
83919,07/04/2014,1200,0,,14.6,,,,,,
83919,08/04/2014,0000,,28,,8.4,2.2,20,83,3.866667,
83919,08/04/2014,1200,0,,15.6,,,,,,
83919,09/04/2014,0000,,23.6,,2.8,2.1,18.4,91,2.633333,
83919,09/04/2014,1200,41.7,,16.2,,,,,,
83919,10/04/2014,0000,,24.6,,4.5,0.9,18.04,81.75,2.866667,
83919,10/04/2014,1200,0,,14,,,,,,
83919,11/04/2014,0000,,21.6,,0.9,1.6,18.36,86.5,4.1,
83919,11/04/2014,1200,0,,15.4,,,,,,
83919,12/04/2014,0000,,22,,5.2,1.4,17.16,81,5,
83919,12/04/2014,1200,23.7,,14,,,,,,
83919,13/04/2014,0000,,17.4,,10.1,1.8,12.52,57,5.366667,
83919,13/04/2014,1200,0.8,,10,,,,,,
83919,14/04/2014,0000,,17.2,,8.6,2.6,9.04,85.25,2.466667,
83919,14/04/2014,1200,0,,2.8,,,,,,
83919,15/04/2014,0000,,21.2,,9.4,1.8,12.84,78.5,3.966667,
83919,15/04/2014,1200,0,,3.4,,,,,,
83919,16/04/2014,0000,,22.8,,6.8,1.6,15.8,82.75,3.8,
83919,16/04/2014,1200,0,,11,,,,,,
83919,17/04/2014,0000,,22.6,,4.2,1.8,17.44,80.75,3.266667,
83919,17/04/2014,1200,0,,13.8,,,,,,
83919,18/04/2014,0000,,21.8,,1.9,1.4,17.16,85.5,2.666667,
83919,18/04/2014,1200,2.2,,14.6,,,,,,
83919,19/04/2014,0000,,21,,1.9,1.6,16.44,92.5,1.9,
83919,19/04/2014,1200,0,,13.8,,,,,,
83919,20/04/2014,0000,,20.6,,4.3,0.8,15.6,87,3.733333,
83919,20/04/2014,1200,0.8,,13.2,,,,,,
83919,21/04/2014,0000,,22.4,,7.4,0.9,16.84,80.5,2.266667,
83919,21/04/2014,1200,5.6,,11.8,,,,,,
83919,22/04/2014,0000,,16.8,,0,1.3,13.6,97.25,3.133333,
83919,22/04/2014,1200,8.4,,12.2,,,,,,
83919,23/04/2014,0000,,15.8,,2.5,0.6,12.68,86.75,3.433333,
83919,23/04/2014,1200,0.9,,11.2,,,,,,
83919,24/04/2014,0000,,19.6,,6,0.4,13.84,81,3.2,
83919,24/04/2014,1200,0.7,,9.8,,,,,,
83919,25/04/2014,0000,,19.6,,9.5,1.4,12.2,70.5,2.566667,
83919,25/04/2014,1200,0,,8,,,,,,
83919,26/04/2014,0000,,19,,9.3,1.4,11.8,82.25,3.533333,
83919,26/04/2014,1200,0,,6.6,,,,,,
83919,27/04/2014,0000,,17.4,,7.3,1.6,11.72,78.25,5.633333,
83919,27/04/2014,1200,0,,8.6,,,,,,
83919,28/04/2014,0000,,18.6,,7.8,0.8,12.64,78.25,5.6,
83919,28/04/2014,1200,0,,8.6,,,,,,
83919,29/04/2014,0000,,19.4,,5.6,1.5,13.28,76.5,2.4,
83919,29/04/2014,1200,0,,9.6,,,,,,
83919,30/04/2014,0000,,14.6,,0,2.1,13.44,97.25,2.533333,
83919,30/04/2014,1200,4.2,,11.6,,,,,,
83919,01/05/2014,0000,,17.6,,6.4,0.2,14.24,79,9.233333,
83919,01/05/2014,1200,23.8,,12.6,,,,,,
83919,02/05/2014,0000,,20.2,,8.6,1.8,12.52,82,2.633333,
83919,02/05/2014,1200,0.4,,9.2,,,,,,
83919,03/05/2014,0000,,22.2,,9.6,1.8,13.84,76.25,3.8,
83919,03/05/2014,1200,0,,7.8,,,,,,
83919,04/05/2014,0000,,21,,0.9,1.6,16,90,2.733333,
83919,04/05/2014,1200,0,,13,,,,,,
83919,05/05/2014,0000,,23,,3.4,1,17,87.75,2.3,
83919,05/05/2014,1200,3.2,,13.6,,,,,,
83919,06/05/2014,0000,,23.8,,6,1.4,18.16,77.75,2.8,
83919,06/05/2014,1200,0.8,,14.2,,,,,,
83919,07/05/2014,0000,,24,,7,1.8,17.68,81.25,2.8,
83919,07/05/2014,1200,0,,13.8,,,,,,
83919,08/05/2014,0000,,20,,5,1.4,15.48,89.25,4.566667,
83919,08/05/2014,1200,3.4,,13.8,,,,,,
83919,09/05/2014,0000,,15.6,,6.4,1.4,11.16,86,3.3,
83919,09/05/2014,1200,0.2,,8.4,,,,,,
83919,10/05/2014,0000,,15.4,,5.5,1,10.84,87.75,4.833333,
83919,10/05/2014,1200,0.2,,8.6,,,,,,
83919,11/05/2014,0000,,18,,9.9,1.5,11.48,74.75,4.566667,
83919,11/05/2014,1200,0,,7.4,,,,,,
83919,12/05/2014,0000,,18.6,,9.5,2.1,13.68,74.5,3.5,
83919,12/05/2014,1200,0,,9,,,,,,
83919,13/05/2014,0000,,17.2,,4.2,1.4,13.76,85.5,2.866667,
83919,13/05/2014,1200,0.8,,11,,,,,,
83919,14/05/2014,0000,,20.5,,6.3,0.8,13.74,88.75,2.533333,
83919,14/05/2014,1200,1,,9.6,,,,,,
83919,15/05/2014,0000,,21.4,,4.9,1.2,14.84,83.75,4.6,
83919,15/05/2014,1200,0,,11.8,,,,,,
83919,16/05/2014,0000,,16.8,,4.6,1,11.96,90.75,2.6,
83919,16/05/2014,1200,17.2,,9.8,,,,,,
83919,17/05/2014,0000,,21,,8.3,0.6,13.6,81.5,2.733333,
83919,17/05/2014,1200,0,,8.8,,,,,,
83919,18/05/2014,0000,,20,,7.6,1.9,14.2,82,3.1,
83919,18/05/2014,1200,0,,9.6,,,,,,
83919,19/05/2014,0000,,20,,4.9,1.1,12.76,85.25,1.733333,
83919,19/05/2014,1200,0,,7.8,,,,,,
83919,20/05/2014,0000,,20,,4.7,1,14,83.25,2.566667,
83919,20/05/2014,1200,0,,9.6,,,,,,
83919,21/05/2014,0000,,15.2,,0,0.4,13.52,95.75,3.2,
83919,21/05/2014,1200,0,,11.4,,,,,,
83919,22/05/2014,0000,,19.8,,1.6,1,14.76,92.5,4.166667,
83919,22/05/2014,1200,58.3,,13,,,,,,
83919,23/05/2014,0000,,13.2,,0,0.2,6.88,93.5,2.333333,
83919,23/05/2014,1200,2.4,,5,,,,,,
83919,24/05/2014,0000,,11.6,,5,0.4,6.08,83.25,1.9,
83919,24/05/2014,1200,2.8,,1.8,,,,,,
83919,25/05/2014,0000,,14,,2,0.8,9.36,88.25,2.666667,
83919,25/05/2014,1200,0,,1.6,,,,,,
83919,26/05/2014,0000,,12.8,,0.9,0.4,10.08,95.5,3.733333,
83919,26/05/2014,1200,14.4,,9.2,,,,,,
83919,27/05/2014,0000,,14.4,,5.7,0.2,8.4,88.75,1.266667,
83919,27/05/2014,1200,1.9,,6.4,,,,,,
83919,28/05/2014,0000,,15,,6.4,0.5,7.76,91.5,2.533333,
83919,28/05/2014,1200,0,,3.6,,,,,,
83919,29/05/2014,0000,,17.8,,9.6,1.1,9.04,74,5.333333,
83919,29/05/2014,1200,0,,2.8,,,,,,
83919,30/05/2014,0000,,17.6,,9.7,2.4,11.52,72.75,2.333333,
83919,30/05/2014,1200,0,,6,,,,,,
83919,31/05/2014,0000,,17.6,,0,1.8,11.72,99.25,4.4,
