Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83985,01/01/2014,0000,,31.4,,10.5,2.5,26.58,81.25,4.033333,
83985,01/01/2014,1200,4.4,,22.4,,,,,,
83985,02/01/2014,0000,,35.2,,9,3.4,25.94,82.25,3.166667,
83985,02/01/2014,1200,0,,21.9,,,,,,
83985,03/01/2014,0000,,24.9,,5.7,4,21.22,73,2.3,
83985,03/01/2014,1200,11.2,,19.6,,,,,,
83985,04/01/2014,0000,,27.1,,12.7,4.1,21.42,65,3.2,
83985,04/01/2014,1200,0,,14.6,,,,,,
83985,05/01/2014,0000,,31.8,,13,5.8,24.32,65.5,1.666667,
83985,05/01/2014,1200,0,,17,,,,,,
83985,06/01/2014,0000,,31.6,,13.2,6,25.2,70.5,4.4,
83985,06/01/2014,1200,0,,18.6,,,,,,
83985,07/01/2014,0000,,36.8,,9.1,5.6,25.72,77,3.7,
83985,07/01/2014,1200,0,,21.4,,,,,,
83985,08/01/2014,0000,,29.4,,9.1,4.5,23.52,82.25,2.566667,
83985,08/01/2014,1200,50.4,,20.2,,,,,,
83985,09/01/2014,0000,,29.4,,12.8,2.5,24.46,80.5,3.2,
83985,09/01/2014,1200,0,,18.6,,,,,,
83985,10/01/2014,0000,,25.2,,0.5,3.8,22.08,89.75,4.533333,
83985,10/01/2014,1200,0,,20.6,,,,,,
83985,11/01/2014,0000,,24.8,,2,0.8,21.96,89.75,1.966667,
83985,11/01/2014,1200,9.4,,18.6,,,,,,
83985,12/01/2014,0000,,25,,4.4,1.6,22,80.75,4.233333,
83985,12/01/2014,1200,16.8,,20.4,,,,,,
83985,13/01/2014,0000,,25.6,,2.5,3.7,22.5,93.25,4.566667,
83985,13/01/2014,1200,7,,20.3,,,,,,
83985,14/01/2014,0000,,27,,3.9,1.3,22.82,89.25,2.866667,
83985,14/01/2014,1200,27.2,,21.3,,,,,,
83985,15/01/2014,0000,,29.5,,10,0.4,23.68,83.75,2.4,
83985,15/01/2014,1200,1.9,,19.6,,,,,,
83985,16/01/2014,0000,,31.3,,12.8,2.7,24.6,72.5,1.8,
83985,16/01/2014,1200,0.3,,19,,,,,,
83985,17/01/2014,0000,,31.6,,13.1,5,25.34,78.5,2.233333,
83985,17/01/2014,1200,0,,19.7,,,,,,
83985,18/01/2014,0000,,34.2,,12.6,4,27.18,75,2.133333,
83985,18/01/2014,1200,0,,21.1,,,,,,
83985,19/01/2014,0000,,36.4,,12.3,5.4,29.64,71.25,1.366667,
83985,19/01/2014,1200,0,,22.6,,,,,,
83985,20/01/2014,0000,,33,,7.3,4.8,27.36,85.25,1.766667,
83985,20/01/2014,1200,0,,24,,,,,,
83985,21/01/2014,0000,,37.1,,10.6,2.8,27.12,72.75,1.866667,
83985,21/01/2014,1200,2.6,,21.5,,,,,,
83985,22/01/2014,0000,,29.2,,2.3,5.3,25.76,87.5,1.8,
83985,22/01/2014,1200,9.6,,21.8,,,,,,
83985,23/01/2014,0000,,36.2,,7.1,1.8,29.78,73,2.8,
83985,23/01/2014,1200,0,,23.6,,,,,,
83985,24/01/2014,0000,,33.2,,4.1,4.4,26.66,83.5,3.9,
83985,24/01/2014,1200,0,,22.8,,,,,,
83985,25/01/2014,0000,,24.6,,7.3,3.5,20.8,60.25,3.3,
83985,25/01/2014,1200,1.6,,17,,,,,,
83985,26/01/2014,0000,,23.2,,0,6.6,22,89.5,3.233333,
83985,26/01/2014,1200,0,,20,,,,,,
83985,27/01/2014,0000,,31.2,,4.9,0.8,25.24,80.5,1.7,
83985,27/01/2014,1200,4.8,,22.2,,,,,,
83985,28/01/2014,0000,,35.6,,12.3,1.8,27.26,74.5,2.266667,
83985,28/01/2014,1200,10.4,,22.4,,,,,,
83985,29/01/2014,0000,,30.6,,3.1,4,24.5,90,2.3,
83985,29/01/2014,1200,5.2,,22.2,,,,,,
83985,30/01/2014,0000,,36,,9,1.1,26.24,80.25,4.966667,
83985,30/01/2014,1200,19.8,,21.2,,,,,,
83985,31/01/2014,0000,,27,,0.4,3.2,24.36,85,2.7,
83985,31/01/2014,1200,0,,22,,,,,,
83985,01/02/2014,0000,,28.8,,3.5,2.1,25,84.5,1.966667,
83985,01/02/2014,1200,2.6,,22.2,,,,,,
83985,02/02/2014,0000,,36,,9.8,2.1,25.16,83.75,3.9,
83985,02/02/2014,1200,5.6,,21,,,,,,
83985,03/02/2014,0000,,33.4,,9.7,4.5,25.84,84.75,2.633333,
83985,03/02/2014,1200,6.4,,21,,,,,,
83985,04/02/2014,0000,,30.8,,9.6,2.2,26.22,79.25,2.333333,
83985,04/02/2014,1200,22.4,,22,,,,,,
83985,05/02/2014,0000,,37.4,,12.8,2.9,30.22,69,2.233333,
83985,05/02/2014,1200,0,,24,,,,,,
83985,06/02/2014,0000,,32.2,,6.8,6.1,27.76,85.5,2.566667,
83985,06/02/2014,1200,0,,25.4,,,,,,
83985,07/02/2014,0000,,38,,11.9,1.7,28.52,70.5,3.1,
83985,07/02/2014,1200,0.4,,23.6,,,,,,
83985,08/02/2014,0000,,34,,8.9,5.5,27.4,77.5,3.866667,
83985,08/02/2014,1200,0,,23.4,,,,,,
83985,09/02/2014,0000,,31.5,,10.4,3.7,27.06,83.25,2.333333,
83985,09/02/2014,1200,17.8,,23.2,,,,,,
83985,10/02/2014,0000,,30.4,,5.8,2.7,24.64,86.75,3.3,
83985,10/02/2014,1200,0,,21.8,,,,,,
83985,11/02/2014,0000,,31.7,,11.7,2.1,27.32,83.25,2.266667,
83985,11/02/2014,1200,9.1,,21.7,,,,,,
83985,12/02/2014,0000,,27.8,,3.4,3,23.78,95.75,1.966667,
83985,12/02/2014,1200,26.3,,21.4,,,,,,
83985,13/02/2014,0000,,23.2,,0,1,21.58,92.75,1.3,
83985,13/02/2014,1200,18.1,,20.5,,,,,,
83985,14/02/2014,0000,,23.6,,10.5,1.7,21.16,66.25,3.866667,
83985,14/02/2014,1200,13.7,,18.4,,,,,,
83985,15/02/2014,0000,,25.4,,8.6,7.3,22.04,71,4.533333,
83985,15/02/2014,1200,0,,19.6,,,,,,
83985,16/02/2014,0000,,26.6,,9.4,8.1,23.22,73,4.866667,
83985,16/02/2014,1200,0,,20.5,,,,,,
83985,17/02/2014,0000,,27.5,,9,6.3,23.74,74.25,4.766667,
83985,17/02/2014,1200,0,,20.6,,,,,,
83985,18/02/2014,0000,,28,,10.3,5,24.36,73.75,6.7,
83985,18/02/2014,1200,0,,20.6,,,,,,
83985,19/02/2014,0000,,28.9,,10.3,5.4,24.72,78.5,4.5,
83985,19/02/2014,1200,0,,21.5,,,,,,
83985,20/02/2014,0000,,25.3,,1.5,3.9,22.78,95.25,1.6,
83985,20/02/2014,1200,0,,21,,,,,,
83985,21/02/2014,0000,,30.6,,9.5,0.9,24.84,87.75,1.766667,
83985,21/02/2014,1200,6.5,,20.6,,,,,,
83985,22/02/2014,0000,,29,,4.7,1.8,23.76,87.75,2.433333,
83985,22/02/2014,1200,0,,20,,,,,,
83985,23/02/2014,0000,,28.7,,3.9,2.3,22.78,91.75,2.033333,
83985,23/02/2014,1200,6.6,,20.6,,,,,,
83985,24/02/2014,0000,,28.8,,9.2,1.3,23.3,86,1.766667,
83985,24/02/2014,1200,19.9,,19,,,,,,
83985,25/02/2014,0000,,24.7,,2.2,2.2,21.98,90.5,1.466667,
83985,25/02/2014,1200,0,,20.2,,,,,,
83985,26/02/2014,0000,,20.5,,0,1.3,18.58,95.25,2.6,
83985,26/02/2014,1200,14,,17.8,,,,,,
83985,27/02/2014,0000,,24.2,,6.4,0.6,19.26,88.25,3.133333,
83985,27/02/2014,1200,43.9,,15.3,,,,,,
83985,28/02/2014,0000,,23.6,,3,1.8,19.38,88.25,3.666667,
83985,28/02/2014,1200,7.3,,17,,,,,,
83985,01/03/2014,0000,,25.1,,10.4,1.1,20.14,79.5,3.066667,
83985,01/03/2014,1200,6.2,,16.4,,,,,,
83985,02/03/2014,0000,,25.4,,6.8,2.2,20.16,79,2.566667,
83985,02/03/2014,1200,0,,16.3,,,,,,
83985,03/03/2014,0000,,25.7,,3.9,3.1,22.1,80,4.6,
83985,03/03/2014,1200,0,,17.6,,,,,,
83985,04/03/2014,0000,,29.5,,6.9,4.2,23.26,85.75,3.7,
83985,04/03/2014,1200,4.8,,20.6,,,,,,
83985,05/03/2014,0000,,29.8,,10.2,2,24.04,80,1.5,
83985,05/03/2014,1200,17.4,,19.8,,,,,,
83985,06/03/2014,0000,,29.1,,10.8,2.5,23.6,77.25,1.866667,
83985,06/03/2014,1200,0,,19.1,,,,,,
83985,07/03/2014,0000,,25.8,,7.3,3,20.84,83.75,2.366667,
83985,07/03/2014,1200,0,,18.8,,,,,,
83985,08/03/2014,0000,,25.6,,10.9,1.9,20.16,78.75,2.466667,
83985,08/03/2014,1200,0,,15.8,,,,,,
83985,09/03/2014,0000,,26.9,,11.1,2.7,20.94,86.5,2.4,
83985,09/03/2014,1200,0,,14.6,,,,,,
83985,10/03/2014,0000,,28.7,,10.5,2.3,22.14,82.25,2.466667,
83985,10/03/2014,1200,0,,19.8,,,,,,
83985,11/03/2014,0000,,24.9,,11.2,3,18.9,82.5,1.966667,
83985,11/03/2014,1200,0,,15.8,,,,,,
83985,12/03/2014,0000,,25.8,,10.3,2.7,18.88,79.75,2.066667,
83985,12/03/2014,1200,0,,11.8,,,,,,
83985,13/03/2014,0000,,26.4,,3.6,3.3,21.6,82,2.8,
83985,13/03/2014,1200,0,,15,,,,,,
83985,14/03/2014,0000,,28.4,,10.5,3.7,23.78,82,4.266667,
83985,14/03/2014,1200,0,,19.3,,,,,,
83985,15/03/2014,0000,,27.4,,9.3,3.8,22.28,80.75,3.933333,
83985,15/03/2014,1200,5.2,,20.2,,,,,,
83985,16/03/2014,0000,,26.4,,2.5,3.8,21.78,91.25,2.233333,
83985,16/03/2014,1200,0,,15.4,,,,,,
83985,17/03/2014,0000,,27.6,,4.1,1.7,22.6,88.5,2.133333,
83985,17/03/2014,1200,34.6,,20.2,,,,,,
83985,18/03/2014,0000,,23.4,,1.5,1.8,19.8,81.25,2.133333,
83985,18/03/2014,1200,0,,18.3,,,,,,
83985,19/03/2014,0000,,19.7,,0,2.1,18.68,97.5,3.066667,
83985,19/03/2014,1200,14.9,,17.5,,,,,,
83985,20/03/2014,0000,,26.6,,5.1,0.3,21.42,89.5,3.033333,
83985,20/03/2014,1200,27,,18.9,,,,,,
83985,21/03/2014,0000,,26.5,,10.9,1.4,20.36,79,4,
83985,21/03/2014,1200,0,,17.1,,,,,,
83985,22/03/2014,0000,,20.1,,11.1,3.2,14.7,76.25,3.833333,
83985,22/03/2014,1200,0.6,,11.4,,,,,,
83985,23/03/2014,0000,,22.8,,10.7,2.7,15.78,79,2.2,
83985,23/03/2014,1200,0,,8.7,,,,,,
83985,24/03/2014,0000,,24.5,,10.2,2.9,18.6,85.5,2.633333,
83985,24/03/2014,1200,0,,11.4,,,,,,
83985,25/03/2014,0000,,27.2,,9.2,2.6,21.64,82.75,2.833333,
83985,25/03/2014,1200,0,,15.6,,,,,,
83985,26/03/2014,0000,,25.8,,9.4,2.9,22.12,84.75,4.666667,
83985,26/03/2014,1200,0,,19,,,,,,
83985,27/03/2014,0000,,28.2,,10,3.4,23.64,83.5,4.733333,
83985,27/03/2014,1200,1.3,,20.2,,,,,,
83985,28/03/2014,0000,,31.4,,6.2,3.1,24.4,82.5,2.266667,
83985,28/03/2014,1200,0,,21.2,,,,,,
83985,29/03/2014,0000,,28.4,,7.3,2.4,22.9,92.25,2.466667,
83985,29/03/2014,1200,4,,17.9,,,,,,
83985,30/03/2014,0000,,26.4,,0.4,1.3,22.12,92.75,4.166667,
83985,30/03/2014,1200,0,,20.2,,,,,,
83985,31/03/2014,0000,,23.3,,0.7,0.9,20.58,93.25,2.466667,
83985,31/03/2014,1200,30.3,,19.2,,,,,,
83985,01/04/2014,0000,,24,,0.6,1,21.62,92,2.4,
83985,01/04/2014,1200,0.9,,19.8,,,,,,
83985,02/04/2014,0000,,25.5,,4.5,1.6,22.64,89.75,4.066667,
83985,02/04/2014,1200,1.5,,21,,,,,,
83985,03/04/2014,0000,,26.6,,8.1,2.8,23.46,86.5,5.366667,
83985,03/04/2014,1200,0.3,,21.7,,,,,,
83985,04/04/2014,0000,,30,,10.2,3.1,24.02,84.75,4.366667,
83985,04/04/2014,1200,0,,20.1,,,,,,
83985,05/04/2014,0000,,32.2,,7.1,3.3,24.12,90,1.766667,
83985,05/04/2014,1200,0,,20,,,,,,
83985,06/04/2014,0000,,29.9,,5.4,2.2,24.02,86.75,1.866667,
83985,06/04/2014,1200,0,,20.6,,,,,,
83985,07/04/2014,0000,,25.7,,0,2.4,23.74,90,3.433333,
83985,07/04/2014,1200,0,,21.8,,,,,,
83985,08/04/2014,0000,,23.9,,0,2.7,21.66,93.25,2.533333,
83985,08/04/2014,1200,0,,20.4,,,,,,
83985,09/04/2014,0000,,26.7,,10.5,0.7,20.74,72.75,3.733333,
83985,09/04/2014,1200,45.7,,17.6,,,,,,
83985,10/04/2014,0000,,24.2,,5.4,4,19.26,86,1.566667,
83985,10/04/2014,1200,0,,13.4,,,,,,
83985,11/04/2014,0000,,21.8,,0,2.8,21.08,97,3.566667,
83985,11/04/2014,1200,1.6,,19,,,,,,
83985,12/04/2014,0000,,24.1,,7.7,0.6,19.8,75,6.866667,
83985,12/04/2014,1200,48.2,,18,,,,,,
83985,13/04/2014,0000,,19.8,,9.2,4.8,14.02,75.5,5.566667,
83985,13/04/2014,1200,0.6,,10.1,,,,,,
83985,14/04/2014,0000,,20.2,,7.6,2.8,14.42,83,2.533333,
83985,14/04/2014,1200,0,,11,,,,,,
83985,15/04/2014,0000,,21.8,,10.4,1.4,14.74,86.75,1.766667,
83985,15/04/2014,1200,0,,8.5,,,,,,
83985,16/04/2014,0000,,27.7,,10.3,2.1,18.9,82.25,2.4,
83985,16/04/2014,1200,0,,11.4,,,,,,
83985,17/04/2014,0000,,29.3,,6.1,1.8,21.18,90.5,1.366667,
83985,17/04/2014,1200,0,,16.2,,,,,,
83985,18/04/2014,0000,,22.2,,0.3,1.8,20.04,92.25,1.766667,
83985,18/04/2014,1200,0,,18.8,,,,,,
83985,19/04/2014,0000,,23,,5,0.7,18.08,85.25,2.733333,
83985,19/04/2014,1200,1.8,,15.8,,,,,,
83985,20/04/2014,0000,,23.4,,9.9,1.5,16.72,83,1.5,
83985,20/04/2014,1200,0,,12,,,,,,
83985,21/04/2014,0000,,24.1,,10.3,1.2,17.18,87.25,1.5,
83985,21/04/2014,1200,0,,11.2,,,,,,
83985,22/04/2014,0000,,20.8,,10,2,15.2,77,1.533333,
83985,22/04/2014,1200,0,,13,,,,,,
83985,23/04/2014,0000,,22.2,,9.5,2.5,14.42,80.25,1.433333,
83985,23/04/2014,1200,0,,8.6,,,,,,
83985,24/04/2014,0000,,21.4,,10.3,2,14.2,86,1.9,
83985,24/04/2014,1200,0,,8.6,,,,,,
83985,25/04/2014,0000,,20.1,,7.8,1.7,14.46,85,2.366667,
83985,25/04/2014,1200,0,,12,,,,,,
83985,26/04/2014,0000,,22,,9.5,1.6,15.16,83,2.7,
83985,26/04/2014,1200,0,,10.2,,,,,,
83985,27/04/2014,0000,,23,,10.3,3.5,17.94,71.75,5.533333,
83985,27/04/2014,1200,0,,11.1,,,,,,
83985,28/04/2014,0000,,23,,1,5,17.84,82.5,3.633333,
83985,28/04/2014,1200,0,,13.8,,,,,,
83985,29/04/2014,0000,,25.2,,7.9,2.4,17.9,89.25,1.9,
83985,29/04/2014,1200,0,,12.1,,,,,,
83985,30/04/2014,0000,,21.6,,0,1.9,18.02,92.25,2,
83985,30/04/2014,1200,0,,15.2,,,,,,
83985,01/05/2014,0000,,20.4,,2.2,0.8,17.84,92.25,3.8,
83985,01/05/2014,1200,11,,16,,,,,,
83985,02/05/2014,0000,,23.2,,10.5,1.1,16.66,84,1.5,
83985,02/05/2014,1200,7.5,,12.9,,,,,,
83985,03/05/2014,0000,,23.8,,7,1.5,17.1,92.25,2.3,
83985,03/05/2014,1200,0,,9.9,,,,,,
83985,04/05/2014,0000,,20.4,,0,1.5,18.6,97.25,1.566667,
83985,04/05/2014,1200,15.9,,17.2,,,,,,
83985,05/05/2014,0000,,22,,0,0.2,19.52,94.25,1.633333,
83985,05/05/2014,1200,12.6,,17.3,,,,,,
83985,06/05/2014,0000,,24.8,,6.1,0.9,19.52,93.5,1.766667,
83985,06/05/2014,1200,1.8,,17.8,,,,,,
83985,07/05/2014,0000,,25.6,,8.6,0.9,18.78,91.25,1.166667,
83985,07/05/2014,1200,0,,15.4,,,,,,
83985,08/05/2014,0000,,22.7,,6,1.2,17.16,87,2.9,
83985,08/05/2014,1200,0,,14.9,,,,,,
83985,09/05/2014,0000,,20.6,,1.4,1.4,15.94,94,1.866667,
83985,09/05/2014,1200,0,,12.7,,,,,,
83985,10/05/2014,0000,,21,,7.3,0.5,15.86,79.5,3.133333,
83985,10/05/2014,1200,3.6,,10.6,,,,,,
