Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83980,01/01/2014,0000,,34.6,,8.9,3.7,28.78,67,0.666667,
83980,01/01/2014,1200,0.8,,22.6,,,,,,
83980,02/01/2014,0000,,33.2,,8.2,5.5,25.96,71.75,4.333333,
83980,02/01/2014,1200,0,,22.6,,,,,,
83980,03/01/2014,0000,,26,,4.5,4.8,22.52,58,3.666667,
83980,03/01/2014,1200,3.2,,19.8,,,,,,
83980,04/01/2014,0000,,29.2,,11.7,5.6,22.92,51,1.333333,
83980,04/01/2014,1200,0,,15.5,,,,,,
83980,05/01/2014,0000,,32.4,,12,6.6,26.54,44.25,1.666667,
83980,05/01/2014,1200,0,,18.1,,,,,,
83980,06/01/2014,0000,,35.9,,12,10.4,28.6,46.75,4.333333,
83980,06/01/2014,1200,0,,21.5,,,,,,
83980,07/01/2014,0000,,36,,9.8,13,25.08,77,5,
83980,07/01/2014,1200,0,,20.5,,,,,,
83980,08/01/2014,0000,,30,,9.3,7.1,25.02,72,0.666667,
83980,08/01/2014,1200,51.2,,19.3,,,,,,
83980,09/01/2014,0000,,32.3,,10.6,3,27.56,62,3,
83980,09/01/2014,1200,0,,21.6,,,,,,
83980,10/01/2014,0000,,29.9,,1.8,5.1,23.96,81.75,3,
83980,10/01/2014,1200,0,,20.7,,,,,,
83980,11/01/2014,0000,,24.3,,0,1.2,20.96,84.25,2.333333,
83980,11/01/2014,1200,20.3,,19.3,,,,,,
83980,12/01/2014,0000,,23.2,,0,1.8,20.14,77.5,4.333333,
83980,12/01/2014,1200,18,,17.5,,,,,,
83980,13/01/2014,0000,,25.1,,2.3,3.2,21.62,87,4.333333,
83980,13/01/2014,1200,10.6,,17.6,,,,,,
83980,14/01/2014,0000,,26,,1.9,1.7,21.54,79.75,1,
83980,14/01/2014,1200,64,,19.3,,,,,,
83980,15/01/2014,0000,,27.8,,10.2,1,23.34,70.5,1.333333,
83980,15/01/2014,1200,11.2,,17.5,,,,,,
83980,16/01/2014,0000,,30.4,,11.3,3.4,26.06,59.25,0.666667,
83980,16/01/2014,1200,0,,20.6,,,,,,
83980,17/01/2014,0000,,32.2,,11.8,5.2,26.96,56,1.333333,
83980,17/01/2014,1200,0,,20.5,,,,,,
83980,18/01/2014,0000,,33.5,,11.6,7,28.28,58.75,1,
83980,18/01/2014,1200,0,,21.8,,,,,,
83980,19/01/2014,0000,,34.3,,11.6,5.3,29.16,59,1.666667,
83980,19/01/2014,1200,0,,23.6,,,,,,
83980,20/01/2014,0000,,35,,11,7.1,29.12,62.5,3,
83980,20/01/2014,1200,0,,23.4,,,,,,
83980,21/01/2014,0000,,34.4,,11.2,8.6,26.94,75.25,3.666667,
83980,21/01/2014,1200,0,,23.5,,,,,,
83980,22/01/2014,0000,,32.4,,3.5,7.2,26.68,78,2.333333,
83980,22/01/2014,1200,30.2,,21.4,,,,,,
83980,23/01/2014,0000,,34.2,,6.3,5,29.02,69.25,3.666667,
83980,23/01/2014,1200,12.4,,24.6,,,,,,
83980,24/01/2014,0000,,32.1,,4.3,8,23.96,83.75,5,
83980,24/01/2014,1200,0,,19.5,,,,,,
83980,25/01/2014,0000,,23.2,,8.1,3.3,18.42,61.25,5,
83980,25/01/2014,1200,13,,13.7,,,,,,
83980,26/01/2014,0000,,23,,0,6.2,20,84.75,5,
83980,26/01/2014,1200,0,,16.5,,,,,,
83980,27/01/2014,0000,,31,,4.5,1.2,24.48,84.75,1.666667,
83980,27/01/2014,1200,5.6,,20.6,,,,,,
83980,28/01/2014,0000,,33.9,,11.9,2.9,27.08,77,3.666667,
83980,28/01/2014,1200,1.2,,22.7,,,,,,
83980,29/01/2014,0000,,30,,5.7,5.6,26.26,86.75,1.333333,
83980,29/01/2014,1200,0,,23.5,,,,,,
83980,30/01/2014,0000,,33,,8.4,3.1,26.64,86.25,5,
83980,30/01/2014,1200,1.3,,23.6,,,,,,
83980,31/01/2014,0000,,25.1,,0.2,3.8,23.42,81.75,3.666667,
83980,31/01/2014,1200,24,,21.6,,,,,,
83980,01/02/2014,0000,,29.1,,3.6,2,23.06,84,0.666667,
83980,01/02/2014,1200,10.2,,20.8,,,,,,
83980,02/02/2014,0000,,34.2,,10.4,2.5,25.2,77.5,4,
83980,02/02/2014,1200,55.4,,20.6,,,,,,
83980,03/02/2014,0000,,34.2,,8.9,5.6,27.02,73.75,3.666667,
83980,03/02/2014,1200,12.4,,22.1,,,,,,
83980,04/02/2014,0000,,31,,5.5,6.3,26.56,70.25,2.333333,
83980,04/02/2014,1200,0,,23.4,,,,,,
83980,05/02/2014,0000,,35.6,,12.1,4.9,30.08,68.75,3.666667,
83980,05/02/2014,1200,0,,25.6,,,,,,
83980,06/02/2014,0000,,34.3,,9,8,28.38,83,3,
83980,06/02/2014,1200,0,,25.6,,,,,,
83980,07/02/2014,0000,,35.8,,12.1,4.9,30.48,62.75,2.666667,
83980,07/02/2014,1200,0,,24.5,,,,,,
83980,08/02/2014,0000,,35.4,,11.8,8.6,28.56,63.75,3.666667,
83980,08/02/2014,1200,0,,25.1,,,,,,
83980,09/02/2014,0000,,31.6,,8.8,8.5,28.12,74.5,2.666667,
83980,09/02/2014,1200,0,,24.1,,,,,,
83980,10/02/2014,0000,,34.2,,10.3,3.8,27.12,79.25,1,
83980,10/02/2014,1200,0,,23.6,,,,,,
83980,11/02/2014,0000,,35.2,,11.4,4.9,28.96,69.25,5,
83980,11/02/2014,1200,30.2,,23.5,,,,,,
83980,12/02/2014,0000,,30.2,,0.1,6,24.22,90,1.333333,
83980,12/02/2014,1200,11,,21.9,,,,,,
83980,13/02/2014,0000,,23,,0,1,20.14,91,3.666667,
83980,13/02/2014,1200,27.3,,18.4,,,,,,
83980,14/02/2014,0000,,23,,11.6,1.2,19.22,65.25,5.666667,
83980,14/02/2014,1200,20.2,,17.3,,,,,,
83980,15/02/2014,0000,,25.1,,11.1,8.2,20.1,68.5,3.666667,
83980,15/02/2014,1200,0,,15.4,,,,,,
83980,16/02/2014,0000,,26.2,,11.7,5.6,21.24,67.5,4.333333,
83980,16/02/2014,1200,0,,15,,,,,,
