Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83936,01/01/2014,0000,,34.6,,8.2,2.8,28.64,71.75,2.533333,
83936,01/01/2014,1200,0.1,,24.2,,,,,,
83936,02/01/2014,0000,,32.2,,5.3,5,26.36,79,2.966667,
83936,02/01/2014,1200,3.3,,23.2,,,,,,
83936,03/01/2014,0000,,25.6,,0.7,3.6,22.2,79.75,2.5,
83936,03/01/2014,1200,13.2,,21.2,,,,,,
83936,04/01/2014,0000,,28.4,,11.6,2.2,22.36,70.5,1.666667,
83936,04/01/2014,1200,0,,17.8,,,,,,
83936,05/01/2014,0000,,31.6,,12.2,3,23.92,72,1.766667,
83936,05/01/2014,1200,0,,15.8,,,,,,
83936,06/01/2014,0000,,34.4,,12,2.4,27.08,68.75,1.766667,
83936,06/01/2014,1200,0,,18,,,,,,
83936,07/01/2014,0000,,36.6,,12.3,3,30,57.25,3.466667,
83936,07/01/2014,1200,0,,22.2,,,,,,
83936,08/01/2014,0000,,31.4,,4.9,8.6,24.96,82.5,0.766667,
83936,08/01/2014,1200,8.8,,20,,,,,,
83936,09/01/2014,0000,,34.6,,9.3,3.2,26.76,84.5,1.233333,
83936,09/01/2014,1200,0,,20.2,,,,,,
83936,10/01/2014,0000,,34.8,,5,2.9,25.68,86.75,2.766667,
83936,10/01/2014,1200,0.5,,20.8,,,,,,
83936,11/01/2014,0000,,24.2,,0,3.5,21.88,94.25,1.266667,
83936,11/01/2014,1200,42,,20,,,,,,
83936,12/01/2014,0000,,26.2,,1.4,1.6,22.4,87,5.3,
83936,12/01/2014,1200,11.3,,20,,,,,,
83936,13/01/2014,0000,,30.4,,5.7,1.8,23.84,86.5,2.2,
83936,13/01/2014,1200,0.5,,20.6,,,,,,
83936,14/01/2014,0000,,29.2,,4.1,2.8,23.16,95,0.933333,
83936,14/01/2014,1200,1.2,,20.2,,,,,,
83936,15/01/2014,0000,,29.4,,3.8,1.4,24.08,85.75,1.066667,
83936,15/01/2014,1200,16,,20.2,,,,,,
83936,16/01/2014,0000,,32,,9.7,2.1,25.28,84.5,1.033333,
83936,16/01/2014,1200,0,,20,,,,,,
83936,17/01/2014,0000,,34.2,,10.7,2.9,26.92,82,1.1,
83936,17/01/2014,1200,0,,20.4,,,,,,
83936,18/01/2014,0000,,35,,9.8,3.8,27.88,77.75,1.466667,
83936,18/01/2014,1200,0,,21.6,,,,,,
83936,19/01/2014,0000,,35.4,,10,4.6,28.52,75.25,1.266667,
83936,19/01/2014,1200,0,,22.2,,,,,,
83936,20/01/2014,0000,,37.8,,10.2,5,29.36,69.5,1.366667,
83936,20/01/2014,1200,0.4,,22,,,,,,
83936,21/01/2014,0000,,37.4,,12.3,5.4,30.84,58.5,2.633333,
83936,21/01/2014,1200,0,,24.8,,,,,,
83936,22/01/2014,0000,,36.4,,7.2,9,29.7,73.25,1.6,
83936,22/01/2014,1200,0,,24.2,,,,,,
83936,23/01/2014,0000,,37,,11.7,5.6,31.76,62,2.433333,
83936,23/01/2014,1200,0,,27,,,,,,
83936,24/01/2014,0000,,37.2,,7.9,9.8,28,76.75,3.3,
83936,24/01/2014,1200,0,,23.6,,,,,,
83936,25/01/2014,0000,,23.8,,0,4.9,19.88,87.75,4.066667,
83936,25/01/2014,1200,5.4,,17,,,,,,
83936,26/01/2014,0000,,26,,0.2,2.5,22.08,94.25,3.2,
83936,26/01/2014,1200,1.8,,18.8,,,,,,
83936,27/01/2014,0000,,34.2,,5.3,1.4,26.44,89.25,1.866667,
83936,27/01/2014,1200,2.8,,22.2,,,,,,
83936,28/01/2014,0000,,36.4,,12.3,2.2,29.6,68.75,2.333333,
83936,28/01/2014,1200,5.4,,22.8,,,,,,
83936,29/01/2014,0000,,36.8,,8.9,6.8,28.84,72,2.466667,
83936,29/01/2014,1200,0,,24.8,,,,,,
83936,30/01/2014,0000,,36.8,,8.2,5.7,25.8,80,2.533333,
83936,30/01/2014,1200,0,,21.8,,,,,,
83936,31/01/2014,0000,,31.2,,8.4,5.1,26.24,76.5,1.633333,
83936,31/01/2014,1200,19.6,,20.6,,,,,,
83936,01/02/2014,0000,,34.4,,7.6,4.2,26.36,81,2.4,
83936,01/02/2014,1200,0,,22.4,,,,,,
83936,02/02/2014,0000,,36.6,,8.8,3.6,27.84,72.75,2.2,
83936,02/02/2014,1200,2.9,,22,,,,,,
83936,03/02/2014,0000,,38.2,,11.6,5.5,29.52,65.25,1.6,
83936,03/02/2014,1200,0,,22,,,,,,
83936,04/02/2014,0000,,36.2,,8.8,10.2,29.72,74.5,2.2,
83936,04/02/2014,1200,0,,24.6,,,,,,
83936,05/02/2014,0000,,38.6,,11.8,5,30.48,66.25,2.266667,
83936,05/02/2014,1200,4,,23.6,,,,,,
83936,06/02/2014,0000,,39.2,,10.7,7.2,30.76,59.5,2.9,
83936,06/02/2014,1200,0,,24.2,,,,,,
83936,07/02/2014,0000,,40.2,,11.1,6,30.84,60.5,1.6,
83936,07/02/2014,1200,0,,23.4,,,,,,
83936,08/02/2014,0000,,37.6,,5.1,9.4,29.12,72.5,2.866667,
83936,08/02/2014,1200,0,,24.4,,,,,,
83936,09/02/2014,0000,,40,,8.2,5,28.24,74.75,2.433333,
83936,09/02/2014,1200,2,,23,,,,,,
83936,10/02/2014,0000,,34,,8.6,4.6,27.36,78,1.833333,
83936,10/02/2014,1200,6.2,,22.4,,,,,,
83936,11/02/2014,0000,,38.6,,12,3.8,29.16,71.5,1.433333,
83936,11/02/2014,1200,0,,21.8,,,,,,
