Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83773,02/01/2014,0000,,32.6,,,,24.72,,1.02888,
83773,02/01/2014,1200,5.8,,16,,,,,,
83773,03/01/2014,0000,,,,,,,,1.54332,
83773,03/01/2014,1200,0,,18.4,,,,,,
83773,06/01/2014,0000,,32.6,,,,25.2,,1.2861,
83773,06/01/2014,1200,8.4,,15.8,,,,,,
83773,07/01/2014,0000,,33.6,,,,25.56,,1.02888,
83773,07/01/2014,1200,0,,15,,,,,,
83773,08/01/2014,0000,,,,,,,,1.02888,
83773,08/01/2014,1200,0,,18,,,,,,
83773,09/01/2014,0000,,31,,,,25.52,,1.2861,
83773,09/01/2014,1200,8.4,,15,,,,,,
83773,10/01/2014,0000,,,,,,,,1.02888,
83773,10/01/2014,1200,0,,16.6,,,,,,
83773,13/01/2014,0000,,32.6,,,,,,1.54332,
83773,14/01/2014,0000,,,,,,,,4.732848,
83773,14/01/2014,1200,0,,14.8,,,,,,
83773,15/01/2014,0000,,33.4,,,,25.24,,1.2861,
83773,15/01/2014,1200,0,,15.4,,,,,,
83773,16/01/2014,0000,,33.6,,,,24.8,,1.02888,
83773,16/01/2014,1200,8.4,,15,,,,,,
83773,17/01/2014,0000,,,,,,,,1.02888,
83773,17/01/2014,1200,0,,14.8,,,,,,
83773,20/01/2014,0000,,33.6,,,,25.56,,1.02888,
83773,20/01/2014,1200,0,,15,,,,,,
83773,21/01/2014,0000,,,,,,,,1.02888,
83773,21/01/2014,1200,0,,18,,,,,,
83773,22/01/2014,0000,,33.6,,,,25.44,,1.02888,
83773,22/01/2014,1200,0,,14.8,,,,,,
83773,23/01/2014,0000,,33.6,,,,25.56,,1.02888,
83773,23/01/2014,1200,0,,15,,,,,,
83773,24/01/2014,0000,,,,,,,,1.02888,
83773,24/01/2014,1200,0,,15.4,,,,,,
83773,27/01/2014,0000,,37.2,,,,28.16,,1.2861,
83773,27/01/2014,1200,0,,16.6,,,,,,
83773,28/01/2014,0000,,33.4,,,,25.4,,1.2861,
83773,28/01/2014,1200,15.2,,15.4,,,,,,
83773,29/01/2014,0000,,,,,,,,1.02888,
83773,29/01/2014,1200,0,,17.2,,,,,,
83773,30/01/2014,0000,,,,,,,,1.02888,
83773,30/01/2014,1200,0,,18,,,,,,
83773,31/01/2014,0000,,,,,,,,1.02888,
83773,31/01/2014,1200,0,,18.4,,,,,,
