Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83714,02/01/2014,0000,,26.7,,,,,,,
83714,02/01/2014,1200,1.6,,,,,,,,
83714,03/01/2014,0000,,28.5,,,2.5,,,,
83714,03/01/2014,1200,0,,14.7,,,,,,
83714,04/01/2014,0000,,26.1,,,3.5,,,,
83714,04/01/2014,1200,0,,15.1,,,,,,
83714,05/01/2014,0000,,24.7,,,1.6,,,,
83714,05/01/2014,1200,40.2,,15.7,,,,,,
83714,06/01/2014,0000,,24.7,,,2.9,,,,
83714,06/01/2014,1200,0.3,,8.1,,,,,,
83714,07/01/2014,0000,,24.3,,,5,,,,
83714,07/01/2014,1200,0,,11.5,,,,,,
83714,08/01/2014,0000,,24.3,,,2,,,,
83714,08/01/2014,1200,0,,11.7,,,,,,
83714,09/01/2014,0000,,24,,,2,,,,
83714,09/01/2014,1200,1.2,,11.7,,,,,,
83714,10/01/2014,0000,,25.7,,,2.6,,,,
83714,10/01/2014,1200,1.2,,12.5,,,,,,
83714,11/01/2014,0000,,25.7,,,1.8,,,,
83714,11/01/2014,1200,4.5,,12.1,,,,,,
83714,12/01/2014,0000,,25.7,,,2.1,,,,
83714,12/01/2014,1200,4.2,,14.7,,,,,,
83714,13/01/2014,0000,,26.1,,,1.5,,,,
83714,13/01/2014,1200,0,,14.3,,,,,,
83714,14/01/2014,0000,,26.1,,,2.5,,,,
83714,14/01/2014,1200,0,,14.5,,,,,,
83714,15/01/2014,0000,,27.3,,,2.5,,,,
83714,15/01/2014,1200,0.5,,13.5,,,,,,
83714,16/01/2014,0000,,22.2,,,2.9,,,,
83714,16/01/2014,1200,0,,13.5,,,,,,
83714,17/01/2014,0000,,22.2,,,1.6,,,,
83714,17/01/2014,1200,0,,12.3,,,,,,
83714,18/01/2014,0000,,23,,,0.5,,,,
83714,18/01/2014,1200,14.6,,11.5,,,,,,
83714,19/01/2014,0000,,24.3,,,2.4,,,,
83714,19/01/2014,1200,2,,10.7,,,,,,
83714,20/01/2014,0000,,22.2,,,1.6,,,,
83714,20/01/2014,1200,2,,12.7,,,,,,
83714,21/01/2014,0000,,24.9,,,2.2,,,,
83714,21/01/2014,1200,3,,14.3,,,,,,
83714,22/01/2014,0000,,25.3,,,2.3,,,,
83714,22/01/2014,1200,0,,13.9,,,,,,
83714,23/01/2014,0000,,24.7,,,2.5,,,,
83714,23/01/2014,1200,1.2,,14.5,,,,,,
83714,24/01/2014,0000,,23.4,,,1.5,,,,
83714,24/01/2014,1200,0,,13.1,,,,,,
83714,25/01/2014,0000,,26.3,,,1.6,,,,
83714,25/01/2014,1200,2.6,,10.7,,,,,,
83714,26/01/2014,0000,,24.2,,,2.7,,,,
83714,26/01/2014,1200,0,,13.5,,,,,,
83714,27/01/2014,0000,,24.9,,,1.7,,,,
83714,27/01/2014,1200,1.8,,11.9,,,,,,
83714,28/01/2014,0000,,25.7,,,3.3,,,,
83714,28/01/2014,1200,0,,10.1,,,,,,
83714,29/01/2014,0000,,25.9,,,2.7,,,,
83714,29/01/2014,1200,1.1,,9.3,,,,,,
