Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82863,01/01/2014,0000,,35.4,,10.9,1.9,28.66,70.25,0,
82863,01/01/2014,1200,0,,23.5,,,,,,
82863,02/01/2014,0000,,35.5,,8.7,,28.24,71.25,0,
82863,02/01/2014,1200,0,,24.1,,,,,,
82863,03/01/2014,0000,,32,,9.7,,25.96,78.75,0.333333,
82863,03/01/2014,1200,0,,23.2,,,,,,
82863,04/01/2014,0000,,32.5,,10.1,3.2,26.5,77.5,0.333333,
82863,04/01/2014,1200,3.1,,22.6,,,,,,
82863,05/01/2014,0000,,34.2,,10.7,3.6,27.78,69.25,1.333333,
82863,05/01/2014,1200,0.7,,22.9,,,,,,
82863,06/01/2014,0000,,32.7,,7.1,,26.04,80.75,0,
82863,06/01/2014,1200,0.3,,22.3,,,,,,
82863,07/01/2014,0000,,35.7,,11.5,3.2,26.96,71.25,0.333333,
82863,07/01/2014,1200,0,,21.1,,,,,,
82863,08/01/2014,0000,,35.1,,10.4,4.3,27.88,69.5,0.666667,
82863,08/01/2014,1200,0,,22.6,,,,,,
82863,09/01/2014,0000,,34.6,,6.6,4,28.08,70.75,2.666667,
82863,09/01/2014,1200,0,,23.4,,,,,,
82863,10/01/2014,0000,,28.2,,0.9,4,23.98,94.25,2,
82863,10/01/2014,1200,1,,21.7,,,,,,
82863,11/01/2014,0000,,33.1,,8,1,25.06,83.5,2,
82863,11/01/2014,1200,15.4,,21.7,,,,,,
82863,12/01/2014,0000,,28.5,,0,2.4,23.3,88.75,1.666667,
82863,12/01/2014,1200,12.5,,20,,,,,,
82863,13/01/2014,0000,,33,,8.1,1.2,24,84.5,2,
82863,13/01/2014,1200,16.4,,20,,,,,,
82863,14/01/2014,0000,,33,,5.9,2.8,24.86,81,1.666667,
82863,14/01/2014,1200,9.9,,21.3,,,,,,
82863,15/01/2014,0000,,29.6,,6,2.5,24.92,83,0.666667,
82863,15/01/2014,1200,9,,21.1,,,,,,
82863,16/01/2014,0000,,34.6,,9.3,2.5,27.7,76,0.333333,
82863,16/01/2014,1200,0,,22.7,,,,,,
82863,17/01/2014,0000,,31.5,,3.9,3,25.56,86,0,
82863,17/01/2014,1200,1.2,,23.2,,,,,,
