date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01 00:00:00,0.0,32.4,0.0,5.7,2.9,26.12,90.5,0.333333
2014-01-01 12:00:00,22.4,0.0,23.3,0.0,0.0,0.0,0.0,0.0
2014-01-02 00:00:00,0.0,30.9,0.0,5.8,2.4,25.58,84.75,0.0
2014-01-02 12:00:00,0.0,0.0,22.9,0.0,0.0,0.0,0.0,0.0
2014-01-03 00:00:00,0.0,28.1,0.0,0.3,2.6,25.72,92.5,0.333333
2014-01-03 12:00:00,24.3,0.0,23.6,0.0,0.0,0.0,0.0,0.0
2014-01-04 00:00:00,0.0,26.6,0.0,0.0,0.4,24.7,95.25,0.333333
2014-01-04 12:00:00,8.2,0.0,23.3,0.0,0.0,0.0,0.0,0.0
2014-01-05 00:00:00,0.0,28.4,0.0,0.5,0.5,25.26,89.25,1.333333
2014-01-05 12:00:00,29.4,0.0,22.5,0.0,0.0,0.0,0.0,0.0
2014-01-06 00:00:00,0.0,31.9,0.0,1.8,0.6,24.82,88.75,0.666667
2014-01-06 12:00:00,4.3,0.0,22.7,0.0,0.0,0.0,0.0,0.0
2014-01-07 00:00:00,0.0,27.6,0.0,1.1,2.0,24.68,91.25,0.0
2014-01-07 12:00:00,0.0,0.0,22.1,0.0,0.0,0.0,0.0,0.0
2014-01-08 00:00:00,0.0,29.1,0.0,1.0,0.8,24.58,90.0,0.333333
2014-01-08 12:00:00,6.9,0.0,22.8,0.0,0.0,0.0,0.0,0.0
2014-01-09 00:00:00,0.0,27.3,0.0,1.2,0.8,24.54,90.5,0.666667
2014-01-09 12:00:00,20.3,0.0,22.9,0.0,0.0,0.0,0.0,0.0
2014-01-10 00:00:00,0.0,30.5,0.0,1.7,1.0,24.94,84.25,0.0
2014-01-10 12:00:00,0.8,0.0,21.9,0.0,0.0,0.0,0.0,0.0
2014-01-11 00:00:00,0.0,26.1,0.0,0.0,1.3,23.98,95.5,0.0
2014-01-11 12:00:00,34.0,0.0,22.1,0.0,0.0,0.0,0.0,0.0
2014-01-12 00:00:00,0.0,29.8,0.0,0.0,0.5,24.36,90.25,0.0
