Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82915,01/01/2014,0000,,31.6,,2.6,2.1,26.84,89,0.666667,
82915,01/01/2014,1200,6.2,,23.5,,,,,,
82915,02/01/2014,0000,,33.2,,7.6,1.6,26.84,84.5,1,
82915,02/01/2014,1200,0,,23.3,,,,,,
82915,03/01/2014,0000,,33.2,,4,2.2,27.78,85.25,0.666667,
82915,03/01/2014,1200,0,,24.2,,,,,,
82915,04/01/2014,0000,,28.3,,0.2,1.7,25.28,94.5,0.333333,
82915,04/01/2014,1200,56.4,,22.8,,,,,,
82915,05/01/2014,0000,,31.6,,1.8,0.9,25.6,92.75,0.666667,
82915,05/01/2014,1200,1.2,,22.5,,,,,,
82915,06/01/2014,0000,,30.3,,4.6,1,25.38,91.25,1.333333,
82915,06/01/2014,1200,41.2,,22.4,,,,,,
82915,07/01/2014,0000,,31.4,,4.5,1.2,26.22,86,1.666667,
82915,07/01/2014,1200,0.4,,22.9,,,,,,
82915,08/01/2014,0000,,31.6,,2.6,1.8,24.88,91.25,1,
82915,08/01/2014,1200,0,,22.5,,,,,,
82915,09/01/2014,0000,,28.7,,0.7,1,24.52,93.75,0.666667,
82915,09/01/2014,1200,98.4,,22.3,,,,,,
82915,10/01/2014,0000,,31.4,,5.4,0.8,26.12,84.75,1,
82915,10/01/2014,1200,0.6,,22.2,,,,,,
82915,11/01/2014,0000,,30.8,,2.3,1.7,25.68,91.75,1,
82915,11/01/2014,1200,0,,22.4,,,,,,
82915,12/01/2014,0000,,26.6,,0.1,1.2,24.04,99.75,0.666667,
82915,12/01/2014,1200,44.4,,22.5,,,,,,
82915,13/01/2014,0000,,30.2,,2.9,0.3,25.2,91.25,1,
82915,13/01/2014,1200,26.1,,21.5,,,,,,
82915,14/01/2014,0000,,27.9,,0.2,1.2,24.3,94,1,
82915,14/01/2014,1200,6.4,,22.4,,,,,,
82915,15/01/2014,0000,,31.8,,6.1,0.5,26.3,86.75,0.666667,
82915,15/01/2014,1200,2.8,,21.5,,,,,,
82915,16/01/2014,0000,,31.3,,2.7,2,25.5,92.25,1.666667,
82915,16/01/2014,1200,0,,23.1,,,,,,
82915,17/01/2014,0000,,30.2,,3.1,1.3,25.78,91.75,0.666667,
82915,17/01/2014,1200,21.8,,23,,,,,,
82915,18/01/2014,0000,,32.6,,4.9,1,26.38,88.75,1.333333,
82915,18/01/2014,1200,0,,22.8,,,,,,
82915,19/01/2014,0000,,29.7,,1.1,1.5,26.14,91.75,0.666667,
82915,19/01/2014,1200,7.3,,23.3,,,,,,
82915,20/01/2014,0000,,28.5,,0.8,1.2,25,98.5,1,
82915,20/01/2014,1200,0.3,,23.3,,,,,,
82915,21/01/2014,0000,,33.4,,9.5,0.9,25.94,90.25,2,
82915,21/01/2014,1200,10.8,,22.4,,,,,,
82915,22/01/2014,0000,,31.6,,5.3,2.4,26.76,87.5,1.333333,
82915,22/01/2014,1200,20.3,,23.7,,,,,,
82915,23/01/2014,0000,,32,,4.6,1.9,26.2,87.5,2,
82915,23/01/2014,1200,0,,23.4,,,,,,
82915,24/01/2014,0000,,32,,4.1,1.3,25.86,91,0.666667,
82915,24/01/2014,1200,49,,22.7,,,,,,
82915,25/01/2014,0000,,31.2,,1.7,1.3,26.48,89,1,
