Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82989,01/01/2014,0000,,31,,10,6.8,24.4,68,6,
82989,01/01/2014,1200,0,,18.8,,,,,,
82989,02/01/2014,0000,,31,,11.2,7.3,24.14,71,7,
82989,02/01/2014,1200,0,,17.7,,,,,,
82989,03/01/2014,0000,,30.6,,10.9,7.7,24.3,61,8,
82989,03/01/2014,1200,0,,17.8,,,,,,
82989,04/01/2014,0000,,31.8,,11.4,8.2,24.32,68,5,
82989,04/01/2014,1200,0,,17.8,,,,,,
82989,05/01/2014,0000,,31.2,,10.5,6.9,23.96,66,7,
82989,05/01/2014,1200,0,,18.2,,,,,,
82989,06/01/2014,0000,,30.3,,7.5,7,23.84,72,5,
82989,06/01/2014,1200,0,,18.9,,,,,,
82989,07/01/2014,0000,,30.1,,8.5,5.8,23.48,74,6,
82989,07/01/2014,1200,0,,18.4,,,,,,
82989,08/01/2014,0000,,29.6,,7.2,6.6,23.68,64,3,
82989,08/01/2014,1200,0,,16.7,,,,,,
82989,09/01/2014,0000,,31.2,,6.9,5.8,24.68,73,5,
82989,09/01/2014,1200,0,,18.8,,,,,,
82989,10/01/2014,0000,,29.8,,4.3,6.3,24.88,71,5,
82989,10/01/2014,1200,1.4,,20.6,,,,,,
82989,11/01/2014,0000,,32.1,,9,5.9,24.36,76,7,
82989,11/01/2014,1200,0,,18.8,,,,,,
82989,12/01/2014,0000,,31.2,,9.8,8,24.82,68,6,
82989,12/01/2014,1200,0,,19.4,,,,,,
82989,13/01/2014,0000,,31.1,,9.5,7,24.38,74,6,
82989,13/01/2014,1200,0,,19.3,,,,,,
82989,14/01/2014,0000,,29.9,,3.7,7,23.68,83,7,
82989,14/01/2014,1200,0,,19.2,,,,,,
82989,15/01/2014,0000,,30.4,,8.4,4.6,24.52,73,6,
82989,15/01/2014,1200,1.7,,19,,,,,,
82989,16/01/2014,0000,,31.7,,9.9,6.7,24.84,68,6,
82989,16/01/2014,1200,0,,19,,,,,,
82989,17/01/2014,0000,,32.7,,8.8,6.7,25.52,70,7,
82989,17/01/2014,1200,0,,19,,,,,,
82989,18/01/2014,0000,,33.1,,10.6,6.6,25.98,72,5,
82989,18/01/2014,1200,0,,19.9,,,,,,
82989,19/01/2014,0000,,32.1,,8.5,6.7,25.9,64,7,
82989,19/01/2014,1200,0,,20.2,,,,,,
82989,20/01/2014,0000,,33,,11,8.2,25.88,65,7,
82989,20/01/2014,1200,0,,19.2,,,,,,
82989,21/01/2014,0000,,31.8,,8.8,9.6,25.56,63,6,
82989,21/01/2014,1200,0,,20,,,,,,
82989,22/01/2014,0000,,32.2,,9,8.3,24.78,65,6,
82989,22/01/2014,1200,0,,19.2,,,,,,
82989,23/01/2014,0000,,32.5,,10.8,8.3,24.82,65,8,
82989,23/01/2014,1200,0,,18.2,,,,,,
82989,24/01/2014,0000,,32.9,,9.2,8.1,25.08,68,6.5,
82989,24/01/2014,1200,0,,18.8,,,,,,
82989,25/01/2014,0000,,31.8,,9.7,8.4,24.86,67,7,
82989,25/01/2014,1200,0,,18.6,,,,,,
82989,26/01/2014,0000,,31.6,,9.2,9.6,24.98,74,7,
82989,26/01/2014,1200,0,,20.1,,,,,,
82989,27/01/2014,0000,,31.3,,6,8.1,24.26,74,6,
82989,27/01/2014,1200,0,,20.1,,,,,,
82989,28/01/2014,0000,,29.9,,10,5.6,24.02,72,6,
82989,28/01/2014,1200,12.1,,19.4,,,,,,
82989,29/01/2014,0000,,31.1,,8.9,6,24.14,76,5,
82989,29/01/2014,1200,0,,19.4,,,,,,
82989,30/01/2014,0000,,28.8,,4.2,6.8,23.62,79,5,
82989,30/01/2014,1200,0.1,,19.6,,,,,,
82989,31/01/2014,0000,,31.1,,8.7,3.7,24.2,75,6,
82989,31/01/2014,1200,0.4,,19.4,,,,,,
82989,01/03/2014,0000,,31.3,,8.9,,,77,5.1444,
82989,03/03/2014,0000,,31,,7.8,,24.46,87,4,
82989,03/03/2014,1200,41,,20.1,,,,,,
82989,04/03/2014,0000,,30.6,,9.8,3.7,24.84,73,6,
82989,04/03/2014,1200,8,,19.6,,,,,,
82989,05/03/2014,0000,,31.3,,8.9,5.8,24.22,77,5,
