Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82996,01/01/2014,0000,,30.7,,9,,,80,3.08664,
82996,02/01/2014,0000,,31.7,,11.3,8,27.14,78,3,
82996,02/01/2014,1200,0,,23.5,,,,,,
82996,03/01/2014,0000,,30.1,,11.8,10.3,27.18,75,3,
82996,03/01/2014,1200,0,,25,,,,,,
82996,04/01/2014,0000,,30.1,,11.4,9.5,26.88,77,2.5,
82996,04/01/2014,1200,0,,24,,,,,,
82996,05/01/2014,0000,,30.1,,7.6,10,26.78,78,3,
82996,05/01/2014,1200,0,,23.1,,,,,,
82996,06/01/2014,0000,,29.9,,6.3,7.7,27.08,80,3,
82996,06/01/2014,1200,0,,25,,,,,,
82996,07/01/2014,0000,,29.7,,5.5,10,26.96,78,4,
82996,07/01/2014,1200,0,,25,,,,,,
82996,08/01/2014,0000,,29.9,,10.2,7.5,26.46,78,2.5,
82996,08/01/2014,1200,0,,22.5,,,,,,
82996,09/01/2014,0000,,30.1,,6.6,7.7,26.56,75,1,
82996,09/01/2014,1200,0,,23.2,,,,,,
82996,10/01/2014,0000,,30.3,,8,5.7,26.9,78,5,
82996,10/01/2014,1200,0,,23.5,,,,,,
82996,11/01/2014,0000,,29.9,,4.4,8,26.28,90,1,
82996,11/01/2014,1200,0,,23.2,,,,,,
82996,12/01/2014,0000,,29.7,,8.9,3.5,26.2,84,2,
82996,12/01/2014,1200,5.8,,23.2,,,,,,
82996,13/01/2014,0000,,30.1,,8,6.6,26.5,88,2.5,
82996,13/01/2014,1200,1.5,,24,,,,,,
82996,14/01/2014,0000,,28.9,,3,6.3,26.54,83,2.5,
82996,14/01/2014,1200,0.7,,23.1,,,,,,
82996,15/01/2014,0000,,29.7,,10.4,6.9,26.78,80,3,
82996,15/01/2014,1200,5.8,,24.1,,,,,,
82996,16/01/2014,0000,,29.7,,10.1,6,26.52,82,2,
82996,16/01/2014,1200,0,,22.4,,,,,,
82996,17/01/2014,0000,,30.3,,11.2,6.1,27.18,81,5,
82996,17/01/2014,1200,0,,23.3,,,,,,
82996,18/01/2014,0000,,30.5,,10.5,7.4,27.56,81,6,
82996,18/01/2014,1200,0,,24.8,,,,,,
82996,19/01/2014,0000,,30.3,,11.5,7.8,27.4,80,3.5,
82996,19/01/2014,1200,0,,24.8,,,,,,
82996,20/01/2014,0000,,30.1,,11.1,8.2,27.16,79,4,
82996,20/01/2014,1200,0,,23.8,,,,,,
82996,21/01/2014,0000,,30.2,,10.6,8,27.06,75,3,
82996,21/01/2014,1200,0,,24,,,,,,
82996,22/01/2014,0000,,30.7,,11,9.5,27.22,78,6,
82996,22/01/2014,1200,0,,24.3,,,,,,
82996,23/01/2014,0000,,30.5,,11.1,10.1,27.14,76,4.5,
82996,23/01/2014,1200,0,,23.5,,,,,,
82996,24/01/2014,0000,,30.5,,11.2,10.1,27.36,75,4,
82996,24/01/2014,1200,0,,24.8,,,,,,
82996,25/01/2014,0000,,31.1,,7.6,10.2,27.4,83,2,
82996,25/01/2014,1200,0,,25,,,,,,
82996,26/01/2014,0000,,31.5,,8.8,6.5,27.36,84,3,
82996,26/01/2014,1200,4,,23.8,,,,,,
82996,27/01/2014,0000,,29.5,,7.8,7,26.88,82,6,
82996,27/01/2014,1200,10.2,,24,,,,,,
82996,28/01/2014,0000,,30.5,,10.8,9.7,27.12,79,5,
82996,28/01/2014,1200,0.1,,24.2,,,,,,
82996,29/01/2014,0000,,30.5,,10.9,9.1,27.44,82,2.5,
82996,29/01/2014,1200,0,,25,,,,,,
82996,30/01/2014,0000,,30.6,,9.8,8.7,27.38,80,5,
82996,30/01/2014,1200,0.7,,24.8,,,,,,
82996,31/01/2014,0000,,30.7,,10,9.2,27.48,74,4,
82996,31/01/2014,1200,0.1,,25,,,,,,
82996,01/02/2014,0000,,30.7,,9,9.7,27,80,2,
82996,01/02/2014,1200,0,,24.8,,,,,,
82996,02/02/2014,0000,,29.5,,4.3,7.5,26.28,86,2,
82996,02/02/2014,1200,11,,23.2,,,,,,
82996,03/02/2014,0000,,29.7,,7.4,6.2,26.44,84,1,
82996,03/02/2014,1200,0,,23.8,,,,,,
82996,04/02/2014,0000,,29.7,,9.4,6.7,26.52,84,1.5,
82996,04/02/2014,1200,3.9,,23.2,,,,,,
82996,05/02/2014,0000,,30.1,,10.7,8,26.96,84,3,
82996,05/02/2014,1200,1,,24.6,,,,,,
82996,06/02/2014,0000,,27.6,,0.5,7,25.42,93,3,
82996,06/02/2014,1200,19.8,,22.6,,,,,,
82996,07/02/2014,0000,,29.5,,7.5,1.2,25.56,95,1,
82996,07/02/2014,1200,17,,22.3,,,,,,
82996,08/02/2014,0000,,28.9,,0.7,4.6,25.7,94,1,
82996,08/02/2014,1200,5.8,,23.1,,,,,,
82996,09/02/2014,0000,,28.9,,1.8,2.8,25.38,93,1,
82996,09/02/2014,1200,13.2,,22.6,,,,,,
82996,10/02/2014,0000,,29.5,,10.4,3.2,25.94,87,3,
82996,10/02/2014,1200,0.1,,22.7,,,,,,
82996,11/02/2014,0000,,29.7,,7.1,7,26.68,82,3,
82996,11/02/2014,1200,2,,24.2,,,,,,
82996,12/02/2014,0000,,29.7,,11.4,9.5,26.96,77,3.5,
82996,12/02/2014,1200,0,,24,,,,,,
82996,13/02/2014,0000,,30.1,,11.5,8.3,26.94,77,4,
82996,13/02/2014,1200,0,,23.1,,,,,,
82996,14/02/2014,0000,,30.1,,10,7.7,27.04,81,3.5,
82996,14/02/2014,1200,0.6,,23.2,,,,,,
82996,15/02/2014,0000,,29.5,,8.8,6.8,26.88,85,3,
82996,15/02/2014,1200,8.2,,24,,,,,,
82996,16/02/2014,0000,,30,,9.5,7.8,27.36,79,2,
82996,16/02/2014,1200,0,,25,,,,,,
82996,17/02/2014,0000,,29.8,,10,6.5,26.58,85,2,
82996,17/02/2014,1200,3.6,,23.2,,,,,,
82996,18/02/2014,0000,,29.7,,11.3,5.9,26.66,79,5,
82996,18/02/2014,1200,0.6,,23.1,,,,,,
82996,19/02/2014,0000,,30.3,,8.8,7.3,27.24,80,4,
82996,19/02/2014,1200,0,,22.8,,,,,,
82996,20/02/2014,0000,,29.5,,3.5,7.1,27.16,82,7,
82996,20/02/2014,1200,3.4,,24.5,,,,,,
82996,21/02/2014,0000,,30.5,,4.3,8.4,27.06,83,3,
82996,21/02/2014,1200,0,,24.8,,,,,,
82996,22/02/2014,0000,,28.4,,0.2,7.2,26.5,85,2,
82996,22/02/2014,1200,2.8,,24.2,,,,,,
82996,23/02/2014,0000,,30.1,,8.4,5.9,27.16,81,3.5,
82996,23/02/2014,1200,1.6,,23.2,,,,,,
82996,24/02/2014,0000,,30.1,,8.6,8.2,27.32,78,4,
82996,24/02/2014,1200,0,,24,,,,,,
82996,25/02/2014,0000,,30.5,,10.8,7.5,27,77,2,
82996,25/02/2014,1200,0,,23.2,,,,,,
82996,26/02/2014,0000,,30.5,,11.3,8.1,27.02,78,5,
82996,26/02/2014,1200,0,,23.4,,,,,,
82996,27/02/2014,0000,,30.1,,9.4,7.1,26.64,81,1.5,
82996,27/02/2014,1200,0,,22.6,,,,,,
82996,28/02/2014,0000,,30.7,,7.1,6.3,27.06,83,3,
82996,28/02/2014,1200,0,,23.1,,,,,,
82996,01/03/2014,0000,,30.5,,7.4,6.9,26.74,85,2,
82996,01/03/2014,1200,0.7,,23.1,,,,,,
82996,02/03/2014,0000,,30.3,,10,6.4,27.32,77,3.5,
82996,02/03/2014,1200,0,,23.2,,,,,,
82996,03/03/2014,0000,,30.3,,8.3,6.7,27.24,82,4,
82996,03/03/2014,1200,4.8,,23.6,,,,,,
82996,04/03/2014,0000,,30.5,,10.2,7.9,27.52,81,6,
82996,04/03/2014,1200,1.5,,24.6,,,,,,
82996,05/03/2014,0000,,30.9,,6.9,7.6,27.44,78,3,
82996,05/03/2014,1200,0,,24.4,,,,,,
82996,06/03/2014,0000,,30.3,,7.9,6.3,26.82,77,3,
82996,06/03/2014,1200,1.4,,23.1,,,,,,
82996,07/03/2014,0000,,30.7,,8.4,7.1,27.08,79,3,
82996,07/03/2014,1200,0,,22.8,,,,,,
82996,08/03/2014,0000,,30.9,,7.9,5.8,26.9,83,2,
82996,08/03/2014,1200,0,,23.1,,,,,,
82996,09/03/2014,0000,,30.8,,11.1,7.2,27.2,83,4,
82996,09/03/2014,1200,3,,23.5,,,,,,
82996,10/03/2014,0000,,31.1,,11.1,8,27.72,79,6,
82996,10/03/2014,1200,0.4,,24,,,,,,
82996,11/03/2014,0000,,27.9,,0.4,8.7,25.7,94,1,
82996,11/03/2014,1200,12.2,,23.4,,,,,,
82996,12/03/2014,0000,,29.5,,7.3,1.1,26.12,86,2.5,
82996,12/03/2014,1200,67,,22.8,,,,,,
82996,13/03/2014,0000,,30.1,,8.3,6.8,26.94,81,3.5,
82996,13/03/2014,1200,0,,23.1,,,,,,
82996,14/03/2014,0000,,29.1,,1.3,7.4,26.66,84,4.5,
82996,14/03/2014,1200,0,,23.3,,,,,,
82996,15/03/2014,0000,,30.4,,10.3,6.2,26.94,85,3,
82996,15/03/2014,1200,0.4,,24,,,,,,
82996,16/03/2014,0000,,30,,7.8,6.5,27.26,83,3,
82996,16/03/2014,1200,0.8,,24.4,,,,,,
82996,17/03/2014,0000,,30.1,,11,7.4,27.46,83,6,
82996,17/03/2014,1200,0.4,,24.9,,,,,,
82996,18/03/2014,0000,,29.9,,0,6.7,27.24,87,4,
82996,18/03/2014,1200,3.8,,24.8,,,,,,
82996,19/03/2014,0000,,30.2,,7.4,6.2,27.2,88,1.5,
