Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82410,01/01/2014,0000,,31.2,,2.2,1.1,26.08,91,0.5,
82410,01/01/2014,1200,0.4,,22.1,,,,,,
82410,02/01/2014,0000,,31,,3.6,1.4,25.68,95,1,
82410,02/01/2014,1200,0,,22.9,,,,,,
82410,03/01/2014,0000,,31,,5.5,1.3,26.52,88,0.5,
82410,03/01/2014,1200,20.8,,23.3,,,,,,
82410,04/01/2014,0000,,31.5,,2.3,1.8,26.38,89,0.5,
82410,04/01/2014,1200,0.2,,23.1,,,,,,
82410,05/01/2014,0000,,29.8,,2.4,1.7,25.88,93,0,
82410,05/01/2014,1200,12.6,,22.3,,,,,,
82410,06/01/2014,0000,,29.6,,5.7,0.8,25.14,88,1,
82410,06/01/2014,1200,77.2,,20.2,,,,,,
82410,07/01/2014,0000,,30.6,,1.2,1.8,25.24,95,0,
82410,07/01/2014,1200,2.4,,22.7,,,,,,
82410,08/01/2014,0000,,28.2,,2.5,0.9,25.24,93,0.5,
82410,08/01/2014,1200,18.2,,22.3,,,,,,
82410,09/01/2014,0000,,28.6,,0,0.9,25.16,91,0,
82410,09/01/2014,1200,0,,22.1,,,,,,
82410,10/01/2014,0000,,31.6,,3.5,0.8,26.36,88,0,
82410,10/01/2014,1200,0,,23.1,,,,,,
82410,11/01/2014,0000,,26.8,,0,1.1,24.68,93,0.5,
82410,11/01/2014,1200,0,,23.1,,,,,,
82410,12/01/2014,0000,,30,,2.5,0.6,25.52,92,0.5,
82410,12/01/2014,1200,6.8,,22.9,,,,,,
82410,13/01/2014,0000,,26,,0,0.8,23.56,97,0,
82410,13/01/2014,1200,41,,22.3,,,,,,
82410,14/01/2014,0000,,29,,0.9,0.3,25.12,92,0.5,
82410,14/01/2014,1200,26.2,,22.3,,,,,,
82410,15/01/2014,0000,,29.2,,3.2,0.5,25.88,88,0,
82410,15/01/2014,1200,0,,22.9,,,,,,
82410,16/01/2014,0000,,30.6,,4.3,0.6,26.62,84,0.5,
