Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82326,01/01/2014,0000,,32.6,,7.5,1.4,27,91,1,
82326,01/01/2014,1200,13.8,,23.2,,,,,,
82326,02/01/2014,0000,,34.6,,10.4,3,28,86.25,1,
82326,02/01/2014,1200,0,,25,,,,,,
82326,03/01/2014,0000,,34,,9.9,4.7,28.06,85.75,1.333333,
82326,03/01/2014,1200,0,,24.3,,,,,,
82326,04/01/2014,0000,,34,,7,3.1,27.44,88.5,1.666667,
82326,04/01/2014,1200,0,,24.6,,,,,,
82326,05/01/2014,0000,,32,,3.7,0.5,25.96,89.5,2,
82326,05/01/2014,1200,8.7,,23.6,,,,,,
82326,06/01/2014,0000,,29.6,,1.6,2.7,25.5,92.75,2.666667,
82326,06/01/2014,1200,10.7,,22.9,,,,,,
82326,07/01/2014,0000,,31,,2.6,1.4,25.14,93,1.666667,
82326,07/01/2014,1200,56,,23.2,,,,,,
82326,08/01/2014,0000,,32,,6.7,2,26.4,89.75,3,
82326,08/01/2014,1200,5,,23,,,,,,
82326,09/01/2014,0000,,32.8,,3.6,3.4,26.14,91.25,1.333333,
82326,09/01/2014,1200,0,,22.7,,,,,,
82326,10/01/2014,0000,,26.2,,0,2.5,23.94,98.25,1.333333,
82326,10/01/2014,1200,0,,23.2,,,,,,
82326,11/01/2014,0000,,31,,8.2,1.5,25.66,90,2.666667,
82326,11/01/2014,1200,13.1,,22.7,,,,,,
82326,12/01/2014,0000,,31.6,,3.2,0.6,25.4,91.5,2,
82326,12/01/2014,1200,0,,23.8,,,,,,
82326,13/01/2014,0000,,29.4,,5.5,4.9,,92.5,1.666667,
82326,13/01/2014,1200,71.1,,23.1,,,,,,
82326,14/01/2014,0000,,31.6,,6,1.7,26.1,90.5,1.333333,
82326,14/01/2014,1200,0,,22.7,,,,,,
82326,15/01/2014,0000,,31.6,,7.7,3,26.62,92.25,1.333333,
82326,15/01/2014,1200,0,,24.1,,,,,,
82326,16/01/2014,0000,,33.2,,8.4,2.5,27.24,88.75,1.666667,
82326,16/01/2014,1200,32.2,,23.6,,,,,,
82326,17/01/2014,0000,,33.4,,6.4,2.6,26.42,91.5,1.333333,
82326,17/01/2014,1200,0,,24.5,,,,,,
82326,18/01/2014,0000,,33.1,,7,0.2,26.26,88.75,1.666667,
82326,18/01/2014,1200,19.6,,23.2,,,,,,
82326,19/01/2014,0000,,30.8,,3.4,0.5,25.84,92.25,1,
82326,19/01/2014,1200,0,,23.2,,,,,,
82326,20/01/2014,0000,,33.2,,5.7,2.5,26.86,89.75,1.333333,
82326,20/01/2014,1200,1.1,,23.3,,,,,,
82326,21/01/2014,0000,,31,,1.8,3.6,26.7,94.75,2,
82326,21/01/2014,1200,0,,23.7,,,,,,
82326,22/01/2014,0000,,32,,8,2.4,27.14,92.75,2,
82326,22/01/2014,1200,0.5,,23,,,,,,
82326,23/01/2014,0000,,32,,6.7,2.6,26.06,88,3,
82326,23/01/2014,1200,3.7,,24.7,,,,,,
82326,24/01/2014,0000,,32,,6.9,2.8,26.6,91,3,
82326,24/01/2014,1200,3.8,,23.2,,,,,,
82326,25/01/2014,0000,,32.8,,6.2,2.2,26.4,94.5,3.666667,
82326,25/01/2014,1200,9.3,,23,,,,,,
82326,26/01/2014,0000,,32,,1.8,1.9,26.62,90.5,2,
82326,26/01/2014,1200,13.4,,23.7,,,,,,
82326,27/01/2014,0000,,31.4,,5,1.2,26.52,91.25,1.333333,
82326,27/01/2014,1200,0,,23.2,,,,,,
82326,28/01/2014,0000,,32.8,,5.5,1,26.68,86.5,2.333333,
82326,28/01/2014,1200,11.3,,23.6,,,,,,
82326,29/01/2014,0000,,30.2,,6,1,25.24,93,1,
82326,29/01/2014,1200,40.8,,22.8,,,,,,
82326,30/01/2014,0000,,31.9,,9.4,0.8,26.42,87,2.333333,
82326,30/01/2014,1200,11.9,,23.2,,,,,,
82326,31/01/2014,0000,,32,,8.1,1.1,26.46,87.25,2,
82326,31/01/2014,1200,0,,23.3,,,,,,
82326,01/02/2014,0000,,31.6,,5.3,0.9,26.7,91,1.666667,
82326,01/02/2014,1200,0,,24.5,,,,,,
82326,02/02/2014,0000,,29.5,,2.1,0.8,24.74,96.25,0.666667,
82326,02/02/2014,1200,16.3,,23.2,,,,,,
82326,03/02/2014,0000,,31,,2.1,0.5,24.56,96.75,0.666667,
82326,03/02/2014,1200,21,,22,,,,,,
82326,04/02/2014,0000,,25.9,,0.3,0.7,23.74,96.75,0.666667,
82326,04/02/2014,1200,18.9,,22.2,,,,,,
82326,05/02/2014,0000,,32.8,,5.4,0.3,25.98,91.25,1.333333,
82326,05/02/2014,1200,1.1,,22.7,,,,,,
82326,06/02/2014,0000,,31.4,,4.3,0.9,26.3,87.75,1.333333,
82326,06/02/2014,1200,5.8,,23.1,,,,,,
82326,07/02/2014,0000,,33.4,,6.2,0.8,25.36,89.5,1.666667,
82326,07/02/2014,1200,0,,22.7,,,,,,
82326,08/02/2014,0000,,30.6,,7.8,0.5,25.84,93.25,1,
82326,08/02/2014,1200,27.8,,22,,,,,,
82326,09/02/2014,0000,,31.7,,7.7,1.6,25.82,94,1.666667,
82326,09/02/2014,1200,10.9,,22.8,,,,,,
82326,10/02/2014,0000,,31.8,,5.2,1.7,25.2,95.5,0.333333,
82326,10/02/2014,1200,13.4,,22,,,,,,
82326,11/02/2014,0000,,29,,1.9,1.6,24.98,96,2,
82326,11/02/2014,1200,12.1,,23.7,,,,,,
82326,12/02/2014,0000,,30.5,,3.6,0.6,25.94,93.5,1.333333,
82326,12/02/2014,1200,10.1,,23.6,,,,,,
82326,13/02/2014,0000,,30,,3.4,0.8,24.96,97,1.666667,
82326,13/02/2014,1200,7.5,,23.2,,,,,,
82326,14/02/2014,0000,,30.5,,1.2,0.2,25.18,93.75,2,
82326,14/02/2014,1200,20.8,,23.6,,,,,,
82326,15/02/2014,0000,,33,,4.1,0.6,27.02,89.5,2,
82326,15/02/2014,1200,21.6,,23.2,,,,,,
82326,16/02/2014,0000,,31.4,,2.7,0.8,25.44,96.25,1.666667,
82326,16/02/2014,1200,0,,23.4,,,,,,
82326,17/02/2014,0000,,32.6,,3.4,0.6,26.74,91.75,2,
82326,17/02/2014,1200,3.8,,22.7,,,,,,
82326,18/02/2014,0000,,30.6,,1.5,0.5,25.86,93,1.666667,
82326,18/02/2014,1200,0,,23.7,,,,,,
82326,19/02/2014,0000,,32.8,,6.3,0.3,27.34,90.5,1.666667,
82326,19/02/2014,1200,15.6,,24.3,,,,,,
82326,20/02/2014,0000,,31.6,,3.6,2.2,26.06,91,1,
82326,20/02/2014,1200,99.3,,22.9,,,,,,
82326,21/02/2014,0000,,26.8,,0,1.5,24.8,94.5,2,
82326,21/02/2014,1200,2.8,,23.3,,,,,,
82326,22/02/2014,0000,,32.6,,5.1,1,25.74,92,3,
82326,22/02/2014,1200,6.2,,22.3,,,,,,
82326,23/02/2014,0000,,30,,3.1,2.5,24.88,96.75,2,
82326,23/02/2014,1200,1.2,,23.2,,,,,,
82326,24/02/2014,0000,,32,,5.9,1.5,25.1,94.25,1,
82326,24/02/2014,1200,29.3,,22.7,,,,,,
82326,25/02/2014,0000,,33,,10.2,2.4,26.2,89.25,1,
82326,25/02/2014,1200,6.2,,22.8,,,,,,
