Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82067,01/01/2014,0000,,33.9,,6.5,2.1,27.38,81.75,2,
82067,01/01/2014,1200,6.1,,22.8,,,,,,
82067,02/01/2014,0000,,31.2,,1.6,2.9,26.24,87,2.333333,
82067,02/01/2014,1200,10.4,,23.2,,,,,,
82067,03/01/2014,0000,,32,,8.7,0.5,26.96,86,1,
82067,03/01/2014,1200,36.1,,22.8,,,,,,
82067,04/01/2014,0000,,34.4,,8.2,2.1,28.46,77.75,1.666667,
82067,04/01/2014,1200,0,,22.7,,,,,,
82067,05/01/2014,0000,,30.6,,0,2.8,25.12,97,0.666667,
82067,05/01/2014,1200,58.4,,22.6,,,,,,
82067,06/01/2014,0000,,26.6,,0,0.5,24.06,93.25,0.666667,
82067,06/01/2014,1200,40,,21.3,,,,,,
82067,07/01/2014,0000,,32.8,,3.1,0.1,26.32,86.5,1.666667,
82067,07/01/2014,1200,15.6,,22.6,,,,,,
82067,08/01/2014,0000,,30.4,,1.8,1.3,25.94,88.5,1,
82067,08/01/2014,1200,5.9,,22.3,,,,,,
82067,09/01/2014,0000,,32,,4.8,0.8,26.32,84.5,1.333333,
82067,09/01/2014,1200,12.6,,22.2,,,,,,
82067,10/01/2014,0000,,27.8,,0,0.9,24.9,96.25,0.666667,
82067,10/01/2014,1200,0.7,,23.3,,,,,,
82067,11/01/2014,0000,,30.8,,0.2,0.6,25.3,91,1,
82067,11/01/2014,1200,12,,23.3,,,,,,
82067,12/01/2014,0000,,29.7,,0.5,0.6,26.12,88.25,1.333333,
82067,12/01/2014,1200,16.7,,23.3,,,,,,
82067,13/01/2014,0000,,30.2,,1.2,0.7,25.2,92.75,1.333333,
82067,13/01/2014,1200,0,,23.2,,,,,,
82067,14/01/2014,0000,,30.4,,1.5,0.6,26,89,1.666667,
82067,14/01/2014,1200,6.7,,22.4,,,,,,
82067,15/01/2014,0000,,32,,3.9,0.8,25.92,88.5,1,
82067,15/01/2014,1200,0,,22.2,,,,,,
82067,16/01/2014,0000,,32.3,,6.3,1.4,26.9,87.5,1.333333,
82067,16/01/2014,1200,10,,22.8,,,,,,
82067,17/01/2014,0000,,30.8,,1.8,0.7,25.4,90,0.666667,
82067,17/01/2014,1200,9.1,,23.2,,,,,,
82067,18/01/2014,0000,,30.6,,2.6,0.7,26.7,84,1,
82067,18/01/2014,1200,25.9,,22.2,,,,,,
82067,19/01/2014,0000,,29.4,,0,0.7,25.4,92.75,1,
82067,19/01/2014,1200,9.3,,23.4,,,,,,
82067,20/01/2014,0000,,29,,0.6,0.3,25.78,88,1,
82067,20/01/2014,1200,1.1,,22.2,,,,,,
82067,21/01/2014,0000,,32.4,,4,0.4,26.54,86.5,1,
82067,21/01/2014,1200,0.7,,22.4,,,,,,
82067,22/01/2014,0000,,34.5,,9.1,0.8,28.5,73.75,1.333333,
82067,22/01/2014,1200,1.8,,22.4,,,,,,
82067,23/01/2014,0000,,33.2,,4.6,1.1,27.34,82.75,1.666667,
82067,23/01/2014,1200,0,,23.4,,,,,,
82067,24/01/2014,0000,,34.2,,4.4,0.9,26.9,81.75,1,
82067,24/01/2014,1200,0,,23.4,,,,,,
82067,25/01/2014,0000,,33.2,,4.6,0.9,28.42,76.25,1.666667,
82067,25/01/2014,1200,0,,23.2,,,,,,
82067,26/01/2014,0000,,34,,8.3,0.8,27.22,83.75,0.666667,
82067,26/01/2014,1200,0,,23.3,,,,,,
82067,27/01/2014,0000,,33.8,,3.6,1.3,27.28,83.25,1.666667,
82067,27/01/2014,1200,0,,22.6,,,,,,
82067,28/01/2014,0000,,29.6,,0,0.9,25.42,93.75,2,
82067,28/01/2014,1200,0,,23.4,,,,,,
82067,29/01/2014,0000,,32.8,,4.7,0.3,26.66,86.5,1.666667,
82067,29/01/2014,1200,4.3,,22.3,,,,,,
82067,30/01/2014,0000,,28.9,,0.7,0.8,25.32,95.25,1.333333,
82067,30/01/2014,1200,1.4,,23.8,,,,,,
82067,31/01/2014,0000,,32.4,,2.6,0.5,25.94,94,0.333333,
82067,31/01/2014,1200,1.8,,23.2,,,,,,
82067,01/02/2014,0000,,30.6,,1.8,0.8,26.18,88.25,1.666667,
82067,01/02/2014,1200,9,,22.8,,,,,,
82067,02/02/2014,0000,,27.7,,0.5,1.2,24.98,94.75,1.333333,
