Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82533,01/01/2014,0000,,33.8,,,1.5,27.96,83.5,0.666667,
82533,01/01/2014,1200,0,,24.6,,,,,,
82533,02/01/2014,0000,,34.8,,,2.5,27.48,76,1,
82533,02/01/2014,1200,0,,24.4,,,,,,
82533,03/01/2014,0000,,32.8,,,3,26.84,90.75,0.666667,
82533,03/01/2014,1200,0,,24.8,,,,,,
82533,04/01/2014,0000,,33,,,2.5,26.54,84.75,1,
82533,04/01/2014,1200,13,,23.3,,,,,,
82533,05/01/2014,0000,,32.2,,,1.5,26.82,84,0.666667,
82533,05/01/2014,1200,0,,23.5,,,,,,
82533,06/01/2014,0000,,32,,,2,25.66,90.75,0.333333,
82533,06/01/2014,1200,16.6,,23.1,,,,,,
82533,07/01/2014,0000,,34,,,1.5,25.82,87.25,0.666667,
82533,07/01/2014,1200,62.6,,23.1,,,,,,
82533,08/01/2014,0000,,30.9,,,1,26.2,87.5,0.666667,
82533,08/01/2014,1200,18.6,,23.3,,,,,,
82533,09/01/2014,0000,,32.2,,,2,26.3,88.5,1,
82533,09/01/2014,1200,7.6,,23.1,,,,,,
82533,10/01/2014,0000,,32.8,,,2,27.1,82,1,
82533,10/01/2014,1200,10.2,,23.9,,,,,,
82533,11/01/2014,0000,,33,,,1,26.86,82.5,0.666667,
82533,11/01/2014,1200,15,,24.1,,,,,,
82533,12/01/2014,0000,,30.1,,,2,24.92,94,0.333333,
82533,12/01/2014,1200,9.2,,22.9,,,,,,
82533,13/01/2014,0000,,31.1,,,0.5,26.04,86,0.666667,
82533,13/01/2014,1200,14,,22.9,,,,,,
82533,14/01/2014,0000,,32.8,,,1.5,26.42,85.75,1,
82533,14/01/2014,1200,1.4,,23.9,,,,,,
82533,15/01/2014,0000,,32.4,,,1.5,26.38,85.5,0.666667,
82533,15/01/2014,1200,0,,23.9,,,,,,
82533,16/01/2014,0000,,32.4,,,2.5,27.34,87.25,0.666667,
