Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83249,01/01/2015,0000,,34.6,,,5.4,26.72,69.75,2.666667,
83249,01/01/2015,1200,0,,20.4,,,,,,
83249,02/01/2015,0000,,33.9,,,5.7,26.26,68.75,2.5,
83249,02/01/2015,1200,0,,20.2,,,,,,
83249,03/01/2015,0000,,33.4,,,6,25.72,65.25,2.233333,
83249,03/01/2015,1200,0,,19.8,,,,,,
83249,04/01/2015,0000,,33.7,,,6.2,25.62,74.25,2.166667,
83249,04/01/2015,1200,0,,18.6,,,,,,
83249,05/01/2015,0000,,33.4,,,5.1,26.04,72.75,1.033333,
83249,05/01/2015,1200,0,,20.7,,,,,,
83249,06/01/2015,0000,,33.4,,,5.5,26.56,69.25,2.5,
83249,06/01/2015,1200,0,,20.8,,,,,,
83249,07/01/2015,0000,,29.7,,,5.9,24.66,83,2.033333,
83249,07/01/2015,1200,0,,21,,,,,,
83249,08/01/2015,0000,,28.5,,,2.1,24.16,89.25,1.866667,
83249,08/01/2015,1200,9.2,,21.7,,,,,,
83249,09/01/2015,0000,,29.6,,,1.4,24.76,76.75,1.933333,
83249,09/01/2015,1200,5.1,,20.9,,,,,,
83249,10/01/2015,0000,,32.5,,,3.1,25.66,74,2.1,
83249,10/01/2015,1200,2,,19.8,,,,,,
83249,11/01/2015,0000,,33.3,,,4.5,26.26,71,2.2,
83249,11/01/2015,1200,0,,20.5,,,,,,
83249,12/01/2015,0000,,33.3,,,6,26.78,71,2.8,
83249,12/01/2015,1200,0,,21.6,,,,,,
83249,13/01/2015,0000,,33.3,,,6.5,26.5,67.75,2.8,
83249,13/01/2015,1200,0,,20.2,,,,,,
83249,14/01/2015,0000,,33.5,,,6.5,26.3,66,2.4,
83249,14/01/2015,1200,0,,19.6,,,,,,
83249,15/01/2015,0000,,33.7,,,6.7,26.62,66,3.233333,
83249,15/01/2015,1200,0,,20.2,,,,,,
83249,16/01/2015,0000,,33.1,,,7.3,26.58,65,1.766667,
83249,16/01/2015,1200,0,,20,,,,,,
83249,17/01/2015,0000,,34.1,,,6.2,27.02,65.5,2.3,
83249,17/01/2015,1200,0,,20.4,,,,,,
83249,18/01/2015,0000,,34.3,,,7,27.02,62.5,2.666667,
83249,18/01/2015,1200,0,,20.2,,,,,,
83249,19/01/2015,0000,,33.9,,,7.3,26.1,69.5,2.2,
83249,19/01/2015,1200,0,,20,,,,,,
83249,20/01/2015,0000,,34.5,,,6.2,26.24,66,2.166667,
83249,20/01/2015,1200,0,,19.2,,,,,,
83249,21/01/2015,0000,,35.2,,,6.8,26.9,69.75,3.233333,
83249,21/01/2015,1200,0,,20.7,,,,,,
83249,22/01/2015,0000,,33.1,,,6.2,26.84,71.25,2.766667,
83249,22/01/2015,1200,0,,22.5,,,,,,
83249,23/01/2015,0000,,34.2,,,5.6,27.1,66.75,3.466667,
83249,23/01/2015,1200,0,,21.5,,,,,,
83249,24/01/2015,0000,,29.4,,,7.8,25.44,78,1.766667,
83249,24/01/2015,1200,0,,21.8,,,,,,
83249,25/01/2015,0000,,32.1,,,2.9,26.34,71.5,2.433333,
83249,25/01/2015,1200,0,,21.9,,,,,,
83249,26/01/2015,0000,,33.5,,,5.3,27.02,72.5,1.966667,
83249,26/01/2015,1200,0.7,,22.2,,,,,,
83249,27/01/2015,0000,,34.1,,,5.5,27.06,70.75,2.133333,
83249,27/01/2015,1200,0,,20.6,,,,,,
83249,28/01/2015,0000,,34.1,,,6,26.46,68,2.166667,
83249,28/01/2015,1200,0,,20.2,,,,,,
83249,29/01/2015,0000,,34.3,,,7,27.22,70,2,
83249,29/01/2015,1200,0.3,,22,,,,,,
83249,30/01/2015,0000,,32.5,,,7,27.26,75.5,2.8,
83249,30/01/2015,1200,0,,23.4,,,,,,
83249,31/01/2015,0000,,33.9,,,4.7,26.9,75,1.766667,
83249,31/01/2015,1200,0.3,,21.8,,,,,,
83249,01/02/2015,0000,,33.9,,,5,27.3,66.75,2.566667,
83249,01/02/2015,1200,0,,21.8,,,,,,
83249,02/02/2015,0000,,34,,,7.7,26.88,69.5,2.833333,
83249,02/02/2015,1200,0,,21,,,,,,
83249,03/02/2015,0000,,34.3,,,6.8,26.8,72,2.633333,
83249,03/02/2015,1200,0,,21.2,,,,,,
83249,04/02/2015,0000,,33.8,,,7.4,26.92,74.75,1.6,
83249,04/02/2015,1200,0,,22.2,,,,,,
83249,05/02/2015,0000,,34.8,,,5.8,26.86,80,0.9,
83249,05/02/2015,1200,2.7,,20.9,,,,,,
83249,06/02/2015,0000,,34.4,,,4.7,27.3,70.5,2.966667,
83249,06/02/2015,1200,38.2,,23.1,,,,,,
83249,07/02/2015,0000,,35.1,,,9.2,27.76,70.75,2.666667,
83249,07/02/2015,1200,0,,24.3,,,,,,
83249,08/02/2015,0000,,34.2,,,7.9,27.2,71.75,1.9,
83249,08/02/2015,1200,0,,22.8,,,,,,
83249,09/02/2015,0000,,33.4,,,9.3,26.5,76.25,1.8,
83249,09/02/2015,1200,0,,22,,,,,,
83249,10/02/2015,0000,,34.1,,,6,26.84,72,2,
83249,10/02/2015,1200,0,,21,,,,,,
83249,11/02/2015,0000,,31.9,,,7.6,26.48,72.75,2.166667,
83249,11/02/2015,1200,0,,22.1,,,,,,
83249,12/02/2015,0000,,31.7,,,6.9,26.14,80,1.933333,
83249,12/02/2015,1200,0,,20.6,,,,,,
83249,13/02/2015,0000,,33.1,,,4.7,26.56,73.75,1.4,
83249,13/02/2015,1200,5.4,,21.9,,,,,,
83249,14/02/2015,0000,,33.9,,,6.6,26.62,72.75,1.566667,
83249,14/02/2015,1200,0,,20.9,,,,,,
