Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83398,01/01/2014,0000,,30,,10,4.7,26.62,77.5,2.666667,
83398,01/01/2014,1200,0,,21.9,,,,,,
83398,02/01/2014,0000,,29.8,,10.6,4.3,26.38,73,1.333333,
83398,02/01/2014,1200,0,,22.1,,,,,,
83398,03/01/2014,0000,,29.2,,6.1,4.6,25.9,78.25,1,
83398,03/01/2014,1200,0.6,,21.7,,,,,,
83398,04/01/2014,0000,,30.2,,11,4,26.88,73.75,1,
83398,04/01/2014,1200,4.8,,22.1,,,,,,
83398,05/01/2014,0000,,29.4,,9.5,5.2,26.66,73,1.333333,
83398,05/01/2014,1200,5.2,,22.3,,,,,,
83398,06/01/2014,0000,,29.6,,9.8,3.9,25.04,87.75,2,
83398,06/01/2014,1200,8.6,,21.2,,,,,,
83398,07/01/2014,0000,,29.8,,7.5,3.4,25.04,86.5,1,
83398,07/01/2014,1200,16.8,,20.2,,,,,,
83398,08/01/2014,0000,,30,,6.5,2.9,25.24,88.75,1,
83398,08/01/2014,1200,0,,21.4,,,,,,
83398,09/01/2014,0000,,29.8,,7.9,2.7,25.92,86.25,1,
83398,09/01/2014,1200,24.7,,22,,,,,,
83398,10/01/2014,0000,,29.6,,3.9,3.6,25.44,87.75,2.333333,
83398,10/01/2014,1200,4.7,,21.4,,,,,,
83398,11/01/2014,0000,,30.4,,8.2,3.8,26.52,82.5,1.666667,
83398,11/01/2014,1200,0,,22,,,,,,
83398,12/01/2014,0000,,30.6,,10.5,4.3,26.08,86.5,2.666667,
83398,12/01/2014,1200,0,,22.6,,,,,,
83398,13/01/2014,0000,,29.8,,8,3.6,26.94,75.75,0.666667,
83398,13/01/2014,1200,9.7,,23.3,,,,,,
83398,14/01/2014,0000,,29.6,,5.3,3.5,25.94,83.75,1,
83398,14/01/2014,1200,7.7,,23.5,,,,,,
83398,15/01/2014,0000,,28.8,,1.9,3.7,24.78,93,0.333333,
83398,15/01/2014,1200,8.4,,22.7,,,,,,
83398,16/01/2014,0000,,29.6,,9.3,1.5,26.38,69,1,
83398,16/01/2014,1200,2.2,,22.1,,,,,,
83398,17/01/2014,0000,,29.6,,8.8,6,25.9,81.25,1,
83398,17/01/2014,1200,0,,21.5,,,,,,
83398,18/01/2014,0000,,29,,3.9,5,26.36,81.5,2,
83398,18/01/2014,1200,0,,23.4,,,,,,
83398,19/01/2014,0000,,29.6,,4.3,3.3,26.34,84.5,0.666667,
83398,19/01/2014,1200,1.1,,24.1,,,,,,
83398,20/01/2014,0000,,30.4,,1.8,3.3,26.52,87.25,1.666667,
83398,20/01/2014,1200,1.7,,22.4,,,,,,
83398,21/01/2014,0000,,30.2,,3.9,3.8,26.68,85,2.333333,
83398,21/01/2014,1200,2.7,,23.2,,,,,,
83398,22/01/2014,0000,,29.8,,10.1,3.8,25.96,87.75,2,
83398,22/01/2014,1200,0,,21.6,,,,,,
83398,23/01/2014,0000,,30.2,,10.8,3.9,26.64,77.25,3,
83398,23/01/2014,1200,0,,21.8,,,,,,
83398,24/01/2014,0000,,30,,11.9,4.5,26.2,74,3,
83398,24/01/2014,1200,0,,20.2,,,,,,
83398,25/01/2014,0000,,29.6,,7.4,4.7,26.08,83,2.666667,
