Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83446,01/01/2014,0000,,32.7,,11.9,3.7,26.5,63.75,,
83446,01/01/2014,1200,0,,21.5,,,,,,
83446,02/01/2014,0000,,32.4,,10.4,4.4,25.9,66.75,,
83446,02/01/2014,1200,0,,21,,,,,,
83446,03/01/2014,0000,,30.6,,8.7,4.1,25.28,71.5,,
83446,03/01/2014,1200,0,,20.5,,,,,,
83446,04/01/2014,0000,,32.6,,10.7,3.4,26.34,70.5,,
83446,04/01/2014,1200,0,,22.5,,,,,,
83446,05/01/2014,0000,,29.5,,4.6,5.1,24.78,82.75,,
83446,05/01/2014,1200,9,,22.3,,,,,,
83446,06/01/2014,0000,,30.2,,9.6,2,24.14,72,,
83446,06/01/2014,1200,10.4,,20.3,,,,,,
83446,07/01/2014,0000,,28.4,,8.6,4.1,24.78,74.25,,
83446,07/01/2014,1200,0,,21.8,,,,,,
83446,08/01/2014,0000,,25.5,,0.3,1.8,23.3,86,,
83446,08/01/2014,1200,2.2,,20.9,,,,,,
83446,09/01/2014,0000,,28,,4.9,0.9,24.12,87.5,,
83446,09/01/2014,1200,13.9,,21.3,,,,,,
83446,10/01/2014,0000,,28.1,,6,1.4,24.56,84.25,,
83446,10/01/2014,1200,4.1,,20.7,,,,,,
83446,11/01/2014,0000,,30,,7,1.9,25.16,79.25,,
83446,11/01/2014,1200,0.4,,21.9,,,,,,
83446,12/01/2014,0000,,31,,7.6,2.6,25.68,76.25,,
83446,12/01/2014,1200,4,,22.7,,,,,,
83446,13/01/2014,0000,,30,,8.1,2.5,24.96,83.25,,
83446,13/01/2014,1200,3.2,,22.3,,,,,,
83446,14/01/2014,0000,,27.8,,2.6,3.7,24.44,86.75,,
83446,14/01/2014,1200,3.5,,22.5,,,,,,
83446,15/01/2014,0000,,29.4,,5.2,1,24.92,84,,
83446,15/01/2014,1200,6.4,,22.3,,,,,,
83446,16/01/2014,0000,,30.8,,8.3,1.9,25.38,70.75,,
83446,16/01/2014,1200,0.6,,21.9,,,,,,
83446,17/01/2014,0000,,31,,8.8,3.3,25.54,74,,
83446,17/01/2014,1200,0,,21.3,,,,,,
83446,18/01/2014,0000,,32.4,,7.7,3.4,26.38,72.5,,
83446,18/01/2014,1200,0,,23.1,,,,,,
83446,19/01/2014,0000,,30.2,,1.2,3.3,25.3,83.25,,
83446,19/01/2014,1200,0,,22.9,,,,,,
83446,20/01/2014,0000,,29.5,,0.8,2.3,25.16,83.5,,
83446,20/01/2014,1200,0.4,,22.6,,,,,,
83446,21/01/2014,0000,,28.7,,2,1.6,24.84,85.25,,
83446,21/01/2014,1200,4.6,,22.6,,,,,,
83446,22/01/2014,0000,,32,,7,1.5,26.22,73.25,,
