Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83295,01/01/2014,0000,,29.1,,9.9,4,22.52,,3,
83295,01/01/2014,1200,0,,17.5,,,,,,
83295,02/01/2014,0000,,28.5,,7.4,2.9,21.86,,2.55,
83295,02/01/2014,1200,0,,17.5,,,,,,
83295,03/01/2014,0000,,29.5,,8.9,4.2,22.4,,2.75,
83295,03/01/2014,1200,0,,17.7,,,,,,
83295,04/01/2014,0000,,29.4,,9.9,4.8,22.3,,2.65,
83295,04/01/2014,1200,0,,17.5,,,,,,
83295,05/01/2014,0000,,28,,7.4,5,22.12,,1.6,
83295,05/01/2014,1200,0,,17.6,,,,,,
83295,06/01/2014,0000,,28.2,,7,5.2,21.26,,1.6,
83295,06/01/2014,1200,0,,16.5,,,,,,
83295,07/01/2014,0000,,27.2,,5.2,3.3,21,,1.7,
83295,07/01/2014,1200,0,,16.4,,,,,,
83295,08/01/2014,0000,,27.5,,6.6,3.5,20.96,,1.8,
83295,08/01/2014,1200,0.3,,17.1,,,,,,
83295,09/01/2014,0000,,27.9,,9.7,3.3,22.06,,2.4,
83295,09/01/2014,1200,1.9,,18.6,,,,,,
83295,10/01/2014,0000,,28.3,,6.6,4.4,21.94,,2.5,
83295,10/01/2014,1200,0,,17.8,,,,,,
83295,11/01/2014,0000,,25.3,,3.2,2.3,20.64,,1.45,
83295,11/01/2014,1200,57.1,,18.3,,,,,,
83295,12/01/2014,0000,,27.2,,6.1,2.4,22.12,,1.9,
83295,12/01/2014,1200,1.1,,18.8,,,,,,
83295,13/01/2014,0000,,25.9,,3.2,3.1,21.3,,1.6,
83295,13/01/2014,1200,1.4,,18.6,,,,,,
83295,14/01/2014,0000,,27.7,,4.9,1.5,21.42,,1.7,
83295,14/01/2014,1200,2.6,,17.7,,,,,,
83295,15/01/2014,0000,,27.1,,2.1,0.5,20.9,,1.05,
83295,15/01/2014,1200,0.6,,17.8,,,,,,
83295,16/01/2014,0000,,28.3,,6.3,2.5,22.04,,1.3,
83295,16/01/2014,1200,0.4,,18.7,,,,,,
83295,17/01/2014,0000,,29.4,,10.5,3.9,22.64,,1.45,
83295,17/01/2014,1200,0,,17.7,,,,,,
83295,18/01/2014,0000,,30,,7.8,4.1,22.82,,1,
83295,18/01/2014,1200,0,,19.5,,,,,,
83295,19/01/2014,0000,,29.6,,4.8,4,23.94,,2.35,
83295,19/01/2014,1200,0,,20.5,,,,,,
83295,20/01/2014,0000,,25.2,,0,3.5,21.88,,1.95,
83295,20/01/2014,1200,0.3,,19.6,,,,,,
83295,21/01/2014,0000,,26.2,,3.3,1.4,21.72,,2,
83295,21/01/2014,1200,0.8,,18.8,,,,,,
83295,22/01/2014,0000,,25.3,,1.5,3.1,21.48,,2.1,
83295,22/01/2014,1200,0,,18.6,,,,,,
83295,23/01/2014,0000,,26.2,,5.4,1.4,21.5,,2.2,
83295,23/01/2014,1200,1.2,,19.1,,,,,,
83295,24/01/2014,0000,,27.3,,7.8,2.4,21.2,,1.4,
83295,24/01/2014,1200,0,,15.6,,,,,,
83295,25/01/2014,0000,,27.9,,5.6,3.4,21.72,,2.1,
83295,25/01/2014,1200,0,,17.7,,,,,,
