Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83292,01/01/2014,0000,,31.2,,12,6.2,,52.25,1.666667,
83292,01/01/2014,1200,0,,,,,,,,
83292,02/01/2014,0000,,31.5,,11.5,6.4,25.82,52.75,1.666667,
83292,02/01/2014,1200,0,,17,,,,,,
83292,03/01/2014,0000,,31.7,,10.5,5.9,24.34,52.75,1.666667,
83292,03/01/2014,1200,0,,17.7,,,,,,
83292,04/01/2014,0000,,31.4,,11.3,5.6,24.4,57.5,1.666667,
83292,04/01/2014,1200,0,,19.4,,,,,,
83292,05/01/2014,0000,,31.4,,11.3,5.7,25.46,60.25,2.333333,
83292,05/01/2014,1200,0,,18.6,,,,,,
83292,06/01/2014,0000,,31.2,,11.7,5.9,24.32,59,1.666667,
83292,06/01/2014,1200,0,,16.5,,,,,,
83292,07/01/2014,0000,,29.5,,7.2,4.9,24.14,63,2.333333,
83292,07/01/2014,1200,0,,17.7,,,,,,
83292,08/01/2014,0000,,30.8,,8.2,4.7,24.44,66.75,1.666667,
83292,08/01/2014,1200,0,,17.9,,,,,,
83292,09/01/2014,0000,,30.5,,7.4,4.4,24.72,56.25,1.666667,
83292,09/01/2014,1200,0.6,,18.5,,,,,,
83292,10/01/2014,0000,,30.9,,7.2,4.6,25.34,61,3,
83292,10/01/2014,1200,0,,18.6,,,,,,
83292,11/01/2014,0000,,28.2,,2.2,4.5,23.56,79.25,1,
83292,11/01/2014,1200,0,,19.5,,,,,,
83292,12/01/2014,0000,,29,,4.7,3.8,24.12,72.5,1.666667,
83292,12/01/2014,1200,0,,18.7,,,,,,
83292,13/01/2014,0000,,30.4,,7.3,3.5,24.88,66.5,1,
83292,13/01/2014,1200,0,,17.3,,,,,,
83292,14/01/2014,0000,,30.4,,8.6,3.9,25.26,59.25,2.333333,
83292,14/01/2014,1200,0,,17.8,,,,,,
83292,15/01/2014,0000,,30.6,,6.2,3.3,25.64,63,1,
83292,15/01/2014,1200,0,,19.5,,,,,,
83292,16/01/2014,0000,,32.2,,6.6,4,26.84,63,1.666667,
83292,16/01/2014,1200,0,,20,,,,,,
83292,17/01/2014,0000,,32,,11.2,5.1,25.16,57.25,1.666667,
83292,17/01/2014,1200,0,,19.1,,,,,,
83292,18/01/2014,0000,,32.5,,9.9,4.2,25.06,59.25,1,
83292,18/01/2014,1200,0,,18.9,,,,,,
83292,19/01/2014,0000,,32,,5.2,4.4,26.1,59,1.666667,
83292,19/01/2014,1200,0,,19.7,,,,,,
83292,20/01/2014,0000,,30.9,,3.4,4.6,25.26,69.5,1,
83292,20/01/2014,1200,0,,19.8,,,,,,
83292,21/01/2014,0000,,31.5,,6.9,5.1,25.56,62.25,1,
83292,21/01/2014,1200,0,,19.8,,,,,,
83292,22/01/2014,0000,,31.4,,8.4,5.5,24.72,71,1,
83292,22/01/2014,1200,0,,18.6,,,,,,
83292,23/01/2014,0000,,32,,7.6,5,26.12,63.75,1.666667,
83292,23/01/2014,1200,0,,20.1,,,,,,
83292,24/01/2014,0000,,31.6,,7.1,4.9,25.38,41.25,3,
83292,24/01/2014,1200,0,,17.7,,,,,,
83292,25/01/2014,0000,,31.5,,9.6,5.7,24.88,60.75,2.333333,
83292,25/01/2014,1200,0,,16.6,,,,,,
83292,26/01/2014,0000,,31.1,,10.4,5.9,23.78,68.25,1.666667,
83292,26/01/2014,1200,0,,17.2,,,,,,
83292,27/01/2014,0000,,32.4,,9.9,5.6,24.48,60.25,2.666667,
83292,27/01/2014,1200,0,,16.8,,,,,,
83292,28/01/2014,0000,,28.6,,3.6,4.1,22.7,73,3,
83292,28/01/2014,1200,0,,17.3,,,,,,
83292,29/01/2014,0000,,30,,5.1,3.3,,76.75,1.666667,
83292,29/01/2014,1200,1.9,,,,,,,,
83292,30/01/2014,0000,,30.2,,6,2.9,,61.25,2.333333,
83292,30/01/2014,1200,4,,,,,,,,
83292,31/01/2014,0000,,30.3,,7,3.4,23.94,65.75,3,
83292,31/01/2014,1200,0,,15.7,,,,,,
83292,01/02/2014,0000,,30.8,,4.9,5.3,23.94,68.75,1.666667,
83292,01/02/2014,1200,0,,18.8,,,,,,
83292,02/02/2014,0000,,31.2,,9.9,4.2,25,46,2.333333,
