Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83186,01/01/2014,0000,,31.2,,9.2,7,24.76,61.25,3.65,
83186,01/01/2014,1200,0,,19.3,,,,,,
83186,02/01/2014,0000,,31.1,,11.8,7.4,25.32,59,2.966667,
83186,02/01/2014,1200,0,,19.9,,,,,,
83186,03/01/2014,0000,,30.4,,11.1,8,24.86,62.5,3.666667,
83186,03/01/2014,1200,0,,19.9,,,,,,
83186,04/01/2014,0000,,32,,11.6,9.3,25.52,54.25,2.3,
83186,04/01/2014,1200,0,,20,,,,,,
83186,05/01/2014,0000,,31.8,,11.4,9.9,26,50,3.4,
83186,05/01/2014,1200,0,,19.4,,,,,,
83186,06/01/2014,0000,,31.8,,10,10.3,25.2,60,5.3,
83186,06/01/2014,1200,0,,19.5,,,,,,
83186,07/01/2014,0000,,31.8,,11.2,10,25.82,53,3.533333,
83186,07/01/2014,1200,0,,19.6,,,,,,
83186,08/01/2014,0000,,30.2,,9.2,9.4,25.52,48,4.6,
83186,08/01/2014,1200,0,,18.7,,,,,,
83186,09/01/2014,0000,,31.9,,10.3,9,24.98,59.5,3.166667,
83186,09/01/2014,1200,1.7,,19,,,,,,
83186,10/01/2014,0000,,32.8,,10.7,9,26.02,61.25,6.4,
83186,10/01/2014,1200,0,,20.4,,,,,,
83186,11/01/2014,0000,,31.2,,7.2,9.7,26.26,48,4.066667,
83186,11/01/2014,1200,0,,19.9,,,,,,
83186,12/01/2014,0000,,31.4,,5.7,8.8,26.1,57,4.3,
83186,12/01/2014,1200,0,,20.8,,,,,,
83186,13/01/2014,0000,,30.9,,5,8.2,25.5,60.75,3.166667,
83186,13/01/2014,1200,0,,19.8,,,,,,
83186,14/01/2014,0000,,31.3,,7.3,8.2,25.28,55.75,3.4,
83186,14/01/2014,1200,0,,19.7,,,,,,
83186,15/01/2014,0000,,32.6,,9.1,8.5,26.46,53.5,3.633333,
83186,15/01/2014,1200,0,,20.4,,,,,,
83186,16/01/2014,0000,,32.3,,10.5,4.6,26.56,53,4,
83186,16/01/2014,1200,0,,20.1,,,,,,
83186,17/01/2014,0000,,33.2,,11.9,10.6,25.8,50,3.5,
83186,17/01/2014,1200,0,,18.9,,,,,,
83186,18/01/2014,0000,,33.2,,9.8,10.2,26.48,51,3.1,
83186,18/01/2014,1200,0,,20.5,,,,,,
83186,19/01/2014,0000,,32,,8.3,8.7,25.84,56.5,4.05,
83186,19/01/2014,1200,0,,20,,,,,,
83186,20/01/2014,0000,,33.8,,10,9,27.62,51.75,3.766667,
83186,20/01/2014,1200,0,,21.7,,,,,,
83186,21/01/2014,0000,,30.7,,2.7,10.5,25.56,66.25,3.3,
83186,21/01/2014,1200,0,,21.2,,,,,,
83186,22/01/2014,0000,,33.3,,9.9,7.7,26.82,50.75,3.85,
83186,22/01/2014,1200,0,,20.1,,,,,,
83186,23/01/2014,0000,,33.2,,10.5,10.8,26.44,59.75,4.233333,
83186,23/01/2014,1200,0,,20.1,,,,,,
83186,24/01/2014,0000,,32.5,,9.6,10.8,26.48,55,3.866667,
83186,24/01/2014,1200,0,,20,,,,,,
83186,25/01/2014,0000,,32.6,,8.7,7.9,26.8,47.5,3.95,
83186,25/01/2014,1200,0,,20.6,,,,,,
83186,26/01/2014,0000,,33,,6.1,10.5,24.44,70.25,0.7,
83186,26/01/2014,1200,0,,20.3,,,,,,
83186,27/01/2014,0000,,33.4,,8.9,7.9,24.76,73.5,5.45,
83186,27/01/2014,1200,4.6,,19.8,,,,,,
83186,28/01/2014,0000,,30.6,,10,8.4,24.88,69.5,4.85,
83186,28/01/2014,1200,1.8,,19.9,,,,,,
83186,29/01/2014,0000,,32.6,,10.7,8.7,26.16,60.5,5.55,
83186,29/01/2014,1200,0,,19.5,,,,,,
83186,30/01/2014,0000,,32.1,,10.5,9.9,25.58,60.25,5.15,
83186,30/01/2014,1200,0,,20,,,,,,
83186,31/01/2014,0000,,32.8,,11.3,10.9,26.16,57,4.2,
83186,31/01/2014,1200,0,,20,,,,,,
83186,01/02/2014,0000,,29.1,,3.6,11.1,24.08,67,4.45,
83186,01/02/2014,1200,5.9,,18.3,,,,,,
83186,02/02/2014,0000,,31,,9,6.9,25.22,67.25,5.433333,
83186,02/02/2014,1200,0.2,,20.1,,,,,,
83186,03/02/2014,0000,,32.7,,10.8,10.5,26.96,52.75,6.35,
83186,03/02/2014,1200,0,,21.1,,,,,,
83186,04/02/2014,0000,,32.6,,10.2,11.5,25.44,77.25,3.4,
83186,04/02/2014,1200,0,,20.1,,,,,,
83186,05/02/2014,0000,,30.4,,5.7,8.2,24.64,77.5,4.3,
83186,05/02/2014,1200,4.9,,19.5,,,,,,
83186,06/02/2014,0000,,30.5,,8.5,6.4,24.92,70.5,4.733333,
83186,06/02/2014,1200,3.5,,19,,,,,,
83186,07/02/2014,0000,,27.6,,2,8.4,24,80,2.8,
83186,07/02/2014,1200,1.8,,19.7,,,,,,
83186,08/02/2014,0000,,31.6,,10.8,4.7,24.76,78.25,3.633333,
83186,08/02/2014,1200,1.8,,19.9,,,,,,
83186,09/02/2014,0000,,32.2,,10.4,7.5,25.68,61.75,4,
83186,09/02/2014,1200,0,,20,,,,,,
83186,10/02/2014,0000,,32,,9.5,8.9,25.1,69,4.066667,
83186,10/02/2014,1200,1.4,,18.9,,,,,,
83186,11/02/2014,0000,,32.9,,8.7,8.2,26.22,59.25,5.433333,
83186,11/02/2014,1200,3.7,,19.9,,,,,,
83186,12/02/2014,0000,,33,,7.4,10,26.2,56.25,5.233333,
83186,12/02/2014,1200,0,,20.5,,,,,,
83186,13/02/2014,0000,,32.5,,8.8,10.5,26.62,55.5,4.8,
83186,13/02/2014,1200,0,,20.4,,,,,,
83186,14/02/2014,0000,,32.6,,6.3,10.5,26,58,3.3,
83186,14/02/2014,1200,0,,20.4,,,,,,
83186,15/02/2014,0000,,32.4,,5.5,7.8,25.72,60,2.75,
83186,15/02/2014,1200,0,,20.6,,,,,,
83186,16/02/2014,0000,,33.8,,8.8,7.6,26.64,61.5,3.5,
83186,16/02/2014,1200,0,,20.9,,,,,,
83186,17/02/2014,0000,,32.7,,6.6,10.2,27.02,52.25,2.35,
83186,17/02/2014,1200,0,,20.5,,,,,,
83186,18/02/2014,0000,,34,,9.9,9.6,26.86,47.25,2.6,
83186,18/02/2014,1200,0,,20.5,,,,,,
83186,19/02/2014,0000,,32.4,,4.9,9.7,26.92,55.25,3.3,
83186,19/02/2014,1200,0,,21.2,,,,,,
83186,20/02/2014,0000,,32,,3,9.8,25.12,66.25,5.4,
83186,20/02/2014,1200,0,,21.1,,,,,,
83186,21/02/2014,0000,,30.5,,5.7,7.7,25.76,63.25,4.8,
83186,21/02/2014,1200,0,,20.5,,,,,,
83186,22/02/2014,0000,,31.9,,7.9,7.7,25.7,59.25,5.033333,
83186,22/02/2014,1200,2.9,,20.7,,,,,,
83186,23/02/2014,0000,,31.7,,7.4,8.5,24.46,73.5,2.9,
83186,23/02/2014,1200,8.4,,19.5,,,,,,
83186,24/02/2014,0000,,31.3,,7.1,5.5,24.98,72.25,3.733333,
83186,24/02/2014,1200,5.1,,18.9,,,,,,
83186,25/02/2014,0000,,32.5,,9.7,5.9,25.44,67.25,4.433333,
83186,25/02/2014,1200,1.1,,19,,,,,,
83186,26/02/2014,0000,,31,,6.8,7.5,25.44,60.75,3.55,
83186,26/02/2014,1200,0,,19.5,,,,,,
83186,27/02/2014,0000,,29.6,,2.9,8.2,24.7,70.5,3.866667,
83186,27/02/2014,1200,0,,20.5,,,,,,
83186,28/02/2014,0000,,28.6,,0.2,5.9,26.08,65.25,1.9,
83186,28/02/2014,1200,0,,21.3,,,,,,
83186,01/03/2014,0000,,33.6,,5.9,4.4,24.56,73.25,4.8,
83186,01/03/2014,1200,0,,20.5,,,,,,
83186,02/03/2014,0000,,29.2,,5.8,6.1,24,82.25,2.533333,
83186,02/03/2014,1200,5.3,,19.7,,,,,,
83186,03/03/2014,0000,,30.8,,7.7,4.4,24.78,72,4.233333,
83186,03/03/2014,1200,4,,19.3,,,,,,
83186,04/03/2014,0000,,28.4,,2.2,6.5,23.84,87,2.866667,
83186,04/03/2014,1200,0,,19.9,,,,,,
83186,05/03/2014,0000,,29.1,,3.8,3.8,24.24,72.25,4.166667,
83186,05/03/2014,1200,9.6,,19.7,,,,,,
83186,06/03/2014,0000,,31.2,,10.3,6.3,24.42,68.75,2.3,
83186,06/03/2014,1200,0,,19.5,,,,,,
83186,07/03/2014,0000,,31.2,,9,8,25.36,66,1.633333,
