Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83184,01/01/2014,0000,,27.6,,7.8,4.1,21.72,69.75,3.333333,
83184,01/01/2014,1200,0,,18.7,,,,,,
83184,02/01/2014,0000,,28.3,,8.6,3.1,21.78,65.25,3,
83184,02/01/2014,1200,0,,17.4,,,,,,
83184,03/01/2014,0000,,27.8,,8.5,4.3,21.6,65,3.666667,
83184,03/01/2014,1200,0,,17.6,,,,,,
83184,04/01/2014,0000,,29.6,,11.1,4.6,22.72,60,3.666667,
83184,04/01/2014,1200,0,,18.1,,,,,,
83184,05/01/2014,0000,,27.9,,10.1,5.1,21.68,62.75,3.333333,
83184,05/01/2014,1200,0,,18,,,,,,
83184,06/01/2014,0000,,27.8,,10.8,5.2,21.48,67.25,3,
83184,06/01/2014,1200,0,,16.5,,,,,,
83184,07/01/2014,0000,,27.9,,11,4.9,21.96,61.5,4,
83184,07/01/2014,1200,0,,17.3,,,,,,
83184,08/01/2014,0000,,27.1,,10.5,5.4,21.42,65.75,3.666667,
83184,08/01/2014,1200,1.2,,17.5,,,,,,
83184,09/01/2014,0000,,28.4,,9.8,4.3,22.04,63.25,3,
83184,09/01/2014,1200,0,,17.2,,,,,,
83184,10/01/2014,0000,,28.8,,9.3,4.4,22.94,69.25,4.333333,
83184,10/01/2014,1200,0,,18.8,,,,,,
83184,11/01/2014,0000,,27,,8.2,4.3,21.86,70.75,4,
83184,11/01/2014,1200,4.2,,18.6,,,,,,
83184,12/01/2014,0000,,26,,4.1,3.5,21.36,78.25,3.666667,
83184,12/01/2014,1200,0.2,,18.6,,,,,,
83184,13/01/2014,0000,,27.1,,7.6,3,21.92,71.25,3.666667,
83184,13/01/2014,1200,1.1,,18.5,,,,,,
83184,14/01/2014,0000,,27.9,,9,4,22.24,64,4.333333,
83184,14/01/2014,1200,0.6,,17.7,,,,,,
83184,15/01/2014,0000,,28.1,,8.4,4.9,22.26,68.5,4,
83184,15/01/2014,1200,0,,17.9,,,,,,
83184,16/01/2014,0000,,28.8,,9.2,4.1,22.6,68.25,3.666667,
83184,16/01/2014,1200,0,,18,,,,,,
83184,17/01/2014,0000,,29.7,,11.5,4.4,22.66,59.25,2.666667,
83184,17/01/2014,1200,0,,16.4,,,,,,
83184,18/01/2014,0000,,28.8,,6.7,4.5,23.14,65.5,2.666667,
