Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82487,01/01/2014,0000,,28.4,,7.5,3.5,21.76,80,3.3,
82487,01/01/2014,1200,0.5,,18.9,,,,,,
82487,02/01/2014,0000,,26.6,,5.7,3.5,21.2,85,3.3,
82487,02/01/2014,1200,0.4,,18.9,,,,,,
82487,03/01/2014,0000,,26.2,,5.1,2,20.64,87.25,3.3,
82487,03/01/2014,1200,37.2,,18.3,,,,,,
82487,04/01/2014,0000,,27.2,,7.7,2,21.04,85.25,3.033333,
82487,04/01/2014,1200,4.2,,18.3,,,,,,
82487,05/01/2014,0000,,24.8,,2.1,2.5,20.44,87.75,2.4,
82487,05/01/2014,1200,1,,18.5,,,,,,
82487,06/01/2014,0000,,25.8,,1.2,1.7,21.2,88.75,3.1,
82487,06/01/2014,1200,6.2,,18.9,,,,,,
82487,07/01/2014,0000,,23.4,,0,1.8,20.44,88.25,2.5,
82487,07/01/2014,1200,11.2,,18.5,,,,,,
82487,08/01/2014,0000,,27.6,,5.5,1.7,21.2,85.25,3.433333,
82487,08/01/2014,1200,0,,18.5,,,,,,
82487,09/01/2014,0000,,24.4,,1.4,2.4,20.56,92.25,3.3,
82487,09/01/2014,1200,0,,18.9,,,,,,
82487,10/01/2014,0000,,25.6,,7,0.9,21.36,83.25,3.266667,
82487,10/01/2014,1200,6,,18.7,,,,,,
82487,11/01/2014,0000,,27.6,,8.1,2.7,21.32,79.25,3.566667,
82487,11/01/2014,1200,0,,18.5,,,,,,
82487,12/01/2014,0000,,24.4,,1.9,3.4,20.44,93.25,3.433333,
82487,12/01/2014,1200,1.8,,18.9,,,,,,
82487,13/01/2014,0000,,25.6,,3.3,0.8,20.96,91.75,2.966667,
82487,13/01/2014,1200,29.4,,18.7,,,,,,
82487,14/01/2014,0000,,26.8,,6.5,1.3,21.32,88.75,2.966667,
82487,14/01/2014,1200,6,,18.5,,,,,,
82487,15/01/2014,0000,,27.6,,4.7,3.1,22.04,84,3.1,
82487,15/01/2014,1200,2.2,,18.9,,,,,,
82487,16/01/2014,0000,,26.4,,4.8,3,21.36,91.25,3.066667,
82487,16/01/2014,1200,4.8,,19.7,,,,,,
82487,17/01/2014,0000,,26.4,,5.4,1.8,21.4,85.75,3.066667,
82487,17/01/2014,1200,0,,18.7,,,,,,
82487,18/01/2014,0000,,26.6,,3.7,1.8,21.44,85.5,2.9,
82487,18/01/2014,1200,0,,19.3,,,,,,
82487,19/01/2014,0000,,24.6,,2.2,2.5,21,93.5,3.2,
