Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82686,01/01/2014,0000,,35.7,,10.5,6.7,29.12,45,2.3,
82686,01/01/2014,1200,0,,23.3,,,,,,
82686,02/01/2014,0000,,36,,11.4,7.5,29.62,42.25,2.3,
82686,02/01/2014,1200,0,,23.7,,,,,,
82686,03/01/2014,0000,,35,,10.5,8,28.34,48.75,2.2,
82686,03/01/2014,1200,0,,24.3,,,,,,
82686,04/01/2014,0000,,35.8,,10.7,6.8,29.12,42.25,2.933333,
82686,04/01/2014,1200,0,,24.2,,,,,,
82686,05/01/2014,0000,,36.1,,9.4,7.5,29.26,50.75,2.2,
82686,05/01/2014,1200,0,,24.6,,,,,,
82686,06/01/2014,0000,,33.2,,2.4,9.6,27.04,65,1.2,
82686,06/01/2014,1200,0.5,,23.2,,,,,,
82686,07/01/2014,0000,,28.3,,0,4.2,24.54,79.5,1.233333,
82686,07/01/2014,1200,18.2,,22.4,,,,,,
82686,08/01/2014,0000,,34.4,,11.4,2,27.44,46.5,1.533333,
82686,08/01/2014,1200,0,,21.2,,,,,,
82686,09/01/2014,0000,,34,,8.9,6,25.44,70.5,2.366667,
82686,09/01/2014,1200,0,,21.8,,,,,,
82686,10/01/2014,0000,,31.1,,2.6,4.4,26,74.75,1.6,
82686,10/01/2014,1200,1.8,,22.1,,,,,,
82686,11/01/2014,0000,,35.7,,11,3.1,28.08,43.25,3.066667,
82686,11/01/2014,1200,1.1,,23.1,,,,,,
82686,12/01/2014,0000,,34,,7,8.3,27.8,57.5,1.7,
82686,12/01/2014,1200,3.7,,24.2,,,,,,
82686,13/01/2014,0000,,33.8,,4.9,5.6,28.6,50,2.133333,
82686,13/01/2014,1200,0,,25,,,,,,
82686,14/01/2014,0000,,35.2,,8.1,5.2,29.34,45.25,2.033333,
82686,14/01/2014,1200,0,,24.7,,,,,,
82686,15/01/2014,0000,,36,,8.5,6.7,29.6,44.75,2.533333,
82686,15/01/2014,1200,0.5,,24.6,,,,,,
82686,16/01/2014,0000,,35.8,,7.6,6.5,29.78,43.5,2.333333,
82686,16/01/2014,1200,0,,24.5,,,,,,
82686,17/01/2014,0000,,35.6,,9.8,10.7,29.66,43.5,2.633333,
82686,17/01/2014,1200,0,,23.9,,,,,,
82686,18/01/2014,0000,,37.2,,9.5,7.1,29.86,46,1.8,
82686,18/01/2014,1200,0,,24.3,,,,,,
82686,19/01/2014,0000,,33.2,,3.6,6.6,26.86,78.5,1.2,
82686,19/01/2014,1200,5,,23.9,,,,,,
82686,20/01/2014,0000,,31.6,,4.1,2.5,26.46,78.5,2.433333,
82686,20/01/2014,1200,21.6,,22.5,,,,,,
82686,21/01/2014,0000,,33.5,,10.5,3,27.58,59.25,1.933333,
82686,21/01/2014,1200,0,,23.8,,,,,,
82686,22/01/2014,0000,,33.9,,10.2,5.2,27.4,51,1.533333,
82686,22/01/2014,1200,0,,21.5,,,,,,
82686,23/01/2014,0000,,34.8,,10.6,4.5,27.32,50.25,1.233333,
82686,23/01/2014,1200,0,,22.8,,,,,,
82686,24/01/2014,0000,,34.8,,6.9,6,27.58,60.25,2.033333,
82686,24/01/2014,1200,1.8,,22.5,,,,,,
82686,25/01/2014,0000,,34.2,,7.8,5.5,28.86,49,2.266667,
82686,25/01/2014,1200,0,,24.9,,,,,,
82686,26/01/2014,0000,,34.7,,8.4,7.6,28.44,52.5,2.233333,
82686,26/01/2014,1200,0,,23.9,,,,,,
82686,27/01/2014,0000,,33.4,,7.4,5.4,27.72,52.25,4.266667,
82686,27/01/2014,1200,11,,22,,,,,,
82686,28/01/2014,0000,,33.8,,10.1,5.3,27.28,56,3.966667,
82686,28/01/2014,1200,0,,22.8,,,,,,
82686,29/01/2014,0000,,35.8,,9.9,6.4,29.16,45.75,3.366667,
82686,29/01/2014,1200,0,,21.8,,,,,,
82686,30/01/2014,0000,,32.6,,3.1,6.7,26.96,75.5,2.033333,
82686,30/01/2014,1200,1.8,,23.8,,,,,,
82686,31/01/2014,0000,,31.9,,4.2,3.4,27.32,67,2.433333,
82686,31/01/2014,1200,0.7,,23.1,,,,,,
82686,01/02/2014,0000,,34.9,,7.2,3.8,28.96,52,1.733333,
82686,01/02/2014,1200,0,,23.9,,,,,,
82686,02/02/2014,0000,,34.7,,9.1,5.6,27.66,65.25,1.7,
82686,02/02/2014,1200,6.6,,22.8,,,,,,
82686,03/02/2014,0000,,33.3,,6.1,4.5,26.96,75.75,2.066667,
82686,03/02/2014,1200,4.7,,22.7,,,,,,
82686,04/02/2014,0000,,30.9,,4.1,3.6,25.32,80,1.5,
82686,04/02/2014,1200,12,,22.1,,,,,,
82686,05/02/2014,0000,,32.7,,7,1.7,26.66,72.5,1.933333,
82686,05/02/2014,1200,1.2,,22,,,,,,
82686,06/02/2014,0000,,34.6,,10.2,3.1,28.2,59,1.266667,
82686,06/02/2014,1200,0.7,,22.8,,,,,,
82686,07/02/2014,0000,,33.7,,6.2,3.9,26.78,68.75,1.733333,
82686,07/02/2014,1200,0,,22.8,,,,,,
82686,08/02/2014,0000,,34.4,,10,5.2,28.46,52.25,4.066667,
82686,08/02/2014,1200,0.3,,23.5,,,,,,
82686,09/02/2014,0000,,32,,3.6,4.8,25.52,81.75,1.2,
82686,09/02/2014,1200,49.7,,21.2,,,,,,
82686,10/02/2014,0000,,31.8,,4,2.1,26.32,81.75,1.033333,
82686,10/02/2014,1200,5.8,,22.8,,,,,,
82686,11/02/2014,0000,,29.9,,3.1,2.6,25.2,91.25,1.1,
82686,11/02/2014,1200,30.2,,22.5,,,,,,
82686,12/02/2014,0000,,30.8,,2.4,1.1,25.76,84.25,1.233333,
82686,12/02/2014,1200,30.4,,20.8,,,,,,
82686,13/02/2014,0000,,32.3,,8.3,2.4,26.54,71.25,1.4,
82686,13/02/2014,1200,5.4,,22.8,,,,,,
82686,14/02/2014,0000,,30.8,,3.9,3.6,26.56,80.75,2.333333,
82686,14/02/2014,1200,0,,23.6,,,,,,
82686,15/02/2014,0000,,32.1,,7.7,2.3,27.12,71.75,2.233333,
82686,15/02/2014,1200,0,,23.1,,,,,,
82686,16/02/2014,0000,,28.6,,0,3,25.28,84.5,2.333333,
82686,16/02/2014,1200,0,,23.6,,,,,,
