Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82493,01/01/2014,0000,,35.3,,10.6,7.6,28.5,66,4.233333,
82493,01/01/2014,1200,0,,22.8,,,,,,
82493,02/01/2014,0000,,34.3,,10,7,28.38,70.5,4.1,
82493,02/01/2014,1200,0,,23.6,,,,,,
82493,03/01/2014,0000,,33.8,,10.8,6.6,28.12,69.75,4,
82493,03/01/2014,1200,0,,24.2,,,,,,
82493,04/01/2014,0000,,34.6,,11.3,6,28.08,67,4.766667,
82493,04/01/2014,1200,0,,23.2,,,,,,
82493,05/01/2014,0000,,33.4,,2.9,6.5,28.08,67.75,2.6,
82493,05/01/2014,1200,0,,25,,,,,,
82493,06/01/2014,0000,,35.1,,5.7,5.2,29.02,67.25,2.466667,
82493,06/01/2014,1200,0,,25.2,,,,,,
82493,07/01/2014,0000,,33.6,,4.3,6.7,28.44,69,4.033333,
82493,07/01/2014,1200,0.7,,24.4,,,,,,
82493,08/01/2014,0000,,35.2,,8.2,7.7,28.64,67,3.633333,
82493,08/01/2014,1200,0,,24.4,,,,,,
82493,09/01/2014,0000,,33.8,,9.6,5.8,27.92,70.75,3.566667,
82493,09/01/2014,1200,0,,24.4,,,,,,
82493,10/01/2014,0000,,34.3,,8.8,6.2,28.5,73,3.733333,
82493,10/01/2014,1200,0,,24.2,,,,,,
82493,11/01/2014,0000,,34.8,,11.1,8.5,28.38,67.75,4.7,
82493,11/01/2014,1200,0,,23.1,,,,,,
82493,12/01/2014,0000,,34.1,,8.8,7.4,27.98,71.25,4.4,
82493,12/01/2014,1200,0,,24,,,,,,
82493,13/01/2014,0000,,34,,8.8,5.7,28.24,72.5,3.733333,
82493,13/01/2014,1200,0,,24,,,,,,
82493,14/01/2014,0000,,35.4,,10.1,5.7,28.94,64.25,3.7,
82493,14/01/2014,1200,0,,23.7,,,,,,
82493,15/01/2014,0000,,35.9,,10.6,7.6,29.22,66,3.166667,
82493,15/01/2014,1200,0,,24.2,,,,,,
82493,16/01/2014,0000,,35.4,,10.2,7.6,29,63.5,4.6,
82493,16/01/2014,1200,0,,24.6,,,,,,
82493,17/01/2014,0000,,34.5,,9.3,6.8,28.86,71,3.833333,
82493,17/01/2014,1200,0,,25.4,,,,,,
82493,18/01/2014,0000,,35.1,,10.4,6.7,28.74,71.25,4.966667,
82493,18/01/2014,1200,0,,24.6,,,,,,
82493,19/01/2014,0000,,31.5,,5.6,8.6,28.18,73.75,4.033333,
82493,19/01/2014,1200,0,,25.4,,,,,,
82493,20/01/2014,0000,,32.4,,7.1,7.1,27.56,76.5,3.266667,
82493,20/01/2014,1200,0.9,,24.4,,,,,,
82493,21/01/2014,0000,,33.3,,9.2,5.7,27.64,70.25,3.833333,
82493,21/01/2014,1200,0,,23.1,,,,,,
82493,22/01/2014,0000,,35.5,,9.8,8,28.62,67,4.2,
82493,22/01/2014,1200,0,,23.2,,,,,,
82493,23/01/2014,0000,,36.4,,10.4,9,29.08,65,4.6,
82493,23/01/2014,1200,0,,24,,,,,,
82493,24/01/2014,0000,,35.1,,9.7,8.8,28.7,67.25,4.1,
82493,24/01/2014,1200,0,,24.6,,,,,,
82493,25/01/2014,0000,,34.7,,8,8.2,28.44,70.25,4.966667,
82493,25/01/2014,1200,0,,23.7,,,,,,
82493,26/01/2014,0000,,36.6,,8,7.8,29.02,68.75,3.066667,
82493,26/01/2014,1200,0,,23.5,,,,,,
82493,27/01/2014,0000,,35.7,,8.2,6.5,29.26,67,3,
82493,27/01/2014,1200,0,,23.7,,,,,,
82493,28/01/2014,0000,,35.5,,10.6,7.3,29.02,64.25,3.8,
82493,28/01/2014,1200,0,,24,,,,,,
82493,29/01/2014,0000,,36.2,,9,8.2,29.12,64,3.3,
82493,29/01/2014,1200,0,,23.4,,,,,,
82493,30/01/2014,0000,,31.8,,1.9,8.1,28.12,71.25,2.666667,
82493,30/01/2014,1200,0.2,,25.6,,,,,,
82493,31/01/2014,0000,,36.2,,10.7,5.4,28.96,64.25,2.8,
82493,31/01/2014,1200,0,,22.8,,,,,,
82493,01/02/2014,0000,,34.7,,8.8,8.5,28.62,70.75,3,
82493,01/02/2014,1200,0,,23.8,,,,,,
82493,02/02/2014,0000,,35.2,,9.9,6.8,29,67.5,3.533333,
82493,02/02/2014,1200,0,,24.6,,,,,,
82493,03/02/2014,0000,,33.6,,6.7,7.2,28.36,70.75,3.333333,
82493,03/02/2014,1200,0,,23.9,,,,,,
82493,04/02/2014,0000,,31.6,,1.6,7,27.5,72.5,2.566667,
82493,04/02/2014,1200,0,,24.6,,,,,,
82493,05/02/2014,0000,,33.2,,7.5,5.3,27.88,72,3.9,
82493,05/02/2014,1200,0,,24.4,,,,,,
82493,06/02/2014,0000,,35.2,,11.1,6.9,28.24,67,4.533333,
82493,06/02/2014,1200,0,,22.8,,,,,,
82493,07/02/2014,0000,,35.4,,9.3,9.4,29.1,66,4.366667,
82493,07/02/2014,1200,0,,24,,,,,,
82493,08/02/2014,0000,,34.2,,6.5,9.6,28.68,78.5,3.366667,
82493,08/02/2014,1200,0,,24,,,,,,
82493,09/02/2014,0000,,33.4,,7.5,5,27.94,71,3.533333,
82493,09/02/2014,1200,46.9,,22.7,,,,,,
82493,10/02/2014,0000,,34.4,,9.1,6.5,28.58,68.75,4.066667,
82493,10/02/2014,1200,0,,24.3,,,,,,
82493,11/02/2014,0000,,35.3,,10.6,7.9,28.86,68,3.866667,
82493,11/02/2014,1200,0,,24,,,,,,
82493,12/02/2014,0000,,33.6,,6.1,7.5,28.52,77.75,3.6,
82493,12/02/2014,1200,0,,24.6,,,,,,
82493,13/02/2014,0000,,33.2,,4.8,4.5,27.5,76.5,3.833333,
82493,13/02/2014,1200,6.1,,23,,,,,,
82493,14/02/2014,0000,,34.5,,8.4,5,28.78,70,3.6,
82493,14/02/2014,1200,2.5,,24.8,,,,,,
