Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83550,01/01/2014,0000,,32.8,,11.7,2.5,26.54,80,,
83550,01/01/2014,1200,0,,21.7,,,,,,
83550,02/01/2014,0000,,32,,11.8,3,26.36,76.75,,
83550,02/01/2014,1200,0,,22.6,,,,,,
83550,03/01/2014,0000,,31.1,,11,3,26.16,77.75,,
83550,03/01/2014,1200,0,,22.1,,,,,,
83550,04/01/2014,0000,,32.6,,11.8,3.9,26.68,77,,
83550,04/01/2014,1200,0,,22.4,,,,,,
83550,05/01/2014,0000,,31.8,,11.2,2.9,26.62,78,,
83550,05/01/2014,1200,0.7,,23.3,,,,,,
83550,06/01/2014,0000,,32,,9.2,3.3,26.6,67.25,,
83550,06/01/2014,1200,0,,21.4,,,,,,
83550,07/01/2014,0000,,29.8,,6,4.1,25.78,74.25,,
83550,07/01/2014,1200,0.5,,22.1,,,,,,
83550,08/01/2014,0000,,29.5,,2.4,2.6,25.56,86,,
83550,08/01/2014,1200,3.6,,21.1,,,,,,
83550,09/01/2014,0000,,30.9,,6.2,1.5,25.88,82.75,,
83550,09/01/2014,1200,17.9,,23.1,,,,,,
83550,10/01/2014,0000,,31.5,,12.2,2.5,26.88,76.5,,
83550,10/01/2014,1200,0.4,,23.1,,,,,,
83550,11/01/2014,0000,,32,,11.6,2.5,27.04,78,,
83550,11/01/2014,1200,3.8,,23,,,,,,
83550,12/01/2014,0000,,31.8,,9,2.8,26.92,79,,
83550,12/01/2014,1200,2.4,,23.6,,,,,,
83550,13/01/2014,0000,,31.9,,11.4,2.7,27.1,75.25,,
83550,13/01/2014,1200,0,,23.2,,,,,,
83550,14/01/2014,0000,,32,,8.8,2.6,25.92,80,,
83550,14/01/2014,1200,10,,20.4,,,,,,
83550,15/01/2014,0000,,30.4,,3.7,2.6,25.58,82,,
83550,15/01/2014,1200,2.6,,22.7,,,,,,
83550,16/01/2014,0000,,32.3,,9.1,2.7,26.48,73.25,,
83550,16/01/2014,1200,1.2,,22.1,,,,,,
83550,17/01/2014,0000,,32.5,,8,3.3,26.58,76.75,,
83550,17/01/2014,1200,0,,22.6,,,,,,
83550,18/01/2014,0000,,31.6,,3.5,2.8,26.64,79.75,,
83550,18/01/2014,1200,4.3,,23.4,,,,,,
83550,19/01/2014,0000,,28.6,,0,2.2,25.06,89.75,,
83550,19/01/2014,1200,3.3,,23.3,,,,,,
83550,20/01/2014,0000,,27.8,,0.1,1.2,25.24,89.75,,
83550,20/01/2014,1200,25.3,,22.6,,,,,,
83550,21/01/2014,0000,,31.5,,3.1,1,26.6,84.75,,
83550,21/01/2014,1200,3.4,,23.3,,,,,,
83550,22/01/2014,0000,,32.7,,5,1.8,26.84,82,,
83550,22/01/2014,1200,0,,23.3,,,,,,
83550,23/01/2014,0000,,31.6,,8.2,2.6,26.6,78.25,,
83550,23/01/2014,1200,0,,22.8,,,,,,
