Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83368,01/01/2014,0000,,32.6,,8.3,3.6,27.28,78.5,0.333333,
83368,01/01/2014,1200,22.4,,21,,,,,,
83368,02/01/2014,0000,,35.2,,9.6,4.9,28.86,65,0,
83368,02/01/2014,1200,8,,22.6,,,,,,
83368,03/01/2014,0000,,37.6,,10.6,7.9,29.76,60.25,0.333333,
83368,03/01/2014,1200,0,,22.4,,,,,,
83368,04/01/2014,0000,,34.6,,10.1,11.1,28.16,66.75,0.666667,
83368,04/01/2014,1200,11.6,,21,,,,,,
83368,05/01/2014,0000,,36,,9.3,9.8,27.38,66.5,0.666667,
83368,05/01/2014,1200,0,,22,,,,,,
83368,06/01/2014,0000,,33.2,,8.8,8.7,27.36,71.5,0.333333,
83368,06/01/2014,1200,0.4,,22,,,,,,
83368,07/01/2014,0000,,33.6,,5.9,8.4,26.76,79,0.666667,
83368,07/01/2014,1200,3,,22,,,,,,
83368,08/01/2014,0000,,31.6,,6,3.9,26.46,77.5,0,
83368,08/01/2014,1200,7,,21.3,,,,,,
83368,09/01/2014,0000,,34.6,,9.7,3.5,26.38,64.25,0.333333,
83368,09/01/2014,1200,0,,21,,,,,,
83368,10/01/2014,0000,,34.6,,7.1,6,26.36,64.75,0.666667,
83368,10/01/2014,1200,0,,20.2,,,,,,
83368,11/01/2014,0000,,34,,6,5.3,26.58,68.25,0.333333,
83368,11/01/2014,1200,1.4,,21.6,,,,,,
83368,12/01/2014,0000,,32.6,,7.1,4.7,26.2,73.5,0.333333,
83368,12/01/2014,1200,2,,21,,,,,,
83368,13/01/2014,0000,,31.4,,3.5,4.1,25.2,73,0.666667,
83368,13/01/2014,1200,0.4,,21,,,,,,
83368,14/01/2014,0000,,33.8,,10.1,8.6,27.86,64.75,0.666667,
83368,14/01/2014,1200,0,,20.7,,,,,,
