Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83374,01/01/2014,0000,,34.3,,5.6,2.8,26.4,81.5,2.666667,
83374,01/01/2014,1200,0.1,,22.3,,,,,,
83374,02/01/2014,0000,,36.2,,7.9,3,27.4,,1,
83374,02/01/2014,1200,0,,22.6,,,,,,
83374,03/01/2014,0000,,37.2,,10.6,9,26.56,,2,
83374,03/01/2014,1200,0.6,,21.4,,,,,,
83374,04/01/2014,0000,,36.7,,11.2,6.6,27.14,,1,
83374,04/01/2014,1200,16.2,,19.7,,,,,,
83374,05/01/2014,0000,,36.7,,10.7,6.4,27.18,,1.5,
83374,05/01/2014,1200,0,,20.9,,,,,,
83374,06/01/2014,0000,,33.7,,9,5.9,26.06,,0,
83374,06/01/2014,1200,0,,20.4,,,,,,
83374,07/01/2014,0000,,31.2,,1.6,4.3,25.78,,2.5,
83374,07/01/2014,1200,6.7,,22.2,,,,,,
83374,08/01/2014,0000,,34.7,,6.8,2.7,27.02,,1,
83374,08/01/2014,1200,3.2,,21.2,,,,,,
83374,09/01/2014,0000,,35.4,,10.5,5.6,27.5,,2,
83374,09/01/2014,1200,0.1,,20.1,,,,,,
83374,10/01/2014,0000,,35.6,,7.6,7.9,26.16,,1.5,
83374,10/01/2014,1200,5.1,,20.6,,,,,,
83374,11/01/2014,0000,,33.3,,4,5.5,24.12,,2.5,
83374,11/01/2014,1200,3.4,,19.9,,,,,,
83374,12/01/2014,0000,,35,,6.9,3.1,26.44,,2,
83374,12/01/2014,1200,24,,19.6,,,,,,
83374,13/01/2014,0000,,32,,6.9,4.1,25.64,,1.5,
83374,13/01/2014,1200,2.7,,20.1,,,,,,
83374,14/01/2014,0000,,35.5,,10.6,3.4,27.58,,2.5,
83374,14/01/2014,1200,4.3,,23.1,,,,,,
83374,15/01/2014,0000,,34.7,,8.8,5.2,25.42,,3.5,
83374,15/01/2014,1200,1.8,,20.6,,,,,,
83374,16/01/2014,0000,,35.3,,9.3,4.7,26.76,,2,
83374,16/01/2014,1200,0.2,,20.5,,,,,,
83374,17/01/2014,0000,,37.3,,10.5,5.6,28.04,,2,
83374,17/01/2014,1200,0,,21.3,,,,,,
83374,18/01/2014,0000,,31.8,,4,6.3,24.8,,2,
83374,18/01/2014,1200,8.9,,21,,,,,,
83374,19/01/2014,0000,,34,,6.8,2.7,25.48,,3,
83374,19/01/2014,1200,0.2,,21.3,,,,,,
83374,20/01/2014,0000,,31.7,,3.2,3.5,24.42,,1.5,
83374,20/01/2014,1200,20,,21.1,,,,,,
83374,21/01/2014,0000,,31.7,,4.7,1.9,24.5,,1,
83374,21/01/2014,1200,26.1,,19.9,,,,,,
83374,22/01/2014,0000,,30.4,,2.8,4.1,24.4,,1,
83374,22/01/2014,1200,0,,20.8,,,,,,
83374,23/01/2014,0000,,34.3,,4.9,2.1,25.44,,1.5,
83374,23/01/2014,1200,0.8,,21.2,,,,,,
83374,24/01/2014,0000,,33.4,,7.9,3.4,23.72,,2.5,
83374,24/01/2014,1200,0,,20.2,,,,,,
83374,25/01/2014,0000,,30.7,,2.4,3.5,23.44,,2.5,
83374,25/01/2014,1200,3.8,,19.5,,,,,,
83374,26/01/2014,0000,,30.8,,2.7,2.5,23.52,,2.5,
83374,26/01/2014,1200,29.1,,20.2,,,,,,
83374,27/01/2014,0000,,32.8,,7.1,1.3,24.22,,0,
83374,27/01/2014,1200,26.8,,19.3,,,,,,
83374,28/01/2014,0000,,33.7,,6.5,3.6,24.6,,4,
83374,28/01/2014,1200,0,,19.3,,,,,,
83374,29/01/2014,0000,,33.6,,8.5,4.4,25.52,,3,
83374,29/01/2014,1200,28.9,,19.5,,,,,,
83374,30/01/2014,0000,,33,,4.7,5.6,24.94,,2,
83374,30/01/2014,1200,8.2,,20,,,,,,
83374,31/01/2014,0000,,36.3,,11,6.5,27.3,,2.5,
83374,31/01/2014,1200,2.4,,20,,,,,,
83374,01/02/2014,0000,,35,,9.7,10.1,27.12,53.25,2.666667,
83374,01/02/2014,1200,0,,20.9,,,,,,
83374,02/02/2014,0000,,35.8,,9.2,12.7,27.86,53.25,3,
83374,02/02/2014,1200,0,,22.3,,,,,,
83374,03/02/2014,0000,,36.2,,5.8,8.5,27.34,60,2,
83374,03/02/2014,1200,0,,19.8,,,,,,
83374,04/02/2014,0000,,34.5,,1.9,7.5,27.54,60.25,3,
83374,04/02/2014,1200,0,,22.8,,,,,,
83374,05/02/2014,0000,,37.5,,8.6,6.2,27.4,59,1.666667,
83374,05/02/2014,1200,0,,20,,,,,,
83374,06/02/2014,0000,,36.4,,9.4,9.3,28.54,56.5,2.333333,
83374,06/02/2014,1200,0,,22.5,,,,,,
83374,07/02/2014,0000,,36,,11.2,8.1,27.8,59.5,2.333333,
83374,07/02/2014,1200,0,,21.2,,,,,,
83374,08/02/2014,0000,,35.1,,7.1,7.9,24.1,78,2,
83374,08/02/2014,1200,5.3,,19.7,,,,,,
83374,09/02/2014,0000,,34.2,,4.4,4,24.24,79,2.333333,
83374,09/02/2014,1200,1.8,,20.4,,,,,,
83374,10/02/2014,0000,,34.3,,4.6,3.1,24.48,83,2.333333,
83374,10/02/2014,1200,21.7,,20,,,,,,
83374,11/02/2014,0000,,35,,5.4,3.2,27.22,63.75,0.666667,
83374,11/02/2014,1200,4.5,,20.1,,,,,,
83374,12/02/2014,0000,,33.2,,5,5.9,24.3,76,3.333333,
83374,12/02/2014,1200,7.3,,21.1,,,,,,
83374,13/02/2014,0000,,31.7,,3,3.2,25.06,78.5,1.666667,
83374,13/02/2014,1200,7.4,,19.5,,,,,,
83374,14/02/2014,0000,,33,,7.6,2.3,25.28,82.25,2,
83374,14/02/2014,1200,4.9,,20.8,,,,,,
83374,15/02/2014,0000,,32,,4.7,4,24.96,87.25,2.333333,
83374,15/02/2014,1200,0,,21.4,,,,,,
83374,16/02/2014,0000,,32.8,,8.2,2.3,25.6,76.5,3,
83374,16/02/2014,1200,3,,21.3,,,,,,
83374,17/02/2014,0000,,29,,2.2,3.9,24.46,87.75,2,
83374,17/02/2014,1200,1.9,,22.3,,,,,,
83374,18/02/2014,0000,,31,,3,1.6,24.8,87.75,2,
83374,18/02/2014,1200,13.7,,21.3,,,,,,
83374,19/02/2014,0000,,30,,1.8,2.1,23.96,90,2.333333,
83374,19/02/2014,1200,4.2,,21.4,,,,,,
83374,20/02/2014,0000,,29.7,,1.5,1.8,23.8,92.5,3.333333,
83374,20/02/2014,1200,24.5,,21,,,,,,
83374,21/02/2014,0000,,29.6,,2.7,1.3,23.7,86.25,3,
83374,21/02/2014,1200,6.6,,21.4,,,,,,
83374,22/02/2014,0000,,28.2,,0.2,2.6,23.04,87.75,3,
83374,22/02/2014,1200,18.3,,20.8,,,,,,
83374,23/02/2014,0000,,31,,1.3,1.4,23.82,83.5,2,
83374,23/02/2014,1200,25.9,,20,,,,,,
83374,24/02/2014,0000,,32.8,,2.2,1.6,24.66,91.25,1.666667,
83374,24/02/2014,1200,21,,20.9,,,,,,
83374,25/02/2014,0000,,32.7,,2.2,1.2,25.08,81.25,3.333333,
83374,25/02/2014,1200,23,,20.4,,,,,,
83374,26/02/2014,0000,,34.8,,7.3,3.1,26.32,68.5,2.666667,
83374,26/02/2014,1200,0,,20.6,,,,,,
83374,27/02/2014,0000,,35.8,,7.8,4.7,26.14,71.25,2.333333,
83374,27/02/2014,1200,0,,20.3,,,,,,
83374,28/02/2014,0000,,31.4,,4.6,3.7,24.24,83.5,1.666667,
83374,28/02/2014,1200,37.6,,19,,,,,,
83374,01/03/2014,0000,,27.9,,1.3,2.1,23.78,90,2.666667,
83374,01/03/2014,1200,0,,21.5,,,,,,
83374,02/03/2014,0000,,33.3,,10,1,26.06,75.25,3,
83374,02/03/2014,1200,9.1,,20.9,,,,,,
83374,03/03/2014,0000,,33.9,,4.8,3.5,24.72,83,3,
