Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82768,01/01/2014,0000,,35,,11.4,5,29.16,72.5,0.666667,
82768,01/01/2014,1200,0,,22.2,,,,,,
82768,02/01/2014,0000,,35,,11.6,5,29.4,72.75,1,
82768,02/01/2014,1200,0,,22.8,,,,,,
82768,03/01/2014,0000,,34,,7.3,5.8,27.26,80.5,0.666667,
82768,03/01/2014,1200,0,,24.1,,,,,,
82768,04/01/2014,0000,,32.6,,10,3.3,28.12,79,0.666667,
82768,04/01/2014,1200,0,,22.8,,,,,,
82768,05/01/2014,0000,,33.6,,7.6,4.2,28.06,82.75,0.666667,
82768,05/01/2014,1200,0,,23.3,,,,,,
82768,06/01/2014,0000,,34.6,,9.8,3.4,28.48,75.75,0.666667,
82768,06/01/2014,1200,0,,22.8,,,,,,
82768,07/01/2014,0000,,35,,10.8,5.1,29.16,70.5,0.666667,
82768,07/01/2014,1200,0,,22.8,,,,,,
82768,08/01/2014,0000,,35,,10.7,5,28.92,74.75,0.666667,
82768,08/01/2014,1200,0,,21.6,,,,,,
82768,09/01/2014,0000,,35.4,,8.7,5.5,28.5,74.75,0.666667,
82768,09/01/2014,1200,0,,24.1,,,,,,
82768,10/01/2014,0000,,31.2,,0.8,4.5,27.1,79.5,0.666667,
82768,10/01/2014,1200,0,,24.1,,,,,,
82768,11/01/2014,0000,,32.8,,7.9,3.5,25.8,86,0.666667,
82768,11/01/2014,1200,3.8,,22,,,,,,
82768,12/01/2014,0000,,33.6,,4.4,2.5,27.26,86.5,1,
82768,12/01/2014,1200,3.4,,23.5,,,,,,
82768,13/01/2014,0000,,30,,0.8,4,24.48,91.5,0.666667,
82768,13/01/2014,1200,9.2,,19.8,,,,,,
82768,14/01/2014,0000,,32.2,,1.8,1.5,25.48,87.75,1.333333,
82768,14/01/2014,1200,0,,20.6,,,,,,
82768,15/01/2014,0000,,32,,3.2,3,26.48,85.5,0.666667,
82768,15/01/2014,1200,0,,22,,,,,,
82768,16/01/2014,0000,,34.8,,6.9,2.5,27.78,84.75,0.666667,
82768,16/01/2014,1200,0,,23.5,,,,,,
82768,17/01/2014,0000,,31.4,,1.9,2.4,25,88.5,0.666667,
82768,17/01/2014,1200,6.2,,22.6,,,,,,
82768,18/01/2014,0000,,33.2,,7.8,1.5,27.4,85.5,0.666667,
82768,18/01/2014,1200,11.6,,21.6,,,,,,
82768,19/01/2014,0000,,29.8,,0.2,2.6,26.38,87.5,0.666667,
82768,19/01/2014,1200,0,,23.5,,,,,,
82768,20/01/2014,0000,,30,,0.7,1.4,25.42,95.75,0.666667,
82768,20/01/2014,1200,0,,23.9,,,,,,
82768,21/01/2014,0000,,32.4,,2.7,1,25.68,90.25,0.666667,
82768,21/01/2014,1200,14.2,,22.2,,,,,,
82768,22/01/2014,0000,,32.6,,6.7,2.2,26.72,85.5,0.666667,
82768,22/01/2014,1200,0.6,,22.2,,,,,,
82768,23/01/2014,0000,,32,,1.8,2.8,27.74,86.5,0.666667,
82768,23/01/2014,1200,0,,23.9,,,,,,
82768,24/01/2014,0000,,29.6,,0,2.5,24.44,93.75,0.666667,
82768,24/01/2014,1200,0,,21.2,,,,,,
82768,25/01/2014,0000,,32.5,,8.4,1,23.42,89.75,0.666667,
82768,25/01/2014,1200,24.3,,20.6,,,,,,
82768,26/01/2014,0000,,29.6,,3.2,2.5,25.56,82.5,0.666667,
82768,26/01/2014,1200,12,,21.4,,,,,,
82768,27/01/2014,0000,,27.6,,0,3,23.4,95.25,0.666667,
82768,27/01/2014,1200,19,,21,,,,,,
82768,28/01/2014,0000,,28.6,,2.7,0.2,24.36,89.75,0.666667,
82768,28/01/2014,1200,45,,20.8,,,,,,
82768,29/01/2014,0000,,32.6,,7.3,2.3,27.24,83.5,0.666667,
82768,29/01/2014,1200,0,,20.6,,,,,,
82768,30/01/2014,0000,,30,,1.1,4,25.74,90.25,0.666667,
82768,30/01/2014,1200,0,,23.7,,,,,,
82768,31/01/2014,0000,,31.2,,4,2,24.76,93.5,0.666667,
82768,31/01/2014,1200,0,,22.4,,,,,,
82768,01/02/2014,0000,,31.8,,1.8,1.5,25.36,90,0.666667,
82768,01/02/2014,1200,0.8,,21.8,,,,,,
82768,02/02/2014,0000,,33.6,,8.4,1.8,28,83.25,0.666667,
82768,02/02/2014,1200,0,,22.6,,,,,,
82768,03/02/2014,0000,,32.5,,3.2,3.2,27.44,85.25,0.666667,
82768,03/02/2014,1200,0,,24.1,,,,,,
82768,04/02/2014,0000,,30.4,,0,3,24.52,93.5,0.666667,
82768,04/02/2014,1200,0.2,,22.2,,,,,,
82768,05/02/2014,0000,,32.5,,4.9,1,26.86,85.75,0.666667,
82768,05/02/2014,1200,0.4,,21.2,,,,,,
82768,06/02/2014,0000,,33.5,,6.3,2.5,26.58,84.75,1,
82768,06/02/2014,1200,10.4,,22.2,,,,,,
82768,07/02/2014,0000,,30.6,,3.1,3,26.5,85,0.666667,
82768,07/02/2014,1200,0,,23.3,,,,,,
82768,08/02/2014,0000,,28,,0.2,2.1,25.16,91,0.666667,
82768,08/02/2014,1200,1.4,,22.8,,,,,,
82768,09/02/2014,0000,,36,,0,0.5,26,94.75,0.666667,
82768,09/02/2014,1200,11,,22.4,,,,,,
82768,10/02/2014,0000,,33,,8.3,1,26.24,88.25,0.666667,
82768,10/02/2014,1200,0,,21.4,,,,,,
82768,11/02/2014,0000,,31.5,,2,4,25.62,94,0.666667,
82768,11/02/2014,1200,0,,22,,,,,,
82768,12/02/2014,0000,,30.8,,2.4,2,24.64,90,0.666667,
82768,12/02/2014,1200,0.4,,22.2,,,,,,
82768,13/02/2014,0000,,31.5,,4.5,1.5,25.42,91.75,1,
82768,13/02/2014,1200,5,,22.8,,,,,,
82768,14/02/2014,0000,,28.4,,0.9,2.5,25.02,92.5,1,
82768,14/02/2014,1200,0,,23.7,,,,,,
82768,15/02/2014,0000,,31,,3.6,1,25.12,94,0.666667,
82768,15/02/2014,1200,14.6,,22,,,,,,
82768,16/02/2014,0000,,31,,2.6,1,25.76,89,0.666667,
82768,16/02/2014,1200,13.6,,22,,,,,,
82768,17/02/2014,0000,,32,,3.1,2,26.28,87.75,1,
82768,17/02/2014,1200,13.4,,22.2,,,,,,
82768,18/02/2014,0000,,29.6,,1.3,2,25.44,89.75,0.666667,
82768,18/02/2014,1200,0,,22,,,,,,
82768,19/02/2014,0000,,31.5,,3,2.3,27.3,90.75,0.666667,
82768,19/02/2014,1200,1.4,,22,,,,,,
82768,20/02/2014,0000,,31.4,,3.2,1.7,24.8,86.75,1,
82768,20/02/2014,1200,40.4,,21.6,,,,,,
82768,21/02/2014,0000,,32.6,,4.2,2,26.88,83,0.666667,
82768,21/02/2014,1200,0,,22.2,,,,,,
82768,22/02/2014,0000,,32.6,,2.2,3,27.12,81.5,0.666667,
82768,22/02/2014,1200,0,,22.2,,,,,,
82768,23/02/2014,0000,,34,,8.2,3.5,28.2,76.25,0.666667,
82768,23/02/2014,1200,0,,22.6,,,,,,
82768,24/02/2014,0000,,35,,6.7,6,27.8,81,0.666667,
82768,24/02/2014,1200,0,,22.8,,,,,,
82768,25/02/2014,0000,,33.6,,2.3,6.2,26.82,88.75,0.666667,
82768,25/02/2014,1200,0,,23.5,,,,,,
82768,26/02/2014,0000,,34,,7.9,0.6,28.1,80.5,1,
82768,26/02/2014,1200,1,,23.7,,,,,,
82768,27/02/2014,0000,,32.2,,4.2,4.2,26.66,89,1,
82768,27/02/2014,1200,0,,24.3,,,,,,
82768,28/02/2014,0000,,31.6,,3.6,1.5,27.06,81.75,1,
82768,28/02/2014,1200,4.8,,23.3,,,,,,
82768,01/03/2014,0000,,30,,2.1,2.5,26.3,85.5,1,
82768,01/03/2014,1200,1.2,,23.3,,,,,,
82768,02/03/2014,0000,,33,,5.3,2,26.98,91,0.666667,
82768,02/03/2014,1200,0,,23.7,,,,,,
82768,03/03/2014,0000,,27,,0.6,2.5,24.48,95.75,0.666667,
82768,03/03/2014,1200,18.9,,22.4,,,,,,
82768,04/03/2014,0000,,31,,2.1,0.5,25.48,92,0.666667,
82768,04/03/2014,1200,34.4,,22.2,,,,,,
82768,05/03/2014,0000,,31.6,,3.7,1,26.02,94,0.666667,
82768,05/03/2014,1200,0,,23.5,,,,,,
82768,06/03/2014,0000,,32,,4.9,2,25.72,93.75,0.666667,
82768,06/03/2014,1200,3.4,,22.6,,,,,,
82768,07/03/2014,0000,,33,,8.6,1.5,27.52,83.75,0.666667,
82768,07/03/2014,1200,7,,22.6,,,,,,
82768,08/03/2014,0000,,33.4,,11,3,28.14,80,0.666667,
82768,08/03/2014,1200,0,,23.7,,,,,,
82768,09/03/2014,0000,,33.5,,1.3,4.5,25.82,90.25,0.666667,
82768,09/03/2014,1200,0,,22.8,,,,,,
82768,10/03/2014,0000,,32.4,,8.3,1.9,25.4,90.25,0.666667,
82768,10/03/2014,1200,39.2,,22.6,,,,,,
82768,11/03/2014,0000,,32.6,,4.9,2.6,25.88,89.75,0.666667,
82768,11/03/2014,1200,13.4,,22.6,,,,,,
82768,12/03/2014,0000,,30,,4.9,1.5,26.34,86.5,0.666667,
82768,12/03/2014,1200,1.6,,23.7,,,,,,
82768,13/03/2014,0000,,34,,10,2,28.24,79,0.666667,
82768,13/03/2014,1200,1,,22,,,,,,
82768,14/03/2014,0000,,33.2,,8.9,4,27.48,80.5,0.666667,
82768,14/03/2014,1200,0,,22.2,,,,,,
82768,15/03/2014,0000,,33.4,,7.8,4,26.72,86.75,0.666667,
82768,15/03/2014,1200,1.6,,22.8,,,,,,
82768,16/03/2014,0000,,32.5,,3.5,3.5,25.46,92.25,0.666667,
82768,16/03/2014,1200,0,,21.8,,,,,,
82768,17/03/2014,0000,,31.2,,3.7,1.5,25.8,89,0.666667,
82768,17/03/2014,1200,3.8,,21.8,,,,,,
82768,18/03/2014,0000,,33.8,,7.8,2,28,77.75,0.666667,
82768,18/03/2014,1200,0,,21.6,,,,,,
82768,19/03/2014,0000,,31,,3.9,4,26.9,89.25,0.666667,
82768,19/03/2014,1200,0,,23.5,,,,,,
82768,20/03/2014,0000,,34.6,,10.8,1.5,28.56,76.25,0.666667,
82768,20/03/2014,1200,0,,22.8,,,,,,
82768,21/03/2014,0000,,33.8,,6.1,5,28.22,83.75,0.666667,
82768,21/03/2014,1200,0,,24.1,,,,,,
82768,22/03/2014,0000,,34,,6.6,3.4,28.14,87.5,0.666667,
82768,22/03/2014,1200,0,,24.5,,,,,,
82768,23/03/2014,0000,,33,,3,2.6,27.82,89.75,0.666667,
82768,23/03/2014,1200,3,,24.5,,,,,,
82768,24/03/2014,0000,,33,,3.6,2,26.5,87.75,1,
82768,24/03/2014,1200,0,,23.5,,,,,,
82768,25/03/2014,0000,,34,,9.7,3,26.32,88.5,0.666667,
82768,25/03/2014,1200,0,,22,,,,,,
82768,26/03/2014,0000,,33.5,,8.4,3,26.58,85.5,0.666667,
82768,26/03/2014,1200,10,,22.6,,,,,,
82768,27/03/2014,0000,,33.5,,9.4,2.6,28.3,83,0.666667,
82768,27/03/2014,1200,0,,22.6,,,,,,
82768,28/03/2014,0000,,30.2,,2.1,3.5,25.74,93,0.666667,
82768,28/03/2014,1200,0,,23.7,,,,,,
82768,29/03/2014,0000,,28,,1.9,0.5,25,92.75,0.666667,
82768,29/03/2014,1200,11.2,,22.2,,,,,,
82768,30/03/2014,0000,,33,,7.3,1.3,27.12,85.5,0.666667,
82768,30/03/2014,1200,8.6,,22,,,,,,
82768,31/03/2014,0000,,32,,4.2,2.2,26.3,92.5,0.666667,
82768,31/03/2014,1200,6.4,,23.3,,,,,,
82768,01/04/2014,0000,,34.6,,10,1.8,28.28,83,0.666667,
82768,01/04/2014,1200,6.2,,22.6,,,,,,
82768,02/04/2014,0000,,32,,2.4,3,26.62,93.5,0.666667,
82768,02/04/2014,1200,1.4,,24.1,,,,,,
82768,03/04/2014,0000,,32.6,,6.3,1.7,26.52,92.5,0.666667,
82768,03/04/2014,1200,0,,22.6,,,,,,
82768,04/04/2014,0000,,33.6,,6.2,2.1,27.54,89,0.666667,
82768,04/04/2014,1200,0.6,,23.3,,,,,,
82768,05/04/2014,0000,,34.4,,9.2,2.4,28.12,83,0.666667,
82768,05/04/2014,1200,0,,22.8,,,,,,
82768,06/04/2014,0000,,32.8,,6.8,3,28.02,82.75,1,
82768,06/04/2014,1200,0,,23.7,,,,,,
82768,07/04/2014,0000,,32.4,,2.9,4,25.86,93.25,0.666667,
82768,07/04/2014,1200,0,,23.7,,,,,,
82768,08/04/2014,0000,,31.6,,6.2,1.5,25.84,89.75,0.666667,
82768,08/04/2014,1200,0,,21.8,,,,,,
82768,09/04/2014,0000,,33.2,,6.4,2,27.1,84.75,0.666667,
82768,09/04/2014,1200,0.6,,23.5,,,,,,
82768,10/04/2014,0000,,32.5,,5.5,3,26.2,87.75,1,
82768,10/04/2014,1200,0.6,,23.3,,,,,,
82768,11/04/2014,0000,,32.6,,2.3,2,26.02,94.75,1,
82768,11/04/2014,1200,0,,23.7,,,,,,
82768,12/04/2014,0000,,33.6,,7.7,1.4,27.38,82.25,0.666667,
82768,12/04/2014,1200,23.8,,23.3,,,,,,
82768,13/04/2014,0000,,34,,8.5,2.6,28.22,79.75,0.666667,
82768,13/04/2014,1200,0,,23.3,,,,,,
82768,14/04/2014,0000,,34,,10.1,4,28.18,81,1,
82768,14/04/2014,1200,0,,23.7,,,,,,
82768,15/04/2014,0000,,29.6,,3.1,4.5,25.94,87.5,0.666667,
82768,15/04/2014,1200,0,,23.3,,,,,,
82768,16/04/2014,0000,,34,,10,6,27.4,82,1,
82768,16/04/2014,1200,1.6,,21.8,,,,,,
82768,17/04/2014,0000,,34,,6.3,3.8,26.92,85,0.666667,
82768,17/04/2014,1200,0,,22.4,,,,,,
82768,18/04/2014,0000,,31.4,,0.5,2.5,26.86,86.5,0.666667,
82768,18/04/2014,1200,0,,23.5,,,,,,
82768,19/04/2014,0000,,35,,8.7,2.2,27.72,80,0.666667,
82768,19/04/2014,1200,0,,22.8,,,,,,
82768,20/04/2014,0000,,35,,8.6,3.4,27.14,86.75,0.666667,
82768,20/04/2014,1200,0,,23.9,,,,,,
82768,21/04/2014,0000,,33,,8.1,2.8,27.24,87.75,0.666667,
82768,21/04/2014,1200,0,,22.6,,,,,,
82768,22/04/2014,0000,,34.6,,8.8,3.1,28.62,78,0.666667,
82768,22/04/2014,1200,0,,23.5,,,,,,
82768,23/04/2014,0000,,34.6,,10.2,4,28.6,77.5,1,
82768,23/04/2014,1200,0,,22.8,,,,,,
82768,24/04/2014,0000,,35,,8.4,4,29.06,81.75,0.666667,
82768,24/04/2014,1200,0,,23.5,,,,,,
82768,25/04/2014,0000,,35,,5.2,4,27.26,93,0.666667,
82768,25/04/2014,1200,0,,23.5,,,,,,
82768,26/04/2014,0000,,29.8,,0,1.5,26.06,91.5,0.666667,
82768,26/04/2014,1200,33.2,,23.3,,,,,,
82768,27/04/2014,0000,,26.6,,2.1,2,25.46,89,0.666667,
82768,27/04/2014,1200,0,,23.7,,,,,,
82768,28/04/2014,0000,,30.6,,2.4,1.2,25.6,92.5,0.666667,
82768,28/04/2014,1200,10,,22.8,,,,,,
82768,29/04/2014,0000,,32.2,,10.1,1.8,27.46,78.75,1,
82768,29/04/2014,1200,0.4,,23.3,,,,,,
82768,30/04/2014,0000,,31.4,,9.1,4.6,26.56,79.75,1.333333,
82768,30/04/2014,1200,0,,21.8,,,,,,
82768,01/05/2014,0000,,33.2,,6.5,4.4,27.48,78,0.666667,
82768,01/05/2014,1200,0,,21.2,,,,,,
82768,02/05/2014,0000,,33.5,,8.5,4,27.78,67.75,0.666667,
82768,02/05/2014,1200,0,,21,,,,,,
82768,03/05/2014,0000,,34.9,,7.4,4.5,28.2,79.25,0.666667,
82768,03/05/2014,1200,0.6,,24.1,,,,,,
82768,04/05/2014,0000,,32.4,,5.6,4.2,28.22,76,0.666667,
82768,04/05/2014,1200,0.5,,23.9,,,,,,
82768,05/05/2014,0000,,34,,10.8,3.8,27.56,74,0.666667,
82768,05/05/2014,1200,0.2,,22.6,,,,,,
82768,06/05/2014,0000,,34.5,,9.7,6,27.66,73,0.666667,
82768,06/05/2014,1200,0,,20.4,,,,,,
82768,07/05/2014,0000,,34.6,,10.1,5,28.32,74,0.666667,
82768,07/05/2014,1200,0,,22.2,,,,,,
82768,08/05/2014,0000,,33.6,,8.3,4.5,28.28,78.5,0.666667,
82768,08/05/2014,1200,0,,22.4,,,,,,
82768,09/05/2014,0000,,34,,9.9,4.6,28.36,77.25,0.666667,
82768,09/05/2014,1200,0,,22.6,,,,,,
82768,10/05/2014,0000,,35,,9.6,4.2,28.28,80.25,0.666667,
82768,10/05/2014,1200,0,,21.4,,,,,,
82768,11/05/2014,0000,,32.8,,3.3,4,27.66,81.5,1,
82768,11/05/2014,1200,0,,24.1,,,,,,
82768,12/05/2014,0000,,33,,5.9,2.7,27.54,76.75,0.666667,
82768,12/05/2014,1200,0,,24.1,,,,,,
82768,13/05/2014,0000,,34,,9.5,5.5,28.54,73.75,0.666667,
82768,13/05/2014,1200,0,,23.7,,,,,,
82768,14/05/2014,0000,,34,,7.6,5,28.22,76.75,0.666667,
82768,14/05/2014,1200,0,,23.7,,,,,,
82768,15/05/2014,0000,,35,,7.6,4.7,28.68,74.75,0.666667,
82768,15/05/2014,1200,0,,21.6,,,,,,
82768,16/05/2014,0000,,34.5,,9,5.8,28.64,77,0.666667,
82768,16/05/2014,1200,0.1,,24.3,,,,,,
82768,17/05/2014,0000,,31.4,,3.5,4,26.78,89.75,0.666667,
82768,17/05/2014,1200,0,,24.1,,,,,,
82768,18/05/2014,0000,,34,,7.4,1.5,27.62,84,0.666667,
82768,18/05/2014,1200,5.8,,23.3,,,,,,
82768,19/05/2014,0000,,34,,9.9,3.5,28.2,78.5,0.666667,
82768,19/05/2014,1200,0,,22.8,,,,,,
82768,20/05/2014,0000,,34.5,,8.5,4,28.3,80.25,0.666667,
82768,20/05/2014,1200,0,,22.8,,,,,,
82768,21/05/2014,0000,,34,,9.5,4.5,27.92,78.5,0.666667,
82768,21/05/2014,1200,0,,22.4,,,,,,
82768,22/05/2014,0000,,34.6,,9.3,5,28.56,74,0.666667,
82768,22/05/2014,1200,0,,22.2,,,,,,
82768,23/05/2014,0000,,33.6,,3.9,5.8,27.74,85.5,0.933333,
82768,23/05/2014,1200,4,,24.1,,,,,,
82768,24/05/2014,0000,,32.5,,5.3,3.2,26.56,90.25,1,
82768,24/05/2014,1200,0,,23.9,,,,,,
82768,25/05/2014,0000,,30.8,,1.4,1.7,25.88,90.75,0.666667,
82768,25/05/2014,1200,1,,22.2,,,,,,
82768,26/05/2014,0000,,34,,8.3,1.8,27.48,80.5,0.666667,
82768,26/05/2014,1200,0,,21.8,,,,,,
82768,27/05/2014,0000,,34,,10.1,3.5,27.6,76,0.666667,
82768,27/05/2014,1200,0,,21.6,,,,,,
82768,28/05/2014,0000,,35.6,,10.6,4.7,27.8,75.5,0.666667,
82768,28/05/2014,1200,0,,20.6,,,,,,
82768,29/05/2014,0000,,34.5,,7.5,5.8,27.26,78.75,0.666667,
82768,29/05/2014,1200,0,,20,,,,,,
82768,30/05/2014,0000,,34.4,,8.8,4,27.72,79.25,0.666667,
82768,30/05/2014,1200,0,,21.8,,,,,,
82768,31/05/2014,0000,,34.4,,9.6,5,28.2,70.75,0.666667,
82768,31/05/2014,1200,0,,21.8,,,,,,
82768,01/06/2014,0000,,34,,10,5.5,27.92,73.25,0.666667,
82768,01/06/2014,1200,0,,21.4,,,,,,
82768,02/06/2014,0000,,34,,9.7,5,27.44,75.75,0.666667,
82768,02/06/2014,1200,0,,20.8,,,,,,
82768,03/06/2014,0000,,36,,9.7,5,28.48,72.5,0.666667,
82768,03/06/2014,1200,0,,20.4,,,,,,
82768,04/06/2014,0000,,35.6,,10.5,5,28.52,77.75,0.666667,
82768,04/06/2014,1200,0,,21.4,,,,,,
82768,05/06/2014,0000,,35,,10.1,4,29,73.5,0.666667,
82768,05/06/2014,1200,0,,22.8,,,,,,
82768,06/06/2014,0000,,35,,10.2,6.5,28.88,71.75,0.666667,
82768,06/06/2014,1200,0,,21.6,,,,,,
82768,07/06/2014,0000,,35,,9.5,5.8,28.32,69.5,0.666667,
82768,07/06/2014,1200,0,,21,,,,,,
82768,08/06/2014,0000,,34.6,,10.2,7.2,28.84,62.75,0.333333,
82768,08/06/2014,1200,0,,21.8,,,,,,
82768,09/06/2014,0000,,34.8,,10.3,6,27.48,79,0.666667,
82768,09/06/2014,1200,0,,21.8,,,,,,
82768,10/06/2014,0000,,34.6,,10.6,6.5,27.68,66.75,0.666667,
82768,10/06/2014,1200,0,,20.2,,,,,,
82768,11/06/2014,0000,,34,,10.6,7.2,27.64,67.5,0.666667,
82768,11/06/2014,1200,0,,21.8,,,,,,
82768,12/06/2014,0000,,34.2,,10.7,7.8,26.76,69.75,0.666667,
82768,12/06/2014,1200,0,,20.6,,,,,,
82768,13/06/2014,0000,,34.6,,9.7,7,28.72,58.5,0.666667,
82768,13/06/2014,1200,0,,18.2,,,,,,
82768,14/06/2014,0000,,34.2,,10.1,6.7,27.72,70.75,0.666667,
82768,14/06/2014,1200,0,,20.8,,,,,,
82768,15/06/2014,0000,,34.6,,9.9,5.2,29.02,71.25,0.666667,
82768,15/06/2014,1200,0,,26.5,,,,,,
82768,16/06/2014,0000,,34.6,,8.1,5.6,27.04,73,0.666667,
82768,16/06/2014,1200,0,,21,,,,,,
82768,17/06/2014,0000,,34,,8.1,7,27.4,73,0.666667,
82768,17/06/2014,1200,0,,21.8,,,,,,
82768,18/06/2014,0000,,35,,9.8,5.5,27.6,75.25,0.666667,
82768,18/06/2014,1200,0,,21,,,,,,
82768,19/06/2014,0000,,35,,10.1,6,29.1,72.75,0.666667,
82768,19/06/2014,1200,0,,24.9,,,,,,
82768,20/06/2014,0000,,35,,9.4,6.5,29.02,72,0.666667,
82768,20/06/2014,1200,0,,23.5,,,,,,
82768,21/06/2014,0000,,34.6,,10.4,6.1,28.28,68.75,0.666667,
82768,21/06/2014,1200,0,,21.6,,,,,,
82768,22/06/2014,0000,,34,,9.4,6.3,27.24,69.75,0.666667,
82768,22/06/2014,1200,0,,19.8,,,,,,
82768,23/06/2014,0000,,34.6,,10.7,6.6,27,65.75,0.666667,
82768,23/06/2014,1200,0,,19.8,,,,,,
82768,24/06/2014,0000,,32.2,,6.5,7.6,26.72,72.75,0.666667,
82768,24/06/2014,1200,0,,20,,,,,,
82768,25/06/2014,0000,,35,,10.6,5,27.68,69.5,0.666667,
82768,25/06/2014,1200,0,,19.8,,,,,,
82768,26/06/2014,0000,,35,,9.9,5.7,28,74.25,0.666667,
82768,26/06/2014,1200,0,,21.2,,,,,,
82768,27/06/2014,0000,,34.4,,7.1,6,27.84,74.25,0.666667,
82768,27/06/2014,1200,0,,21.6,,,,,,
82768,28/06/2014,0000,,35.6,,9.2,6.8,29.06,70.25,0.666667,
82768,28/06/2014,1200,0,,23.5,,,,,,
82768,29/06/2014,0000,,36,,10.3,6,29.46,66,0.666667,
82768,29/06/2014,1200,0,,23.7,,,,,,
82768,30/06/2014,0000,,35.6,,9.7,6.5,27.88,72.5,0.666667,
82768,30/06/2014,1200,0,,21.8,,,,,,
82768,01/07/2014,0000,,35.2,,10.1,6,28.36,75.75,0.666667,
82768,01/07/2014,1200,0,,21,,,,,,
82768,02/07/2014,0000,,34.8,,10,5.8,27.48,75.25,0.666667,
82768,02/07/2014,1200,0,,20.2,,,,,,
82768,03/07/2014,0000,,35.2,,9.6,5.4,27.96,68.75,0.666667,
82768,03/07/2014,1200,0,,19.4,,,,,,
82768,04/07/2014,0000,,35,,10.6,6.5,27.8,69.75,0.666667,
82768,04/07/2014,1200,0,,20.8,,,,,,
82768,05/07/2014,0000,,35.8,,9.7,6.5,27.84,67.75,0.666667,
82768,05/07/2014,1200,0,,21,,,,,,
82768,06/07/2014,0000,,35,,,7.5,27.28,68.75,0.666667,
82768,06/07/2014,1200,0,,19.4,,,,,,
82768,07/07/2014,0000,,35,,10.6,7,27.08,69.75,0.666667,
82768,07/07/2014,1200,0,,20.4,,,,,,
82768,08/07/2014,0000,,34.6,,10.6,8,26.64,67.75,0.666667,
82768,08/07/2014,1200,0,,18.6,,,,,,
82768,09/07/2014,0000,,35.5,,8.8,8,27.7,65.75,0.666667,
82768,09/07/2014,1200,0,,18.8,,,,,,
82768,10/07/2014,0000,,35.6,,10.7,6.5,28.56,66.75,0.666667,
82768,10/07/2014,1200,0,,21.8,,,,,,
82768,11/07/2014,0000,,35.6,,10.3,6,28.08,69.5,0.666667,
82768,11/07/2014,1200,0,,20.8,,,,,,
82768,12/07/2014,0000,,35.6,,9.9,6.5,27.96,64,0.666667,
82768,12/07/2014,1200,0,,20,,,,,,
82768,13/07/2014,0000,,35,,6,7,28.2,63.5,0.666667,
82768,13/07/2014,1200,0,,20.8,,,,,,
82768,14/07/2014,0000,,35,,10.5,7,27.12,69.75,0.666667,
82768,14/07/2014,1200,0,,20,,,,,,
82768,15/07/2014,0000,,34.6,,10.5,8,28.4,64.5,0.666667,
82768,15/07/2014,1200,0,,21.8,,,,,,
82768,16/07/2014,0000,,35.6,,1.7,7.5,28.98,70.25,0.666667,
82768,16/07/2014,1200,0,,23.5,,,,,,
82768,17/07/2014,0000,,34.8,,10.2,8,28.52,71.25,0.666667,
82768,17/07/2014,1200,0,,22.6,,,,,,
82768,18/07/2014,0000,,35.6,,10,6.5,28.68,73.75,0.666667,
82768,18/07/2014,1200,0,,22.6,,,,,,
82768,19/07/2014,0000,,36,,10.3,7,29.16,63.5,0.666667,
82768,19/07/2014,1200,0,,22,,,,,,
82768,20/07/2014,0000,,36.2,,10,7,29.64,67.25,0.666667,
