Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83595,01/02/2014,0000,,36,,11,0,28.88,78,1.55,
83595,01/02/2014,1200,0,,25,,,,,,
83595,02/02/2014,0000,,36.5,,10.5,3.5,29.5,71,1,
83595,02/02/2014,1200,0,,24,,,,,,
83595,03/02/2014,0000,,37,,10.5,4,28.8,77,1,
83595,03/02/2014,1200,0,,23,,,,,,
83595,04/02/2014,0000,,,,10.8,4,,,,
83595,04/02/2014,1200,0,,,,,,,,
83595,05/02/2014,0000,,34,,6.9,5.5,27.6,78,1,
83595,05/02/2014,1200,0,,23,,,,,,
83595,06/02/2014,0000,,35.2,,9.2,3,28.44,80,1,
83595,06/02/2014,1200,2.4,,24,,,,,,
83595,07/02/2014,0000,,36.2,,10.5,4,29.24,67,1,
83595,07/02/2014,1200,0,,24,,,,,,
83595,08/02/2014,0000,,35.2,,9.6,4.5,28.44,71,1,
83595,08/02/2014,1200,0,,22,,,,,,
83595,09/02/2014,0000,,37.2,,10.8,4.8,29.04,71,1,
83595,09/02/2014,1200,0,,23,,,,,,
83595,10/02/2014,0000,,37,,7.5,4.8,28.4,71,1,
83595,10/02/2014,1200,0,,24,,,,,,
83595,11/02/2014,0000,,,,8.5,5,,,,
83595,11/02/2014,1200,0,,,,,,,,
83595,12/02/2014,0000,,34,,3.8,5,27.8,70,1.55,
83595,12/02/2014,1200,0,,23,,,,,,
83595,13/02/2014,0000,,36.5,,9.9,3.5,28.9,68,1,
83595,13/02/2014,1200,0,,23,,,,,,
83595,14/02/2014,0000,,36.5,,7.2,4.7,28.7,70,1,
83595,14/02/2014,1200,0,,23,,,,,,
83595,15/02/2014,0000,,37.5,,10.8,4.3,29.1,71,1.55,
83595,15/02/2014,1200,0,,23,,,,,,
83595,16/02/2014,0000,,36,,9,5.6,28.6,70,1,
83595,16/02/2014,1200,0,,23,,,,,,
83595,17/02/2014,0000,,37,,8.5,4.6,28.2,73,1.55,
83595,17/02/2014,1200,0,,23,,,,,,
83595,18/02/2014,0000,,,,5.7,4,,,,
83595,18/02/2014,1200,7.4,,,,,,,,
83595,19/02/2014,0000,,33,,7.6,2.1,25.24,86,1,
83595,19/02/2014,1200,30,,21,,,,,,
83595,20/02/2014,0000,,35.2,,8.8,2.4,26.04,81,1.55,
83595,20/02/2014,1200,0,,21,,,,,,
83595,21/02/2014,0000,,34,,6.7,3.2,26.44,79,1,
83595,21/02/2014,1200,0,,22.2,,,,,,
83595,22/02/2014,0000,,33.2,,5.4,2.8,26.84,77,1,
83595,22/02/2014,1200,1.2,,22,,,,,,
83595,23/02/2014,0000,,31,,4.5,2.6,26.2,87,1,
83595,23/02/2014,1200,1.4,,23,,,,,,
83595,24/02/2014,0000,,32.5,,4.3,1.6,25.3,91,1,
83595,24/02/2014,1200,3,,22,,,,,,
83595,25/02/2014,0000,,,,5.9,2,,,,
83595,25/02/2014,1200,6.8,,,,,,,,
83595,26/02/2014,0000,,33.5,,7.7,1.5,26.98,83,1,
83595,26/02/2014,1200,0,,22,,,,,,
83595,27/02/2014,0000,,34.2,,8.3,2.2,27.04,84,1,
83595,27/02/2014,1200,0,,22,,,,,,
83595,28/02/2014,0000,,35.5,,11,3.3,28.7,68,1,
83595,28/02/2014,1200,0,,23,,,,,,
83595,01/03/2014,0000,,35.5,,10,5,28.7,71,1,
83595,01/03/2014,1200,0,,23,,,,,,
83595,02/03/2014,0000,,34,,6,3.1,27.6,75,1,
83595,02/03/2014,1200,0,,23,,,,,,
83595,03/03/2014,0000,,33,,10.2,3,26.4,80,1,
83595,03/03/2014,1200,4.8,,22,,,,,,
83595,04/03/2014,0000,,,,7,4,,,,
83595,04/03/2014,1200,0,,,,,,,,
83595,05/03/2014,0000,,34,,7.2,3,27.6,80,1,
83595,05/03/2014,1200,0,,23,,,,,,
83595,06/03/2014,0000,,34.5,,10.3,3,28.1,75,1.55,
83595,06/03/2014,1200,0,,23,,,,,,
83595,07/03/2014,0000,,33.5,,3,4,27.3,77,1,
83595,07/03/2014,1200,0,,24,,,,,,
83595,08/03/2014,0000,,34,,7.7,3.2,28.2,75,1,
83595,08/03/2014,1200,0,,23,,,,,,
83595,09/03/2014,0000,,35.2,,4,4.5,29.04,71,1,
83595,09/03/2014,1200,0,,25,,,,,,
83595,10/03/2014,0000,,33,,6.1,3.8,28,73,1,
83595,10/03/2014,1200,0,,25,,,,,,
83595,11/03/2014,0000,,,,10.5,4,,,,
83595,11/03/2014,1200,0,,,,,,,,
83595,12/03/2014,0000,,35.2,,6.4,4,27.64,80,1,
83595,12/03/2014,1200,0,,23,,,,,,
83595,13/03/2014,0000,,34.2,,8.5,2.5,27.44,80,1,
83595,13/03/2014,1200,0,,23,,,,,,
83595,14/03/2014,0000,,35.2,,7.1,3.2,28.04,77,1,
83595,14/03/2014,1200,0.4,,23,,,,,,
83595,15/03/2014,0000,,35.2,,7.5,4.3,28.24,73,1,
83595,15/03/2014,1200,0,,24,,,,,,
83595,16/03/2014,0000,,35.2,,7.8,4,27.64,80,1,
83595,16/03/2014,1200,0,,23,,,,,,
83595,17/03/2014,0000,,35.5,,10.1,3.5,27.3,87,1,
83595,17/03/2014,1200,0,,22,,,,,,
83595,18/03/2014,0000,,,,7.3,4,,,,
83595,18/03/2014,1200,0,,,,,,,,
83595,19/03/2014,0000,,35.5,,7.1,4,28.1,75,1,
83595,19/03/2014,1200,0,,23,,,,,,
83595,20/03/2014,0000,,36.5,,10.6,3,28.9,70,1,
83595,20/03/2014,1200,0,,24,,,,,,
83595,21/03/2014,0000,,37,,10.4,4.5,29.6,71,1,
83595,21/03/2014,1200,0,,24,,,,,,
83595,22/03/2014,0000,,37,,10.4,4.5,29.4,71,1,
83595,22/03/2014,1200,0,,23,,,,,,
83595,23/03/2014,0000,,31,,0,4,25.6,92,1,
83595,23/03/2014,1200,18.2,,23,,,,,,
83595,24/03/2014,0000,,29.3,,0,1,24.06,91,1,
83595,24/03/2014,1200,1.6,,22,,,,,,
83595,25/03/2014,0000,,33,,7.9,1,25,89,1,
83595,25/03/2014,1200,11,,21,,,,,,
83595,26/03/2014,0000,,31,,4.6,2,25.2,92,1,
83595,26/03/2014,1200,4.2,,22,,,,,,
83595,27/03/2014,0000,,32,,5.7,2,25,89,1,
83595,27/03/2014,1200,0.8,,22,,,,,,
83595,28/03/2014,0000,,33.5,,8.2,1.5,25.7,87,1,
83595,28/03/2014,1200,0.4,,21,,,,,,
83595,29/03/2014,0000,,,,8.5,2,,,,
83595,29/03/2014,1200,3.8,,,,,,,,
83595,30/03/2014,0000,,33,,9.4,3.5,26.8,82,1,
83595,30/03/2014,1200,0,,22,,,,,,
83595,31/03/2014,0000,,32.5,,6.5,2.5,26.1,92,1,
83595,31/03/2014,1200,0,,23,,,,,,
83595,01/04/2014,0000,,33.5,,7.1,2.6,27.56,77,1,
83595,01/04/2014,1200,0,,23.5,,,,,,
83595,02/04/2014,0000,,32,,4.4,4.4,27.8,80,1,
83595,02/04/2014,1200,0,,24,,,,,,
83595,03/04/2014,0000,,34.5,,9.1,1.6,28.3,80,1.55,
83595,03/04/2014,1200,0,,24,,,,,,
83595,04/04/2014,0000,,33.5,,6.5,3.1,26.9,87,1,
83595,04/04/2014,1200,2.8,,23,,,,,,
83595,05/04/2014,0000,,33,,8.3,2,26.44,84,1,
