Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83579,01/01/2014,0000,,30.3,,7.6,2.9,23.82,75,1.633333,
83579,01/01/2014,1200,9.4,,19.2,,,,,,
83579,02/01/2014,0000,,32.1,,9.6,3.7,24.66,69.5,1.066667,
83579,02/01/2014,1200,0,,19.6,,,,,,
83579,03/01/2014,0000,,33.1,,10.6,6,26.7,49.25,1.633333,
83579,03/01/2014,1200,0,,20.8,,,,,,
83579,04/01/2014,0000,,32.9,,11.7,7.4,26.02,48.5,1.333333,
83579,04/01/2014,1200,0,,19.4,,,,,,
83579,05/01/2014,0000,,30.9,,11.1,10.5,25.1,49.5,1.9,
83579,05/01/2014,1200,0,,21.2,,,,,,
83579,06/01/2014,0000,,30.9,,9.2,11.9,24.7,49.5,1.6,
83579,06/01/2014,1200,0,,20,,,,,,
83579,07/01/2014,0000,,29.9,,10.5,8.5,23.78,55.75,1.6,
83579,07/01/2014,1200,0,,18.6,,,,,,
83579,08/01/2014,0000,,29.7,,10.8,8.2,23.42,53.75,1.333333,
83579,08/01/2014,1200,0,,18.4,,,,,,
83579,09/01/2014,0000,,30.5,,10.5,8.5,24.58,50.25,1.6,
83579,09/01/2014,1200,0,,19.6,,,,,,
83579,10/01/2014,0000,,30.5,,8.3,8.5,22.98,69.5,2.166667,
83579,10/01/2014,1200,0,,19.2,,,,,,
83579,11/01/2014,0000,,31.1,,11.2,4.8,24.54,58.5,1.6,
83579,11/01/2014,1200,4.2,,18.6,,,,,,
83579,12/01/2014,0000,,31.5,,10.9,7.2,25.54,49.75,2.2,
83579,12/01/2014,1200,0,,20.4,,,,,,
83579,13/01/2014,0000,,31.5,,9.8,9,23.94,65,2.466667,
83579,13/01/2014,1200,0,,19.4,,,,,,
83579,14/01/2014,0000,,31.7,,10,6.1,24.34,61,1.633333,
83579,14/01/2014,1200,1,,20,,,,,,
83579,15/01/2014,0000,,32.1,,9.1,6.4,24.74,57,1.6,
83579,15/01/2014,1200,0,,19.6,,,,,,
83579,16/01/2014,0000,,30.5,,8,6.6,23.62,60.75,4.4,
83579,16/01/2014,1200,0,,18.8,,,,,,
83579,17/01/2014,0000,,29.7,,4.2,5.4,22.38,74.5,2.466667,
83579,17/01/2014,1200,0,,18.6,,,,,,
83579,18/01/2014,0000,,26.9,,2.3,3.6,21.3,86.75,1.6,
83579,18/01/2014,1200,0.6,,19,,,,,,
83579,19/01/2014,0000,,29.9,,8.9,2.2,22.3,70,2.433333,
83579,19/01/2014,1200,13.2,,17.4,,,,,,
83579,20/01/2014,0000,,30.9,,9.2,3.2,22.58,75,1.9,
83579,20/01/2014,1200,15,,18,,,,,,
83579,21/01/2014,0000,,27.3,,6.7,4.4,21.18,81,3.733333,
83579,21/01/2014,1200,1.4,,17.6,,,,,,
83579,22/01/2014,0000,,29.9,,5.5,2.8,22.86,72,1.633333,
83579,22/01/2014,1200,0,,18.2,,,,,,
83579,23/01/2014,0000,,28.7,,5.1,3.8,21.78,82.25,1.333333,
83579,23/01/2014,1200,1.4,,19.2,,,,,,
83579,24/01/2014,0000,,28.9,,5.9,2.7,22.42,84.75,2.166667,
83579,24/01/2014,1200,14.4,,18,,,,,,
83579,25/01/2014,0000,,29.1,,6.7,2.6,22.66,74.25,1.933333,
83579,25/01/2014,1200,18.2,,18.4,,,,,,
83579,26/01/2014,0000,,30.5,,11.2,3.1,24.5,56.75,1.9,
83579,26/01/2014,1200,1.2,,19,,,,,,
83579,27/01/2014,0000,,28.5,,5.8,8.8,22.54,74.5,3,
83579,27/01/2014,1200,0,,19.6,,,,,,
83579,28/01/2014,0000,,29.1,,11.4,4.8,23.14,49,4,
83579,28/01/2014,1200,0.9,,18.8,,,,,,
83579,29/01/2014,0000,,29.9,,11.6,11,23.58,51.25,2.466667,
83579,29/01/2014,1200,0,,18.4,,,,,,
83579,30/01/2014,0000,,30.7,,11.7,9.5,24.34,56.5,2.766667,
83579,30/01/2014,1200,0,,18.8,,,,,,
83579,31/01/2014,0000,,30.5,,9.7,9.7,24.02,47,2.466667,
83579,31/01/2014,1200,0,,19.4,,,,,,
83579,01/02/2014,0000,,30.5,,11.3,10.3,24.06,49,3,
83579,01/02/2014,1200,0,,18,,,,,,
83579,02/02/2014,0000,,30.1,,10.5,10.5,23.54,43,3.933333,
83579,02/02/2014,1200,0,,18.6,,,,,,
83579,03/02/2014,0000,,30.7,,10.4,12.2,24.7,49.75,2.2,
83579,03/02/2014,1200,0,,19.2,,,,,,
83579,04/02/2014,0000,,31.7,,10.9,11.1,25.1,44.5,2.2,
83579,04/02/2014,1200,0,,20.4,,,,,,
83579,05/02/2014,0000,,32.7,,11.5,12.4,25.9,46.75,3.3,
83579,05/02/2014,1200,0,,21,,,,,,
83579,06/02/2014,0000,,31.5,,11.3,11.5,24.3,48,3,
83579,06/02/2014,1200,0,,19.2,,,,,,
83579,07/02/2014,0000,,31.1,,11.5,11.5,24.74,50.25,4.133333,
83579,07/02/2014,1200,0,,19.2,,,,,,
83579,08/02/2014,0000,,32.5,,11.4,10.7,24.98,38.75,3.2,
83579,08/02/2014,1200,0,,19.4,,,,,,
83579,09/02/2014,0000,,33.1,,11,12.8,25.18,43.5,1.6,
83579,09/02/2014,1200,0,,19.4,,,,,,
83579,10/02/2014,0000,,32.5,,9.4,10.7,25.38,46.75,1.6,
83579,10/02/2014,1200,0,,20.6,,,,,,
83579,11/02/2014,0000,,30.5,,10,10.6,24.46,45.25,2.733333,
83579,11/02/2014,1200,0,,20.4,,,,,,
83579,12/02/2014,0000,,31.3,,9.7,8.2,24.58,44,1.9,
83579,12/02/2014,1200,0,,18.6,,,,,,
83579,13/02/2014,0000,,32.5,,8.6,9.7,24.74,54.25,1.333333,
83579,13/02/2014,1200,0,,18.8,,,,,,
83579,14/02/2014,0000,,28.5,,4,8.4,22.78,72,1.9,
83579,14/02/2014,1200,0,,19.6,,,,,,
83579,15/02/2014,0000,,29.5,,2.6,5,22.3,88,3.666667,
83579,15/02/2014,1200,0,,19.2,,,,,,
83579,16/02/2014,0000,,26.3,,0.7,2.8,21.38,80.5,2.7,
83579,16/02/2014,1200,30.6,,18.6,,,,,,
83579,17/02/2014,0000,,30.5,,6.6,3.4,22.5,75.5,2.166667,
83579,17/02/2014,1200,5.2,,19,,,,,,
83579,18/02/2014,0000,,26.9,,4.4,3.7,21.82,87,2.166667,
83579,18/02/2014,1200,10.6,,18.6,,,,,,
