Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83533,01/01/2014,0000,,34.9,,10.3,4,26.62,59.25,0.666667,
83533,01/01/2014,1200,0.4,,17,,,,,,
83533,02/01/2014,0000,,35.1,,10.9,3.5,26.94,65,0.666667,
83533,02/01/2014,1200,0,,20.6,,,,,,
83533,03/01/2014,0000,,35.9,,11.3,5.5,25.24,63.75,0.666667,
83533,03/01/2014,1200,0,,17.7,,,,,,
83533,04/01/2014,0000,,34.9,,11.3,6,25.02,61.25,1.333333,
83533,04/01/2014,1200,0,,14.8,,,,,,
83533,05/01/2014,0000,,33.2,,11.3,0.5,24.44,60,0.666667,
83533,05/01/2014,1200,0,,15,,,,,,
83533,06/01/2014,0000,,33.8,,10.9,7.3,23.8,56.5,0.333333,
83533,06/01/2014,1200,0,,15.8,,,,,,
83533,07/01/2014,0000,,32.7,,10.7,4.2,23.4,60.25,1,
83533,07/01/2014,1200,0,,14.3,,,,,,
83533,08/01/2014,0000,,32.9,,10.5,5.3,22.88,66,0.666667,
83533,08/01/2014,1200,0,,14.1,,,,,,
83533,09/01/2014,0000,,33.7,,8.2,4.8,24.34,61.75,1,
83533,09/01/2014,1200,0,,14.2,,,,,,
83533,10/01/2014,0000,,32.7,,10.1,4.9,24.48,65,1.333333,
83533,10/01/2014,1200,0,,16.3,,,,,,
83533,11/01/2014,0000,,33.7,,10.6,5.3,24.66,65.75,2,
83533,11/01/2014,1200,0,,17,,,,,,
83533,12/01/2014,0000,,34.3,,10.4,4.7,24.58,62.75,1.333333,
83533,12/01/2014,1200,0,,16.6,,,,,,
83533,13/01/2014,0000,,34.5,,10.3,6.7,24.84,64.25,1.666667,
83533,13/01/2014,1200,0,,16.7,,,,,,
83533,14/01/2014,0000,,34.5,,10.6,5.8,23.78,61.75,2.333333,
83533,14/01/2014,1200,0,,14.6,,,,,,
83533,15/01/2014,0000,,35.1,,10.6,7,24.1,61.25,1.666667,
83533,15/01/2014,1200,0,,14.6,,,,,,
83533,16/01/2014,0000,,34.7,,9.3,6.2,24.1,79.75,1.666667,
83533,16/01/2014,1200,0,,15.8,,,,,,
83533,17/01/2014,0000,,32.1,,8.2,3.8,23.14,69,1,
83533,17/01/2014,1200,0,,17.8,,,,,,
83533,18/01/2014,0000,,28.9,,9,3,21.98,88,1.333333,
83533,18/01/2014,1200,15.8,,17.4,,,,,,
83533,19/01/2014,0000,,31.7,,5.2,1.5,23.66,71.75,1.333333,
83533,19/01/2014,1200,4.9,,18.6,,,,,,
83533,20/01/2014,0000,,32.1,,8.9,3.2,22.5,75.75,1.333333,
83533,20/01/2014,1200,1,,14.8,,,,,,
83533,21/01/2014,0000,,29.7,,4.6,3.6,22.12,89.5,1.333333,
83533,21/01/2014,1200,7.8,,16.3,,,,,,
83533,22/01/2014,0000,,31.7,,8,2.4,24.34,70.5,2.333333,
83533,22/01/2014,1200,10.4,,19.4,,,,,,
83533,23/01/2014,0000,,34.9,,9.2,4.1,24.98,62,0.666667,
83533,23/01/2014,1200,0,,17.8,,,,,,
83533,24/01/2014,0000,,33.9,,8.4,5.1,24.54,74.75,1,
83533,24/01/2014,1200,0,,19,,,,,,
83533,25/01/2014,0000,,33.7,,11.1,4.4,23.98,72,0.666667,
