Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83592,01/01/2014,0000,,33.7,,9.8,3.1,27.36,72,1.3,
83592,01/01/2014,1200,0,,21.7,,,,,,
83592,02/01/2014,0000,,32.5,,12,3.8,26.32,66.75,2.166667,
83592,02/01/2014,1200,0,,21.3,,,,,,
83592,03/01/2014,0000,,32,,12.5,5.2,24.26,70.5,1.333333,
83592,03/01/2014,1200,0,,18,,,,,,
83592,04/01/2014,0000,,32.1,,12.6,4,23.82,67,1.6,
83592,04/01/2014,1200,0,,16.7,,,,,,
83592,05/01/2014,0000,,31.2,,12.7,4.9,24,68.75,1.6,
83592,05/01/2014,1200,0,,19.2,,,,,,
83592,06/01/2014,0000,,30.8,,11.7,5,24.74,60.5,1.966667,
83592,06/01/2014,1200,0,,18.8,,,,,,
83592,07/01/2014,0000,,30.3,,12.3,6.4,23.4,66.5,1.866667,
83592,07/01/2014,1200,0,,18.7,,,,,,
83592,08/01/2014,0000,,31.2,,11.2,5.7,24.62,62,2.1,
83592,08/01/2014,1200,0,,18.1,,,,,,
83592,09/01/2014,0000,,30.1,,3.7,4.4,23.16,78.25,1.833333,
83592,09/01/2014,1200,0,,17.7,,,,,,
83592,10/01/2014,0000,,31,,10.7,3.9,25.42,66.25,2.233333,
83592,10/01/2014,1200,0,,20.3,,,,,,
83592,11/01/2014,0000,,31.6,,11.6,4.8,25.1,67,1.6,
83592,11/01/2014,1200,0,,20.1,,,,,,
83592,12/01/2014,0000,,32,,8.8,4.7,25.48,69.5,1.733333,
83592,12/01/2014,1200,0,,21.1,,,,,,
83592,13/01/2014,0000,,31.1,,9.7,4.6,24.88,67.75,0.8,
83592,13/01/2014,1200,0,,20.5,,,,,,
83592,14/01/2014,0000,,32,,11.1,4.7,24.62,71.25,1.933333,
83592,14/01/2014,1200,0,,21.3,,,,,,
83592,15/01/2014,0000,,32,,12.7,4.7,24.02,67.25,1.1,
83592,15/01/2014,1200,0,,17.8,,,,,,
83592,16/01/2014,0000,,32.3,,9.8,4,23.34,69.5,1.066667,
83592,16/01/2014,1200,0,,17.1,,,,,,
83592,17/01/2014,0000,,29.4,,4.1,4.8,23.76,72.5,1.566667,
83592,17/01/2014,1200,0,,18.3,,,,,,
83592,18/01/2014,0000,,28.2,,1,3.2,22.1,93.25,1.033333,
83592,18/01/2014,1200,0.2,,19.6,,,,,,
83592,19/01/2014,0000,,28.2,,6.7,1.1,22.62,81.25,1.866667,
83592,19/01/2014,1200,42,,19.3,,,,,,
83592,20/01/2014,0000,,29.7,,6.4,2.5,23.6,84.5,1.1,
83592,20/01/2014,1200,0,,18.5,,,,,,
83592,21/01/2014,0000,,31.1,,3.5,2,23.82,80.75,1.6,
83592,21/01/2014,1200,2.8,,20,,,,,,
83592,22/01/2014,0000,,31.3,,5.8,2.2,24.94,79.5,1.233333,
83592,22/01/2014,1200,0,,20.8,,,,,,
83592,23/01/2014,0000,,31.8,,5.7,2.9,25.34,80.5,1.2,
83592,23/01/2014,1200,0.3,,21.3,,,,,,
83592,24/01/2014,0000,,31.3,,8.8,2.6,24.96,72.5,1.433333,
83592,24/01/2014,1200,0,,21.3,,,,,,
83592,25/01/2014,0000,,31.7,,10.4,2.4,24.16,74,1.133333,
83592,25/01/2014,1200,0,,18.7,,,,,,
83592,26/01/2014,0000,,31.5,,10.3,2.9,24.44,73.25,0.8,
83592,26/01/2014,1200,0,,19.7,,,,,,
83592,27/01/2014,0000,,31,,11.2,4.6,24.68,64.25,2.5,
83592,27/01/2014,1200,0,,20.8,,,,,,
83592,28/01/2014,0000,,30.6,,12,5.4,23.96,60.5,2.033333,
83592,28/01/2014,1200,0,,18.2,,,,,,
83592,29/01/2014,0000,,31,,11.7,6.6,24.46,67,3.3,
83592,29/01/2014,1200,0,,17.7,,,,,,
83592,30/01/2014,0000,,31.4,,12.4,5.7,24.74,63.25,3.166667,
83592,30/01/2014,1200,0,,18.7,,,,,,
83592,31/01/2014,0000,,31.2,,11.1,3.7,24.44,64.75,1.366667,
83592,31/01/2014,1200,0,,17.2,,,,,,
83592,01/02/2014,0000,,31.6,,10,5.6,24.56,69.5,1.333333,
83592,01/02/2014,1200,0,,20.8,,,,,,
83592,02/02/2014,0000,,32.7,,12.7,6,25.16,62,1.8,
83592,02/02/2014,1200,0,,18.7,,,,,,
83592,03/02/2014,0000,,32,,12.4,7.9,25.34,65.5,2.066667,
83592,03/02/2014,1200,0,,21.3,,,,,,
83592,04/02/2014,0000,,33,,12.5,7.7,25.96,58.75,3.533333,
83592,04/02/2014,1200,0,,19.2,,,,,,
83592,05/02/2014,0000,,30.6,,8.8,6.9,24.38,70.75,3.1,
83592,05/02/2014,1200,0,,19.7,,,,,,
83592,06/02/2014,0000,,31.8,,11.4,5.8,25.42,61.25,2.866667,
83592,06/02/2014,1200,0,,19.2,,,,,,
83592,07/02/2014,0000,,31.6,,12.1,7.8,25.34,63.25,1.6,
83592,07/02/2014,1200,0,,19.7,,,,,,
83592,08/02/2014,0000,,31.8,,12.5,7.5,24.28,65,2.266667,
83592,08/02/2014,1200,0,,17.9,,,,,,
83592,09/02/2014,0000,,32.4,,12.4,6.2,25.24,61.75,2,
83592,09/02/2014,1200,0,,19.2,,,,,,
83592,10/02/2014,0000,,32.3,,10.6,5.7,25.22,59.75,1.566667,
83592,10/02/2014,1200,0,,19.6,,,,,,
83592,11/02/2014,0000,,31.6,,8,6.1,24.66,63,2.2,
83592,11/02/2014,1200,0,,18.7,,,,,,
83592,12/02/2014,0000,,31.4,,9.6,5.8,23.74,66.5,1,
83592,12/02/2014,1200,0,,16.9,,,,,,
83592,13/02/2014,0000,,32.8,,7.2,4.5,25.08,67,1.6,
83592,13/02/2014,1200,0,,19.2,,,,,,
83592,14/02/2014,0000,,32.7,,9.1,4.6,25.66,64,2.266667,
