Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83485,01/01/2014,0000,,33.6,,,6,26.5,60.25,,
83485,01/01/2014,1200,0.5,,20.3,,,,,,
83485,02/01/2014,0000,,32.6,,,6.6,25.34,59.5,,
83485,02/01/2014,1200,0,,19.3,,,,,,
83485,03/01/2014,0000,,30,,,7,22.46,65.75,,
83485,03/01/2014,1200,0,,15.7,,,,,,
83485,04/01/2014,0000,,30.8,,,7.5,22.66,63.25,,
83485,04/01/2014,1200,0,,15.1,,,,,,
83485,05/01/2014,0000,,30.8,,,7.3,23.26,58.75,,
83485,05/01/2014,1200,0,,16.1,,,,,,
83485,06/01/2014,0000,,30.6,,,6.7,22.86,60.25,,
83485,06/01/2014,1200,0,,16.5,,,,,,
83485,07/01/2014,0000,,29.4,,,6,21.86,63.5,,
83485,07/01/2014,1200,0,,15.7,,,,,,
83485,08/01/2014,0000,,30.8,,,6,23.62,62,,
83485,08/01/2014,1200,0,,18.7,,,,,,
83485,09/01/2014,0000,,29.6,,,6,23.18,68,,
83485,09/01/2014,1200,0,,17.3,,,,,,
83485,10/01/2014,0000,,30.2,,,4.5,23.94,64.5,,
83485,10/01/2014,1200,0,,19.7,,,,,,
83485,11/01/2014,0000,,30.2,,,6.5,23.74,63,,
83485,11/01/2014,1200,0,,19.9,,,,,,
83485,12/01/2014,0000,,30.8,,,5.7,24.3,64,,
83485,12/01/2014,1200,0,,17.5,,,,,,
83485,13/01/2014,0000,,32,,,6,25.1,54,,
83485,13/01/2014,1200,0,,19.7,,,,,,
83485,14/01/2014,0000,,31.6,,,6.8,24.5,58.5,,
83485,14/01/2014,1200,0,,18.7,,,,,,
83485,15/01/2014,0000,,31.4,,,6.3,23.58,63.5,,
83485,15/01/2014,1200,0,,17.5,,,,,,
83485,16/01/2014,0000,,33,,,4.4,24.58,61.25,,
83485,16/01/2014,1200,0,,17.3,,,,,,
83485,17/01/2014,0000,,30.8,,,,24.38,60,,
83485,17/01/2014,1200,0,,17.9,,,,,,
83485,18/01/2014,0000,,30.2,,,6,23.26,79.75,,
83485,18/01/2014,1200,0,,19.7,,,,,,
83485,19/01/2014,0000,,25.8,,,3.3,21.94,83.75,,
83485,19/01/2014,1200,5.6,,19.3,,,,,,
83485,20/01/2014,0000,,26.8,,,1,22.38,84.25,,
83485,20/01/2014,1200,0.2,,20.1,,,,,,
83485,21/01/2014,0000,,30,,,2.1,23.1,80.25,,
83485,21/01/2014,1200,2.3,,19.3,,,,,,
83485,22/01/2014,0000,,30.2,,,2.8,23.5,81,,
83485,22/01/2014,1200,1.7,,20.9,,,,,,
83485,23/01/2014,0000,,32.2,,,2.8,23.18,75.25,,
83485,23/01/2014,1200,3,,17.5,,,,,,
83485,24/01/2014,0000,,31.8,,,3,23.42,71.75,,
83485,24/01/2014,1200,1.6,,18.9,,,,,,
83485,25/01/2014,0000,,30.2,,,5,22.7,62.5,,
83485,25/01/2014,1200,0,,14.9,,,,,,
83485,26/01/2014,0000,,32,,,5,23.42,63.5,,
83485,26/01/2014,1200,0,,15.9,,,,,,
83485,27/01/2014,0000,,31.2,,,5.5,23.74,55.25,,
83485,27/01/2014,1200,0,,17.9,,,,,,
83485,28/01/2014,0000,,28.8,,,6.5,22.78,59.75,,
83485,28/01/2014,1200,0,,17.7,,,,,,
83485,29/01/2014,0000,,28.8,,,7,23.06,68,,
83485,29/01/2014,1200,0,,16.9,,,,,,
83485,30/01/2014,0000,,30.4,,,4.5,23.38,61.5,,
83485,30/01/2014,1200,0,,17.9,,,,,,
83485,31/01/2014,0000,,30.2,,,5,22.98,58,,
83485,31/01/2014,1200,0,,17.5,,,,,,
83485,01/02/2014,0000,,30.6,,,6,23.02,52.5,,
83485,01/02/2014,1200,0,,15.5,,,,,,
83485,02/02/2014,0000,,31.8,,,7,23.26,57,,
83485,02/02/2014,1200,0,,14.9,,,,,,
83485,03/02/2014,0000,,31.2,,,7.5,24.22,53.5,,
83485,03/02/2014,1200,0,,19.1,,,,,,
83485,04/02/2014,0000,,31.8,,,8,23.7,64.75,,
83485,04/02/2014,1200,0,,16.1,,,,,,
83485,05/02/2014,0000,,29.2,,,5.7,23.34,67,,
83485,05/02/2014,1200,0,,18.9,,,,,,
83485,06/02/2014,0000,,31,,,5.3,23.66,63,,
83485,06/02/2014,1200,0,,17.7,,,,,,
83485,07/02/2014,0000,,31.2,,,6.5,23.5,54.75,,
83485,07/02/2014,1200,0,,17.7,,,,,,
83485,08/02/2014,0000,,31.4,,,7,23.42,55,,
83485,08/02/2014,1200,0,,16.5,,,,,,
83485,09/02/2014,0000,,31,,,6.4,23.54,55.75,,
83485,09/02/2014,1200,0,,17.3,,,,,,
83485,10/02/2014,0000,,30.2,,,6.2,23.22,62.75,,
83485,10/02/2014,1200,0,,17.7,,,,,,
83485,11/02/2014,0000,,30,,,6,23.18,58.75,,
83485,11/02/2014,1200,0,,18.7,,,,,,
83485,12/02/2014,0000,,30.8,,,5.5,23.34,58,,
83485,12/02/2014,1200,0,,17.5,,,,,,
83485,13/02/2014,0000,,32,,,5.2,23.66,60.25,,
83485,13/02/2014,1200,0,,16.3,,,,,,
83485,14/02/2014,0000,,32,,,5.5,24.02,59.75,,
83485,14/02/2014,1200,0,,16.9,,,,,,
83485,15/02/2014,0000,,32.4,,,5.5,24.06,53.25,,
83485,15/02/2014,1200,0,,17.1,,,,,,
83485,16/02/2014,0000,,30.2,,,6.6,23.14,63.5,,
83485,16/02/2014,1200,0,,16.9,,,,,,
83485,17/02/2014,0000,,31.8,,,4.4,23.62,57.75,,
83485,17/02/2014,1200,0,,16.5,,,,,,
83485,18/02/2014,0000,,31.4,,,6,23.74,67.75,,
83485,18/02/2014,1200,0,,18.7,,,,,,
83485,19/02/2014,0000,,28.6,,,5,22.9,67,,
83485,19/02/2014,1200,0,,19.7,,,,,,
83485,20/02/2014,0000,,30.4,,,4.5,23.02,63.25,,
83485,20/02/2014,1200,0,,16.9,,,,,,
83485,21/02/2014,0000,,30,,,6.5,22.74,66,,
83485,21/02/2014,1200,0,,18.7,,,,,,
83485,22/02/2014,0000,,30,,,6,23.7,64.25,,
83485,22/02/2014,1200,0,,18.1,,,,,,
83485,23/02/2014,0000,,31.8,,,6,24.7,57,,
83485,23/02/2014,1200,0,,19.7,,,,,,
83485,24/02/2014,0000,,31.6,,,7,24.62,60,,
83485,24/02/2014,1200,0,,19.3,,,,,,
83485,25/02/2014,0000,,32.2,,,6.5,24.22,60.5,,
83485,25/02/2014,1200,0,,20.1,,,,,,
83485,26/02/2014,0000,,30,,,6,23.5,65.5,,
83485,26/02/2014,1200,0,,18.1,,,,,,
83485,27/02/2014,0000,,32.4,,,5,24.9,57,,
83485,27/02/2014,1200,0,,19.7,,,,,,
83485,28/02/2014,0000,,32.8,,,6,23.66,65,,
83485,28/02/2014,1200,0,,17.7,,,,,,
83485,01/03/2014,0000,,31.8,,,5.3,23.78,64,,
83485,01/03/2014,1200,0,,18.5,,,,,,
83485,02/03/2014,0000,,27.6,,,3.5,22.5,83.25,,
83485,02/03/2014,1200,6.3,,18.9,,,,,,
83485,03/03/2014,0000,,29.8,,,2.5,23.38,65,,
83485,03/03/2014,1200,0,,19.1,,,,,,
83485,04/03/2014,0000,,27.8,,,5,23.18,67.75,,
83485,04/03/2014,1200,0,,17.9,,,,,,
83485,05/03/2014,0000,,29,,,4.4,23.74,64,,
83485,05/03/2014,1200,0,,19.5,,,,,,
83485,06/03/2014,0000,,30,,,5,23.3,69.25,,
83485,06/03/2014,1200,0,,17.9,,,,,,
83485,07/03/2014,0000,,30.4,,,4.2,23.98,65.5,,
83485,07/03/2014,1200,0,,18.9,,,,,,
83485,08/03/2014,0000,,30.8,,,3.7,23.18,72.25,,
83485,08/03/2014,1200,0,,18.1,,,,,,
83485,09/03/2014,0000,,26.6,,,4.5,21.38,90.25,,
83485,09/03/2014,1200,25.2,,19.1,,,,,,
83485,10/03/2014,0000,,28.2,,,1.5,22.18,82.75,,
83485,10/03/2014,1200,38.7,,18.7,,,,,,
83485,11/03/2014,0000,,29,,,1.8,22.9,70.75,,
83485,11/03/2014,1200,0,,18.9,,,,,,
83485,12/03/2014,0000,,30.4,,,4.2,22.9,67.5,,
83485,12/03/2014,1200,0,,16.1,,,,,,
83485,13/03/2014,0000,,30.4,,,5,23.66,69,,
83485,13/03/2014,1200,0,,19.7,,,,,,
83485,14/03/2014,0000,,30,,,3,23.58,65,,
83485,14/03/2014,1200,0,,19.9,,,,,,
83485,15/03/2014,0000,,30.2,,,5,23.02,60.5,,
83485,15/03/2014,1200,0,,18.7,,,,,,
83485,16/03/2014,0000,,30,,,4.5,22.7,63.5,,
83485,16/03/2014,1200,0,,15.9,,,,,,
83485,17/03/2014,0000,,26.6,,,5.5,22.1,72.75,,
83485,17/03/2014,1200,0,,18.7,,,,,,
83485,18/03/2014,0000,,30,,,2.5,22.38,73,,
83485,18/03/2014,1200,0,,17.5,,,,,,
83485,19/03/2014,0000,,29.6,,,3.5,22.5,70.75,,
83485,19/03/2014,1200,0,,17.1,,,,,,
83485,20/03/2014,0000,,29.8,,,5,22.46,71.75,,
83485,20/03/2014,1200,0,,15.9,,,,,,
83485,21/03/2014,0000,,32.4,,,4,24.42,67.25,,
83485,21/03/2014,1200,0,,16.5,,,,,,
83485,22/03/2014,0000,,33.2,,,4,24.66,69.5,,
83485,22/03/2014,1200,0,,18.9,,,,,,
83485,23/03/2014,0000,,31.2,,,4.5,24.1,75.5,,
83485,23/03/2014,1200,14.6,,19.5,,,,,,
83485,24/03/2014,0000,,29.6,,,3,22.5,82.5,,
83485,24/03/2014,1200,25.2,,19.3,,,,,,
83485,25/03/2014,0000,,26.2,,,1.8,22.1,76.75,,
83485,25/03/2014,1200,0,,19.5,,,,,,
83485,26/03/2014,0000,,26.2,,,2,22.3,76.75,,
83485,26/03/2014,1200,0,,19.5,,,,,,
83485,27/03/2014,0000,,27,,,1.6,22.66,75.75,,
83485,27/03/2014,1200,0,,19.5,,,,,,
83485,28/03/2014,0000,,28.2,,,1.5,22.58,74.75,,
83485,28/03/2014,1200,0,,20.1,,,,,,
83485,29/03/2014,0000,,29.2,,,1.5,22.86,73.75,,
83485,29/03/2014,1200,0,,18.7,,,,,,
83485,30/03/2014,0000,,28.6,,,1.5,22.82,80.25,,
83485,30/03/2014,1200,0,,20.3,,,,,,
83485,31/03/2014,0000,,28.6,,,0.9,22.7,87,,
83485,31/03/2014,1200,8.8,,18.7,,,,,,
83485,01/04/2014,0000,,29.8,,,1,23.1,78.5,,
83485,01/04/2014,1200,0,,18.9,,,,,,
83485,02/04/2014,0000,,30,,,1.6,23.94,75.5,,
83485,02/04/2014,1200,0,,19.1,,,,,,
83485,03/04/2014,0000,,30.4,,,1.5,23.22,78.75,,
83485,03/04/2014,1200,0,,20.1,,,,,,
83485,04/04/2014,0000,,30,,,1,23.58,77.25,,
83485,04/04/2014,1200,1.2,,19.1,,,,,,
83485,05/04/2014,0000,,27.6,,,1.2,23.06,77.25,,
83485,05/04/2014,1200,0,,20.3,,,,,,
83485,06/04/2014,0000,,29.6,,,1.3,22.98,67.5,,
83485,06/04/2014,1200,0.5,,19.5,,,,,,
83485,07/04/2014,0000,,29.8,,,1.3,21.66,72.25,,
83485,07/04/2014,1200,0,,16.9,,,,,,
83485,08/04/2014,0000,,31.2,,,4.2,22.38,64,,
83485,08/04/2014,1200,0,,15.1,,,,,,
83485,09/04/2014,0000,,32.2,,,5.3,23.14,61.25,,
83485,09/04/2014,1200,0,,15.5,,,,,,
83485,10/04/2014,0000,,32.8,,,3.5,24.78,61,,
83485,10/04/2014,1200,0,,16.9,,,,,,
83485,11/04/2014,0000,,30.2,,,2.5,23.94,65.5,,
83485,11/04/2014,1200,0,,19.7,,,,,,
83485,12/04/2014,0000,,29.2,,,3,22.22,70,,
83485,12/04/2014,1200,0,,17.9,,,,,,
83485,13/04/2014,0000,,30.8,,,1.5,22.26,68.75,,
83485,13/04/2014,1200,0,,15.9,,,,,,
83485,14/04/2014,0000,,31.4,,,2.5,23.58,68,,
83485,14/04/2014,1200,0,,16.3,,,,,,
83485,15/04/2014,0000,,31.4,,,5.6,24.9,64.75,,
83485,15/04/2014,1200,0,,18.7,,,,,,
83485,16/04/2014,0000,,30.2,,,4.9,23.82,68.25,,
83485,16/04/2014,1200,0,,20.1,,,,,,
83485,17/04/2014,0000,,30,,,3.5,22.78,68.5,,
83485,17/04/2014,1200,0,,17.7,,,,,,
83485,18/04/2014,0000,,31.8,,,3.2,22.9,68.5,,
83485,18/04/2014,1200,0,,15.9,,,,,,
83485,19/04/2014,0000,,30.6,,,3.1,22.62,72.25,,
83485,19/04/2014,1200,0,,15.9,,,,,,
83485,20/04/2014,0000,,30.8,,,2.8,23.82,70.75,,
83485,20/04/2014,1200,0,,16.5,,,,,,
83485,21/04/2014,0000,,31,,,2.9,23.9,71.75,,
83485,21/04/2014,1200,0,,18.7,,,,,,
83485,22/04/2014,0000,,28.8,,,2.3,22.58,73.75,,
83485,22/04/2014,1200,0,,18.9,,,,,,
83485,23/04/2014,0000,,30.2,,,1.6,22.1,72,,
83485,23/04/2014,1200,0,,15.7,,,,,,
83485,24/04/2014,0000,,31,,,1.6,22.86,73.25,,
83485,24/04/2014,1200,0,,15.9,,,,,,
83485,25/04/2014,0000,,25,,,3.6,20.86,87.5,,
83485,25/04/2014,1200,0.8,,19.3,,,,,,
83485,26/04/2014,0000,,25.4,,,1.2,20.82,77.25,,
83485,26/04/2014,1200,1,,18.3,,,,,,
83485,27/04/2014,0000,,27.6,,,1.6,19.74,71,,
83485,27/04/2014,1200,0,,16.1,,,,,,
83485,28/04/2014,0000,,26,,,2.1,18.86,67.25,,
83485,28/04/2014,1200,0,,14.7,,,,,,
83485,29/04/2014,0000,,24.4,,,2.6,16.9,63.25,,
83485,29/04/2014,1200,0,,10.5,,,,,,
83485,30/04/2014,0000,,23,,,3,16.46,63.75,,
83485,30/04/2014,1200,0,,9.3,,,,,,
83485,01/05/2014,0000,,26.8,,,3,16.98,65.75,,
83485,01/05/2014,1200,0,,8.5,,,,,,
83485,02/05/2014,0000,,28.2,,,3,18.38,60.25,,
83485,02/05/2014,1200,0,,8.7,,,,,,
83485,03/05/2014,0000,,26,,,5,17.38,65.75,,
83485,03/05/2014,1200,0,,8.9,,,,,,
83485,04/05/2014,0000,,28,,,4,19.98,66,,
83485,04/05/2014,1200,0,,11.1,,,,,,
83485,05/05/2014,0000,,28.6,,,4,21.94,65.75,,
83485,05/05/2014,1200,0,,15.5,,,,,,
83485,06/05/2014,0000,,29.2,,,3.5,21.98,61.25,,
83485,06/05/2014,1200,0,,14.9,,,,,,
83485,07/05/2014,0000,,27,,,2.5,22.26,72.25,,
83485,07/05/2014,1200,0,,18.9,,,,,,
83485,08/05/2014,0000,,28,,,4,21.62,72.5,,
83485,08/05/2014,1200,0,,17.9,,,,,,
83485,09/05/2014,0000,,31.2,,,4.5,22.58,58.5,,
83485,09/05/2014,1200,0,,14.5,,,,,,
83485,10/05/2014,0000,,29.8,,,5,21.86,73,,
83485,10/05/2014,1200,0,,16.5,,,,,,
83485,11/05/2014,0000,,24.2,,,4.4,18.54,75.25,,
83485,11/05/2014,1200,0,,15.5,,,,,,
83485,12/05/2014,0000,,24.8,,,4.1,18.54,55.5,,
83485,12/05/2014,1200,0,,14.5,,,,,,
83485,13/05/2014,0000,,26.2,,,4.5,16.42,63.75,,
83485,13/05/2014,1200,0,,7.9,,,,,,
83485,14/05/2014,0000,,27,,,5.5,17.86,66,,
83485,14/05/2014,1200,0,,9.7,,,,,,
83485,15/05/2014,0000,,28.2,,,4.1,18.06,70.25,,
83485,15/05/2014,1200,0,,10.1,,,,,,
83485,16/05/2014,0000,,30,,,3.6,20.18,68.25,,
83485,16/05/2014,1200,0,,11.5,,,,,,
83485,17/05/2014,0000,,28.4,,,4,21.26,64.25,,
83485,17/05/2014,1200,0,,14.7,,,,,,
83485,18/05/2014,0000,,27.6,,,4.2,20.62,60.75,,
83485,18/05/2014,1200,0,,14.5,,,,,,
83485,19/05/2014,0000,,28.4,,,4.3,20.5,65.5,,
83485,19/05/2014,1200,0,,13.5,,,,,,
83485,20/05/2014,0000,,27,,,4,18.98,72.5,,
83485,20/05/2014,1200,0,,13.3,,,,,,
83485,21/05/2014,0000,,27,,,3.6,18.54,66.5,,
83485,21/05/2014,1200,0,,12.3,,,,,,
83485,22/05/2014,0000,,29.4,,,4.7,19.9,68.5,,
83485,22/05/2014,1200,0,,12.1,,,,,,
83485,23/05/2014,0000,,31.4,,,4,21.38,63.25,,
83485,23/05/2014,1200,0,,13.7,,,,,,
83485,24/05/2014,0000,,31.8,,,4.7,22.98,61,,
83485,24/05/2014,1200,0,,14.9,,,,,,
83485,25/05/2014,0000,,27.4,,,9,22.26,76.75,,
83485,25/05/2014,1200,0,,20.1,,,,,,
83485,26/05/2014,0000,,28.6,,,3,21.42,77.25,,
83485,26/05/2014,1200,0,,16.9,,,,,,
83485,27/05/2014,0000,,30.8,,,3.7,22.02,68.25,,
83485,27/05/2014,1200,0,,14.9,,,,,,
83485,28/05/2014,0000,,30.6,,,4.3,22.98,69.75,,
83485,28/05/2014,1200,0,,16.5,,,,,,
83485,29/05/2014,0000,,25.2,,,4,20.54,78,,
83485,29/05/2014,1200,0,,18.3,,,,,,
83485,30/05/2014,0000,,25.2,,,4,19.22,76.5,,
83485,30/05/2014,1200,0,,17.1,,,,,,
83485,31/05/2014,0000,,24.6,,,3,18.98,67.5,,
83485,31/05/2014,1200,0,,15.7,,,,,,
83485,01/06/2014,0000,,27.8,,,4,17.94,67.75,,
83485,01/06/2014,1200,0,,10.9,,,,,,
83485,02/06/2014,0000,,27.2,,,5,17.9,74.5,,
83485,02/06/2014,1200,0,,10.9,,,,,,
83485,03/06/2014,0000,,29.2,,,4,20.62,64.5,,
83485,03/06/2014,1200,0,,13.1,,,,,,
83485,04/06/2014,0000,,25.4,,,5,19.9,78.25,,
83485,04/06/2014,1200,3.4,,15.5,,,,,,
83485,05/06/2014,0000,,24.4,,,2.5,17.62,85.75,,
83485,05/06/2014,1200,0,,13.5,,,,,,
83485,06/06/2014,0000,,28,,,1.7,18.14,75.25,,
83485,06/06/2014,1200,0.2,,12.1,,,,,,
83485,07/06/2014,0000,,26.4,,,4.6,17.78,71,,
83485,07/06/2014,1200,0,,10.5,,,,,,
83485,08/06/2014,0000,,27.8,,,4.4,18.62,63.25,,
83485,08/06/2014,1200,0,,10.9,,,,,,
83485,09/06/2014,0000,,27.8,,,6.1,20.74,60,,
83485,09/06/2014,1200,0,,15.5,,,,,,
83485,10/06/2014,0000,,26,,,5.1,19.06,66.75,,
