Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83538,01/01/2014,0000,,,,10,2.8,,70.5,1,
83538,01/01/2014,1200,8.8,,18.8,,,,,,
83538,02/01/2014,0000,,,,12.4,4.2,,60.25,0,
83538,02/01/2014,1200,0.9,,18.4,,,,,,
83538,03/01/2014,0000,,,,12.8,7.1,,49.75,0.5,
83538,03/01/2014,1200,0,,16.2,,,,,,
83538,04/01/2014,0000,,,,13,7.1,,55.5,0.666667,
83538,04/01/2014,1200,0,,15.8,,,,,,
83538,05/01/2014,0000,,,,12.3,6.7,,58.75,1.366667,
83538,05/01/2014,1200,0,,16.6,,,,,,
83538,06/01/2014,0000,,,,11.4,6.4,,62.75,0.866667,
83538,06/01/2014,1200,0,,14.2,,,,,,
83538,07/01/2014,0000,,,,11.2,5.3,,63.5,1.2,
83538,07/01/2014,1200,0,,14.8,,,,,,
83538,08/01/2014,0000,,,,8.5,5.1,,59.5,0.166667,
83538,08/01/2014,1200,0,,16.2,,,,,,
83538,09/01/2014,0000,,,,7.9,5.2,,77.5,1.366667,
83538,09/01/2014,1200,0,,15,,,,,,
83538,10/01/2014,0000,,,,6.2,3.3,,69.75,1.033333,
83538,10/01/2014,1200,0.5,,16.8,,,,,,
83538,11/01/2014,0000,,,,7.2,4.6,,65.75,2.066667,
83538,11/01/2014,1200,0,,17,,,,,,
83538,12/01/2014,0000,,,,10,4.8,,67,1.9,
83538,12/01/2014,1200,0.5,,16.2,,,,,,
83538,13/01/2014,0000,,,,9.8,4.9,,60,1.033333,
83538,13/01/2014,1200,0,,16.5,,,,,,
83538,14/01/2014,0000,,,,9.5,6.2,,61.25,1.566667,
83538,14/01/2014,1200,0,,16.2,,,,,,
83538,15/01/2014,0000,,,,8.3,6.2,,66.75,0.833333,
83538,15/01/2014,1200,0,,16.4,,,,,,
83538,16/01/2014,0000,,,,10.5,4.2,,50.75,1.4,
83538,16/01/2014,1200,0,,16.2,,,,,,
83538,17/01/2014,0000,,,,6.3,7,,75.5,1.4,
83538,17/01/2014,1200,0,,15.6,,,,,,
83538,18/01/2014,0000,,,,1.2,3.5,,89.25,0.5,
83538,18/01/2014,1200,2.4,,15.2,,,,,,
83538,19/01/2014,0000,,,,0.3,1.7,,91.75,0.666667,
83538,19/01/2014,1200,15.4,,16,,,,,,
83538,20/01/2014,0000,,,,0,0.9,,92.5,0.5,
83538,20/01/2014,1200,2.4,,16.4,,,,,,
83538,21/01/2014,0000,,,,4.1,1.1,,88.75,0,
83538,21/01/2014,1200,9.2,,16,,,,,,
83538,22/01/2014,0000,,,,2.6,2.2,,76,0.5,
83538,22/01/2014,1200,7,,17.1,,,,,,
83538,23/01/2014,0000,,,,9.3,3,,66.75,0.5,
83538,23/01/2014,1200,0,,17.2,,,,,,
83538,24/01/2014,0000,,,,11.5,4,,67.5,0.166667,
83538,24/01/2014,1200,0,,17.2,,,,,,
83538,25/01/2014,0000,,,,11.4,5.2,,61.25,2.733333,
83538,25/01/2014,1200,0,,15.6,,,,,,
83538,26/01/2014,0000,,,,10.1,4.6,,72.75,1.2,
83538,26/01/2014,1200,0,,16,,,,,,
83538,27/01/2014,0000,,,,11,4.4,,65.5,2.533333,
83538,27/01/2014,1200,5.6,,15.8,,,,,,
83538,28/01/2014,0000,,,,13,5.6,,57.75,1.7,
83538,28/01/2014,1200,0.1,,18.6,,,,,,
83538,29/01/2014,0000,,,,9.8,6.8,,73,1.566667,
83538,29/01/2014,1200,0,,15,,,,,,
83538,30/01/2014,0000,,,,11.4,3.8,,59,0.666667,
83538,30/01/2014,1200,0,,15,,,,,,
83538,31/01/2014,0000,,,,12.5,5.9,,56.75,1.4,
83538,31/01/2014,1200,0,,13.2,,,,,,
83538,01/02/2014,0000,,,,4.9,6.4,,58,1.366667,
83538,01/02/2014,1200,0,,13,,,,,,
83538,02/02/2014,0000,,,,12.5,6.3,,60.5,1.366667,
83538,02/02/2014,1200,0,,15.4,,,,,,
83538,03/02/2014,0000,,,,12.7,6.4,,56.5,1.033333,
83538,03/02/2014,1200,0,,15.9,,,,,,
83538,04/02/2014,0000,,,,12.8,7.6,,58.5,1.533333,
83538,04/02/2014,1200,0,,16.3,,,,,,
83538,05/02/2014,0000,,,,11.5,7.5,,71.75,1.166667,
83538,05/02/2014,1200,0,,17.8,,,,,,
83538,06/02/2014,0000,,,,11.5,5.8,,61,2.9,
83538,06/02/2014,1200,0,,15,,,,,,
83538,07/02/2014,0000,,,,12.6,5,,55.5,1.366667,
83538,07/02/2014,1200,0,,15.6,,,,,,
83538,08/02/2014,0000,,,,12,6.5,,57.25,1.7,
83538,08/02/2014,1200,0,,14.8,,,,,,
83538,09/02/2014,0000,,,,11.9,6.3,,56.75,2.233333,
83538,09/02/2014,1200,0,,16.1,,,,,,
83538,10/02/2014,0000,,,,5.2,6.2,,63.5,0.5,
83538,10/02/2014,1200,0,,15.4,,,,,,
83538,11/02/2014,0000,,,,8.9,4.8,,62.25,2.566667,
83538,11/02/2014,1200,0,,15.5,,,,,,
83538,12/02/2014,0000,,,,8,5.9,,59.75,0.5,
83538,12/02/2014,1200,0,,16.4,,,,,,
83538,13/02/2014,0000,,,,10.4,5.4,,63.25,1.9,
83538,13/02/2014,1200,0,,15.4,,,,,,
83538,14/02/2014,0000,,,,6.2,5.5,,65,1.2,
83538,14/02/2014,1200,0,,17,,,,,,
83538,15/02/2014,0000,,,,12.3,5.1,,53.5,1.7,
83538,15/02/2014,1200,0,,17.6,,,,,,
83538,16/02/2014,0000,,,,8.3,8.1,,60.25,2.066667,
83538,16/02/2014,1200,0,,16.4,,,,,,
83538,17/02/2014,0000,,,,4.4,4.9,,62.75,1.2,
83538,17/02/2014,1200,0,,15.2,,,,,,
83538,18/02/2014,0000,,,,3.6,5.2,,90.75,1.533333,
83538,18/02/2014,1200,0,,17.6,,,,,,
83538,19/02/2014,0000,,,,2.5,1.5,,93.75,0.333333,
83538,19/02/2014,1200,16.7,,15.8,,,,,,
83538,20/02/2014,0000,,,,7.8,1.3,,76.25,2.066667,
83538,20/02/2014,1200,13,,14.7,,,,,,
83538,21/02/2014,0000,,,,,3.6,,78,1.366667,
83538,21/02/2014,1200,0,,14.9,,,,,,
83538,22/02/2014,0000,,,,8.1,4,,74.25,1.2,
83538,22/02/2014,1200,0.3,,15.2,,,,,,
83538,23/02/2014,0000,,,,10,3.6,,73,0.333333,
83538,23/02/2014,1200,1.8,,17,,,,,,
83538,24/02/2014,0000,,,,8.1,4.3,,73,1.533333,
83538,24/02/2014,1200,0.5,,16.6,,,,,,
83538,25/02/2014,0000,,,,6.3,3.6,,68.5,1.366667,
83538,25/02/2014,1200,0.7,,16.8,,,,,,
83538,26/02/2014,0000,,,,12.5,5.3,,66.25,1.566667,
83538,26/02/2014,1200,0,,15.8,,,,,,
83538,27/02/2014,0000,,,,6.8,4.9,,69.25,0.666667,
83538,27/02/2014,1200,0,,16.4,,,,,,
83538,28/02/2014,0000,,,,8.4,4.6,,69.5,1.2,
83538,28/02/2014,1200,0,,16.1,,,,,,
83538,01/03/2014,0000,,,,4,3.8,,86.25,0.333333,
83538,01/03/2014,1200,7,,15.5,,,,,,
83538,02/03/2014,0000,,,,3,1.7,,83,1.533333,
83538,02/03/2014,1200,17.8,,16.6,,,,,,
83538,03/03/2014,0000,,,,8.5,1.8,,72,2.133333,
83538,03/03/2014,1200,0,,15,,,,,,
83538,04/03/2014,0000,,,,7.4,4.5,,70,1.4,
83538,04/03/2014,1200,0,,15.5,,,,,,
83538,05/03/2014,0000,,,,3.4,3.6,,85,0.5,
83538,05/03/2014,1200,0.1,,17.4,,,,,,
83538,06/03/2014,0000,,,,0.5,2.9,,80.75,1,
83538,06/03/2014,1200,0.2,,15.6,,,,,,
83538,07/03/2014,0000,,,,1,2.7,,79.75,0.166667,
83538,07/03/2014,1200,0,,17.4,,,,,,
83538,08/03/2014,0000,,,,3.8,2.2,,82,2.566667,
83538,08/03/2014,1200,0,,17.6,,,,,,
83538,09/03/2014,0000,,,,0,2.1,,84.25,0,
83538,09/03/2014,1200,13,,17.2,,,,,,
83538,10/03/2014,0000,,,,2.9,1,,81.75,0.5,
83538,10/03/2014,1200,1.8,,16,,,,,,
83538,11/03/2014,0000,,,,6.6,2.7,,73,0.866667,
83538,11/03/2014,1200,0,,16.6,,,,,,
83538,12/03/2014,0000,,,,9.6,4,,68.5,2.4,
83538,12/03/2014,1200,0,,15.6,,,,,,
83538,13/03/2014,0000,,,,8.7,4.2,,67.75,1,
83538,13/03/2014,1200,0,,17.6,,,,,,
83538,14/03/2014,0000,,,,6.6,4.8,,71.25,1.366667,
83538,14/03/2014,1200,0,,17.3,,,,,,
83538,15/03/2014,0000,,,,3.6,3.8,,69.25,1.166667,
83538,15/03/2014,1200,0,,16.2,,,,,,
83538,16/03/2014,0000,,,,6.3,3.8,,79.25,0.5,
83538,16/03/2014,1200,0,,14.8,,,,,,
83538,17/03/2014,0000,,,,2.3,4.3,,76.25,1.2,
83538,17/03/2014,1200,0,,14.6,,,,,,
83538,18/03/2014,0000,,,,4.8,2.9,,69.5,0.866667,
83538,18/03/2014,1200,0,,16.2,,,,,,
83538,19/03/2014,0000,,,,7.7,4.1,,69.75,1.7,
83538,19/03/2014,1200,0,,15.6,,,,,,
83538,20/03/2014,0000,,,,5.6,4.2,,72.75,0.866667,
83538,20/03/2014,1200,0,,16.6,,,,,,
83538,21/03/2014,0000,,,,6.9,4.4,,73.5,1.566667,
83538,21/03/2014,1200,0,,18.4,,,,,,
83538,22/03/2014,0000,,,,5.1,4.2,,72.5,0.7,
83538,22/03/2014,1200,0,,18.8,,,,,,
83538,23/03/2014,0000,,,,0.7,3,,94,0.866667,
83538,23/03/2014,1200,1.1,,17.8,,,,,,
83538,24/03/2014,0000,,,,0,1.1,,95.5,0.5,
83538,24/03/2014,1200,43.9,,13.6,,,,,,
83538,25/03/2014,0000,,,,1.8,0.3,,89,0.333333,
83538,25/03/2014,1200,1.7,,15.6,,,,,,
83538,26/03/2014,0000,,,,2,1.8,,89.25,1,
83538,26/03/2014,1200,0,,15.4,,,,,,
83538,27/03/2014,0000,,,,0,1.5,,89.25,1.033333,
83538,27/03/2014,1200,5.4,,16,,,,,,
83538,28/03/2014,0000,,,,5.6,1.7,,79.5,0.866667,
83538,28/03/2014,1200,0,,16.5,,,,,,
83538,29/03/2014,0000,,,,3,3.1,,86,0.166667,
83538,29/03/2014,1200,0,,16.2,,,,,,
83538,30/03/2014,0000,,,,1.4,2,,88.25,0.333333,
83538,30/03/2014,1200,28,,17.2,,,,,,
83538,31/03/2014,0000,,,,0.3,1.5,,91.75,0.666667,
83538,31/03/2014,1200,5.7,,17.2,,,,,,
83538,01/04/2014,0000,,,,1.7,1.1,,86.25,0.666667,
83538,01/04/2014,1200,0.2,,17.1,,,,,,
83538,02/04/2014,0000,,,,2.1,1.8,,84.25,0.5,
83538,02/04/2014,1200,0,,18,,,,,,
83538,03/04/2014,0000,,,,2.6,2.2,,87.5,1.366667,
83538,03/04/2014,1200,0.4,,17.7,,,,,,
83538,04/04/2014,0000,,,,2.9,1.4,,89.75,0.5,
83538,04/04/2014,1200,2.1,,17,,,,,,
83538,05/04/2014,0000,,,,4,1.3,,84.25,1.2,
83538,05/04/2014,1200,16.2,,17,,,,,,
83538,06/04/2014,0000,,,,7,2,,79.25,0.166667,
83538,06/04/2014,1200,4.3,,16,,,,,,
83538,07/04/2014,0000,,,,9.5,2.3,,63,0.5,
83538,07/04/2014,1200,1,,14,,,,,,
83538,08/04/2014,0000,,,,9.7,4.7,,61,0.5,
83538,08/04/2014,1200,0,,15.6,,,,,,
83538,09/04/2014,0000,,,,8.1,5.8,,64.25,0.333333,
83538,09/04/2014,1200,0,,16.6,,,,,,
83538,10/04/2014,0000,,,,6,4.7,,78.25,0.7,
83538,10/04/2014,1200,0,,17.7,,,,,,
83538,11/04/2014,0000,,,,1.7,3,,83.5,0.333333,
83538,11/04/2014,1200,8.9,,18.4,,,,,,
83538,12/04/2014,0000,,,,2.1,2.4,,80,0.666667,
83538,12/04/2014,1200,1.9,,16.2,,,,,,
83538,13/04/2014,0000,,,,6.4,2.5,,75,0,
83538,13/04/2014,1200,0,,15.6,,,,,,
83538,14/04/2014,0000,,,,6.8,3,,70.25,1.033333,
83538,14/04/2014,1200,0,,16,,,,,,
83538,15/04/2014,0000,,,,8.8,3.3,,76.5,0.866667,
83538,15/04/2014,1200,0,,17.1,,,,,,
83538,16/04/2014,0000,,,,2.7,3.6,,77.5,1.033333,
83538,16/04/2014,1200,0,,16.8,,,,,,
83538,17/04/2014,0000,,,,6.7,2.7,,74.75,0,
83538,17/04/2014,1200,0,,16.8,,,,,,
83538,18/04/2014,0000,,,,6.1,3.6,,73,0.333333,
83538,18/04/2014,1200,0,,15.2,,,,,,
83538,19/04/2014,0000,,,,6.9,2.9,,77.25,0.7,
83538,19/04/2014,1200,0,,17.4,,,,,,
83538,20/04/2014,0000,,,,8,2.8,,72.25,0.333333,
83538,20/04/2014,1200,2.1,,18.1,,,,,,
83538,21/04/2014,0000,,,,3.3,2.8,,82.25,0,
83538,21/04/2014,1200,0,,16.2,,,,,,
83538,22/04/2014,0000,,,,7.5,1.7,,78.25,1.2,
83538,22/04/2014,1200,8.4,,16.4,,,,,,
83538,23/04/2014,0000,,,,8,2.7,,80.75,0.666667,
83538,23/04/2014,1200,0,,16.2,,,,,,
83538,24/04/2014,0000,,,,1.2,2.7,,89.5,0,
83538,24/04/2014,1200,2.8,,17.2,,,,,,
83538,25/04/2014,0000,,,,0.1,1.2,,94.75,0.166667,
83538,25/04/2014,1200,10.7,,12.8,,,,,,
83538,26/04/2014,0000,,,,4.9,0.6,,86.5,0.333333,
83538,26/04/2014,1200,5.5,,10.2,,,,,,
83538,27/04/2014,0000,,,,8.2,1.5,,74.5,0,
83538,27/04/2014,1200,4.9,,14.1,,,,,,
83538,28/04/2014,0000,,,,8.7,2.7,,76.75,1.2,
83538,28/04/2014,1200,0,,13,,,,,,
83538,29/04/2014,0000,,,,4.3,3.5,,73.5,0.666667,
83538,29/04/2014,1200,0.5,,10.4,,,,,,
83538,30/04/2014,0000,,,,10,3.4,,60.25,2.433333,
83538,30/04/2014,1200,0,,9.4,,,,,,
83538,01/05/2014,0000,,,,9.9,4.8,,62.75,0,
83538,01/05/2014,1200,0,,10.2,,,,,,
83538,02/05/2014,0000,,,,10.6,3.5,,56.75,0,
83538,02/05/2014,1200,0,,11.4,,,,,,
83538,03/05/2014,0000,,,,10.3,7.3,,57.75,0.333333,
83538,03/05/2014,1200,0,,13,,,,,,
83538,04/05/2014,0000,,,,3.5,4.8,,74,1.7,
83538,04/05/2014,1200,0,,14,,,,,,
83538,05/05/2014,0000,,,,8.2,3.2,,79,0,
83538,05/05/2014,1200,0.1,,12.8,,,,,,
83538,06/05/2014,0000,,,,8.8,3,,69.25,1.566667,
83538,06/05/2014,1200,0,,14,,,,,,
