Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83687,01/01/2014,0000,,32,,11.1,2.6,25.26,66.75,2.233333,
83687,01/01/2014,1200,1,,19.1,,,,,,
83687,02/01/2014,0000,,32.6,,11.6,4.1,25.86,63.5,2.366667,
83687,02/01/2014,1200,0,,20.1,,,,,,
83687,03/01/2014,0000,,33.3,,12.1,4.1,26.76,55.25,1.866667,
83687,03/01/2014,1200,0,,20.9,,,,,,
83687,04/01/2014,0000,,33.4,,11.9,5,26.46,49.25,2.366667,
83687,04/01/2014,1200,0,,19.9,,,,,,
83687,05/01/2014,0000,,31.2,,11.6,5.5,25.24,53.5,2.8,
83687,05/01/2014,1200,0,,20.6,,,,,,
83687,06/01/2014,0000,,30.3,,11.2,5.3,24.18,56,2.366667,
83687,06/01/2014,1200,0,,18.8,,,,,,
83687,07/01/2014,0000,,30.1,,11.1,4.5,23.84,56,2.733333,
83687,07/01/2014,1200,0,,18.3,,,,,,
83687,08/01/2014,0000,,30.6,,11.6,4.3,23.4,59.25,2.1,
83687,08/01/2014,1200,0,,16.2,,,,,,
83687,09/01/2014,0000,,31.7,,11.2,4.1,22.84,65.25,1.266667,
83687,09/01/2014,1200,0,,16.9,,,,,,
83687,10/01/2014,0000,,30.2,,10.5,4.1,24.14,66,2.866667,
83687,10/01/2014,1200,7.2,,18.1,,,,,,
83687,11/01/2014,0000,,31.6,,9.7,3.5,24.7,64.75,1.733333,
83687,11/01/2014,1200,0,,19.1,,,,,,
83687,12/01/2014,0000,,32,,10.5,3.5,25.62,54.75,2.233333,
83687,12/01/2014,1200,0,,18.7,,,,,,
83687,13/01/2014,0000,,32.6,,11.4,5,25.64,60,2.2,
83687,13/01/2014,1200,0,,19.6,,,,,,
83687,14/01/2014,0000,,33.2,,11.6,5.3,25.46,55.25,2.266667,
83687,14/01/2014,1200,0,,18.7,,,,,,
83687,15/01/2014,0000,,33.4,,12,5.2,25.44,51.5,1.433333,
83687,15/01/2014,1200,0,,18,,,,,,
83687,16/01/2014,0000,,32.7,,8.4,5.7,22.98,68.5,3.233333,
83687,16/01/2014,1200,0,,18.6,,,,,,
83687,17/01/2014,0000,,31.4,,7,3.3,22.82,73.75,2.633333,
83687,17/01/2014,1200,24.1,,18.1,,,,,,
83687,18/01/2014,0000,,29.4,,7.9,2.9,21.24,77.75,1.966667,
83687,18/01/2014,1200,26,,16.4,,,,,,
83687,19/01/2014,0000,,30.6,,10.9,2.8,23.16,67.5,2.533333,
83687,19/01/2014,1200,5.4,,17.2,,,,,,
83687,20/01/2014,0000,,31.6,,8.8,3.8,22.3,75.25,2.5,
83687,20/01/2014,1200,0,,18.1,,,,,,
83687,21/01/2014,0000,,30,,8.9,2.8,22.38,84,3.166667,
83687,21/01/2014,1200,73,,16.9,,,,,,
83687,22/01/2014,0000,,30.4,,9.6,2.3,23,74.5,1.6,
83687,22/01/2014,1200,4,,18,,,,,,
83687,23/01/2014,0000,,32.1,,9.5,3.1,23.6,72.5,1.4,
83687,23/01/2014,1200,46.4,,17.5,,,,,,
83687,24/01/2014,0000,,31.6,,8,2.9,21.82,82.25,3.533333,
83687,24/01/2014,1200,14.7,,17.3,,,,,,
83687,25/01/2014,0000,,32.2,,12,2.6,24.38,65.5,1.6,
83687,25/01/2014,1200,17.9,,16.7,,,,,,
83687,26/01/2014,0000,,31.4,,12.2,3.8,25.1,58.25,2.466667,
83687,26/01/2014,1200,0,,19.3,,,,,,
83687,27/01/2014,0000,,31.3,,11.8,4.7,24.8,52,2.966667,
83687,27/01/2014,1200,0,,18.1,,,,,,
83687,28/01/2014,0000,,31.4,,11.9,5.4,24.24,46,2.3,
83687,28/01/2014,1200,0,,16.8,,,,,,
83687,29/01/2014,0000,,30.5,,12.2,6.9,23.84,56.75,2.666667,
83687,29/01/2014,1200,0,,17.1,,,,,,
83687,30/01/2014,0000,,31.4,,12,4.6,24.6,58.75,2.133333,
83687,30/01/2014,1200,0,,17.2,,,,,,
83687,31/01/2014,0000,,31.2,,11.4,5,24.42,49.25,2.166667,
83687,31/01/2014,1200,0,,17.9,,,,,,
83687,01/02/2014,0000,,32,,12,5.1,24.4,54,2.733333,
83687,01/02/2014,1200,0,,16.4,,,,,,
83687,02/02/2014,0000,,31.2,,10.6,5,25.02,56,2.533333,
83687,02/02/2014,1200,0,,18.5,,,,,,
83687,03/02/2014,0000,,31.6,,11.1,5,25.62,52.75,3.3,
83687,03/02/2014,1200,0,,20.3,,,,,,
83687,04/02/2014,0000,,32.4,,11.8,5.5,25.34,52.25,2.733333,
83687,04/02/2014,1200,0,,17.3,,,,,,
83687,05/02/2014,0000,,32,,11.9,5.2,25.08,55.75,2.5,
83687,05/02/2014,1200,0,,19.6,,,,,,
83687,06/02/2014,0000,,30.8,,11.9,5.7,24.72,53.75,3.533333,
83687,06/02/2014,1200,0,,19,,,,,,
83687,07/02/2014,0000,,31.8,,11.8,5.8,24.6,58,2.433333,
83687,07/02/2014,1200,0,,17.4,,,,,,
