Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83393,01/01/2014,0000,,32.2,,8.2,3.2,24.32,65.25,1.2,
83393,01/01/2014,1200,0,,17.2,,,,,,
83393,02/01/2014,0000,,30.8,,8.9,3.4,23.24,62.5,1.9,
83393,02/01/2014,1200,0,,15.2,,,,,,
83393,03/01/2014,0000,,31.4,,8.3,3.7,24.24,62.25,0.766667,
83393,03/01/2014,1200,0,,18.6,,,,,,
83393,04/01/2014,0000,,31.6,,7.3,3.4,24.72,61,1.566667,
83393,04/01/2014,1200,0,,19,,,,,,
83393,05/01/2014,0000,,31,,11.3,4.1,24.68,62.75,2.266667,
83393,05/01/2014,1200,0,,19,,,,,,
83393,06/01/2014,0000,,30.2,,10.9,4.5,23.76,58.75,1.4,
83393,06/01/2014,1200,0,,17,,,,,,
83393,07/01/2014,0000,,27.8,,5.1,4.3,22.24,70.75,0.866667,
83393,07/01/2014,1200,0,,16.8,,,,,,
83393,08/01/2014,0000,,29.2,,9.8,2.7,22.8,73.25,2.233333,
83393,08/01/2014,1200,0.8,,18,,,,,,
83393,09/01/2014,0000,,29.2,,5.5,3,22.88,79.25,1.9,
83393,09/01/2014,1200,2.9,,18,,,,,,
83393,10/01/2014,0000,,29.6,,6.2,2.5,22.72,77,1.9,
83393,10/01/2014,1200,0,,17.4,,,,,,
83393,11/01/2014,0000,,27.8,,1.6,2.9,23.2,73.25,0.866667,
83393,11/01/2014,1200,0.3,,19,,,,,,
83393,12/01/2014,0000,,29.2,,6.4,2.4,23.08,74.5,1.033333,
83393,12/01/2014,1200,0,,16.2,,,,,,
83393,13/01/2014,0000,,30,,7.2,3,23.6,71,1.033333,
83393,13/01/2014,1200,0,,19,,,,,,
83393,14/01/2014,0000,,30.4,,7.9,3.5,23.8,69.5,1.7,
83393,14/01/2014,1200,1,,18.6,,,,,,
83393,15/01/2014,0000,,29.4,,3.1,3.2,23.84,76.25,0.833333,
83393,15/01/2014,1200,0.2,,19.4,,,,,,
83393,16/01/2014,0000,,31,,5.9,2.6,24.52,69,1.2,
83393,16/01/2014,1200,0,,19,,,,,,
83393,17/01/2014,0000,,31,,11.4,3.2,24.24,59.5,1.4,
83393,17/01/2014,1200,0,,17.4,,,,,,
83393,18/01/2014,0000,,31.8,,7.3,4.1,25.04,62,1.2,
83393,18/01/2014,1200,0,,19.4,,,,,,
83393,19/01/2014,0000,,27.4,,0.1,4,23.56,78,0.833333,
83393,19/01/2014,1200,0,,20.2,,,,,,
83393,20/01/2014,0000,,28.4,,1.1,1.8,23.84,81.25,1.9,
83393,20/01/2014,1200,0,,19.8,,,,,,
83393,21/01/2014,0000,,29.6,,6.6,1.8,24.28,72.25,1.9,
83393,21/01/2014,1200,1.6,,19.8,,,,,,
83393,22/01/2014,0000,,31.4,,11.2,3,25.08,62.25,1.033333,
83393,22/01/2014,1200,0,,19,,,,,,
83393,23/01/2014,0000,,32.2,,11.5,4.1,24.96,61,1.9,
83393,23/01/2014,1200,0,,18,,,,,,
83393,24/01/2014,0000,,30.2,,9.4,4.7,23.76,59.75,1.733333,
83393,24/01/2014,1200,0.2,,18.2,,,,,,
83393,25/01/2014,0000,,31.6,,9.9,4.1,24.44,63.25,1.4,
83393,25/01/2014,1200,0,,17.2,,,,,,
83393,26/01/2014,0000,,31.4,,9.1,4.1,24.88,60,2.233333,
83393,26/01/2014,1200,0,,19.4,,,,,,
83393,27/01/2014,0000,,31.2,,8.7,4.5,23.48,65,3.1,
83393,27/01/2014,1200,0,,18,,,,,,
83393,28/01/2014,0000,,28.2,,7.4,3.9,22.16,64.75,1.9,
83393,28/01/2014,1200,4,,17.2,,,,,,
83393,29/01/2014,0000,,28.8,,4.8,2.7,22.28,83.25,3.1,
83393,29/01/2014,1200,0.8,,16.6,,,,,,
83393,30/01/2014,0000,,29.6,,8.2,2.2,22.2,72.5,2.566667,
83393,30/01/2014,1200,0.9,,16,,,,,,
83393,31/01/2014,0000,,30,,10.8,2.5,23.4,61.5,2.266667,
83393,31/01/2014,1200,1.4,,16,,,,,,
83393,01/02/2014,0000,,30,,9.5,4.5,23.44,51.5,2.033333,
83393,01/02/2014,1200,0,,16.4,,,,,,
83393,02/02/2014,0000,,31,,9.8,4.9,23.2,70.75,1.7,
83393,02/02/2014,1200,0,,15,,,,,,
83393,03/02/2014,0000,,29.6,,10.2,4.3,23.44,66.75,2.4,
83393,03/02/2014,1200,0,,17.4,,,,,,
83393,04/02/2014,0000,,32,,8.2,3.8,23.64,71.25,2.4,
83393,04/02/2014,1200,0,,16.6,,,,,,
