Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83642,01/01/2014,0000,,34,,9,1.7,26.22,70.25,1.433333,
83642,01/01/2014,1200,2,,20.7,,,,,,
83642,02/01/2014,0000,,32.2,,8.7,3.4,24.98,75.25,1.2,
83642,02/01/2014,1200,0,,20.5,,,,,,
83642,03/01/2014,0000,,32.6,,11.4,3,24.16,67.25,1.8,
83642,03/01/2014,1200,0,,19,,,,,,
83642,04/01/2014,0000,,33,,11.3,4.1,23.88,70,1.533333,
83642,04/01/2014,1200,0,,17,,,,,,
83642,05/01/2014,0000,,31.4,,11.2,3.9,23.98,64,1.066667,
83642,05/01/2014,1200,0,,18.7,,,,,,
83642,06/01/2014,0000,,30.5,,9.2,3.8,23.28,72,1.266667,
83642,06/01/2014,1200,0,,17.7,,,,,,
83642,07/01/2014,0000,,29.4,,8,4.4,22.62,67.75,0.433333,
83642,07/01/2014,1200,0,,18.5,,,,,,
83642,08/01/2014,0000,,30.2,,10.7,2.3,21.98,69.25,1.966667,
83642,08/01/2014,1200,0,,16.5,,,,,,
83642,09/01/2014,0000,,27.6,,4.3,3.8,21.12,85.5,0.333333,
83642,09/01/2014,1200,0,,16.6,,,,,,
83642,10/01/2014,0000,,29.6,,5.9,1.4,22.74,80.5,1.433333,
83642,10/01/2014,1200,0.6,,17.3,,,,,,
83642,11/01/2014,0000,,30.4,,8.4,1.9,23.4,72.25,0.933333,
83642,11/01/2014,1200,28.8,,19,,,,,,
83642,12/01/2014,0000,,31.2,,11.5,3.6,23.84,72,1.533333,
83642,12/01/2014,1200,0,,18,,,,,,
83642,13/01/2014,0000,,31.2,,9.9,3.4,23.96,71.75,1.933333,
83642,13/01/2014,1200,0,,20.8,,,,,,
83642,14/01/2014,0000,,30.8,,10.7,3.7,24.14,63.75,1.7,
83642,14/01/2014,1200,0,,17.7,,,,,,
83642,15/01/2014,0000,,31.2,,11.1,3.5,22.64,69.25,1.3,
83642,15/01/2014,1200,0,,17.6,,,,,,
83642,16/01/2014,0000,,31.4,,10.1,4.2,23.12,68,1.766667,
83642,16/01/2014,1200,0,,16.6,,,,,,
83642,17/01/2014,0000,,29.4,,3.8,4.1,22.24,79.5,1.3,
83642,17/01/2014,1200,0,,19,,,,,,
83642,18/01/2014,0000,,27.4,,0.6,2.2,21.44,84.75,0.966667,
83642,18/01/2014,1200,2.7,,19,,,,,,
83642,19/01/2014,0000,,29,,4.2,1.3,22.06,79.5,0.5,
83642,19/01/2014,1200,34.4,,17.3,,,,,,
83642,20/01/2014,0000,,30.4,,9.7,2.7,22.34,78.25,1.366667,
83642,20/01/2014,1200,0,,18.5,,,,,,
83642,21/01/2014,0000,,29.4,,5,2.6,23.88,71,1.633333,
83642,21/01/2014,1200,4.3,,19,,,,,,
83642,22/01/2014,0000,,31.6,,9.1,3.1,24.82,61.75,1.333333,
83642,22/01/2014,1200,0,,18.3,,,,,,
83642,23/01/2014,0000,,31.6,,9.4,3.5,23.68,77.75,1.433333,
83642,23/01/2014,1200,0,,17.8,,,,,,
83642,24/01/2014,0000,,31.8,,10.3,2.7,25.02,70,1.533333,
83642,24/01/2014,1200,0,,19.5,,,,,,
83642,25/01/2014,0000,,30.8,,12,3.9,23.56,67.75,1.533333,
83642,25/01/2014,1200,0,,19,,,,,,
83642,26/01/2014,0000,,30.6,,10.7,3.5,23.34,73,1.533333,
83642,26/01/2014,1200,0,,18.5,,,,,,
83642,27/01/2014,0000,,31,,10.3,3,22.7,70.5,1.533333,
83642,27/01/2014,1200,0,,18.3,,,,,,
83642,28/01/2014,0000,,32.4,,11.3,3.2,23.44,65.25,1.266667,
83642,28/01/2014,1200,1.4,,17,,,,,,
83642,29/01/2014,0000,,31.4,,10.2,4,23.56,69.25,0.866667,
83642,29/01/2014,1200,0,,16.2,,,,,,
83642,30/01/2014,0000,,32.4,,8.5,3.6,24.26,68.5,0.8,
83642,30/01/2014,1200,0,,20.3,,,,,,
83642,31/01/2014,0000,,32,,11.6,3.4,23.86,64,1.066667,
83642,31/01/2014,1200,0,,18.5,,,,,,
83642,01/02/2014,0000,,32,,10.9,4.5,23.92,65.25,1.4,
83642,01/02/2014,1200,0,,17.8,,,,,,
83642,02/02/2014,0000,,32.8,,10.8,3.4,24.78,69.25,1.8,
83642,02/02/2014,1200,0,,19.5,,,,,,
83642,03/02/2014,0000,,32.4,,11.7,3.7,24.4,67.75,1.266667,
83642,03/02/2014,1200,0,,19.2,,,,,,
83642,04/02/2014,0000,,32.8,,9,4.9,23.8,77,0.833333,
83642,04/02/2014,1200,0,,19,,,,,,
83642,05/02/2014,0000,,31.2,,11.7,3,24.52,65.25,2.066667,
83642,05/02/2014,1200,0.5,,19.2,,,,,,
83642,06/02/2014,0000,,31.6,,11.3,3.8,23.94,70.75,1.666667,
83642,06/02/2014,1200,0,,17.5,,,,,,
83642,07/02/2014,0000,,31.6,,11.1,4.1,23.72,63.75,2.3,
83642,07/02/2014,1200,0,,18.2,,,,,,
83642,08/02/2014,0000,,32,,13.1,4.7,23.92,62.5,1.366667,
83642,08/02/2014,1200,0,,17.2,,,,,,
83642,09/02/2014,0000,,31.2,,11.6,4.9,22.9,64.5,1.2,
83642,09/02/2014,1200,0,,18.5,,,,,,
83642,10/02/2014,0000,,31.8,,11.5,4,22.76,73,1.533333,
83642,10/02/2014,1200,0,,16.4,,,,,,
83642,11/02/2014,0000,,30.5,,7.6,4.1,22.88,70.5,1.2,
83642,11/02/2014,1200,18,,17.5,,,,,,
83642,12/02/2014,0000,,30.4,,8,2.9,22.32,65.75,1.2,
83642,12/02/2014,1200,0,,17,,,,,,
83642,13/02/2014,0000,,30.6,,11,4,23.16,66.25,2.2,
83642,13/02/2014,1200,0,,17,,,,,,
83642,14/02/2014,0000,,30.2,,5.7,4.1,22.72,75,1.766667,
83642,14/02/2014,1200,0,,18,,,,,,
83642,15/02/2014,0000,,29.2,,4.2,3.5,22.74,78.25,1.2,
83642,15/02/2014,1200,0,,18.5,,,,,,
83642,16/02/2014,0000,,30.2,,0.9,2.7,23.4,70,0.8,
83642,16/02/2014,1200,0.5,,20,,,,,,
83642,17/02/2014,0000,,24.4,,0,2.6,21.2,86,0.866667,
83642,17/02/2014,1200,1.6,,20,,,,,,
83642,18/02/2014,0000,,29.4,,5,0.8,21.96,75.5,0.8,
83642,18/02/2014,1200,3.2,,18.4,,,,,,
83642,19/02/2014,0000,,30.2,,10,2.5,22.62,67,1.2,
83642,19/02/2014,1200,0,,17.5,,,,,,
83642,20/02/2014,0000,,30.6,,11.3,3.6,23.26,65.25,1.2,
83642,20/02/2014,1200,0,,17.5,,,,,,
83642,21/02/2014,0000,,30.7,,9.1,4,23,64.5,1.633333,
83642,21/02/2014,1200,0,,17.5,,,,,,
83642,22/02/2014,0000,,30,,9,3.8,22.7,70.5,0.866667,
83642,22/02/2014,1200,0,,17.5,,,,,,
83642,23/02/2014,0000,,32,,11.5,4.2,24.28,70.75,2.466667,
83642,23/02/2014,1200,0,,17.8,,,,,,
83642,24/02/2014,0000,,32,,10.2,4.1,24.54,69,1.533333,
83642,24/02/2014,1200,0,,20.5,,,,,,
83642,25/02/2014,0000,,31.2,,11.2,4.2,24.4,64.25,1.2,
83642,25/02/2014,1200,0,,19.8,,,,,,
83642,26/02/2014,0000,,32.5,,10.8,4.6,24.22,62,2.366667,
83642,26/02/2014,1200,0,,18,,,,,,
83642,27/02/2014,0000,,31.6,,10.5,4.4,24.08,64,1.466667,
83642,27/02/2014,1200,0,,19.2,,,,,,
83642,28/02/2014,0000,,33.2,,9.2,4.5,25.08,62.25,1.366667,
83642,28/02/2014,1200,0,,19,,,,,,
83642,01/03/2014,0000,,31.8,,7.3,4.4,22.92,80.75,1.466667,
83642,01/03/2014,1200,0,,18.6,,,,,,
83642,02/03/2014,0000,,29,,3.2,2.3,21.4,83,0.533333,
83642,02/03/2014,1200,12,,19,,,,,,
83642,03/03/2014,0000,,28.2,,2.3,1.7,21.68,80.5,1.1,
83642,03/03/2014,1200,59.6,,18,,,,,,
83642,04/03/2014,0000,,28,,3.8,1.2,21.48,86.75,0.1,
83642,04/03/2014,1200,6.2,,17.6,,,,,,
83642,05/03/2014,0000,,28.4,,4.1,1.9,21.7,78.75,1.3,
83642,05/03/2014,1200,0,,17.5,,,,,,
83642,06/03/2014,0000,,28,,1.6,2.3,22.1,84,0.833333,
83642,06/03/2014,1200,0,,18.5,,,,,,
83642,07/03/2014,0000,,25.8,,0.6,1.7,20.78,88.75,0.966667,
83642,07/03/2014,1200,15.2,,18.5,,,,,,
83642,08/03/2014,0000,,22,,0,1,20,93.25,0,
83642,08/03/2014,1200,16.8,,19,,,,,,
83642,09/03/2014,0000,,27.8,,4.3,0.3,21.82,84.5,1.3,
83642,09/03/2014,1200,48.2,,18.5,,,,,,
83642,10/03/2014,0000,,30,,6.1,1.8,22.4,84.25,1.333333,
83642,10/03/2014,1200,0,,18,,,,,,
83642,11/03/2014,0000,,29,,10.3,2.3,21.92,76.25,2.066667,
83642,11/03/2014,1200,0,,18.4,,,,,,
83642,12/03/2014,0000,,30.2,,9.4,3.5,23.4,73.25,0,
83642,12/03/2014,1200,0,,19,,,,,,
83642,13/03/2014,0000,,30,,8,3.1,23.36,84.25,1.8,
83642,13/03/2014,1200,0.8,,20,,,,,,
83642,14/03/2014,0000,,29.6,,11.4,2.4,22.94,74.75,1.3,
83642,14/03/2014,1200,12,,19.5,,,,,,
83642,15/03/2014,0000,,28.6,,6.5,3.4,22,81.75,1.933333,
83642,15/03/2014,1200,0,,18.2,,,,,,
83642,16/03/2014,0000,,29,,8.9,2.3,21.76,77,2.5,
83642,16/03/2014,1200,0,,17,,,,,,
83642,17/03/2014,0000,,29.6,,11.3,2.6,21.66,71.75,1.2,
83642,17/03/2014,1200,0,,17.5,,,,,,
83642,18/03/2014,0000,,27.4,,6.6,3.3,21.14,80,1.733333,
83642,18/03/2014,1200,0,,16.5,,,,,,
83642,19/03/2014,0000,,29.2,,9.6,2.3,21.44,74.25,1.2,
83642,19/03/2014,1200,0,,17,,,,,,
83642,20/03/2014,0000,,29.2,,7.6,2.6,21.84,77,1.866667,
83642,20/03/2014,1200,0,,16.6,,,,,,
83642,21/03/2014,0000,,31.2,,10.2,2.7,24.32,75.25,1.9,
83642,21/03/2014,1200,0,,18,,,,,,
83642,22/03/2014,0000,,30.4,,4.5,2.9,23.96,80.5,1.433333,
83642,22/03/2014,1200,1.8,,21,,,,,,
83642,23/03/2014,0000,,23,,0,2.1,20.1,89,0.7,
83642,23/03/2014,1200,6,,18.5,,,,,,
83642,24/03/2014,0000,,23.6,,1.4,0.9,19.36,84,1.2,
83642,24/03/2014,1200,2.4,,17.8,,,,,,
83642,25/03/2014,0000,,25.6,,5.3,1.8,20.94,81.25,1.2,
83642,25/03/2014,1200,0.2,,17.7,,,,,,
83642,26/03/2014,0000,,24.8,,1.2,1.9,20.74,83.75,0.7,
83642,26/03/2014,1200,0.6,,18.5,,,,,,
83642,27/03/2014,0000,,28,,9.4,1.5,21.7,75.75,1.2,
83642,27/03/2014,1200,0,,17.3,,,,,,
83642,28/03/2014,0000,,27.8,,8.6,2.4,21.22,79,0.933333,
83642,28/03/2014,1200,0,,17.5,,,,,,
