Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83513,01/01/2014,0000,,33,,7.7,,27.26,78,2.333333,
83513,01/01/2014,1200,0,,17,,,,,,
83513,02/01/2014,0000,,35.6,,10.6,,29.7,80,1.666667,
83513,02/01/2014,1200,0,,25,,,,,,
83513,03/01/2014,0000,,36.4,,9.6,,30.02,80.25,1.666667,
83513,03/01/2014,1200,0,,22,,,,,,
83513,04/01/2014,0000,,34.2,,7.6,,28.3,71,1,
83513,04/01/2014,1200,0,,21.8,,,,,,
83513,05/01/2014,0000,,36.2,,9.3,,27.32,74.25,1.333333,
83513,05/01/2014,1200,0,,19,,,,,,
83513,06/01/2014,0000,,36,,11.6,,28.26,67,1,
83513,06/01/2014,1200,0,,21,,,,,,
83513,07/01/2014,0000,,33.6,,5.3,,26.26,78,1,
83513,07/01/2014,1200,0,,21,,,,,,
83513,08/01/2014,0000,,35,,5.7,,26.7,82.25,1.666667,
83513,08/01/2014,1200,0,,20.4,,,,,,
83513,09/01/2014,0000,,34.2,,7.2,,26.62,77.5,1.333333,
83513,09/01/2014,1200,0,,21.2,,,,,,
83513,10/01/2014,0000,,37,,11.5,,27.98,67,2,
83513,10/01/2014,1200,0,,19.8,,,,,,
83513,11/01/2014,0000,,37.7,,11.4,,27.96,68.5,1,
83513,11/01/2014,1200,0,,20.8,,,,,,
83513,12/01/2014,0000,,35.4,,8.9,,27.78,68.5,1,
83513,12/01/2014,1200,1.6,,21.8,,,,,,
83513,13/01/2014,0000,,31.8,,2.1,,25.1,87.5,2.333333,
83513,13/01/2014,1200,4.8,,22.6,,,,,,
83513,14/01/2014,0000,,35,,7.5,,26.5,70.25,2.666667,
83513,14/01/2014,1200,9.2,,20.6,,,,,,
83513,15/01/2014,0000,,32,,2.2,,26.3,82,1,
83513,15/01/2014,1200,0,,22.4,,,,,,
83513,16/01/2014,0000,,32.8,,5.9,,26.66,79.25,1.666667,
83513,16/01/2014,1200,0.6,,21.2,,,,,,
83513,17/01/2014,0000,,35.6,,6.8,,27.78,72,2.333333,
83513,17/01/2014,1200,3.6,,21.8,,,,,,
83513,18/01/2014,0000,,33.5,,4.9,,27.48,85.25,2.333333,
83513,18/01/2014,1200,0,,22.8,,,,,,
83513,19/01/2014,0000,,32.5,,3.9,,25.68,92.25,0.666667,
83513,19/01/2014,1200,19.6,,21.6,,,,,,
83513,20/01/2014,0000,,34,,8.3,,26.54,81.75,1,
83513,20/01/2014,1200,10.2,,22.8,,,,,,
83513,21/01/2014,0000,,33,,8.7,,27.74,75.25,2.666667,
83513,21/01/2014,1200,0,,23,,,,,,
83513,22/01/2014,0000,,30.6,,0.7,,26.78,81.5,1.666667,
83513,22/01/2014,1200,0,,23,,,,,,
83513,23/01/2014,0000,,32.7,,8,,26.48,79.75,2.666667,
83513,23/01/2014,1200,6.2,,23.2,,,,,,
83513,24/01/2014,0000,,33.5,,6.8,,27.4,74.25,2,
83513,24/01/2014,1200,0,,22.6,,,,,,
83513,25/01/2014,0000,,30.4,,1,,25.26,95,0.666667,
83513,25/01/2014,1200,0.6,,21.8,,,,,,
83513,26/01/2014,0000,,30.6,,3.8,,23.42,85.5,0.666667,
83513,26/01/2014,1200,31.7,,19.2,,,,,,
83513,27/01/2014,0000,,32.7,,10.7,,26.04,77.75,1.333333,
83513,27/01/2014,1200,0,,19.6,,,,,,
83513,28/01/2014,0000,,35.4,,8.9,,26.86,71.5,1.333333,
83513,28/01/2014,1200,0,,21.4,,,,,,
83513,29/01/2014,0000,,34.6,,9,,26.66,68.5,1.333333,
83513,29/01/2014,1200,0,,21.8,,,,,,
83513,30/01/2014,0000,,35.2,,4.2,,26.1,89.25,1,
83513,30/01/2014,1200,0,,21.6,,,,,,
83513,31/01/2014,0000,,36.4,,10.4,,29.1,60.75,1,
83513,31/01/2014,1200,1.4,,21.2,,,,,,
83513,01/02/2014,0000,,36.4,,8,7.5,28.26,67.5,1.333333,
83513,01/02/2014,1200,0,,21.6,,,,,,
83513,02/02/2014,0000,,35,,5.4,6.1,26.94,74.5,1.333333,
83513,02/02/2014,1200,0,,23,,,,,,
83513,03/02/2014,0000,,36.2,,7.2,6,26.22,81.5,1.333333,
83513,03/02/2014,1200,0,,20.6,,,,,,
83513,04/02/2014,0000,,32.6,,6.5,6.3,26.06,72.5,1.333333,
83513,04/02/2014,1200,1,,20.2,,,,,,
83513,05/02/2014,0000,,34.7,,3.5,6.3,27.64,68.75,1,
83513,05/02/2014,1200,0,,21.4,,,,,,
83513,06/02/2014,0000,,36,,5.3,6.9,28.7,65,1,
83513,06/02/2014,1200,0,,21,,,,,,
