Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83361,01/01/2014,0000,,33,,0.6,,27.44,76,,
83361,01/01/2014,1200,1.7,,24.4,,,,,,
83361,02/01/2014,0000,,36,,7.6,,29.04,66.75,,
83361,02/01/2014,1200,0,,23.4,,,,,,
83361,03/01/2014,0000,,35.9,,6.7,,28.1,71.5,,
83361,03/01/2014,1200,0,,23.1,,,,,,
83361,04/01/2014,0000,,31.8,,4.2,,26.68,85,,
83361,04/01/2014,1200,0,,22.6,,,,,,
83361,05/01/2014,0000,,34.6,,7.9,,26.46,79.75,,
83361,05/01/2014,1200,15.8,,21.8,,,,,,
83361,06/01/2014,0000,,35.3,,5.3,,26.24,80.5,,
83361,06/01/2014,1200,12.7,,23,,,,,,
83361,07/01/2014,0000,,33.2,,4.3,,27.1,74.25,,
83361,07/01/2014,1200,30.4,,22.7,,,,,,
83361,08/01/2014,0000,,34.4,,7.8,,25.58,80.75,,
83361,08/01/2014,1200,3,,22,,,,,,
83361,09/01/2014,0000,,34.6,,9.3,,26.08,79,,
83361,09/01/2014,1200,9.1,,21.8,,,,,,
83361,10/01/2014,0000,,33.6,,4.7,,26.64,76.5,,
83361,10/01/2014,1200,33.4,,23.2,,,,,,
83361,11/01/2014,0000,,32.2,,3.2,,25.88,83.75,,
83361,11/01/2014,1200,7.8,,23.3,,,,,,
83361,12/01/2014,0000,,32.5,,4.3,,25.8,89.25,0,
83361,12/01/2014,1200,2,,22.8,,,,,,
83361,13/01/2014,0000,,33.1,,3.3,,27.02,72.75,,
83361,13/01/2014,1200,11.6,,23.2,,,,,,
83361,14/01/2014,0000,,33,,1,,25.66,83.75,,
83361,14/01/2014,1200,0,,22.6,,,,,,
83361,15/01/2014,0000,,34.2,,6.1,,26.04,77,,
83361,15/01/2014,1200,28.2,,22,,,,,,
83361,16/01/2014,0000,,34.2,,7.7,,27.74,70.25,,
83361,16/01/2014,1200,5,,22.2,,,,,,
83361,17/01/2014,0000,,33.3,,4.1,,27.16,85,,
83361,17/01/2014,1200,0,,24.4,,,,,,
83361,18/01/2014,0000,,32.3,,2.1,,26.9,77.75,,
83361,18/01/2014,1200,0.5,,24,,,,,,
83361,19/01/2014,0000,,32.1,,2.4,,26.4,77.25,,
83361,19/01/2014,1200,0,,23.8,,,,,,
83361,20/01/2014,0000,,32.2,,4.1,,26.08,83,,
83361,20/01/2014,1200,0,,23.6,,,,,,
83361,21/01/2014,0000,,32.2,,4.8,,26.02,84.75,,
83361,21/01/2014,1200,2.8,,23.2,,,,,,
83361,22/01/2014,0000,,32.6,,3.3,,25.8,79,,
83361,22/01/2014,1200,40.4,,23.7,,,,,,
83361,23/01/2014,0000,,31.4,,2.5,,25.5,78.75,,
83361,23/01/2014,1200,32.2,,22.3,,,,,,
83361,24/01/2014,0000,,30.5,,1.8,,26.24,73.75,,
83361,24/01/2014,1200,0,,23.9,,,,,,
83361,25/01/2014,0000,,32.4,,,,26.58,77.75,,
83361,25/01/2014,1200,1,,22.8,,,,,,
83361,26/01/2014,0000,,29.6,,1.1,,25.74,76.25,,
83361,26/01/2014,1200,72,,22.4,,,,,,
83361,27/01/2014,0000,,32.4,,7.9,,26.48,66.75,,
83361,27/01/2014,1200,0,,21.6,,,,,,
83361,28/01/2014,0000,,34,,9.6,,27.1,67,,
83361,28/01/2014,1200,0,,22.1,,,,,,
83361,29/01/2014,0000,,32.8,,4.9,,25.46,75.75,,
83361,29/01/2014,1200,0,,21.8,,,,,,
83361,30/01/2014,0000,,33.8,,6.7,,25.98,71.75,,
83361,30/01/2014,1200,15.2,,22,,,,,,
83361,31/01/2014,0000,,32.7,,2.3,,25.9,80,,
83361,31/01/2014,1200,0.1,,22.4,,,,,,
83361,01/02/2014,0000,,33.1,,3.4,,25.68,77,,
83361,01/02/2014,1200,2.5,,21.6,,,,,,
83361,02/02/2014,0000,,33.7,,6.1,,,72,,
83361,03/02/2014,0000,,34.1,,3.9,,26.34,84.75,,
83361,03/02/2014,1200,0,,23.7,,,,,,
83361,04/02/2014,0000,,29.6,,0.5,,24.82,80.75,,
83361,04/02/2014,1200,39.8,,20.3,,,,,,
83361,05/02/2014,0000,,34.5,,5,,26.46,76,0,
83361,05/02/2014,1200,1.1,,22,,,,,,
83361,06/02/2014,0000,,35.1,,7.7,,27.44,74,,
83361,06/02/2014,1200,19.1,,22.5,,,,,,
83361,07/02/2014,0000,,32,,0.8,,26.38,76.5,,
83361,07/02/2014,1200,10.7,,22.8,,,,,,
83361,08/02/2014,0000,,34.1,,7.3,,27,70.25,,
83361,08/02/2014,1200,0,,23.2,,,,,,
83361,09/02/2014,0000,,34.9,,9.7,,28.18,65.5,,
83361,09/02/2014,1200,0,,22.6,,,,,,
83361,10/02/2014,0000,,32.5,,3,,26.44,79.75,0,
83361,10/02/2014,1200,7.1,,22.8,,,,,,
83361,11/02/2014,0000,,33.3,,6.4,,25.94,79.75,,
83361,11/02/2014,1200,0,,23,,,,,,
83361,12/02/2014,0000,,33.8,,8,,27.2,72.5,,
83361,12/02/2014,1200,18.3,,22.3,,,,,,
83361,13/02/2014,0000,,29.7,,2.5,,25.72,80.75,,
83361,13/02/2014,1200,0,,23,,,,,,
83361,14/02/2014,0000,,32.3,,7.3,,27.34,76,,
83361,14/02/2014,1200,0.3,,23.2,,,,,,
83361,15/02/2014,0000,,32.3,,2.4,,26.58,80,,
83361,15/02/2014,1200,0,,23.4,,,,,,
83361,16/02/2014,0000,,31,,0.1,,26.7,86.75,,
83361,16/02/2014,1200,16.4,,23.6,,,,,,
83361,17/02/2014,0000,,32.1,,1.5,,26.64,85,,
83361,17/02/2014,1200,14.7,,24,,,,,,
83361,18/02/2014,0000,,30.3,,1.2,,25.74,86.75,,
83361,18/02/2014,1200,16.7,,22.3,,,,,,
83361,19/02/2014,0000,,28,,0.1,,25.56,86.75,,
83361,19/02/2014,1200,1.8,,23.6,,,,,,
83361,20/02/2014,0000,,30.7,,1,,25.7,85.75,,
83361,20/02/2014,1200,3.2,,23.4,,,,,,
83361,21/02/2014,0000,,31,,3.1,,27.26,70,,
83361,21/02/2014,1200,13.1,,23.2,,,,,,
83361,22/02/2014,0000,,30.3,,2.1,,24.84,89,,
83361,22/02/2014,1200,52.9,,22.6,,,,,,
83361,23/02/2014,0000,,26,,0,,24.1,88.5,,
83361,23/02/2014,1200,33,,22.6,,,,,,
83361,24/02/2014,0000,,29.5,,2.1,,25.82,85,,
83361,24/02/2014,1200,2.2,,23.6,,,,,,
83361,25/02/2014,0000,,33,,3.2,,26.92,82.75,,
83361,25/02/2014,1200,0.7,,23.4,,,,,,
83361,26/02/2014,0000,,34,,4.7,,26.86,75.75,,
83361,26/02/2014,1200,3,,22.6,,,,,,
83361,27/02/2014,0000,,31.9,,4,,26.78,81,,
83361,27/02/2014,1200,0,,23.6,,,,,,
83361,28/02/2014,0000,,32.1,,6.6,,27.02,76.25,,
83361,28/02/2014,1200,10.1,,22.9,,,,,,
83361,01/03/2014,0000,,28.6,,1.2,,25.4,87.5,,
83361,01/03/2014,1200,0,,23.7,,,,,,
83361,02/03/2014,0000,,33.3,,6.1,,27.3,78.25,,
83361,02/03/2014,1200,18.2,,22.5,,,,,,
83361,03/03/2014,0000,,32.7,,2.7,,27.9,76,,
83361,03/03/2014,1200,0,,23.8,,,,,,
83361,04/03/2014,0000,,34.6,,7.8,,28.72,71,,
83361,04/03/2014,1200,0,,24,,,,,,
83361,05/03/2014,0000,,32.8,,4,,26.78,80.75,,
83361,05/03/2014,1200,83.3,,22.6,,,,,,
83361,06/03/2014,0000,,33.5,,3.8,,27.96,74,,
83361,06/03/2014,1200,0,,23.9,,,,,,
83361,07/03/2014,0000,,33.5,,1.9,,27.74,73.25,,
83361,07/03/2014,1200,0,,24.2,,,,,,
83361,08/03/2014,0000,,34,,8.6,,27.68,71.75,,
83361,08/03/2014,1200,0,,24,,,,,,
83361,09/03/2014,0000,,34.1,,10.2,,29.18,66.75,,
83361,09/03/2014,1200,0,,24.7,,,,,,
83361,10/03/2014,0000,,33.3,,6.5,,27.98,77,,
83361,10/03/2014,1200,0,,24.8,,,,,,
83361,11/03/2014,0000,,31,,2.2,,27.06,81.25,,
83361,11/03/2014,1200,6.6,,24.2,,,,,,
83361,12/03/2014,0000,,33.3,,7.2,,27.12,78.25,,
83361,12/03/2014,1200,5.2,,22.4,,,,,,
83361,13/03/2014,0000,,34.2,,7.2,,26.84,78.5,,
83361,13/03/2014,1200,1.1,,23.4,,,,,,
83361,14/03/2014,0000,,34.2,,,,28.18,75.75,,
83361,14/03/2014,1200,18.4,,23,,,,,,
83361,15/03/2014,0000,,34.9,,8.7,,26.68,75.75,,
83361,15/03/2014,1200,1.2,,23.3,,,,,,
83361,16/03/2014,0000,,33.4,,9.2,,26.6,77.5,,
83361,16/03/2014,1200,4.9,,22.5,,,,,,
83361,17/03/2014,0000,,37.6,,9.9,,,,,
83361,18/03/2014,0000,,34.6,,7.8,,27.8,71.25,,
83361,18/03/2014,1200,0.2,,23.2,,,,,,
83361,19/03/2014,0000,,34.9,,6.4,,28.42,74,,
83361,19/03/2014,1200,0.4,,24,,,,,,
83361,20/03/2014,0000,,33.3,,5.1,,,84.75,,
83361,20/03/2014,1200,32.1,,,,,,,,
83361,21/03/2014,0000,,33.6,,5.7,,,,,
83361,22/03/2014,0000,,33.1,,3.2,,26.2,83,,
83361,22/03/2014,1200,0,,24,,,,,,
83361,23/03/2014,0000,,30.5,,3.6,,26.14,81.5,,
83361,23/03/2014,1200,64,,22.4,,,,,,
83361,24/03/2014,0000,,31.7,,2.1,,26.46,83.5,,
83361,24/03/2014,1200,0,,23.2,,,,,,
83361,25/03/2014,0000,,32.5,,5.9,,26.78,80,,
83361,25/03/2014,1200,1.3,,23.4,,,,,,
83361,26/03/2014,0000,,33.5,,4.5,,26.6,80,,
83361,26/03/2014,1200,0,,23.2,,,,,,
83361,27/03/2014,0000,,29,,0.2,,25.56,81.5,,
83361,27/03/2014,1200,4.3,,22.4,,,,,,
83361,28/03/2014,0000,,32.3,,4.8,,26.8,75,,
83361,28/03/2014,1200,0.2,,22.4,,,,,,
83361,29/03/2014,0000,,32.4,,4,,27.16,79.5,,
83361,29/03/2014,1200,0,,23.7,,,,,,
83361,30/03/2014,0000,,30.6,,3.3,,26.04,88.25,,
83361,30/03/2014,1200,0,,23.1,,,,,,
83361,31/03/2014,0000,,32.4,,3.1,,26.94,79.5,,
83361,31/03/2014,1200,18.8,,23,,,,,,
83361,01/04/2014,0000,,33.2,,3.2,,26.68,82,,
83361,01/04/2014,1200,0,,23,,,,,,
83361,02/04/2014,0000,,34.5,,7.6,,26.82,78,,
83361,02/04/2014,1200,1.9,,23,,,,,,
83361,03/04/2014,0000,,34.7,,8.7,,27.18,80,,
83361,03/04/2014,1200,19.3,,23.4,,,,,,
83361,04/04/2014,0000,,34.5,,10,,27.94,73.5,,
83361,04/04/2014,1200,17.1,,22.6,,,,,,
83361,05/04/2014,0000,,34.5,,5.4,,27.96,79.25,,
83361,05/04/2014,1200,0,,24.3,,,,,,
83361,06/04/2014,0000,,35.6,,8.7,,28.68,75.75,,
83361,06/04/2014,1200,4.6,,24.4,,,,,,
83361,07/04/2014,0000,,35.1,,9,,29.7,72,,
83361,07/04/2014,1200,7.8,,24.2,,,,,,
83361,08/04/2014,0000,,35.3,,9.7,,29.58,71.5,,
83361,08/04/2014,1200,0,,24.6,,,,,,
83361,09/04/2014,0000,,32.5,,1.3,,27,86,,
83361,09/04/2014,1200,1.8,,24.2,,,,,,
83361,10/04/2014,0000,,34.3,,7.9,,27.92,74.75,,
83361,10/04/2014,1200,0,,23.3,,,,,,
83361,11/04/2014,0000,,34.4,,,,27.72,79.5,,
83361,11/04/2014,1200,0,,24,,,,,,
83361,12/04/2014,0000,,33.4,,5.7,,27.3,86.25,,
83361,12/04/2014,1200,8.2,,23.6,,,,,,
83361,13/04/2014,0000,,32.3,,2.4,,26.86,82,,
83361,13/04/2014,1200,0,,24.7,,,,,,
83361,14/04/2014,0000,,25.6,,0,,22.3,92,,
83361,14/04/2014,1200,28.2,,20.6,,,,,,
83361,15/04/2014,0000,,27.2,,0.5,,23.82,79.25,,
83361,15/04/2014,1200,0,,20.2,,,,,,
83361,16/04/2014,0000,,33.8,,9.8,,27.22,76,,
83361,16/04/2014,1200,0,,21.4,,,,,,
83361,17/04/2014,0000,,33.1,,4.2,,27.18,82.75,,
83361,17/04/2014,1200,0.4,,23,,,,,,
83361,18/04/2014,0000,,33.3,,7.8,,27.24,77.5,0,
83361,18/04/2014,1200,3.1,,23.1,,,,,,
83361,19/04/2014,0000,,34.4,,7.6,,28.44,71.5,,
83361,19/04/2014,1200,0,,23.2,,,,,,
83361,20/04/2014,0000,,34,,5.3,,27.96,79,0,
83361,20/04/2014,1200,0,,24.4,,,,,,
83361,21/04/2014,0000,,33.9,,6.4,,26.54,84.75,0,
83361,21/04/2014,1200,0,,21.4,,,,,,
83361,22/04/2014,0000,,32.1,,1.3,,25.54,87.25,,
83361,22/04/2014,1200,0,,24.6,,,,,,
83361,23/04/2014,0000,,28.4,,1.4,,24.34,87.25,,
83361,23/04/2014,1200,28.3,,21.4,,,,,,
83361,24/04/2014,0000,,29.9,,2.5,,25.68,81,,
83361,24/04/2014,1200,0,,22.6,,,,,,
83361,25/04/2014,0000,,31.9,,9.6,,26.54,73.5,,
83361,25/04/2014,1200,0,,22.2,,,,,,
83361,26/04/2014,0000,,31.3,,,,26.08,72,,
83361,26/04/2014,1200,0,,21.8,,,,,,
83361,27/04/2014,0000,,33.9,,8.8,,27.68,68.25,,
