Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83358,01/01/2014,0000,,32.5,,0,,25.36,83.75,1.37184,
83358,01/01/2014,1200,0,,22,,,,,,
83358,02/01/2014,0000,,34,,9.6,,27.08,75,1.02888,
83358,02/01/2014,1200,9,,21.6,,,,,,
83358,03/01/2014,0000,,35.7,,0,,26.26,77.5,1.02888,
83358,03/01/2014,1200,0,,22,,,,,,
83358,04/01/2014,0000,,34.5,,9.5,,27.42,76,1.02888,
83358,04/01/2014,1200,15,,20.8,,,,,,
83358,05/01/2014,0000,,33.3,,7.4,,25.74,85.75,1.02888,
83358,05/01/2014,1200,0,,20.8,,,,,,
83358,06/01/2014,0000,,35,,7.4,,24.44,83.25,1.02888,
83358,06/01/2014,1200,0,,20.2,,,,,,
83358,07/01/2014,0000,,29.5,,2.2,,23.16,89.75,0.68592,
83358,07/01/2014,1200,40.4,,20.8,,,,,,
83358,08/01/2014,0000,,32.8,,4.7,,23.7,95.25,1.02888,
83358,08/01/2014,1200,10,,19.6,,,,,,
83358,09/01/2014,0000,,32.5,,5.1,,23.7,87,1.02888,
83358,09/01/2014,1200,7.4,,19.4,,,,,,
83358,10/01/2014,0000,,32.5,,2.9,,24.66,82,0.68592,
83358,10/01/2014,1200,14,,21.2,,,,,,
83358,11/01/2014,0000,,30.5,,4,,23.98,90.25,1.02888,
83358,11/01/2014,1200,0,,20,,,,,,
83358,12/01/2014,0000,,32,,3.4,,24.44,83.75,0,
83358,12/01/2014,1200,0,,21,,,,,,
83358,13/01/2014,0000,,30.5,,1.6,,23.82,91.75,0,
83358,13/01/2014,1200,0,,20.2,,,,,,
83358,14/01/2014,0000,,32.5,,5.3,,24.34,85.75,1.37184,
83358,14/01/2014,1200,0,,20,,,,,,
83358,15/01/2014,0000,,34,,0.5,,24.28,93.75,0,
83358,15/01/2014,1200,3,,20.8,,,,,,
83358,16/01/2014,0000,,33,,5.3,,24.96,84.25,1.02888,
83358,16/01/2014,1200,0,,20.2,,,,,,
83358,17/01/2014,0000,,33.6,,2.7,,26.16,83,0,
83358,17/01/2014,1200,3,,21.8,,,,,,
83358,18/01/2014,0000,,30,,2.9,,25.96,80.5,1.02888,
83358,18/01/2014,1200,22.8,,21,,,,,,
83358,19/01/2014,0000,,29.5,,0.9,,24.18,95.5,1.02888,
83358,19/01/2014,1200,0,,22.2,,,,,,
83358,20/01/2014,0000,,29.3,,1.8,,24.72,90.25,0.68592,
83358,20/01/2014,1200,8,,21,,,,,,
83358,21/01/2014,0000,,29,,2,,25.22,80.25,3.77256,
83358,21/01/2014,1200,0,,22.2,,,,,,
83358,22/01/2014,0000,,27,,0,,23.68,92.25,1.02888,
83358,22/01/2014,1200,26.2,,21.6,,,,,,
83358,23/01/2014,0000,,31.5,,4,,24.08,87.5,1.02888,
83358,23/01/2014,1200,20.8,,21,,,,,,
83358,24/01/2014,0000,,29.5,,1,,23.78,92.25,1.02888,
83358,24/01/2014,1200,5,,21,,,,,,
83358,25/01/2014,0000,,29,,3,,24.08,86.75,1.02888,
83358,25/01/2014,1200,40.6,,21.2,,,,,,
83358,26/01/2014,0000,,27,,0.5,,23.92,84.75,0.51444,
83358,26/01/2014,1200,0,,22,,,,,,
83358,27/01/2014,0000,,31.5,,8.3,,24.5,81,1.02888,
83358,27/01/2014,1200,2.6,,20,,,,,,
83358,28/01/2014,0000,,32.5,,6.4,,24.34,85.25,0,
