Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83267,01/01/2014,0000,,31.5,,4.3,,24.8,92.25,2.22924,
83267,01/01/2014,1200,5.6,,21.6,,,,,,
83267,02/01/2014,0000,,32.5,,7.6,,25.44,92,0.68592,
83267,02/01/2014,1200,21.1,,21.2,,,,,,
83267,03/01/2014,0000,,33.4,,6.9,,25.14,90.5,0.68592,
83267,03/01/2014,1200,5.6,,20.8,,,,,,
83267,04/01/2014,0000,,33.7,,8.1,,24.44,91,1.54332,
83267,04/01/2014,1200,0,,20.4,,,,,,
83267,05/01/2014,0000,,33.1,,9,,25.36,96.5,0.68592,
83267,05/01/2014,1200,28.8,,20,,,,,,
83267,06/01/2014,0000,,31.3,,3,,24.6,89.25,0.34296,
83267,06/01/2014,1200,0,,21.4,,,,,,
83267,07/01/2014,0000,,30.3,,3,,23.76,92,1.02888,
83267,07/01/2014,1200,0,,20,,,,,,
83267,08/01/2014,0000,,31.8,,5.2,,24.72,89.75,1.02888,
83267,08/01/2014,1200,0,,20.9,,,,,,
83267,09/01/2014,0000,,33.3,,6.3,,24.76,88,0.34296,
83267,09/01/2014,1200,0.4,,20.4,,,,,,
83267,10/01/2014,0000,,33.2,,4.9,,24.84,90.25,0.68592,
83267,10/01/2014,1200,0.8,,21.5,,,,,,
83267,11/01/2014,0000,,31.6,,8.2,,24.04,88.25,0.68592,
83267,11/01/2014,1200,0,,19.3,,,,,,
83267,12/01/2014,0000,,31.6,,3.3,,24.18,59,0.68592,
83267,12/01/2014,1200,1,,19,,,,,,
83267,13/01/2014,0000,,31.9,,7.7,,24.7,89.5,0.68592,
83267,13/01/2014,1200,7.2,,20.5,,,,,,
83267,14/01/2014,0000,,33.1,,4.2,,24.04,91,0.34296,
83267,14/01/2014,1200,0,,20.2,,,,,,
83267,15/01/2014,0000,,31.8,,8.1,,25.54,86.75,0.34296,
83267,15/01/2014,1200,0.9,,21,,,,,,
83267,16/01/2014,0000,,33,,9,,25.1,90.25,0.34296,
83267,16/01/2014,1200,6.1,,21.4,,,,,,
83267,17/01/2014,0000,,32,,5.9,,25.98,90.75,0.68592,
83267,17/01/2014,1200,0,,22,,,,,,
83267,18/01/2014,0000,,32.4,,6,,25.54,90,0.34296,
83267,18/01/2014,1200,1.4,,22.8,,,,,,
83267,19/01/2014,0000,,31.4,,5.2,,24.64,89.25,0.34296,
83267,19/01/2014,1200,34,,20.9,,,,,,
83267,20/01/2014,0000,,31,,6.8,,24.86,90.75,1.54332,
83267,20/01/2014,1200,2.1,,21.6,,,,,,
83267,21/01/2014,0000,,29.4,,3.2,,24.18,93.5,1.20036,
83267,21/01/2014,1200,47.1,,22,,,,,,
83267,22/01/2014,0000,,30.3,,3,,24.76,88.25,1.20036,
83267,22/01/2014,1200,1.6,,22.2,,,,,,
83267,23/01/2014,0000,,30,,2.4,,24.02,91.25,0.68592,
83267,23/01/2014,1200,0,,21.4,,,,,,
83267,24/01/2014,0000,,27.9,,1.5,,23.04,97.5,0.68592,
83267,24/01/2014,1200,7.7,,21.2,,,,,,
83267,25/01/2014,0000,,31.1,,4.6,,24.14,90,1.02888,
83267,25/01/2014,1200,37.7,,20.2,,,,,,
83267,26/01/2014,0000,,28.5,,0.3,,23.56,95.25,0.68592,
83267,26/01/2014,1200,23.6,,20.6,,,,,,
83267,27/01/2014,0000,,29.1,,5,,23.24,89.25,1.20036,
83267,27/01/2014,1200,4.1,,20,,,,,,
83267,28/01/2014,0000,,32.1,,9,,23.6,87.75,1.02888,
83267,28/01/2014,1200,0.2,,18.4,,,,,,
83267,29/01/2014,0000,,32.5,,10.4,,24.72,84,0.68592,
83267,29/01/2014,1200,0.1,,18.8,,,,,,
83267,30/01/2014,0000,,33.2,,8.3,,24.42,88.5,0.68592,
83267,30/01/2014,1200,0,,19.6,,,,,,
83267,31/01/2014,0000,,31.1,,2.3,,23.24,93,0.68592,
83267,31/01/2014,1200,37.9,,21.2,,,,,,
83267,01/02/2014,0000,,32.3,,7.6,,24.88,88.75,0.68592,
83267,01/02/2014,1200,11.2,,20.6,,,,,,
83267,02/02/2014,0000,,30.2,,4.9,,,88,0.51444,
83267,03/02/2014,0000,,29.2,,1.5,,24.94,93.75,0.34296,
83267,03/02/2014,1200,0,,21.8,,,,,,
83267,04/02/2014,0000,,27.6,,0,,23.54,91,0.68592,
83267,04/02/2014,1200,5.3,,19.6,,,,,,
83267,05/02/2014,0000,,32.4,,2.4,,24.3,85,0.68592,
83267,05/02/2014,1200,0.2,,21.8,,,,,,
83267,06/02/2014,0000,,35.2,,10,,26.22,77.5,1.02888,
83267,06/02/2014,1200,6.8,,20,,,,,,
83267,07/02/2014,0000,,32.3,,6.9,,24.92,87.25,0.68592,
83267,07/02/2014,1200,51.7,,20.4,,,,,,
83267,08/02/2014,0000,,30.4,,4.8,,23.6,92.75,0.34296,
83267,08/02/2014,1200,43.7,,19.5,,,,,,
83267,09/02/2014,0000,,32.2,,4.2,,25.18,90,0.68592,
83267,09/02/2014,1200,4,,21,,,,,,
83267,10/02/2014,0000,,31.8,,4.7,,24.44,88.75,1.02888,
83267,10/02/2014,1200,21.7,,21.1,,,,,,
83267,11/02/2014,0000,,32.3,,3,,24.36,90.5,0.68592,
83267,11/02/2014,1200,0.7,,21.4,,,,,,
83267,12/02/2014,0000,,30.9,,5.3,,24.84,90.75,0.68592,
83267,12/02/2014,1200,90.8,,21.2,,,,,,
83267,13/02/2014,0000,,28.1,,1.5,,23.48,95,1.02888,
83267,13/02/2014,1200,10.1,,21.8,,,,,,
83267,14/02/2014,0000,,32,,9.2,,24.58,90.25,0.68592,
83267,14/02/2014,1200,31,,21.6,,,,,,
83267,15/02/2014,0000,,29.1,,2.8,,24.06,98,0.68592,
83267,15/02/2014,1200,8.5,,22.3,,,,,,
83267,16/02/2014,0000,,28.1,,1.4,,24.16,96,1.20036,
83267,16/02/2014,1200,77.8,,22.2,,,,,,
83267,17/02/2014,0000,,31.1,,3.1,,24.96,92.5,1.20036,
83267,17/02/2014,1200,3.6,,22,,,,,,
83267,18/02/2014,0000,,27.7,,0.6,,24.4,97.25,0.68592,
83267,18/02/2014,1200,32.2,,21.8,,,,,,
83267,19/02/2014,0000,,28.2,,0.7,,,92.75,0.51444,
83267,19/02/2014,1200,3.5,,22.4,,,,,,
83267,20/02/2014,0000,,29.9,,4,,24.6,92.5,1.20036,
83267,20/02/2014,1200,14.5,,22.2,,,,,,
83267,21/02/2014,0000,,28,,2.6,,23.86,92.75,1.54332,
83267,21/02/2014,1200,48.3,,21.6,,,,,,
83267,22/02/2014,0000,,30.7,,2.7,,24.24,92,1.54332,
83267,22/02/2014,1200,5.6,,21.8,,,,,,
83267,23/02/2014,0000,,30.6,,4.1,,23.78,95,0.68592,
83267,23/02/2014,1200,37.2,,21.6,,,,,,
83267,24/02/2014,0000,,30.2,,3.1,,25.5,89.75,0.68592,
83267,24/02/2014,1200,47.2,,21.6,,,,,,
83267,25/02/2014,0000,,33.4,,6.7,,25.98,85.5,1.02888,
83267,25/02/2014,1200,0.3,,22,,,,,,
83267,26/02/2014,0000,,33.6,,5.5,,26.74,81.75,1.02888,
83267,26/02/2014,1200,0,,22.6,,,,,,
83267,27/02/2014,0000,,31.5,,3.5,,25.1,88.75,1.54332,
83267,27/02/2014,1200,0,,22.3,,,,,,
83267,28/02/2014,0000,,31.1,,5.9,,25.32,89,0.68592,
83267,28/02/2014,1200,1.6,,21.8,,,,,,
83267,01/03/2014,0000,,28.9,,1.2,,24.6,95.25,0.68592,
83267,01/03/2014,1200,14.1,,22.8,,,,,,
83267,02/03/2014,0000,,30.2,,1.3,,24.9,97.5,0.34296,
83267,02/03/2014,1200,9,,22.6,,,,,,
83267,03/03/2014,0000,,32.1,,4,,25.2,90,0.68592,
83267,03/03/2014,1200,3.7,,22.2,,,,,,
83267,04/03/2014,0000,,31.2,,5,,24.94,91.25,0.68592,
83267,04/03/2014,1200,0,,21.8,,,,,,
83267,05/03/2014,0000,,31.6,,4.2,,25.28,89.5,0.68592,
83267,05/03/2014,1200,0.3,,21.9,,,,,,
83267,06/03/2014,0000,,32.1,,6.4,,25.48,85.75,0.34296,
83267,06/03/2014,1200,19.6,,22,,,,,,
83267,07/03/2014,0000,,31.1,,4.6,,26.08,85.25,1.54332,
83267,07/03/2014,1200,1.9,,23.4,,,,,,
83267,08/03/2014,0000,,28.7,,1.6,,24.12,90,1.20036,
83267,08/03/2014,1200,25.4,,21,,,,,,
83267,09/03/2014,0000,,29.4,,1.2,,24.5,88.75,0.68592,
83267,09/03/2014,1200,0.4,,22.2,,,,,,
83267,10/03/2014,0000,,32.8,,7.3,,26.2,87.5,1.20036,
83267,10/03/2014,1200,0.4,,21.1,,,,,,
83267,11/03/2014,0000,,31.4,,3.3,,24.82,95.5,0.68592,
83267,11/03/2014,1200,129.7,,20.8,,,,,,
83267,12/03/2014,0000,,31.9,,2.3,,26.08,88.5,0.34296,
83267,12/03/2014,1200,0.3,,22.8,,,,,,
83267,13/03/2014,0000,,33.8,,8.9,,26.1,85.5,1.02888,
83267,13/03/2014,1200,0,,22.2,,,,,,
83267,14/03/2014,0000,,32.6,,5.5,,25.66,88.5,0.34296,
83267,14/03/2014,1200,6.7,,21.8,,,,,,
83267,15/03/2014,0000,,32.7,,6.6,,25.24,89,0.68592,
83267,15/03/2014,1200,0,,22,,,,,,
83267,16/03/2014,0000,,32.8,,10.2,,25.66,86.25,1.20036,
83267,16/03/2014,1200,2.2,,21.6,,,,,,
83267,17/03/2014,0000,,32.7,,8.5,,24.76,86.75,0.68592,
83267,17/03/2014,1200,0.2,,19.8,,,,,,
83267,18/03/2014,0000,,31.9,,8.5,,25.34,86,1.02888,
83267,18/03/2014,1200,6.2,,21.9,,,,,,
83267,19/03/2014,0000,,33.1,,5.9,,25.88,85.5,0.68592,
83267,19/03/2014,1200,0.9,,22,,,,,,
83267,20/03/2014,0000,,32.4,,3.7,,25.7,97,0.68592,
83267,20/03/2014,1200,0,,22,,,,,,
83267,21/03/2014,0000,,32.8,,5.6,,26.14,86,0.68592,
83267,21/03/2014,1200,1,,21.8,,,,,,
83267,22/03/2014,0000,,33.5,,6.1,,25.74,86,0.68592,
83267,22/03/2014,1200,2.3,,21.9,,,,,,
83267,23/03/2014,0000,,30.5,,3.5,,24.96,89.5,1.54332,
83267,23/03/2014,1200,15.5,,22.2,,,,,,
83267,24/03/2014,0000,,32.3,,4,,25.8,90.75,0.68592,
83267,24/03/2014,1200,1.2,,22.4,,,,,,
83267,25/03/2014,0000,,33,,6.1,,24.78,89.75,1.02888,
83267,25/03/2014,1200,21.3,,22,,,,,,
83267,26/03/2014,0000,,33.1,,7.3,,26.56,83,1.02888,
83267,26/03/2014,1200,45,,22.2,,,,,,
83267,27/03/2014,0000,,30.2,,2.1,,24.8,90.75,0.68592,
83267,27/03/2014,1200,20.8,,21.1,,,,,,
83267,28/03/2014,0000,,28.3,,1.4,,23.98,98.25,0.68592,
83267,28/03/2014,1200,16.6,,22.6,,,,,,
