Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82246,01/01/2014,0000,,31.4,,6.7,2.8,26.24,86.25,1,
82246,01/01/2014,1200,0,,21.2,,,,,,
82246,02/01/2014,0000,,31.3,,8.9,2.6,26.64,87.5,0.8,
82246,02/01/2014,1200,0,,22.3,,,,,,
82246,03/01/2014,0000,,31.6,,8.3,3.6,26.44,87.75,0.866667,
82246,03/01/2014,1200,0,,21.9,,,,,,
82246,04/01/2014,0000,,31.4,,8.7,3.8,26.84,86,0.8,
82246,04/01/2014,1200,0,,22.5,,,,,,
82246,05/01/2014,0000,,31.7,,9.3,2.9,26.8,88,1,
82246,05/01/2014,1200,0,,22.9,,,,,,
82246,06/01/2014,0000,,31.3,,8.6,3.8,26.62,87,1.266667,
82246,06/01/2014,1200,0,,22.3,,,,,,
82246,07/01/2014,0000,,30.9,,3.3,3.9,25.48,90.5,1.066667,
82246,07/01/2014,1200,0,,21.6,,,,,,
82246,08/01/2014,0000,,31.2,,5.6,0.5,26.46,89.5,0.666667,
82246,08/01/2014,1200,0,,22.2,,,,,,
82246,09/01/2014,0000,,32.5,,6.6,1.7,25.74,91.75,0.333333,
82246,09/01/2014,1200,6.4,,22.6,,,,,,
82246,10/01/2014,0000,,29.3,,2.5,0.8,24.98,95,1.066667,
82246,10/01/2014,1200,3.2,,21.7,,,,,,
82246,11/01/2014,0000,,30.7,,2.8,2.6,25.32,93,1.033333,
82246,11/01/2014,1200,1.4,,21.3,,,,,,
82246,12/01/2014,0000,,26,,0,1.2,23.72,98.25,0.333333,
82246,12/01/2014,1200,5.1,,22,,,,,,
82246,13/01/2014,0000,,27.6,,0,0.2,24.04,97,0,
82246,13/01/2014,1200,32.9,,21.3,,,,,,
82246,14/01/2014,0000,,28.1,,4.4,0.7,24.58,94.75,1.1,
82246,14/01/2014,1200,5.2,,21.4,,,,,,
82246,15/01/2014,0000,,30.3,,8.2,1.5,25.6,91.75,0.8,
82246,15/01/2014,1200,0,,21.8,,,,,,
82246,16/01/2014,0000,,30.8,,6.4,2.6,25.86,91,1.033333,
82246,16/01/2014,1200,0,,21.5,,,,,,
82246,17/01/2014,0000,,31,,8.7,2.6,26.14,91,1.033333,
82246,17/01/2014,1200,11.5,,22.3,,,,,,
82246,18/01/2014,0000,,30.3,,6.1,2,25.64,89.75,1.133333,
82246,18/01/2014,1200,1.4,,22,,,,,,
82246,19/01/2014,0000,,30.7,,6.5,2.3,25.84,90,1.133333,
82246,19/01/2014,1200,2.2,,21.9,,,,,,
82246,20/01/2014,0000,,30,,5.7,2.1,25.62,89.75,0.666667,
82246,20/01/2014,1200,29.4,,22.1,,,,,,
82246,21/01/2014,0000,,30.9,,5.8,1.7,25.98,90,0.666667,
82246,21/01/2014,1200,20,,22.4,,,,,,
82246,22/01/2014,0000,,29.7,,5.5,1.6,25.48,91,0.933333,
82246,22/01/2014,1200,26.6,,22,,,,,,
82246,23/01/2014,0000,,30.3,,8.3,2.1,25.68,89.5,0.733333,
82246,23/01/2014,1200,1.5,,22.2,,,,,,
82246,24/01/2014,0000,,31.4,,8.2,2.3,26.5,86.75,1.033333,
82246,24/01/2014,1200,0,,22.6,,,,,,
82246,25/01/2014,0000,,27.9,,1,2.7,23.6,95.5,0.3,
82246,25/01/2014,1200,43.2,,21.8,,,,,,
82246,26/01/2014,0000,,28.8,,2.9,1,24.54,93.75,1.1,
82246,26/01/2014,1200,16.4,,21.4,,,,,,
82246,27/01/2014,0000,,29.7,,4.4,1.4,24.98,92,1.066667,
82246,27/01/2014,1200,0,,21.7,,,,,,
82246,28/01/2014,0000,,29.7,,2.2,2.3,25,88.75,0.666667,
82246,28/01/2014,1200,0.4,,21.1,,,,,,
82246,29/01/2014,0000,,27.9,,0,1.7,23.58,97,0.666667,
82246,29/01/2014,1200,61.6,,22,,,,,,
82246,30/01/2014,0000,,29.1,,3.4,0.6,24.9,93,0.7,
82246,30/01/2014,1200,35.6,,21.9,,,,,,
82246,31/01/2014,0000,,29.9,,7,1.7,25.18,91.25,0.766667,
82246,31/01/2014,1200,1.5,,21.6,,,,,,
82246,01/02/2014,0000,,29,,4.5,2.3,24,94.25,0.7,
82246,01/02/2014,1200,7.8,,21.5,,,,,,
82246,02/02/2014,0000,,30.4,,7.4,1.7,25.68,91.25,0.666667,
82246,02/02/2014,1200,7.6,,22.2,,,,,,
82246,03/02/2014,0000,,28.1,,3.6,2.5,24.54,95.75,1.066667,
82246,03/02/2014,1200,1.6,,22,,,,,,
82246,04/02/2014,0000,,29.9,,2.1,1.2,24.98,88.75,1.033333,
82246,04/02/2014,1200,1.9,,21.5,,,,,,
82246,05/02/2014,0000,,30.7,,0,1.1,24.54,94.5,0.766667,
82246,05/02/2014,1200,2.4,,21.6,,,,,,
82246,06/02/2014,0000,,30.1,,5.4,1,25.14,92,0.366667,
82246,06/02/2014,1200,2.4,,21.5,,,,,,
82246,07/02/2014,0000,,28.9,,0,1.4,24.54,94.5,0.933333,
82246,07/02/2014,1200,6.6,,21.5,,,,,,
82246,08/02/2014,0000,,28.4,,0,0.9,24.02,96.5,0.666667,
82246,08/02/2014,1200,18.4,,21.3,,,,,,
82246,09/02/2014,0000,,30.3,,8.6,1.3,25.46,94.25,1,
82246,09/02/2014,1200,32.7,,21.5,,,,,,
82246,10/02/2014,0000,,30.3,,3,1.3,25.7,91.5,1.033333,
82246,10/02/2014,1200,60.2,,21.3,,,,,,
82246,11/02/2014,0000,,28.7,,0,1.3,25.34,94,0.7,
82246,11/02/2014,1200,1,,22.4,,,,,,
82246,12/02/2014,0000,,29.9,,,1,25.46,91.75,1.033333,
82246,12/02/2014,1200,34.8,,21.9,,,,,,
82246,13/02/2014,0000,,29.7,,,0.9,25.32,93,1.133333,
82246,13/02/2014,1200,10.2,,22.3,,,,,,
82246,14/02/2014,0000,,29.5,,,1.6,25.38,95.75,1,
82246,14/02/2014,1200,0,,22.4,,,,,,
82246,15/02/2014,0000,,27.9,,,2.2,24.5,96,0.966667,
