Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82188,01/01/2014,0000,,33,,8.3,2.8,27.74,80.5,0.666667,
82188,01/01/2014,1200,0,,23.1,,,,,,
82188,02/01/2014,0000,,33.4,,7.9,2.5,27.62,83.5,0.666667,
82188,02/01/2014,1200,0,,23.9,,,,,,
82188,03/01/2014,0000,,33.2,,5,2.2,26.78,84.5,0.666667,
82188,03/01/2014,1200,0,,23.1,,,,,,
82188,04/01/2014,0000,,33.4,,6.9,1.4,27.14,85.5,0.666667,
82188,04/01/2014,1200,5.2,,22.3,,,,,,
82188,05/01/2014,0000,,33.4,,6.8,1,27.3,77.5,0.666667,
82188,05/01/2014,1200,0,,23.3,,,,,,
82188,06/01/2014,0000,,33.4,,5.9,0.6,26.58,86.25,0.666667,
82188,06/01/2014,1200,0,,23.7,,,,,,
82188,07/01/2014,0000,,32,,5.4,0.8,26.78,84.5,0.666667,
82188,07/01/2014,1200,7.9,,22.1,,,,,,
82188,08/01/2014,0000,,31,,2.2,1,26.26,87.75,0.333333,
82188,08/01/2014,1200,0,,22.7,,,,,,
82188,09/01/2014,0000,,30,,1.2,0.9,25.54,89,0,
82188,09/01/2014,1200,14.6,,22.1,,,,,,
82188,10/01/2014,0000,,31,,1.5,0.7,25.86,88.5,0.333333,
82188,10/01/2014,1200,6.7,,22.5,,,,,,
82188,11/01/2014,0000,,31,,1.1,1,25.78,91.75,0.333333,
82188,11/01/2014,1200,0,,22.7,,,,,,
82188,12/01/2014,0000,,26,,0,0.9,23.74,95.75,0,
82188,12/01/2014,1200,28.6,,22.1,,,,,,
82188,13/01/2014,0000,,32.2,,5.7,0.9,26.02,88.25,0.666667,
82188,13/01/2014,1200,4.1,,22.1,,,,,,
82188,14/01/2014,0000,,30.6,,0.1,1.2,25.86,89,0.666667,
82188,14/01/2014,1200,23.4,,22.7,,,,,,
82188,15/01/2014,0000,,31,,1.3,1.2,27.14,84.75,1,
82188,15/01/2014,1200,0,,23.5,,,,,,
82188,16/01/2014,0000,,32.6,,6.2,1.6,26.82,87.25,1,
82188,16/01/2014,1200,0,,23.1,,,,,,
82188,17/01/2014,0000,,33.4,,6.1,2.2,27.18,88.75,0.333333,
82188,17/01/2014,1200,0.2,,23.3,,,,,,
82188,18/01/2014,0000,,33,,8.1,1.8,27.46,84.5,0.333333,
82188,18/01/2014,1200,5.4,,23.3,,,,,,
82188,19/01/2014,0000,,32.8,,3.7,1.8,27.14,82.75,0.666667,
82188,19/01/2014,1200,3.5,,24.3,,,,,,
