Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82263,01/01/2014,0000,,34.6,,8.8,4.6,28.84,79,3,
82263,01/01/2014,1200,0,,25,,,,,,
82263,02/01/2014,0000,,34.5,,7.9,3.9,28.76,77,3.666667,
82263,02/01/2014,1200,0,,24,,,,,,
82263,03/01/2014,0000,,33.9,,9.6,4.7,28.1,81.25,2.333333,
82263,03/01/2014,1200,0,,25.4,,,,,,
82263,04/01/2014,0000,,33.6,,6.9,4.3,27.36,85.75,1.333333,
82263,04/01/2014,1200,2.2,,24.2,,,,,,
82263,05/01/2014,0000,,34.3,,9.7,2.9,27.9,78.5,3,
82263,05/01/2014,1200,10.2,,24,,,,,,
82263,06/01/2014,0000,,34,,8.7,4.1,27.56,83.5,3.333333,
82263,06/01/2014,1200,1.7,,24,,,,,,
82263,07/01/2014,0000,,33.6,,4.8,3.7,27.44,82.5,2.666667,
82263,07/01/2014,1200,3.5,,22.8,,,,,,
82263,08/01/2014,0000,,32.7,,2.6,2.9,26.38,87.75,0.666667,
82263,08/01/2014,1200,77.8,,22,,,,,,
82263,09/01/2014,0000,,29.6,,0.7,4.1,25.66,92.25,1,
82263,09/01/2014,1200,17.3,,21.9,,,,,,
82263,10/01/2014,0000,,29.8,,1.4,0.8,25.84,91,0.333333,
82263,10/01/2014,1200,6.3,,22.8,,,,,,
82263,11/01/2014,0000,,33.6,,8,0.9,27.4,84,2,
82263,11/01/2014,1200,0.2,,23,,,,,,
82263,12/01/2014,0000,,26.7,,0,2.6,24.04,95.25,1.333333,
82263,12/01/2014,1200,87,,22.4,,,,,,
82263,13/01/2014,0000,,32.1,,3.9,0.5,25.92,88.5,1.333333,
82263,13/01/2014,1200,10.7,,22.2,,,,,,
82263,14/01/2014,0000,,33.3,,3.9,2,27.48,87,2.333333,
82263,14/01/2014,1200,0.4,,23.2,,,,,,
82263,15/01/2014,0000,,32.6,,5,2.6,26.24,87.5,3,
82263,15/01/2014,1200,0,,23.4,,,,,,
82263,16/01/2014,0000,,33.3,,6.8,2.4,26.46,85.25,3.333333,
82263,16/01/2014,1200,3.5,,23,,,,,,
82263,17/01/2014,0000,,33.5,,8.8,2.7,27.66,85.75,3.333333,
82263,17/01/2014,1200,6.2,,23.2,,,,,,
82263,18/01/2014,0000,,33.9,,8.9,3.2,28.58,81.25,3.333333,
82263,18/01/2014,1200,2.6,,24.6,,,,,,
82263,19/01/2014,0000,,33.1,,6.5,3.7,28.22,85.5,3,
82263,19/01/2014,1200,0.8,,25.4,,,,,,
82263,20/01/2014,0000,,31.5,,4.8,2.8,26.46,91,2.666667,
82263,20/01/2014,1200,14.4,,23.8,,,,,,
82263,21/01/2014,0000,,33.3,,6.5,1.7,26.54,86.75,2.333333,
82263,21/01/2014,1200,24.8,,23,,,,,,
82263,22/01/2014,0000,,33.4,,7.1,2.5,28.16,81.5,2.333333,
82263,22/01/2014,1200,4,,24.2,,,,,,
82263,23/01/2014,0000,,34.1,,9.6,3.3,28.78,78.5,4,
82263,23/01/2014,1200,0,,24,,,,,,
82263,24/01/2014,0000,,32.3,,4.6,3.2,26.5,84.75,2.666667,
82263,24/01/2014,1200,115.3,,22.8,,,,,,
82263,25/01/2014,0000,,27.7,,6.4,2,23.94,93.5,3,
82263,25/01/2014,1200,45.6,,21.8,,,,,,
82263,26/01/2014,0000,,32.1,,5.6,0.8,26.38,85.25,3,
82263,26/01/2014,1200,2.2,,22.4,,,,,,
82263,27/01/2014,0000,,28.3,,0.7,2.5,24.82,92.5,3,
82263,27/01/2014,1200,0,,23.2,,,,,,
82263,28/01/2014,0000,,32.3,,5.8,2,26.82,83,3,
82263,28/01/2014,1200,9,,22.2,,,,,,
82263,29/01/2014,0000,,32.3,,0,1.9,25.94,90,3,
82263,29/01/2014,1200,3.7,,22,,,,,,
82263,30/01/2014,0000,,32.5,,1.9,2.2,26.14,87,2,
82263,30/01/2014,1200,25.4,,22,,,,,,
82263,31/01/2014,0000,,32.7,,7.1,1.4,26.28,87,2,
82263,31/01/2014,1200,1.2,,22.6,,,,,,
82263,01/02/2014,0000,,29.3,,0.3,2.5,25.56,93.25,2,
82263,01/02/2014,1200,2.1,,23,,,,,,
82263,02/02/2014,0000,,32.5,,7.2,1,26.6,88.75,1.333333,
82263,02/02/2014,1200,14.6,,23.4,,,,,,
82263,03/02/2014,0000,,30.2,,1.9,2.2,24.88,91.75,2,
82263,03/02/2014,1200,27.8,,21.6,,,,,,
82263,04/02/2014,0000,,32.8,,3.9,1,26.36,85.75,2.333333,
82263,04/02/2014,1200,1.9,,21.6,,,,,,
82263,05/02/2014,0000,,32.8,,8.4,2.5,27.52,84.25,1,
82263,05/02/2014,1200,1.6,,23.2,,,,,,
82263,06/02/2014,0000,,32.8,,6.7,2.9,27.42,82.25,3.333333,
82263,06/02/2014,1200,0,,23.2,,,,,,
82263,07/02/2014,0000,,33.6,,7.4,3.5,27.9,82.25,3.333333,
82263,07/02/2014,1200,0,,24.8,,,,,,
82263,08/02/2014,0000,,32.5,,4.8,3.2,26.86,89.5,2,
82263,08/02/2014,1200,0.6,,24.6,,,,,,
82263,09/02/2014,0000,,32.8,,8.9,2,26.72,88.75,1.666667,
82263,09/02/2014,1200,35.6,,23.6,,,,,,
82263,10/02/2014,0000,,33,,9,3,27.28,87.25,2.333333,
82263,10/02/2014,1200,2.2,,24.4,,,,,,
82263,11/02/2014,0000,,32.1,,5.4,2.5,27.54,89.25,3.333333,
82263,11/02/2014,1200,7.6,,24.8,,,,,,
82263,12/02/2014,0000,,31.1,,1.3,2.2,26.62,90.5,1.666667,
82263,12/02/2014,1200,4.8,,24.4,,,,,,
82263,13/02/2014,0000,,26.7,,0,1.6,24.6,94.75,1.666667,
82263,13/02/2014,1200,29.7,,22.6,,,,,,
82263,14/02/2014,0000,,31.6,,7.1,1,26.96,85.5,3.333333,
82263,14/02/2014,1200,47.9,,23,,,,,,
82263,15/02/2014,0000,,29,,0.9,2.3,25.36,96.25,2,
82263,15/02/2014,1200,6.4,,23.6,,,,,,
82263,16/02/2014,0000,,31.6,,3.3,0.7,25.24,90.75,2.333333,
82263,16/02/2014,1200,26.2,,22.6,,,,,,
82263,17/02/2014,0000,,32.5,,2.7,2,26.54,85.5,3.333333,
82263,17/02/2014,1200,5.6,,23,,,,,,
82263,18/02/2014,0000,,29.1,,0,2,25.46,94.5,1.666667,
82263,18/02/2014,1200,0.5,,23.4,,,,,,
82263,19/02/2014,0000,,32.1,,6.7,1.3,25.94,91,3,
82263,19/02/2014,1200,14,,22.6,,,,,,
82263,20/02/2014,0000,,31.5,,3.5,2.1,26.5,88.75,2.333333,
82263,20/02/2014,1200,31,,23.2,,,,,,
82263,21/02/2014,0000,,33.3,,8.1,1.7,27.3,82.75,3,
82263,21/02/2014,1200,1,,23.8,,,,,,
82263,22/02/2014,0000,,32.3,,3.6,2.8,26.34,89.25,3,
82263,22/02/2014,1200,0.2,,23.4,,,,,,
82263,23/02/2014,0000,,33.1,,3.2,2,26.9,89.5,2.666667,
82263,23/02/2014,1200,1.4,,23.2,,,,,,
82263,24/02/2014,0000,,34.3,,9.3,2,27.94,85.5,3.333333,
82263,24/02/2014,1200,7.4,,23.6,,,,,,
82263,25/02/2014,0000,,33.7,,7.4,3.1,27.54,84.75,3,
82263,25/02/2014,1200,0.3,,24.4,,,,,,
82263,26/02/2014,0000,,32.1,,4.4,2.3,26.46,88,2.666667,
82263,26/02/2014,1200,10.6,,23.4,,,,,,
82263,27/02/2014,0000,,31.1,,2.4,2.2,25.9,91.5,3,
82263,27/02/2014,1200,53.8,,22.8,,,,,,
82263,28/02/2014,0000,,33.3,,4.6,1.5,27.14,87.25,2.666667,
82263,28/02/2014,1200,14.9,,23,,,,,,
82263,01/03/2014,0000,,32.5,,8.2,2.3,27.18,86.25,3.333333,
82263,01/03/2014,1200,16.4,,24.4,,,,,,
82263,02/03/2014,0000,,31,,5.8,2.3,26.2,88.25,3,
82263,02/03/2014,1200,5.8,,23.8,,,,,,
82263,03/03/2014,0000,,31.1,,4,1.8,26.3,89,3.333333,
82263,03/03/2014,1200,22.4,,23,,,,,,
82263,04/03/2014,0000,,31.5,,7.1,1.5,26.26,90.75,2.333333,
82263,04/03/2014,1200,0.5,,23.4,,,,,,
82263,05/03/2014,0000,,32.1,,8.7,1.6,26.94,89.25,2.666667,
82263,05/03/2014,1200,5.6,,23.6,,,,,,
82263,06/03/2014,0000,,32,,4.6,1.9,26.2,93.5,1.666667,
82263,06/03/2014,1200,10.3,,23.6,,,,,,
82263,07/03/2014,0000,,32.5,,6.2,1.7,26.6,88.5,2.333333,
82263,07/03/2014,1200,27.8,,23.6,,,,,,
82263,08/03/2014,0000,,28.4,,0.3,2.3,24.46,94,1.666667,
82263,08/03/2014,1200,4,,22.7,,,,,,
82263,09/03/2014,0000,,30.5,,0.7,0.8,26.38,87.25,2,
82263,09/03/2014,1200,17.3,,22.9,,,,,,
82263,10/03/2014,0000,,32.1,,5.4,1.7,27.1,85.5,2.666667,
82263,10/03/2014,1200,0,,23.6,,,,,,
82263,11/03/2014,0000,,32.8,,5.4,2.5,26.92,88.75,2,
82263,11/03/2014,1200,0,,24.2,,,,,,
82263,12/03/2014,0000,,31.7,,2.1,1.5,26.38,89.25,1.333333,
82263,12/03/2014,1200,22.6,,24.1,,,,,,
82263,13/03/2014,0000,,32.7,,6.8,0.5,26.78,86.25,3,
82263,13/03/2014,1200,6.9,,23.9,,,,,,
82263,14/03/2014,0000,,32.9,,9.4,3.5,26.78,88.75,2.333333,
82263,14/03/2014,1200,11.8,,24,,,,,,
82263,15/03/2014,0000,,28.1,,0,2.8,25.02,94,2.666667,
82263,15/03/2014,1200,3.9,,23.2,,,,,,
82263,16/03/2014,0000,,32,,10,1,26.76,85.75,3.333333,
82263,16/03/2014,1200,77.9,,22,,,,,,
82263,17/03/2014,0000,,33,,7.6,2.6,26.56,87.5,3.333333,
82263,17/03/2014,1200,0,,23.4,,,,,,
82263,18/03/2014,0000,,32.9,,6.9,2.5,27.34,89,3.333333,
82263,18/03/2014,1200,21,,23.4,,,,,,
82263,19/03/2014,0000,,33.3,,7.7,1.8,27.34,86.75,3.666667,
82263,19/03/2014,1200,2.4,,23.2,,,,,,
82263,20/03/2014,0000,,32.5,,7.9,2.5,26.42,87.75,3.666667,
82263,20/03/2014,1200,14.2,,23.4,,,,,,
82263,21/03/2014,0000,,33.5,,6.9,2.6,27.14,88.5,3,
82263,21/03/2014,1200,11.4,,23.8,,,,,,
82263,22/03/2014,0000,,33,,8,2.3,27.6,86.5,2.666667,
