Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82181,01/01/2014,0000,,32.8,,8,4.3,28.02,70,4.266667,
82181,01/01/2014,1200,0,,23,,,,,,
82181,02/01/2014,0000,,32.4,,9.5,3.7,28.02,72.5,4.433333,
82181,02/01/2014,1200,0,,23.2,,,,,,
82181,03/01/2014,0000,,32.4,,10.1,3.8,27.8,70.5,3.3,
82181,03/01/2014,1200,0,,22.2,,,,,,
82181,04/01/2014,0000,,32.6,,9.1,3.7,27.82,67.25,4.066667,
82181,04/01/2014,1200,0,,22.6,,,,,,
82181,05/01/2014,0000,,32.4,,9.7,3.7,27.38,72.25,4.333333,
82181,05/01/2014,1200,0,,22.6,,,,,,
82181,06/01/2014,0000,,32.2,,9.4,3.8,26.98,66.75,4.4,
82181,06/01/2014,1200,0,,23,,,,,,
82181,07/01/2014,0000,,31.6,,5.2,4.4,26.5,75.5,2.633333,
82181,07/01/2014,1200,0,,23,,,,,,
82181,08/01/2014,0000,,31.8,,5.3,3.4,27.3,73.5,1.866667,
82181,08/01/2014,1200,0,,22.8,,,,,,
82181,09/01/2014,0000,,30.6,,3,3.1,24.9,93.75,3.3,
82181,09/01/2014,1200,0,,22.8,,,,,,
82181,10/01/2014,0000,,31,,6.5,2.3,25.5,77.5,2.733333,
82181,10/01/2014,1200,0,,22,,,,,,
82181,11/01/2014,0000,,30.4,,4.2,3,25.78,81.75,1.633333,
82181,11/01/2014,1200,0.2,,22.8,,,,,,
82181,12/01/2014,0000,,29,,0.5,2.5,24.56,86,2.066667,
82181,12/01/2014,1200,0,,21.6,,,,,,
82181,13/01/2014,0000,,29.2,,3.2,1.1,24.78,82.25,1.633333,
82181,13/01/2014,1200,8.6,,21.4,,,,,,
82181,14/01/2014,0000,,29,,4.9,2.8,24.94,79.75,2.766667,
82181,14/01/2014,1200,2.6,,21,,,,,,
82181,15/01/2014,0000,,31.8,,9.9,2.2,27.26,73.25,3.2,
82181,15/01/2014,1200,0,,21.8,,,,,,
82181,16/01/2014,0000,,31.6,,9.2,3.4,27.36,78.5,3,
82181,16/01/2014,1200,1,,23.2,,,,,,
82181,17/01/2014,0000,,32,,8.4,2.8,27.8,76,5.533333,
82181,17/01/2014,1200,0.2,,23.1,,,,,,
82181,18/01/2014,0000,,31.8,,9.3,3.9,27.34,78.5,4.333333,
82181,18/01/2014,1200,0,,23.2,,,,,,
82181,19/01/2014,0000,,32.4,,7.8,2.9,27.64,71,2.433333,
82181,19/01/2014,1200,0,,23,,,,,,
82181,20/01/2014,0000,,29.4,,7.3,3,25.9,82.25,2.166667,
82181,20/01/2014,1200,21.4,,21.8,,,,,,
82181,21/01/2014,0000,,31.8,,6.7,2,26.82,82.25,2.4,
82181,21/01/2014,1200,0.2,,24,,,,,,
82181,22/01/2014,0000,,31,,9.5,1.3,26.34,79,2.733333,
82181,22/01/2014,1200,24,,22,,,,,,
82181,23/01/2014,0000,,31.8,,9.8,2.8,27.56,72.75,3.733333,
82181,23/01/2014,1200,0,,22.4,,,,,,
82181,24/01/2014,0000,,31.4,,9.1,3.3,27.48,73.5,3.3,
82181,24/01/2014,1200,0,,23,,,,,,
82181,25/01/2014,0000,,28.6,,1.3,3,23.9,91.75,1.166667,
82181,25/01/2014,1200,0,,21,,,,,,
82181,26/01/2014,0000,,29,,4.3,1.2,25.26,77,3.866667,
82181,26/01/2014,1200,2.4,,20.6,,,,,,
82181,27/01/2014,0000,,30.2,,4.1,2.5,26.14,75.5,3.3,
82181,27/01/2014,1200,0,,21.6,,,,,,
82181,28/01/2014,0000,,29.5,,5.5,2.9,25.24,84.75,2.066667,
82181,28/01/2014,1200,4.2,,22,,,,,,
82181,29/01/2014,0000,,25.8,,0,2,22.62,99.75,2.2,
82181,29/01/2014,1200,45.8,,21,,,,,,
82181,30/01/2014,0000,,28.4,,3.8,0.5,23.9,88.5,2.8,
82181,30/01/2014,1200,19.4,,21.4,,,,,,
82181,31/01/2014,0000,,31,,10.2,1.9,26.72,76.5,4,
82181,31/01/2014,1200,0,,21.2,,,,,,
82181,01/02/2014,0000,,30.8,,7,2.8,25,85.5,3.866667,
82181,01/02/2014,1200,0,,22,,,,,,
82181,02/02/2014,0000,,30.6,,7.3,2.2,25.32,85.75,2.7,
82181,02/02/2014,1200,6.8,,21.2,,,,,,
82181,03/02/2014,0000,,28,,1.8,1.9,25.5,84.5,2.733333,
82181,03/02/2014,1200,1.3,,22.5,,,,,,
82181,04/02/2014,0000,,30,,4.8,1.9,25.86,80.5,1.933333,
82181,04/02/2014,1200,3.2,,21.6,,,,,,
82181,05/02/2014,0000,,27.8,,1.8,1.8,24.72,90,2.05,
82181,05/02/2014,1200,31,,21.4,,,,,,
82181,06/02/2014,0000,,27.6,,2.7,1,24.42,87,2.433333,
82181,06/02/2014,1200,27.6,,20.6,,,,,,
82181,07/02/2014,0000,,28.8,,1.8,1.1,24.6,91.75,1.5,
82181,07/02/2014,1200,42.4,,20.8,,,,,,
82181,08/02/2014,0000,,28.8,,3.8,0.8,25.42,89.5,2.866667,
82181,08/02/2014,1200,2.4,,22.4,,,,,,
82181,09/02/2014,0000,,30.4,,9.4,1.3,25.66,84.25,2.633333,
82181,09/02/2014,1200,2.4,,22,,,,,,
82181,10/02/2014,0000,,31,,8.6,2.3,25.5,88,3.533333,
82181,10/02/2014,1200,1.8,,22.6,,,,,,
82181,11/02/2014,0000,,30.6,,5.3,1.9,25.84,88,3.3,
82181,11/02/2014,1200,9.2,,22.5,,,,,,
82181,12/02/2014,0000,,30,,4,1.6,24.48,88.25,2.166667,
82181,12/02/2014,1200,8.6,,22.1,,,,,,
82181,13/02/2014,0000,,30.6,,5.8,1.5,25.24,89.5,4.3,
82181,13/02/2014,1200,5.6,,21.4,,,,,,
82181,14/02/2014,0000,,30.4,,5.8,1.4,26.26,79.75,4.3,
82181,14/02/2014,1200,7.4,,21.8,,,,,,
82181,15/02/2014,0000,,28.2,,5.8,2.5,25.26,94.5,4.3,
82181,15/02/2014,1200,0,,22.4,,,,,,
82181,16/02/2014,0000,,29.5,,6,1,25.76,82.5,2.533333,
82181,16/02/2014,1200,21.6,,21,,,,,,
82181,17/02/2014,0000,,29.8,,5.2,1.6,25.3,86.25,2.533333,
82181,17/02/2014,1200,91,,20.6,,,,,,
82181,18/02/2014,0000,,28.4,,1.3,1.1,23.94,99,2.233333,
82181,18/02/2014,1200,20.6,,21.6,,,,,,
82181,19/02/2014,0000,,29.4,,3.4,0.8,25.62,86,2.533333,
82181,19/02/2014,1200,9.2,,21.6,,,,,,
82181,20/02/2014,0000,,28.8,,5.6,1.4,24.96,91.75,3.6,
