Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82178,01/01/2014,0000,,32.7,,7.1,4.2,28.22,80,1,
82178,01/01/2014,1200,0,,24.4,,,,,,
82178,02/01/2014,0000,,33.3,,8.1,3.6,28.22,80,1.5,
82178,02/01/2014,1200,0,,24,,,,,,
82178,03/01/2014,0000,,31.9,,9.2,3.8,28.38,77,1,
82178,03/01/2014,1200,0,,24.6,,,,,,
82178,04/01/2014,0000,,33.3,,9.3,3.6,28.7,77,1,
82178,04/01/2014,1200,0,,24.4,,,,,,
82178,05/01/2014,0000,,32.9,,8.6,4.9,28.3,78,0,
82178,05/01/2014,1200,0,,24,,,,,,
82178,06/01/2014,0000,,32.7,,7.3,4.4,28.34,74,1,
82178,06/01/2014,1200,0,,24,,,,,,
82178,07/01/2014,0000,,32.3,,4.5,3.4,27.62,82,0,
82178,07/01/2014,1200,0.3,,24,,,,,,
82178,08/01/2014,0000,,29,,1.8,3.2,25.4,84,1.5,
82178,08/01/2014,1200,2.2,,22.4,,,,,,
82178,09/01/2014,0000,,31.4,,6.1,2,27.52,78,1.5,
82178,09/01/2014,1200,0,,24,,,,,,
82178,10/01/2014,0000,,30.9,,2.7,3,25.78,90,1,
82178,10/01/2014,1200,0.6,,23,,,,,,
82178,11/01/2014,0000,,29.8,,2.6,2.2,25.56,89,0,
82178,11/01/2014,1200,23.4,,23.2,,,,,,
82178,12/01/2014,0000,,28.8,,0,1.8,25.16,91,0,
82178,12/01/2014,1200,9.2,,23,,,,,,
82178,13/01/2014,0000,,28.6,,0.4,1.2,24.72,91,0,
82178,13/01/2014,1200,9.2,,22,,,,,,
82178,14/01/2014,0000,,29.8,,5,1.4,26.2,83,0,
82178,14/01/2014,1200,2.2,,23,,,,,,
82178,15/01/2014,0000,,30.9,,9.8,2.5,26.38,83,1,
82178,15/01/2014,1200,23.8,,23,,,,,,
82178,16/01/2014,0000,,31.1,,7.4,3,27.58,85,1,
82178,16/01/2014,1200,3,,24.4,,,,,,
82178,17/01/2014,0000,,32.7,,9.1,2.8,28.7,78,0.5,
82178,17/01/2014,1200,0,,24.8,,,,,,
82178,18/01/2014,0000,,32.7,,5.3,3,27.82,85,0,
82178,18/01/2014,1200,0,,24.4,,,,,,
82178,19/01/2014,0000,,29,,7.6,2.2,25.88,88,1,
82178,19/01/2014,1200,2,,23.8,,,,,,
82178,20/01/2014,0000,,31.1,,3.3,2.6,27.22,87,0,
82178,20/01/2014,1200,15.7,,24,,,,,,
