Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82184,01/01/2014,0000,,33.9,,8.7,3.3,29.06,74.25,1,
82184,01/01/2014,1200,0,,25.3,,,,,,
82184,02/01/2014,0000,,32.8,,5.9,3.2,28.56,75,0.666667,
82184,02/01/2014,1200,0,,25.7,,,,,,
82184,03/01/2014,0000,,32.8,,8.4,2.9,28.18,73.5,1.033333,
82184,03/01/2014,1200,0,,25,,,,,,
82184,04/01/2014,0000,,32.7,,8.2,3.1,27.56,77.75,1,
82184,04/01/2014,1200,0,,24.5,,,,,,
82184,05/01/2014,0000,,33.6,,8.3,2.8,28.5,73.5,1,
82184,05/01/2014,1200,0,,24.2,,,,,,
82184,06/01/2014,0000,,33.2,,8.4,3.2,28.4,74,0.666667,
82184,06/01/2014,1200,0,,25.2,,,,,,
82184,07/01/2014,0000,,31.5,,3.8,2.9,27.3,77.25,1.066667,
82184,07/01/2014,1200,0,,24.4,,,,,,
82184,08/01/2014,0000,,30.7,,4.5,2.4,27.08,81.75,1.066667,
82184,08/01/2014,1200,0,,24.1,,,,,,
82184,09/01/2014,0000,,28.9,,3.1,2.1,25.36,84.75,1,
82184,09/01/2014,1200,5,,22.9,,,,,,
82184,10/01/2014,0000,,29.3,,1.8,1.3,25.92,85.5,0.666667,
82184,10/01/2014,1200,6.5,,22.9,,,,,,
82184,11/01/2014,0000,,30.7,,4.3,1.8,26.68,83.25,0.666667,
82184,11/01/2014,1200,0.4,,23.3,,,,,,
82184,12/01/2014,0000,,28.3,,0.1,2,25.3,88.75,0.733333,
82184,12/01/2014,1200,0,,24,,,,,,
82184,13/01/2014,0000,,30.9,,3.2,1,26.18,80.5,0.733333,
82184,13/01/2014,1200,0.8,,23.4,,,,,,
82184,14/01/2014,0000,,30.9,,2.5,1.1,26.14,84.25,1,
82184,14/01/2014,1200,18.8,,22.8,,,,,,
82184,15/01/2014,0000,,32.3,,8.7,1.4,27.3,77,0.666667,
82184,15/01/2014,1200,3,,23.7,,,,,,
82184,16/01/2014,0000,,32.2,,8,2.3,27.78,79.5,1.066667,
82184,16/01/2014,1200,1.6,,24.1,,,,,,
82184,17/01/2014,0000,,33.4,,8.8,2.2,26.88,82.5,0.666667,
82184,17/01/2014,1200,1,,24.4,,,,,,
82184,18/01/2014,0000,,31.9,,9.7,2.3,27.32,83.5,0.666667,
82184,18/01/2014,1200,15.6,,24.6,,,,,,
82184,19/01/2014,0000,,31.5,,3.2,2,26.84,83.75,1.033333,
82184,19/01/2014,1200,2.4,,24.7,,,,,,
82184,20/01/2014,0000,,30.7,,4.1,2,27.48,79.5,1,
82184,20/01/2014,1200,0,,24.9,,,,,,
82184,21/01/2014,0000,,31.6,,5.2,2,26.98,85.25,0.666667,
82184,21/01/2014,1200,2.8,,24.7,,,,,,
82184,22/01/2014,0000,,32.6,,9,1.7,28.18,74.75,1,
82184,22/01/2014,1200,6.3,,24.5,,,,,,
82184,23/01/2014,0000,,33.1,,10.1,2.7,28.58,75.5,0.666667,
82184,23/01/2014,1200,0,,24.6,,,,,,
82184,24/01/2014,0000,,32.4,,6.2,2.6,28.12,78.25,1,
82184,24/01/2014,1200,1.2,,24.6,,,,,,
82184,25/01/2014,0000,,29.2,,0,1.9,24.26,92.25,0.666667,
82184,25/01/2014,1200,2.7,,21.7,,,,,,
82184,26/01/2014,0000,,28.7,,1.2,0.7,25.02,86.75,0.666667,
82184,26/01/2014,1200,13.4,,21.5,,,,,,
82184,27/01/2014,0000,,30.8,,3.7,1.2,25.32,87,1,
82184,27/01/2014,1200,2.7,,23.1,,,,,,
82184,28/01/2014,0000,,29.4,,3.4,0.9,26.26,86.25,0.666667,
82184,28/01/2014,1200,63.6,,22.9,,,,,,
82184,29/01/2014,0000,,27.4,,0,1.3,24.22,93.5,0.366667,
82184,29/01/2014,1200,20.4,,23.1,,,,,,
82184,30/01/2014,0000,,30.9,,3.8,0.4,25.28,84.5,1,
82184,30/01/2014,1200,3.6,,21.5,,,,,,
82184,31/01/2014,0000,,31.8,,7.4,1.3,27.14,80,1,
82184,31/01/2014,1200,0.4,,23.5,,,,,,
82184,01/02/2014,0000,,31.1,,1.3,1.8,26.12,92,0.7,
82184,01/02/2014,1200,0,,24.5,,,,,,
82184,02/02/2014,0000,,31.7,,5.5,1,26.36,84.75,0.666667,
82184,02/02/2014,1200,14.9,,24,,,,,,
82184,03/02/2014,0000,,27.5,,1.2,1.5,24.56,87,0.666667,
82184,03/02/2014,1200,5.5,,22.3,,,,,,
82184,04/02/2014,0000,,32.6,,6.2,2.4,26.78,82.25,1,
82184,04/02/2014,1200,3.2,,22.5,,,,,,
82184,05/02/2014,0000,,29.6,,0,1.7,26.1,87,1,
82184,05/02/2014,1200,4,,23.7,,,,,,
82184,06/02/2014,0000,,32.6,,5.7,1.3,27.78,79.25,1,
82184,06/02/2014,1200,0,,24.6,,,,,,
82184,07/02/2014,0000,,29.7,,1.4,1.8,25.6,89.75,1,
82184,07/02/2014,1200,23.7,,23.4,,,,,,
82184,08/02/2014,0000,,29.6,,2.2,0.8,25.94,89,1,
82184,08/02/2014,1200,8.5,,24.4,,,,,,
82184,09/02/2014,0000,,31.3,,7.5,1.3,26.82,86.75,1.066667,
82184,09/02/2014,1200,1.6,,23.7,,,,,,
82184,10/02/2014,0000,,31.1,,5.5,1.5,26.54,84.75,0.666667,
82184,10/02/2014,1200,8.8,,24.4,,,,,,
82184,11/02/2014,0000,,31.9,,4.3,1.5,27.38,80.75,1.033333,
82184,11/02/2014,1200,1.2,,24.8,,,,,,
82184,12/02/2014,0000,,29.7,,2.6,1.8,26.32,89.5,1.033333,
82184,12/02/2014,1200,0,,24.7,,,,,,
82184,13/02/2014,0000,,28.1,,0.1,1.1,25.8,87.5,1,
82184,13/02/2014,1200,0,,24.1,,,,,,
82184,14/02/2014,0000,,30.4,,5,0.9,26.18,86.25,1,
82184,14/02/2014,1200,2.6,,23.4,,,,,,
82184,15/02/2014,0000,,31.9,,5.5,1.3,26.34,84.5,1,
82184,15/02/2014,1200,3.6,,24.2,,,,,,
82184,16/02/2014,0000,,28.1,,0.9,1.2,25.64,87.25,1.033333,
82184,16/02/2014,1200,7.8,,23.7,,,,,,
82184,17/02/2014,0000,,30.3,,4.6,1,26.72,85.5,1.033333,
82184,17/02/2014,1200,4,,24.1,,,,,,
82184,18/02/2014,0000,,29.1,,4.4,1.2,25.64,91.75,1.033333,
82184,18/02/2014,1200,2,,23.9,,,,,,
82184,19/02/2014,0000,,30.1,,2.9,0.9,25.88,91,0.666667,
82184,19/02/2014,1200,24.2,,23.5,,,,,,
82184,20/02/2014,0000,,29.5,,1.6,0.6,25.16,91.75,1.033333,
82184,20/02/2014,1200,10,,23.5,,,,,,
82184,21/02/2014,0000,,31.5,,6.3,1.1,26.92,83.5,1.066667,
82184,21/02/2014,1200,9.9,,23.5,,,,,,
82184,22/02/2014,0000,,31.2,,2.4,1.4,26.38,89.25,1,
82184,22/02/2014,1200,3.3,,24.7,,,,,,
82184,23/02/2014,0000,,31.7,,4.4,1.4,26.2,85,1,
82184,23/02/2014,1200,2.8,,24.5,,,,,,
82184,24/02/2014,0000,,31.5,,5.7,1.7,26.5,89.25,0.666667,
82184,24/02/2014,1200,11.2,,24.6,,,,,,
82184,25/02/2014,0000,,31.9,,4.9,1.5,26.48,86.25,1.033333,
82184,25/02/2014,1200,6,,23.9,,,,,,
82184,26/02/2014,0000,,28.5,,0.2,1.7,25.72,92.25,1,
82184,26/02/2014,1200,51,,23.2,,,,,,
82184,27/02/2014,0000,,28.1,,0,1.1,25.28,90.5,0.666667,
82184,27/02/2014,1200,0.6,,23,,,,,,
82184,28/02/2014,0000,,30.9,,6.6,0.8,26.42,84.25,1,
82184,28/02/2014,1200,24.7,,23,,,,,,
82184,01/03/2014,0000,,30.7,,5.1,2.5,26.48,85.5,1,
82184,01/03/2014,1200,10,,24.3,,,,,,
82184,02/03/2014,0000,,30.4,,3.7,1.8,26.32,88.25,0.666667,
82184,02/03/2014,1200,4,,24.4,,,,,,
82184,03/03/2014,0000,,27.4,,0,1.5,24.72,91.75,0.766667,
82184,03/03/2014,1200,33.4,,23.2,,,,,,
82184,04/03/2014,0000,,30.8,,4.5,0.9,26.4,84.75,1,
82184,04/03/2014,1200,8.9,,23.2,,,,,,
82184,05/03/2014,0000,,31,,3.1,2.1,26.02,85.75,0.666667,
82184,05/03/2014,1200,26.5,,23.9,,,,,,
82184,06/03/2014,0000,,28.5,,0.5,1.3,25.52,93.25,1,
82184,06/03/2014,1200,19,,24.2,,,,,,
82184,07/03/2014,0000,,30,,3.7,1,26.38,87.25,1,
82184,07/03/2014,1200,17.3,,24.3,,,,,,
82184,08/03/2014,0000,,27.4,,0,1.6,25.24,93.75,0.666667,
82184,08/03/2014,1200,1.6,,24.4,,,,,,
82184,09/03/2014,0000,,30.3,,2.5,0.7,26.3,84.5,0.666667,
82184,09/03/2014,1200,0,,22.4,,,,,,
82184,10/03/2014,0000,,30.6,,4,2.4,26.48,85.75,1,
82184,10/03/2014,1200,0,,24.6,,,,,,
82184,11/03/2014,0000,,31.9,,5.3,1.9,26.36,85.5,0.666667,
82184,11/03/2014,1200,10.6,,24.5,,,,,,
82184,12/03/2014,0000,,28.2,,0,1.6,25.52,91,1,
82184,12/03/2014,1200,11.3,,23.4,,,,,,
82184,13/03/2014,0000,,30.8,,3.5,1.1,26.64,84.25,1,
82184,13/03/2014,1200,5.4,,24.1,,,,,,
82184,14/03/2014,0000,,30.7,,6,1.7,26.82,88.75,1,
82184,14/03/2014,1200,0.2,,24.6,,,,,,
82184,15/03/2014,0000,,27.3,,0,1.8,24.72,93.5,0.566667,
82184,15/03/2014,1200,20.8,,22.7,,,,,,
82184,16/03/2014,0000,,31.8,,8.5,0.6,25.96,85.25,1,
82184,16/03/2014,1200,36.1,,22.6,,,,,,
82184,17/03/2014,0000,,32.1,,7,2.4,26.42,85,0.7,
82184,17/03/2014,1200,15.2,,23.8,,,,,,
82184,18/03/2014,0000,,31.7,,7.5,1.9,26.66,88.75,1,
82184,18/03/2014,1200,4.4,,24.6,,,,,,
82184,19/03/2014,0000,,31.1,,4.4,1.9,26.34,92.75,1.033333,
82184,19/03/2014,1200,34.9,,24.4,,,,,,
82184,20/03/2014,0000,,29.7,,3.1,1.3,26.26,88.5,1,
82184,20/03/2014,1200,22,,24.8,,,,,,
82184,21/03/2014,0000,,30.4,,3.5,1.4,26.66,90,1.033333,
82184,21/03/2014,1200,15.4,,24.4,,,,,,
82184,22/03/2014,0000,,32.3,,6.6,1.6,27.3,85.25,1,
82184,22/03/2014,1200,2.3,,25.4,,,,,,
82184,23/03/2014,0000,,30.6,,5.6,2.4,25.9,86.25,0.666667,
82184,23/03/2014,1200,15.4,,23.9,,,,,,
82184,24/03/2014,0000,,31.1,,3.8,0.9,26.02,88.25,1,
82184,24/03/2014,1200,21.6,,24.1,,,,,,
82184,25/03/2014,0000,,29.7,,1.3,1.4,26.44,88,0.666667,
82184,25/03/2014,1200,50.2,,24.3,,,,,,
