Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82668,01/01/2014,0000,,,,,,,,1.54332,
82668,01/01/2014,1200,0,,22.4,,,,,,
82668,02/01/2014,0000,,30.8,,3.8,1.7,,,2,
82668,02/01/2014,1200,0,,22.6,,,,,,
82668,03/01/2014,0000,,32.4,,2.7,1.5,,,1.5,
82668,03/01/2014,1200,0,,21.8,,,,,,
82668,04/01/2014,0000,,31.8,,5.2,1.9,,,1.5,
82668,04/01/2014,1200,0,,22.4,,,,,,
82668,05/01/2014,0000,,32.4,,3.5,0.9,,,1.5,
82668,05/01/2014,1200,0,,22.2,,,,,,
82668,06/01/2014,0000,,31.9,,2,1.1,,,1.5,
82668,06/01/2014,1200,0,,22,,,,,,
82668,07/01/2014,0000,,32.1,,0.7,1.8,,,1.5,
82668,07/01/2014,1200,0,,22.6,,,,,,
82668,08/01/2014,0000,,32.4,,2.8,0.9,,,1,
82668,08/01/2014,1200,0,,22.4,,,,,,
82668,09/01/2014,0000,,33.3,,,1.7,,,1.5,
82668,09/01/2014,1200,0,,22.2,,,,,,
82668,10/01/2014,0000,,30.8,,2,1.4,,,1.5,
82668,10/01/2014,1200,0,,22,,,,,,
82668,11/01/2014,0000,,32.6,,0,1,,,1,
82668,11/01/2014,1200,0,,22,,,,,,
82668,12/01/2014,0000,,32.4,,0,1.4,,,1.5,
82668,12/01/2014,1200,0,,21.8,,,,,,
82668,13/01/2014,0000,,32.9,,1,2.6,,,1.5,
82668,13/01/2014,1200,0,,22.1,,,,,,
82668,14/01/2014,0000,,33.1,,3,0.9,,,1.5,
82668,14/01/2014,1200,32.8,,19.8,,,,,,
82668,15/01/2014,0000,,32.4,,1.6,1.9,,,1.5,
82668,15/01/2014,1200,0,,21.6,,,,,,
82668,16/01/2014,0000,,32.1,,4.1,1.6,,,2,
82668,16/01/2014,1200,0,,22,,,,,,
82668,17/01/2014,0000,,33.4,,5.8,1.4,,,1.5,
82668,17/01/2014,1200,0,,21.8,,,,,,
82668,18/01/2014,0000,,33.4,,0,1.5,,,2,
82668,18/01/2014,1200,0,,21.4,,,,,,
82668,19/01/2014,0000,,32.8,,2.4,1,,,1.5,
82668,19/01/2014,1200,0,,22.6,,,,,,
