Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82361,01/01/2014,0000,,35.4,,7.7,3.8,28.98,69.5,0.9,
82361,01/01/2014,1200,0,,24.3,,,,,,
82361,02/01/2014,0000,,32,,1.9,3.6,27.6,80,1.3,
82361,02/01/2014,1200,5.8,,24.7,,,,,,
82361,03/01/2014,0000,,33.9,,9.7,2.3,28.58,70.5,1.533333,
82361,03/01/2014,1200,0.1,,24,,,,,,
82361,04/01/2014,0000,,30.6,,1.5,3.6,25.74,95,0.533333,
82361,04/01/2014,1200,53.3,,22.8,,,,,,
82361,05/01/2014,0000,,33.6,,9.5,1.5,27.52,76.25,0.8,
82361,05/01/2014,1200,29.3,,22.8,,,,,,
82361,06/01/2014,0000,,32.9,,5.5,3,27.86,75.5,1.4,
82361,06/01/2014,1200,0,,23.6,,,,,,
82361,07/01/2014,0000,,30.2,,0,2.8,25.7,80.25,0.8,
82361,07/01/2014,1200,2.4,,21.9,,,,,,
82361,08/01/2014,0000,,32.8,,5.6,2.1,26.4,77,1.533333,
82361,08/01/2014,1200,0,,22.6,,,,,,
82361,09/01/2014,0000,,30.1,,2.5,2.3,26.06,81,1.5,
82361,09/01/2014,1200,0.8,,22.4,,,,,,
82361,10/01/2014,0000,,32.6,,3.2,2,26.84,79.25,1,
82361,10/01/2014,1200,0.4,,23,,,,,,
82361,11/01/2014,0000,,31.6,,3.9,2.2,26.8,82,0.8,
82361,11/01/2014,1200,10.2,,22.6,,,,,,
82361,12/01/2014,0000,,27.6,,0,2.1,24.12,92,1.433333,
82361,12/01/2014,1200,49.4,,21.8,,,,,,
82361,13/01/2014,0000,,31.1,,2.3,0.7,26.7,84.75,0.533333,
82361,13/01/2014,1200,3,,22.6,,,,,,
82361,14/01/2014,0000,,33.7,,4.1,1.7,27.86,80.75,0.8,
82361,14/01/2014,1200,0,,24,,,,,,
82361,15/01/2014,0000,,28.4,,0.2,2.2,24.5,89.75,0.5,
82361,15/01/2014,1200,20.7,,21.4,,,,,,
82361,16/01/2014,0000,,31.8,,6.8,0.9,26.64,86.25,0.4,
82361,16/01/2014,1200,0.6,,21.8,,,,,,
82361,17/01/2014,0000,,33.6,,8.9,1.7,28.2,79,1.433333,
82361,17/01/2014,1200,5.8,,23.4,,,,,,
82361,18/01/2014,0000,,32.4,,6.8,2.2,27.74,81.75,0.766667,
82361,18/01/2014,1200,2.4,,23.7,,,,,,
82361,19/01/2014,0000,,32.5,,7.8,2,27.82,81.5,1,
82361,19/01/2014,1200,43.8,,22.8,,,,,,
82361,20/01/2014,0000,,32.6,,6,2,27.82,82,1,
82361,20/01/2014,1200,3.2,,24.7,,,,,,
82361,21/01/2014,0000,,32.4,,3.3,2.2,27.6,82.5,0.8,
82361,21/01/2014,1200,0.8,,23.4,,,,,,
82361,22/01/2014,0000,,33.2,,8.2,1.7,27.78,76.5,1.2,
82361,22/01/2014,1200,2.2,,23.3,,,,,,
82361,23/01/2014,0000,,34.3,,7.8,2.5,28.6,75,1.433333,
82361,23/01/2014,1200,0,,24.5,,,,,,
82361,24/01/2014,0000,,33.2,,4.6,2.7,27.72,79,0.8,
82361,24/01/2014,1200,3,,23.4,,,,,,
82361,25/01/2014,0000,,28.8,,0,1.9,23.86,94.75,1.4,
82361,25/01/2014,1200,89,,20.8,,,,,,
82361,26/01/2014,0000,,31.4,,5,0.6,25.84,79.5,1.666667,
82361,26/01/2014,1200,1.4,,20.6,,,,,,
82361,27/01/2014,0000,,26.8,,0,2.2,24.3,90.25,0.9,
82361,27/01/2014,1200,1.6,,21.6,,,,,,
82361,28/01/2014,0000,,29.5,,0.9,0.8,25.24,85.25,0.9,
82361,28/01/2014,1200,40.5,,21.5,,,,,,
82361,29/01/2014,0000,,31.3,,1.2,1.4,26.16,82,0.766667,
82361,29/01/2014,1200,0,,22.5,,,,,,
82361,30/01/2014,0000,,32.1,,4.2,1.8,26.68,82,1,
82361,30/01/2014,1200,1.9,,22.6,,,,,,
82361,31/01/2014,0000,,31.6,,3.9,1.6,26.08,81.5,0.5,
82361,31/01/2014,1200,77.2,,20.6,,,,,,
82361,01/02/2014,0000,,29,,0.6,1.5,25.62,89.25,1.2,
82361,01/02/2014,1200,27.7,,22.2,,,,,,
82361,02/02/2014,0000,,33.2,,7.9,1.1,27.54,78.25,0.9,
82361,02/02/2014,1200,0.1,,22.4,,,,,,
82361,03/02/2014,0000,,28,,0.3,1.9,24.32,91.5,1.333333,
82361,03/02/2014,1200,50,,20.6,,,,,,
82361,04/02/2014,0000,,32,,7.4,1,26.64,83.25,1.733333,
82361,04/02/2014,1200,3,,21.4,,,,,,
82361,05/02/2014,0000,,32.3,,7.2,1.4,25.02,92,1.766667,
82361,05/02/2014,1200,20.8,,21.4,,,,,,
82361,06/02/2014,0000,,30.8,,1.1,1.5,26.28,90.75,1.5,
82361,06/02/2014,1200,8,,23.2,,,,,,
82361,07/02/2014,0000,,31,,4.4,1.1,26.88,84.25,0,
82361,07/02/2014,1200,4.1,,22.4,,,,,,
82361,08/02/2014,0000,,32.4,,7.3,1.5,24.58,91.5,1.633333,
82361,08/02/2014,1200,15.4,,21.6,,,,,,
82361,09/02/2014,0000,,30.3,,5.2,1.8,26.1,88,0.8,
82361,09/02/2014,1200,46.8,,21.6,,,,,,
82361,10/02/2014,0000,,32,,5.8,1.5,26.54,88.75,1.333333,
82361,10/02/2014,1200,1.2,,23.7,,,,,,
82361,11/02/2014,0000,,32,,4.7,1.8,26.22,91.75,1.466667,
82361,11/02/2014,1200,20.1,,23,,,,,,
82361,12/02/2014,0000,,29.8,,1.1,1.6,26.2,88.5,0,
82361,12/02/2014,1200,18.1,,23,,,,,,
82361,13/02/2014,0000,,30.6,,2.6,1.3,25.74,88.75,0.666667,
82361,13/02/2014,1200,28.4,,22.2,,,,,,
82361,14/02/2014,0000,,31,,3.9,1.7,26.24,89.75,0.6,
82361,14/02/2014,1200,0,,23.2,,,,,,
82361,15/02/2014,0000,,29.3,,0.3,1.3,25.5,93,0.533333,
82361,15/02/2014,1200,18.7,,23.2,,,,,,
82361,16/02/2014,0000,,29.9,,0,1.2,26.26,84.75,1.066667,
82361,16/02/2014,1200,2.3,,22.8,,,,,,
82361,17/02/2014,0000,,31,,4.4,1.6,26.66,81.5,1.2,
82361,17/02/2014,1200,4,,22.7,,,,,,
82361,18/02/2014,0000,,32,,4.4,2.2,25.84,87.5,1.766667,
82361,18/02/2014,1200,0.1,,23.4,,,,,,
82361,19/02/2014,0000,,31.4,,5.2,1.9,26.86,84.25,1.533333,
82361,19/02/2014,1200,7.6,,22.6,,,,,,
82361,20/02/2014,0000,,30.6,,1.6,1.4,26.38,88.5,1.5,
82361,20/02/2014,1200,50.2,,22.7,,,,,,
82361,21/02/2014,0000,,32.6,,8.7,1.7,25.56,93,1.6,
82361,21/02/2014,1200,22,,21.8,,,,,,
82361,22/02/2014,0000,,31.4,,2.4,2.1,27.3,83.5,1.5,
82361,22/02/2014,1200,4.8,,23.1,,,,,,
82361,23/02/2014,0000,,32.4,,4.4,1.5,27.32,82,0.933333,
82361,23/02/2014,1200,7.2,,22.4,,,,,,
82361,24/02/2014,0000,,33,,6.6,2.7,27.72,72.5,1.333333,
82361,24/02/2014,1200,0,,23.8,,,,,,
82361,25/02/2014,0000,,32.1,,5.6,2,25.62,93,1.833333,
82361,25/02/2014,1200,12.2,,22.8,,,,,,
82361,26/02/2014,0000,,31.8,,4.9,1.7,26.76,86,0.5,
82361,26/02/2014,1200,28,,22.4,,,,,,
82361,27/02/2014,0000,,30.4,,1.5,1.6,25.76,84,1.066667,
82361,27/02/2014,1200,32.2,,21.6,,,,,,
82361,28/02/2014,0000,,33.1,,6.1,5.8,26.66,83.75,0.6,
82361,28/02/2014,1200,0.2,,22.4,,,,,,
82361,01/03/2014,0000,,32.4,,4.8,2,27.22,81.5,1.066667,
82361,01/03/2014,1200,4.9,,23.4,,,,,,
