Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82798,01/01/2014,0000,,30.8,,9.7,4.1,28.26,69.5,1.966667,
82798,01/01/2014,1200,0,,26.7,,,,,,
82798,02/01/2014,0000,,31.8,,10.2,4,28.3,70.25,2.533333,
82798,02/01/2014,1200,0.4,,25.9,,,,,,
82798,03/01/2014,0000,,30.8,,9.8,4.4,27.9,63.75,2.566667,
82798,03/01/2014,1200,0,,25.5,,,,,,
82798,04/01/2014,0000,,31.2,,9.4,3,27.78,70.75,2.733333,
82798,04/01/2014,1200,0,,23.9,,,,,,
82798,05/01/2014,0000,,30.8,,3.7,5.2,27.5,73.5,3.066667,
82798,05/01/2014,1200,0,,24.3,,,,,,
82798,06/01/2014,0000,,30.6,,5.1,3.2,26.9,76.25,2.8,
82798,06/01/2014,1200,21.8,,23.7,,,,,,
82798,07/01/2014,0000,,30.8,,7.2,3.6,27.58,66.75,3.066667,
82798,07/01/2014,1200,0.6,,24.7,,,,,,
82798,08/01/2014,0000,,30.6,,9.9,4,27.46,68,2.4,
82798,08/01/2014,1200,0,,24.3,,,,,,
82798,09/01/2014,0000,,28.4,,1.9,3.5,26.06,82.75,1.4,
82798,09/01/2014,1200,11.2,,23.5,,,,,,
82798,10/01/2014,0000,,30.6,,9.5,1.5,27.42,72,2.733333,
82798,10/01/2014,1200,11.4,,23.7,,,,,,
82798,11/01/2014,0000,,30.5,,7.3,3.3,25.92,89,1.7,
82798,11/01/2014,1200,0,,24.1,,,,,,
82798,12/01/2014,0000,,29.2,,9.9,2.6,26.22,82.75,2.3,
82798,12/01/2014,1200,2.7,,24.3,,,,,,
82798,13/01/2014,0000,,30.4,,8.3,2.5,27.62,72.25,2.6,
82798,13/01/2014,1200,6.2,,24.1,,,,,,
82798,14/01/2014,0000,,31,,4.4,4.4,28.18,75,2.533333,
82798,14/01/2014,1200,0,,26.1,,,,,,
82798,15/01/2014,0000,,31,,9.1,4.1,27.98,73,2.966667,
82798,15/01/2014,1200,0,,26.3,,,,,,
82798,16/01/2014,0000,,30.8,,10,3.9,27.78,73.5,2.433333,
82798,16/01/2014,1200,0,,24.3,,,,,,
82798,17/01/2014,0000,,30.6,,9.1,3.3,28.02,75.75,2.466667,
82798,17/01/2014,1200,0,,25.1,,,,,,
82798,18/01/2014,0000,,31.2,,9.3,3.3,28.5,75.5,2.833333,
82798,18/01/2014,1200,0,,26.9,,,,,,
82798,19/01/2014,0000,,30.4,,7.5,3.3,28.1,74.5,2.066667,
82798,19/01/2014,1200,4.2,,26.1,,,,,,
82798,20/01/2014,0000,,30.8,,8.5,3.2,27.94,69.5,2.766667,
82798,20/01/2014,1200,0,,27.1,,,,,,
82798,21/01/2014,0000,,31,,8.8,4.1,28.3,69,2.4,
82798,21/01/2014,1200,0,,26.5,,,,,,
82798,22/01/2014,0000,,31,,7.3,5.4,28.3,65.75,2.866667,
82798,22/01/2014,1200,0,,26.9,,,,,,
82798,23/01/2014,0000,,31.6,,10.4,4.3,28.46,70.5,2.8,
82798,23/01/2014,1200,0,,26.9,,,,,,
82798,24/01/2014,0000,,31,,10.2,4.5,28.1,69.5,2.9,
82798,24/01/2014,1200,0,,25.7,,,,,,
82798,25/01/2014,0000,,31.4,,9.6,3.8,28.1,69.25,2.2,
82798,25/01/2014,1200,0,,23.9,,,,,,
82798,26/01/2014,0000,,31,,10.1,4.3,28.22,75,3.2,
82798,26/01/2014,1200,0,,26.9,,,,,,
82798,27/01/2014,0000,,31,,9.3,2.3,28.14,68.75,3.366667,
82798,27/01/2014,1200,4.6,,25.1,,,,,,
82798,28/01/2014,0000,,31,,10.4,4.2,28.22,68.25,3.2,
82798,28/01/2014,1200,0,,26.5,,,,,,
82798,29/01/2014,0000,,30.8,,8.3,3.8,26.82,79.5,3.5,
82798,29/01/2014,1200,4.8,,24.3,,,,,,
82798,30/01/2014,0000,,30.2,,4.3,3.2,27.54,74.25,3.9,
82798,30/01/2014,1200,17.2,,24.3,,,,,,
82798,31/01/2014,0000,,30.6,,9.9,3.5,27.78,68.75,2.933333,
82798,31/01/2014,1200,0.7,,24.5,,,,,,
82798,01/02/2014,0000,,30.8,,9,3.7,27.78,72.25,3.466667,
82798,01/02/2014,1200,0,,25.5,,,,,,
82798,02/02/2014,0000,,29.8,,2.3,3.8,26.74,80.75,1.466667,
82798,02/02/2014,1200,6.6,,24.9,,,,,,
82798,03/02/2014,0000,,29.8,,1.4,2,27.38,77,1.733333,
82798,03/02/2014,1200,1.2,,23.7,,,,,,
82798,04/02/2014,0000,,30.5,,9.7,1.8,27.52,69.5,2.366667,
82798,04/02/2014,1200,16.4,,24.1,,,,,,
82798,05/02/2014,0000,,30.6,,10.6,3.4,27.38,67.25,2.466667,
82798,05/02/2014,1200,0,,23.5,,,,,,
82798,06/02/2014,0000,,30.6,,8.6,3.5,26.68,81,2.633333,
82798,06/02/2014,1200,3.8,,23.8,,,,,,
82798,07/02/2014,0000,,30.6,,6.3,3,26.96,84,2.2,
82798,07/02/2014,1200,0.2,,23.6,,,,,,
82798,08/02/2014,0000,,31.2,,9.5,3,28.26,69,2.8,
82798,08/02/2014,1200,1.3,,25.5,,,,,,
82798,09/02/2014,0000,,30.4,,9,4.2,27.3,78.75,2.7,
82798,09/02/2014,1200,0,,24.9,,,,,,
82798,10/02/2014,0000,,30.8,,9.5,2,27.74,75.75,2.8,
82798,10/02/2014,1200,28.2,,24.3,,,,,,
82798,11/02/2014,0000,,30.8,,9.7,3.3,28.38,74.5,2.966667,
82798,11/02/2014,1200,0,,26.7,,,,,,
82798,12/02/2014,0000,,31,,5,3.5,28.26,80.5,2.266667,
82798,12/02/2014,1200,0.2,,26.1,,,,,,
82798,13/02/2014,0000,,30,,3.3,2.4,27,78.25,2.533333,
82798,13/02/2014,1200,29.1,,24.6,,,,,,
82798,14/02/2014,0000,,30.6,,9.1,3,27.98,74,1.966667,
82798,14/02/2014,1200,0,,24.9,,,,,,
82798,15/02/2014,0000,,30.6,,6.4,2.8,28.42,74.5,1.966667,
82798,15/02/2014,1200,0,,26.9,,,,,,
82798,16/02/2014,0000,,30.4,,7.7,4,28.26,72.5,1.066667,
82798,16/02/2014,1200,0,,27.1,,,,,,
82798,17/02/2014,0000,,31.2,,7,3,28.18,72.25,1.966667,
82798,17/02/2014,1200,0,,25.1,,,,,,
82798,18/02/2014,0000,,30.8,,8.8,2.6,27.3,77.25,1.433333,
82798,18/02/2014,1200,8,,23.1,,,,,,
82798,19/02/2014,0000,,30.2,,4.2,3.4,28.26,74.75,2.066667,
82798,19/02/2014,1200,0,,26.5,,,,,,
82798,20/02/2014,0000,,31,,9.5,3.2,28.74,67.25,2.3,
82798,20/02/2014,1200,0,,26.7,,,,,,
82798,21/02/2014,0000,,31.2,,4.8,3.6,28.6,69.75,1.6,
82798,21/02/2014,1200,0.8,,26.4,,,,,,
82798,22/02/2014,0000,,30.6,,7.1,4.2,26.58,82.75,2.4,
82798,22/02/2014,1200,0,,24.3,,,,,,
82798,23/02/2014,0000,,30.2,,2.9,2,27.34,79.25,1.966667,
82798,23/02/2014,1200,12.4,,23.9,,,,,,
82798,24/02/2014,0000,,30.4,,3.5,2.8,28.1,74.5,2.7,
82798,24/02/2014,1200,0,,27.3,,,,,,
82798,25/02/2014,0000,,30.8,,9.1,3.4,27.86,69.5,2.966667,
82798,25/02/2014,1200,0,,24.5,,,,,,
82798,26/02/2014,0000,,30.8,,9,3.6,27.34,73.75,2.1,
82798,26/02/2014,1200,0,,23.5,,,,,,
82798,27/02/2014,0000,,31,,9.2,3.4,27.62,68,1.866667,
82798,27/02/2014,1200,0,,23.5,,,,,,
82798,28/02/2014,0000,,30.8,,5.8,3.1,27.7,70.75,1.866667,
82798,28/02/2014,1200,0,,23.3,,,,,,
82798,01/03/2014,0000,,31,,7.7,3.1,27.9,72.25,2.166667,
82798,01/03/2014,1200,0.4,,24.7,,,,,,
82798,02/03/2014,0000,,31.2,,9.2,3.2,28.26,69.25,1.9,
82798,02/03/2014,1200,1,,25.5,,,,,,
82798,03/03/2014,0000,,31.2,,8.2,3.4,28.34,69,2.433333,
82798,03/03/2014,1200,0,,25.1,,,,,,
82798,04/03/2014,0000,,30.8,,9.9,3.8,28.66,69.75,2.533333,
82798,04/03/2014,1200,1.2,,26.7,,,,,,
82798,05/03/2014,0000,,31.6,,9.4,3,28.98,69.75,2.533333,
82798,05/03/2014,1200,0,,27.3,,,,,,
