Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82893,01/01/2014,0000,,29.8,,6.9,3.6,,,3.3,
82893,01/01/2014,1200,0,,,,,,,,
82893,02/01/2014,0000,,29.6,,8.3,3.8,,,2.35,
82893,02/01/2014,1200,0,,,,,,,,
82893,03/01/2014,0000,,28.4,,7.3,4.7,,,3.7,
82893,03/01/2014,1200,0,,,,,,,,
82893,04/01/2014,0000,,28.8,,7.7,4.2,,,1.7,
82893,04/01/2014,1200,0,,,,,,,,
82893,05/01/2014,0000,,29.8,,6.5,4.3,,,2.65,
82893,05/01/2014,1200,0,,,,,,,,
82893,06/01/2014,0000,,26.6,,0.8,3.2,,,0.65,
82893,06/01/2014,1200,0,,,,,,,,
82893,07/01/2014,0000,,26.2,,2.3,2.4,,,2.45,
82893,07/01/2014,1200,0,,,,,,,,
82893,08/01/2014,0000,,28.8,,5,2.5,,,1.8,
82893,08/01/2014,1200,0,,,,,,,,
82893,09/01/2014,0000,,28.8,,,3.2,,,3.15,
82893,09/01/2014,1200,0,,,,,,,,
82893,10/01/2014,0000,,27.4,,1.4,3.3,,,5,
82893,10/01/2014,1200,0,,,,,,,,
82893,11/01/2014,0000,,28.2,,6.9,13.6,,,1.85,
82893,11/01/2014,1200,0,,,,,,,,
82893,12/01/2014,0000,,27.8,,5.4,2,,,1.35,
82893,12/01/2014,1200,4.3,,,,,,,,
82893,13/01/2014,0000,,28.2,,2.7,2.6,,,2.65,
82893,13/01/2014,1200,0,,,,,,,,
82893,14/01/2014,0000,,27.4,,0.7,1.8,,,3.7,
82893,14/01/2014,1200,0,,,,,,,,
82893,15/01/2014,0000,,28.6,,3.2,1.2,,,2.65,
82893,15/01/2014,1200,0,,,,,,,,
82893,16/01/2014,0000,,29.8,,7.1,2.4,,,1.35,
82893,16/01/2014,1200,0,,,,,,,,
82893,17/01/2014,0000,,31.2,,5.8,3.5,,,2.1,
82893,17/01/2014,1200,0,,,,,,,,
82893,18/01/2014,0000,,31.4,,4.8,4,,,2,
82893,18/01/2014,1200,0,,,,,,,,
82893,19/01/2014,0000,,30.6,,8.2,3,,,3.05,
82893,19/01/2014,1200,0,,,,,,,,
82893,20/01/2014,0000,,31.4,,7.9,3.7,,,3.6,
82893,20/01/2014,1200,0,,,,,,,,
82893,21/01/2014,0000,,28.6,,6.2,4.2,,,2.8,
82893,21/01/2014,1200,0,,,,,,,,
82893,22/01/2014,0000,,29.8,,6.7,3.8,,,0.6,
82893,22/01/2014,1200,0,,,,,,,,
82893,23/01/2014,0000,,29.8,,7.9,3.2,,,1.65,
82893,23/01/2014,1200,0,,,,,,,,
82893,24/01/2014,0000,,30.2,,6.6,4.6,,,0.7,
82893,24/01/2014,1200,0,,,,,,,,
82893,25/01/2014,0000,,29.8,,5.8,4.8,,,1.95,
82893,25/01/2014,1200,0,,,,,,,,
82893,26/01/2014,0000,,29.8,,5.3,4,,,2.65,
82893,26/01/2014,1200,0,,,,,,,,
82893,27/01/2014,0000,,26.8,,1.6,3.1,,,2.95,
82893,27/01/2014,1200,0,,,,,,,,
82893,28/01/2014,0000,,26.6,,3.4,2.1,,,4.3,
82893,28/01/2014,1200,2.6,,,,,,,,
82893,29/01/2014,0000,,28.6,,5,1.9,,,3,
82893,29/01/2014,1200,0,,,,,,,,
82893,30/01/2014,0000,,27.2,,,4,,,0.95,
82893,30/01/2014,1200,5.8,,,,,,,,
82893,31/01/2014,0000,,28.8,,,1.7,,,2.45,
82893,31/01/2014,1200,1.1,,,,,,,,
82893,01/02/2014,0000,,28.2,,5.6,3.5,,,1.8,
82893,01/02/2014,1200,0,,17.6,,,,,,
82893,02/02/2014,0000,,29.8,,5.3,3.4,,,1.95,
82893,02/02/2014,1200,0,,18.4,,,,,,
82893,03/02/2014,0000,,28,,3.5,3.5,,,3.65,
82893,03/02/2014,1200,0.8,,19,,,,,,
82893,04/02/2014,0000,,28.6,,4.3,2.5,,,2.95,
82893,04/02/2014,1200,0,,19.2,,,,,,
82893,05/02/2014,0000,,27.2,,5,2.6,,,3.45,
82893,05/02/2014,1200,0.2,,18.8,,,,,,
82893,06/02/2014,0000,,24.2,,,2.8,,,0.8,
82893,06/02/2014,1200,1.6,,18.6,,,,,,
82893,07/02/2014,0000,,26.4,,4.4,1.9,,,1.65,
82893,07/02/2014,1200,4.6,,18,,,,,,
82893,08/02/2014,0000,,26.6,,6.2,2.2,,,2.8,
82893,08/02/2014,1200,0.4,,19,,,,,,
82893,09/02/2014,0000,,26.4,,6.4,2.3,,,3.5,
82893,09/02/2014,1200,0,,19.2,,,,,,
82893,10/02/2014,0000,,26.2,,2.7,2.2,,,1.5,
82893,10/02/2014,1200,0.8,,18.6,,,,,,
82893,11/02/2014,0000,,26,,1,2.6,,,1.3,
82893,11/02/2014,1200,0.2,,18.8,,,,,,
82893,12/02/2014,0000,,28.4,,5.4,2.1,,,2.3,
82893,12/02/2014,1200,0.6,,19,,,,,,
82893,13/02/2014,0000,,29.2,,6.5,3.4,,,0.5,
82893,13/02/2014,1200,0,,17.6,,,,,,
82893,14/02/2014,0000,,29,,6,4.1,,,2.95,
82893,14/02/2014,1200,0,,18.6,,,,,,
82893,15/02/2014,0000,,29.8,,5.9,3,,,1.8,
82893,15/02/2014,1200,4.2,,19,,,,,,
82893,16/02/2014,0000,,28.2,,5.8,3.4,,,2.3,
82893,16/02/2014,1200,2.2,,18.6,,,,,,
82893,17/02/2014,0000,,29.8,,4.2,3.4,,,0.5,
82893,17/02/2014,1200,0,,18.2,,,,,,
82893,18/02/2014,0000,,29.4,,6.7,2.9,,,1,
82893,18/02/2014,1200,0,,19,,,,,,
82893,19/02/2014,0000,,28.8,,4.1,3.5,,,3.7,
82893,19/02/2014,1200,0,,18,,,,,,
82893,20/02/2014,0000,,28,,2.7,3.5,,,4.65,
82893,20/02/2014,1200,0,,18.2,,,,,,
82893,21/02/2014,0000,,27.4,,1.9,3.8,,,3.7,
82893,21/02/2014,1200,0,,19.2,,,,,,
82893,22/02/2014,0000,,28,,1.7,3.4,,,2.45,
82893,22/02/2014,1200,0.2,,18.8,,,,,,
82893,23/02/2014,0000,,29.8,,3.9,2.6,,,4.15,
82893,23/02/2014,1200,5.1,,18.4,,,,,,
82893,24/02/2014,0000,,29,,6.7,3.8,,,4.3,
82893,24/02/2014,1200,0,,19,,,,,,
82893,25/02/2014,0000,,30.6,,6.4,4.2,,,2.65,
82893,25/02/2014,1200,0,,17.8,,,,,,
82893,26/02/2014,0000,,28.8,,4.1,3.8,,,2.3,
82893,26/02/2014,1200,0,,19,,,,,,
82893,27/02/2014,0000,,30.4,,3.3,3.4,,,3,
82893,27/02/2014,1200,0,,17.4,,,,,,
82893,28/02/2014,0000,,28.2,,3.1,3.4,,,3.15,
82893,28/02/2014,1200,0,,19.6,,,,,,
82893,01/03/2014,0000,,28.8,,5,3,,,2.5,
82893,01/03/2014,1200,0,,18,,,,,,
82893,02/03/2014,0000,,30,,4.9,3.9,,,3.5,
82893,02/03/2014,1200,0,,18,,,,,,
82893,03/03/2014,0000,,31.2,,4.6,4.1,,,4,
82893,03/03/2014,1200,11.6,,19.2,,,,,,
82893,04/03/2014,0000,,31,,5.1,4,,,3.65,
82893,04/03/2014,1200,0,,19,,,,,,
82893,05/03/2014,0000,,29.2,,6.4,4.1,,,1.95,
82893,05/03/2014,1200,0,,19,,,,,,
82893,06/03/2014,0000,,29,,7.1,3.8,,,2.5,
82893,06/03/2014,1200,0,,19.2,,,,,,
82893,07/03/2014,0000,,26.8,,0.9,3.2,,,0.85,
82893,07/03/2014,1200,0,,19,,,,,,
82893,08/03/2014,0000,,27.8,,0.6,1,,,1,
82893,08/03/2014,1200,6.6,,18,,,,,,
82893,09/03/2014,0000,,30.6,,6.4,2,,,2.5,
82893,09/03/2014,1200,0,,19,,,,,,
82893,10/03/2014,0000,,29.6,,5.7,3.4,,,2.1,
82893,10/03/2014,1200,0,,19,,,,,,
82893,11/03/2014,0000,,22.8,,0.7,3.5,,,0.4,
82893,11/03/2014,1200,4.5,,19.2,,,,,,
82893,12/03/2014,0000,,25,,1.8,0.2,,,0.5,
82893,12/03/2014,1200,37.2,,18,,,,,,
82893,13/03/2014,0000,,26,,2.2,1.7,,,2.8,
82893,13/03/2014,1200,0,,18.2,,,,,,
82893,14/03/2014,0000,,28,,2,0.7,,,1,
82893,14/03/2014,1200,0,,18.6,,,,,,
82893,15/03/2014,0000,,29,,5,2,,,1.3,
82893,15/03/2014,1200,0,,19,,,,,,
82893,16/03/2014,0000,,28.4,,1.1,2.1,,,1.5,
82893,16/03/2014,1200,0,,19,,,,,,
82893,17/03/2014,0000,,29.8,,,2.8,,,2.65,
82893,17/03/2014,1200,0,,17.8,,,,,,
82893,18/03/2014,0000,,28.4,,1.6,1.9,,,1.8,
82893,18/03/2014,1200,0,,18.8,,,,,,
82893,19/03/2014,0000,,26.8,,1.9,1.6,,,3.45,
82893,19/03/2014,1200,0.3,,,,,,,,
82893,20/03/2014,0000,,28.8,,2,1.7,,,0.85,
82893,20/03/2014,1200,0,,,,,,,,
82893,21/03/2014,0000,,28.2,,4.5,2.4,,,3.75,
82893,21/03/2014,1200,1.5,,,,,,,,
82893,22/03/2014,0000,,28,,7.1,2.8,,,1.3,
82893,22/03/2014,1200,0,,,,,,,,
82893,23/03/2014,0000,,30.8,,8.5,3,,,2.65,
82893,23/03/2014,1200,0,,,,,,,,
82893,24/03/2014,0000,,29.4,,7.5,3.3,,,2.5,
82893,24/03/2014,1200,0,,,,,,,,
82893,25/03/2014,0000,,28.8,,8.7,3.6,,,0.3,
82893,25/03/2014,1200,0,,,,,,,,
82893,26/03/2014,0000,,30,,6.7,3,,,0.5,
82893,26/03/2014,1200,0,,,,,,,,
82893,27/03/2014,0000,,30.8,,8.6,3,,,2,
82893,27/03/2014,1200,0,,,,,,,,
82893,28/03/2014,0000,,30.2,,5.2,4.5,,,2.15,
82893,28/03/2014,1200,0,,,,,,,,
82893,29/03/2014,0000,,28.8,,5.4,2.9,,,6.45,
82893,29/03/2014,1200,0.4,,,,,,,,
82893,30/03/2014,0000,,29.4,,4.9,2.6,,,3.95,
82893,30/03/2014,1200,0,,,,,,,,
82893,31/03/2014,0000,,28.8,,,3.2,,,0.95,
82893,31/03/2014,1200,0,,,,,,,,
82893,01/04/2014,0000,,28.2,,,2.3,,,3.1,
82893,01/04/2014,1200,0.2,,,,,,,,
82893,02/04/2014,0000,,28.8,,6.8,2.5,,,1.05,
82893,02/04/2014,1200,0.8,,,,,,,,
82893,03/04/2014,0000,,27.8,,,2.4,,,0.95,
82893,03/04/2014,1200,0,,,,,,,,
82893,04/04/2014,0000,,30.6,,5.6,,,,2.85,
82893,04/04/2014,1200,0,,,,,,,,
82893,05/04/2014,0000,,31.8,,8.6,4,,,4,
82893,05/04/2014,1200,0,,,,,,,,
82893,06/04/2014,0000,,26.8,,3.4,3,,,5.4,
82893,06/04/2014,1200,67,,,,,,,,
82893,07/04/2014,0000,,28.2,,,0.8,,,2.95,
82893,07/04/2014,1200,23.8,,,,,,,,
82893,08/04/2014,0000,,29.4,,,2.2,,,3.05,
82893,08/04/2014,1200,0,,,,,,,,
82893,09/04/2014,0000,,26.6,,6.7,2.1,,,2.85,
82893,09/04/2014,1200,1.2,,,,,,,,
82893,10/04/2014,0000,,28.6,,8.9,2.9,,,3.2,
82893,10/04/2014,1200,6,,,,,,,,
82893,11/04/2014,0000,,28.8,,8.2,2,,,0.5,
82893,11/04/2014,1200,0,,,,,,,,
82893,12/04/2014,0000,,28.4,,3.5,2.3,,,2.3,
