Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82983,01/01/2014,0000,,33,,11.9,11.8,28.26,61,2.95,
82983,01/01/2014,1200,0,,23.9,,,,,,
82983,02/01/2014,0000,,33,,12,5.3,28.38,55,4.15,
82983,02/01/2014,1200,0,,23.3,,,,,,
82983,03/01/2014,0000,,32.4,,11.7,12.3,27.7,59,3.35,
82983,03/01/2014,1200,0,,22.9,,,,,,
82983,04/01/2014,0000,,33.8,,12,12.1,28.38,57,2.5,
82983,04/01/2014,1200,0,,22.7,,,,,,
82983,05/01/2014,0000,,32.6,,11.5,12.7,27.42,62,2.05,
82983,05/01/2014,1200,0,,22.5,,,,,,
82983,06/01/2014,0000,,31.8,,11.5,11.9,27.2,60,1.65,
82983,06/01/2014,1200,0,,22,,,,,,
82983,07/01/2014,0000,,32.6,,12,11.8,27.64,58,2.5,
82983,07/01/2014,1200,0,,22.4,,,,,,
82983,08/01/2014,0000,,32.4,,12.2,12.8,28.1,52,2.5,
82983,08/01/2014,1200,0,,22.7,,,,,,
82983,09/01/2014,0000,,34.1,,12,13.6,28.88,52,2.5,
82983,09/01/2014,1200,0,,23.3,,,,,,
82983,10/01/2014,0000,,30,,4.3,11.6,25.7,87,0.85,
82983,10/01/2014,1200,16.6,,21.7,,,,,,
82983,11/01/2014,0000,,31.8,,7.8,5.6,27.88,62,2.95,
82983,11/01/2014,1200,1.2,,24,,,,,,
82983,12/01/2014,0000,,31.6,,5.6,10.9,27.74,71,1.65,
82983,12/01/2014,1200,0,,24.3,,,,,,
82983,13/01/2014,0000,,32.6,,9.8,8.6,28.32,58,2.95,
82983,13/01/2014,1200,0,,23,,,,,,
82983,14/01/2014,0000,,31.3,,1.8,12.4,25.86,82,1.65,
82983,14/01/2014,1200,0,,23.6,,,,,,
82983,15/01/2014,0000,,32.1,,9.5,10,27.08,71,2.95,
82983,15/01/2014,1200,8.2,,22.3,,,,,,
82983,16/01/2014,0000,,33.2,,11.3,6.2,28.5,62,2.5,
82983,16/01/2014,1200,0,,23.7,,,,,,
82983,17/01/2014,0000,,33.1,,11.9,12.8,28.66,58,2.5,
82983,17/01/2014,1200,0,,23.2,,,,,,
82983,18/01/2014,0000,,34.6,,11.4,10.3,29.82,53,2.5,
82983,18/01/2014,1200,0,,23.9,,,,,,
82983,19/01/2014,0000,,33.9,,10.4,12.3,29.12,58,2.5,
82983,19/01/2014,1200,0,,24.1,,,,,,
82983,20/01/2014,0000,,34.2,,10.4,11.7,29.98,57,2.05,
82983,20/01/2014,1200,0,,24.3,,,,,,
82983,21/01/2014,0000,,33.8,,9.6,12.4,29.3,55,2.5,
82983,21/01/2014,1200,0,,24.7,,,,,,
82983,22/01/2014,0000,,34.2,,11,11.5,29.64,51,2.5,
82983,22/01/2014,1200,0,,24,,,,,,
82983,23/01/2014,0000,,33.6,,9.4,14.1,28.76,58,1.65,
82983,23/01/2014,1200,0,,23.8,,,,,,
82983,24/01/2014,0000,,33.8,,10.1,13.1,29.26,56,1.65,
82983,24/01/2014,1200,0,,23.7,,,,,,
82983,25/01/2014,0000,,34.6,,10.2,2.1,29.18,48,2.95,
82983,25/01/2014,1200,0,,23.9,,,,,,
82983,26/01/2014,0000,,34.6,,9.9,14.8,29.18,54,2.5,
82983,26/01/2014,1200,0,,24.5,,,,,,
82983,27/01/2014,0000,,34.6,,11.2,15.9,27.38,70,2.9,
82983,27/01/2014,1200,0,,23.7,,,,,,
82983,28/01/2014,0000,,33.2,,10.7,11.5,28.28,59,2.5,
82983,28/01/2014,1200,2.6,,23,,,,,,
82983,29/01/2014,0000,,33.6,,8.7,14.1,28.78,55,2.5,
82983,29/01/2014,1200,0,,22.9,,,,,,
82983,30/01/2014,0000,,34.3,,11,13.2,28.6,54,3.3,
82983,30/01/2014,1200,0,,23.3,,,,,,
82983,31/01/2014,0000,,33.4,,11,14.9,28.58,49,3.35,
82983,31/01/2014,1200,0,,22.9,,,,,,
82983,01/02/2014,0000,,31.2,,5.1,15.6,27.42,61.25,1.833333,
82983,01/02/2014,1200,0,,23.7,,,,,,
82983,02/02/2014,0000,,34.4,,11.4,10.7,28.82,52.25,3.033333,
82983,02/02/2014,1200,0,,23.3,,,,,,
82983,03/02/2014,0000,,34,,8.3,14.2,28.22,69.75,3.333333,
82983,03/02/2014,1200,0,,22.9,,,,,,
82983,04/02/2014,0000,,34.6,,11.4,12.2,27.62,58.5,4.066667,
82983,04/02/2014,1200,1.2,,22.9,,,,,,
82983,05/02/2014,0000,,33.2,,8,12.5,28.38,54,3.3,
82983,05/02/2014,1200,0.4,,23.7,,,,,,
82983,06/02/2014,0000,,34.4,,9.8,12.5,27.36,58,3.466667,
82983,06/02/2014,1200,0,,22.8,,,,,,
82983,07/02/2014,0000,,32.2,,8.8,11.8,27.54,57.75,2.233333,
82983,07/02/2014,1200,0,,22.7,,,,,,
82983,08/02/2014,0000,,33.2,,8.8,11.1,28.9,51,3.2,
82983,08/02/2014,1200,0,,24.7,,,,,,
82983,09/02/2014,0000,,33.9,,7.7,11.5,28.74,53,2.766667,
82983,09/02/2014,1200,0,,23.6,,,,,,
82983,10/02/2014,0000,,34.4,,11.4,12.1,29.34,48.75,3.633333,
82983,10/02/2014,1200,0,,23.3,,,,,,
82983,11/02/2014,0000,,34.2,,11.2,13.7,29.58,45.5,2.933333,
82983,11/02/2014,1200,0,,24.3,,,,,,
82983,12/02/2014,0000,,34.4,,10.5,14.3,29.42,47,2.233333,
82983,12/02/2014,1200,0,,23.9,,,,,,
82983,13/02/2014,0000,,34.6,,11.8,15.2,29.32,46.25,3.1,
82983,13/02/2014,1200,0,,23.2,,,,,,
82983,14/02/2014,0000,,34.8,,9.7,14.3,29.72,46.75,2.466667,
82983,14/02/2014,1200,0,,24.4,,,,,,
82983,15/02/2014,0000,,33.6,,7.8,13.5,28.94,59.75,3.066667,
82983,15/02/2014,1200,0,,24.9,,,,,,
82983,16/02/2014,0000,,32.3,,8.1,10.5,28,60,2.5,
82983,16/02/2014,1200,3.4,,23.5,,,,,,
82983,17/02/2014,0000,,31.5,,7,8.6,27.56,62.5,2.233333,
