Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82797,01/01/2014,0000,,31.8,,10.7,4,25.4,68,3.15,
82797,01/01/2014,1200,0,,21.6,,,,,,
82797,02/01/2014,0000,,32,,10.7,4,25.4,73,3.3,
82797,02/01/2014,1200,0,,21.4,,,,,,
82797,03/01/2014,0000,,32.2,,10.6,6,25.32,,4.15,
82797,03/01/2014,1200,0,,21.6,,,,,,
82797,04/01/2014,0000,,32.2,,11.1,6.2,25.6,72,3,
82797,04/01/2014,1200,0,,21.4,,,,,,
82797,05/01/2014,0000,,32,,7.6,6.4,25.4,76,3.15,
82797,05/01/2014,1200,0,,21.2,,,,,,
82797,06/01/2014,0000,,32,,3.1,5,25.38,74,3,
82797,06/01/2014,1200,0,,21.4,,,,,,
82797,07/01/2014,0000,,31.8,,7.6,4.2,25.34,74,3,
82797,07/01/2014,1200,0,,21.4,,,,,,
82797,08/01/2014,0000,,32,,10.2,6,25.18,75,3.3,
82797,08/01/2014,1200,0,,21.3,,,,,,
82797,09/01/2014,0000,,31,,5.1,5.4,25.04,74,1.65,
82797,09/01/2014,1200,0,,21.6,,,,,,
82797,10/01/2014,0000,,31.6,,7,4,25.12,76,3.3,
82797,10/01/2014,1200,0,,21.6,,,,,,
82797,11/01/2014,0000,,31.8,,3.7,7,25.24,76,3,
82797,11/01/2014,1200,0,,21.4,,,,,,
82797,12/01/2014,0000,,31.6,,8.2,3.8,25,74,3,
82797,12/01/2014,1200,0.8,,21.2,,,,,,
82797,13/01/2014,0000,,31.8,,8.1,6,25.12,75,3.4,
82797,13/01/2014,1200,0,,21.4,,,,,,
82797,14/01/2014,0000,,30.8,,7.2,8.3,25.12,75,4.35,
82797,14/01/2014,1200,0,,20.8,,,,,,
82797,15/01/2014,0000,,32.4,,10.5,6.8,25.52,68,4.15,
82797,15/01/2014,1200,1.8,,22,,,,,,
82797,16/01/2014,0000,,32.4,,9.6,8.9,25.18,74,3.75,
82797,16/01/2014,1200,0,,19.8,,,,,,
82797,17/01/2014,0000,,32.2,,7.6,5.5,24.8,73,3,
82797,17/01/2014,1200,0,,20,,,,,,
82797,18/01/2014,0000,,31.8,,10,7.5,25.24,76,3.6,
82797,18/01/2014,1200,0,,20.2,,,,,,
82797,19/01/2014,0000,,32.4,,8.7,5,25.04,78,3.3,
82797,19/01/2014,1200,3.6,,20.4,,,,,,
82797,20/01/2014,0000,,32.4,,11,4.8,24.8,74,3.15,
82797,20/01/2014,1200,0,,20,,,,,,
82797,21/01/2014,0000,,32.6,,10,3.8,25,74,3.3,
82797,21/01/2014,1200,0,,20.2,,,,,,
82797,22/01/2014,0000,,32,,8.5,4,24.82,74,3.45,
82797,22/01/2014,1200,0,,20.2,,,,,,
82797,23/01/2014,0000,,33.2,,9.9,3.8,25.78,74,3,
82797,23/01/2014,1200,0,,20.2,,,,,,
82797,24/01/2014,0000,,32.2,,11,3.8,25,73,3.3,
82797,24/01/2014,1200,0,,20,,,,,,
82797,25/01/2014,0000,,32.2,,10.4,5.2,25.4,73,3,
82797,25/01/2014,1200,0,,20.2,,,,,,
82797,26/01/2014,0000,,32.6,,8.6,6,25.82,74,3.15,
82797,26/01/2014,1200,0,,21,,,,,,
82797,27/01/2014,0000,,32.8,,10.1,6,25.32,73,3,
82797,27/01/2014,1200,0,,20.8,,,,,,
82797,28/01/2014,0000,,32.8,,10.6,0,25.32,75,3.3,
82797,28/01/2014,1200,0,,20.4,,,,,,
82797,29/01/2014,0000,,32.2,,7.1,6,25,78,3.3,
82797,29/01/2014,1200,0,,20.4,,,,,,
82797,30/01/2014,0000,,32.2,,8.4,5,25.7,72,3.45,
82797,30/01/2014,1200,0,,21,,,,,,
82797,31/01/2014,0000,,32.4,,8,7,25.54,74,3.15,
82797,31/01/2014,1200,0,,20.6,,,,,,
82797,01/02/2014,0000,,33,,10.7,10,25.88,68,5,
82797,01/02/2014,1200,0,,21,,,,,,
82797,02/02/2014,0000,,29.8,,5.8,8.5,25.12,72,4.15,
82797,02/02/2014,1200,0,,21.2,,,,,,
82797,03/02/2014,0000,,25.6,,1.6,4.5,22.72,95,4.25,
82797,03/02/2014,1200,0,,20.6,,,,,,
82797,04/02/2014,0000,,29.4,,5.5,1.3,24.48,74,4.05,
82797,04/02/2014,1200,11.8,,20.6,,,,,,
82797,05/02/2014,0000,,30.8,,7.9,3.4,24.2,82,2.55,
82797,05/02/2014,1200,1.2,,20,,,,,,
82797,06/02/2014,0000,,24.4,,0.2,7.4,22.74,90,3.3,
82797,06/02/2014,1200,7.4,,20.4,,,,,,
82797,07/02/2014,0000,,28,,2.9,1.4,23.52,89,3.55,
82797,07/02/2014,1200,5.2,,20.6,,,,,,
82797,08/02/2014,0000,,29.8,,6.6,2.8,24.56,80,3.95,
82797,08/02/2014,1200,1.3,,21,,,,,,
82797,09/02/2014,0000,,27.2,,2.7,4.4,23.28,88,3.9,
82797,09/02/2014,1200,0.5,,21,,,,,,
82797,10/02/2014,0000,,30,,7.2,3.7,24.48,84,2.35,
82797,10/02/2014,1200,0,,20.4,,,,,,
82797,11/02/2014,0000,,29.6,,5.2,1.4,24.56,81,4,
82797,11/02/2014,1200,1.8,,21.2,,,,,,
82797,12/02/2014,0000,,29.4,,10,1.1,24.68,78,3.3,
82797,12/02/2014,1200,0,,21,,,,,,
82797,13/02/2014,0000,,31,,9.8,1.1,24.98,55,3.55,
82797,13/02/2014,1200,0,,20.2,,,,,,
82797,14/02/2014,0000,,31.4,,7.8,1.2,25.06,82,2.65,
82797,14/02/2014,1200,0,,21.5,,,,,,
82797,15/02/2014,0000,,30.2,,7.6,0.7,25.16,80,3.9,
82797,15/02/2014,1200,51,,22,,,,,,
82797,16/02/2014,0000,,29.8,,7.7,0.8,24.98,76,3.9,
82797,16/02/2014,1200,0,,22,,,,,,
82797,17/02/2014,0000,,30.6,,9.5,1,25,77,3.55,
82797,17/02/2014,1200,0,,21.6,,,,,,
82797,18/02/2014,0000,,31,,10.6,1,25.32,76,3.55,
82797,18/02/2014,1200,0,,21.8,,,,,,
82797,19/02/2014,0000,,30.2,,5.9,6.2,24.9,78,3.45,
82797,19/02/2014,1200,0,,21,,,,,,
82797,20/02/2014,0000,,30.6,,8.5,4.6,25.08,84,3.3,
82797,20/02/2014,1200,0.8,,21.6,,,,,,
82797,21/02/2014,0000,,29.4,,3,6.8,24.92,73,5,
82797,21/02/2014,1200,0,,21.6,,,,,,
82797,22/02/2014,0000,,29.6,,3.6,6.6,24.84,77,3.6,
82797,22/02/2014,1200,0,,21.6,,,,,,
82797,23/02/2014,0000,,31,,7.8,4.6,25.44,74,4.1,
82797,23/02/2014,1200,0,,21.8,,,,,,
82797,24/02/2014,0000,,31.2,,8,6,25.54,76,3.15,
82797,24/02/2014,1200,0,,22,,,,,,
82797,25/02/2014,0000,,32.2,,10.2,6.1,25.18,74,3.55,
82797,25/02/2014,1200,0,,21,,,,,,
82797,26/02/2014,0000,,32,,11.2,7.7,25.36,73,3.55,
82797,26/02/2014,1200,0,,21.2,,,,,,
82797,27/02/2014,0000,,32.1,,9.8,7.6,25.52,72,3.05,
82797,27/02/2014,1200,0,,20.6,,,,,,
82797,28/02/2014,0000,,31.6,,6.5,6.8,25.52,72,2.6,
82797,28/02/2014,1200,0,,21.6,,,,,,
82797,01/03/2014,0000,,31.4,,7.4,6.2,25.44,71,3.566667,
82797,01/03/2014,1200,0,,22,,,,,,
82797,02/03/2014,0000,,32,,7.3,5.8,25.72,70.25,4.233333,
82797,02/03/2014,1200,0,,22,,,,,,
82797,03/03/2014,0000,,32.4,,10.5,6.6,25.86,67.25,4.8,
82797,03/03/2014,1200,0,,22,,,,,,
82797,04/03/2014,0000,,32.4,,10.8,7.9,25.96,68.5,4.133333,
82797,04/03/2014,1200,0,,22.2,,,,,,
82797,05/03/2014,0000,,32.2,,10.5,7.8,25.98,68.75,5.266667,
82797,05/03/2014,1200,0,,21.4,,,,,,
82797,06/03/2014,0000,,31.8,,10,8.5,25.8,69.5,4.233333,
82797,06/03/2014,1200,0,,22.2,,,,,,
82797,07/03/2014,0000,,26.8,,1.1,7,24.08,84.5,3.2,
82797,07/03/2014,1200,0,,22,,,,,,
82797,08/03/2014,0000,,31.4,,10,2,25.2,76.75,3.1,
82797,08/03/2014,1200,10.6,,21.6,,,,,,
82797,09/03/2014,0000,,32,,11,6.6,25.94,74.25,3.3,
82797,09/03/2014,1200,0,,21.8,,,,,,
82797,10/03/2014,0000,,32,,6.2,4.8,25.88,70,3.4,
82797,10/03/2014,1200,0,,21.8,,,,,,
82797,11/03/2014,0000,,31,,7.3,7.1,25.12,77.75,2.766667,
82797,11/03/2014,1200,1.5,,22,,,,,,
82797,12/03/2014,0000,,30.2,,6.9,4.8,25.52,69.5,3.833333,
82797,12/03/2014,1200,0,,22,,,,,,
82797,13/03/2014,0000,,26.7,,0.4,7,23.5,87.5,3.866667,
82797,13/03/2014,1200,0,,21.6,,,,,,
82797,14/03/2014,0000,,25.8,,0.1,1.5,23.6,86.25,2.8,
82797,14/03/2014,1200,9.7,,21.8,,,,,,
82797,15/03/2014,0000,,29.2,,7.6,2.3,24.86,81.25,3.4,
82797,15/03/2014,1200,0,,21.6,,,,,,
82797,16/03/2014,0000,,32.2,,10.6,4.1,25.48,70.5,3.4,
82797,16/03/2014,1200,0,,21.6,,,,,,
82797,17/03/2014,0000,,31.6,,8.6,6.8,25.6,73.25,3.833333,
82797,17/03/2014,1200,0,,21.2,,,,,,
82797,18/03/2014,0000,,32.4,,8.6,5.5,25.84,76.75,3.3,
82797,18/03/2014,1200,0,,22.4,,,,,,
82797,19/03/2014,0000,,31.8,,6.8,6.5,25.52,80.75,4.3,
82797,19/03/2014,1200,0.2,,22,,,,,,
82797,20/03/2014,0000,,31.8,,9.8,4.4,25.64,77,3.2,
82797,20/03/2014,1200,1.9,,21.8,,,,,,
82797,21/03/2014,0000,,32.2,,9.4,5,26.02,72.5,3.4,
82797,21/03/2014,1200,0,,21.6,,,,,,
82797,22/03/2014,0000,,32.3,,7.6,7,25.32,74.5,3.566667,
82797,22/03/2014,1200,0,,21.6,,,,,,
82797,23/03/2014,0000,,32,,11,6.8,25.64,73.25,3.1,
82797,23/03/2014,1200,0,,21.6,,,,,,
82797,24/03/2014,0000,,33,,10.7,8.2,26.04,63.5,4.066667,
82797,24/03/2014,1200,0,,21.6,,,,,,
82797,25/03/2014,0000,,33,,10.5,8.8,26.16,62.5,3.833333,
82797,25/03/2014,1200,0,,21,,,,,,
82797,26/03/2014,0000,,33.4,,7.8,9.2,26.2,64,3.433333,
82797,26/03/2014,1200,0,,21.2,,,,,,
82797,27/03/2014,0000,,33.4,,9.8,6.8,26.24,62,2.933333,
82797,27/03/2014,1200,3.2,,21.8,,,,,,
82797,28/03/2014,0000,,33.6,,8,7.7,26.24,67.75,3.1,
82797,28/03/2014,1200,0,,21.4,,,,,,
82797,29/03/2014,0000,,32,,9.8,7.6,25.8,71.25,3.4,
82797,29/03/2014,1200,1.2,,22,,,,,,
82797,30/03/2014,0000,,33.2,,9.2,6.8,26.58,68.75,5.066667,
82797,30/03/2014,1200,0,,22.4,,,,,,
82797,31/03/2014,0000,,32.6,,10.6,8.4,26.28,65.5,4.3,
82797,31/03/2014,1200,0,,21.6,,,,,,
82797,01/04/2014,0000,,31,,8.1,6.8,25.34,68,4.7,
82797,01/04/2014,1200,0,,21.8,,,,,,
82797,02/04/2014,0000,,32.8,,8.5,6.8,26.12,66.5,4.033333,
82797,02/04/2014,1200,0.6,,21.8,,,,,,
82797,03/04/2014,0000,,33.2,,8.7,7,26.16,70.5,3.666667,
82797,03/04/2014,1200,0,,21.6,,,,,,
82797,04/04/2014,0000,,33.4,,8.5,7.4,26.44,69.75,3.3,
82797,04/04/2014,1200,0,,22.6,,,,,,
82797,05/04/2014,0000,,32.8,,6.4,5.6,26.2,71.25,3.1,
82797,05/04/2014,1200,0,,22,,,,,,
82797,06/04/2014,0000,,32.4,,6.3,6,26.24,72.25,3.4,
82797,06/04/2014,1200,0,,22.2,,,,,,
82797,07/04/2014,0000,,31.8,,6,5,26.2,74,2.833333,
82797,07/04/2014,1200,12.2,,22.2,,,,,,
82797,08/04/2014,0000,,33.6,,8.7,4.2,26.52,72.5,3.233333,
