Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82789,01/01/2014,0000,,28.7,,10.4,7.2,23.34,53,2.9,
82789,01/01/2014,1200,0,,17.3,,,,,,
82789,02/01/2014,0000,,29,,11.2,7.1,23.08,60,3.15,
82789,02/01/2014,1200,0,,16.9,,,,,,
82789,03/01/2014,0000,,28.3,,10.2,6.5,22.54,60,4.95,
82789,03/01/2014,1200,0,,16.9,,,,,,
82789,04/01/2014,0000,,28.8,,11.8,7.8,22.82,56,4.95,
82789,04/01/2014,1200,0,,17.5,,,,,,
82789,05/01/2014,0000,,27.7,,10,7.7,22.34,62,3.7,
82789,05/01/2014,1200,0,,17.6,,,,,,
82789,06/01/2014,0000,,27.8,,6.9,7,22.06,68,4.55,
82789,06/01/2014,1200,0,,16.9,,,,,,
82789,07/01/2014,0000,,27,,8.4,6.3,21.44,61,5.2,
82789,07/01/2014,1200,0,,16.1,,,,,,
82789,08/01/2014,0000,,27.3,,11.8,7.2,21.54,63,4.15,
82789,08/01/2014,1200,0,,15.8,,,,,,
82789,09/01/2014,0000,,27.8,,8.1,6.5,22.08,74,3.3,
82789,09/01/2014,1200,0,,17.8,,,,,,
82789,10/01/2014,0000,,27.9,,5.8,4.5,21.92,75,3.3,
82789,10/01/2014,1200,0,,17.6,,,,,,
82789,11/01/2014,0000,,29.5,,10.6,4.5,22.38,67,5.8,
82789,11/01/2014,1200,1.8,,16.6,,,,,,
82789,12/01/2014,0000,,28.3,,9.4,8.4,22.92,60,3.75,
82789,12/01/2014,1200,0,,17.8,,,,,,
82789,13/01/2014,0000,,28.8,,9.1,6.4,22.22,80,3.3,
82789,13/01/2014,1200,0,,17.6,,,,,,
82789,14/01/2014,0000,,28,,8.2,5.2,20.96,91,4.15,
82789,14/01/2014,1200,0,,17.2,,,,,,
82789,15/01/2014,0000,,28.7,,10.4,4.1,22.62,61,3.7,
82789,15/01/2014,1200,19.9,,17.3,,,,,,
82789,16/01/2014,0000,,29.2,,11.5,7.2,23.28,57,4.15,
82789,16/01/2014,1200,0,,17.3,,,,,,
82789,17/01/2014,0000,,30.2,,7.8,7.2,23.84,57,0.8,
82789,17/01/2014,1200,0,,18.8,,,,,,
82789,18/01/2014,0000,,30.5,,10.8,4.7,24.8,57,2.05,
82789,18/01/2014,1200,0,,18.9,,,,,,
82789,19/01/2014,0000,,30,,8.3,6,23.82,76,2.9,
82789,19/01/2014,1200,0,,19.8,,,,,,
82789,20/01/2014,0000,,29.8,,10.9,6.1,23.68,68,3.7,
82789,20/01/2014,1200,0,,17.9,,,,,,
82789,21/01/2014,0000,,29,,9,5.9,23.06,58,1.65,
82789,21/01/2014,1200,0,,17.3,,,,,,
82789,22/01/2014,0000,,29,,7.7,6.5,23.84,46,2.7,
