Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82298,01/01/2014,0000,,38.5,,10.3,9.2,28.82,58.75,1,
82298,01/01/2014,1200,0,,19.8,,,,,,
82298,02/01/2014,0000,,38.5,,10.3,7.8,28.78,64.25,1.666667,
82298,02/01/2014,1200,0,,22,,,,,,
82298,03/01/2014,0000,,38.6,,9.9,7,28.92,65.75,3,
82298,03/01/2014,1200,1.2,,22.2,,,,,,
82298,04/01/2014,0000,,37,,7.7,8.2,28.56,66.5,2.666667,
82298,04/01/2014,1200,0,,22.2,,,,,,
82298,05/01/2014,0000,,37.5,,9.9,6.8,28.28,65,1,
82298,05/01/2014,1200,0,,22.5,,,,,,
82298,06/01/2014,0000,,37,,8.9,6.7,27.48,70.5,1,
82298,06/01/2014,1200,0.1,,23,,,,,,
82298,07/01/2014,0000,,33,,2.6,5.3,25.44,84.25,0.333333,
82298,07/01/2014,1200,4,,21,,,,,,
82298,08/01/2014,0000,,35.4,,10.1,2,26.88,75.25,2,
82298,08/01/2014,1200,3,,22,,,,,,
82298,09/01/2014,0000,,35,,6.7,4.2,27.06,77.5,0.666667,
82298,09/01/2014,1200,0,,22.5,,,,,,
82298,10/01/2014,0000,,34.5,,7.2,3,27.24,70.5,0.666667,
82298,10/01/2014,1200,2.4,,22.5,,,,,,
82298,11/01/2014,0000,,36.6,,8.9,4.8,28.16,70.5,2,
82298,11/01/2014,1200,0,,22.6,,,,,,
82298,12/01/2014,0000,,36,,6.9,5,27.52,73,0.666667,
82298,12/01/2014,1200,0,,22,,,,,,
82298,13/01/2014,0000,,33.3,,4.1,2.5,26.18,80.75,1,
82298,13/01/2014,1200,19.8,,23,,,,,,
82298,14/01/2014,0000,,32,,1.8,2.5,25.74,88.5,1.333333,
82298,14/01/2014,1200,1.5,,21.5,,,,,,
82298,15/01/2014,0000,,34,,7.7,2,26.2,80.25,1,
82298,15/01/2014,1200,2.6,,21,,,,,,
82298,16/01/2014,0000,,33.2,,5.1,3,25.88,83.5,1.666667,
82298,16/01/2014,1200,11.6,,21.6,,,,,,
82298,17/01/2014,0000,,35.2,,9.8,4.6,27.88,72,1,
82298,17/01/2014,1200,0,,22.6,,,,,,
82298,18/01/2014,0000,,36,,9.2,3.7,28.16,70,2.666667,
82298,18/01/2014,1200,0,,22.2,,,,,,
82298,19/01/2014,0000,,34.4,,8.1,1.7,27.4,74.75,1.666667,
82298,19/01/2014,1200,0,,22.6,,,,,,
82298,20/01/2014,0000,,33.6,,6.6,1.8,26.56,75.25,1.666667,
82298,20/01/2014,1200,2.2,,22,,,,,,
82298,21/01/2014,0000,,35,,8.9,1.1,27.5,69.25,1.333333,
82298,21/01/2014,1200,4.2,,21.5,,,,,,
82298,22/01/2014,0000,,35.2,,10,1.9,26.84,73.25,1,
82298,22/01/2014,1200,0,,20,,,,,,
82298,23/01/2014,0000,,36,,6.5,3.2,27.52,75.25,2,
82298,23/01/2014,1200,0,,22.4,,,,,,
82298,24/01/2014,0000,,34.4,,6.9,6,26.84,76.5,2,
82298,24/01/2014,1200,0,,22,,,,,,
82298,25/01/2014,0000,,31,,0.4,3.9,25.18,84.5,0.666667,
82298,25/01/2014,1200,0,,21.5,,,,,,
82298,26/01/2014,0000,,34,,7,1.6,25.12,84.25,1,
82298,26/01/2014,1200,6.4,,21,,,,,,
82298,27/01/2014,0000,,34,,5.3,2.9,25.56,79,1,
82298,27/01/2014,1200,30.8,,20.4,,,,,,
82298,28/01/2014,0000,,32,,0.8,2.2,26.36,79.25,1.333333,
82298,28/01/2014,1200,22.8,,21.8,,,,,,
82298,29/01/2014,0000,,33.5,,7.8,1.5,26.34,83.5,1,
82298,29/01/2014,1200,0,,21.2,,,,,,
82298,30/01/2014,0000,,31,,3.6,4.2,25.08,83.75,1.333333,
82298,30/01/2014,1200,13.6,,21,,,,,,
82298,31/01/2014,0000,,33.4,,6.7,2.7,26.6,75,1.333333,
82298,31/01/2014,1200,20.2,,20.6,,,,,,
82298,01/02/2014,0000,,33,,2.6,3,26.28,80.5,2,
82298,01/02/2014,1200,0.8,,21.6,,,,,,
82298,02/02/2014,0000,,31,,3.1,2.6,25.64,87.75,1,
82298,02/02/2014,1200,0,,22.2,,,,,,
82298,03/02/2014,0000,,33,,7.4,1.2,27.12,77.75,1,
82298,03/02/2014,1200,13.8,,22,,,,,,
82298,04/02/2014,0000,,31,,6.8,3.4,25.64,79.75,0.333333,
82298,04/02/2014,1200,0,,21,,,,,,
82298,05/02/2014,0000,,32,,8.5,1.8,25.8,81.75,1,
82298,05/02/2014,1200,24,,21,,,,,,
82298,06/02/2014,0000,,33,,9.3,3.6,26.8,76,1,
82298,06/02/2014,1200,20,,22,,,,,,
82298,07/02/2014,0000,,33.5,,7.7,3.8,25.94,84,1,
82298,07/02/2014,1200,5,,21.8,,,,,,
82298,08/02/2014,0000,,33.2,,9.5,3.6,25.56,79.75,1.333333,
82298,08/02/2014,1200,8,,21.2,,,,,,
82298,09/02/2014,0000,,32.2,,7.8,2.8,25.2,81.75,1,
82298,09/02/2014,1200,70.4,,21,,,,,,
82298,10/02/2014,0000,,33.5,,8.3,4.8,26.98,77.5,1,
82298,10/02/2014,1200,29.4,,21.8,,,,,,
82298,11/02/2014,0000,,33,,8.9,3.1,25.78,83.25,1,
82298,11/02/2014,1200,1,,21.5,,,,,,
82298,12/02/2014,0000,,32,,7.1,3.1,25.2,86.5,0.666667,
82298,12/02/2014,1200,3,,21,,,,,,
82298,13/02/2014,0000,,32.2,,6.4,1,25.56,82,1,
82298,13/02/2014,1200,43,,21.2,,,,,,
82298,14/02/2014,0000,,31.6,,4.3,2.5,26.16,87,1.666667,
82298,14/02/2014,1200,20.2,,23,,,,,,
82298,15/02/2014,0000,,31.8,,3.6,2,25.58,87.5,0.666667,
82298,15/02/2014,1200,19,,21.5,,,,,,
82298,16/02/2014,0000,,32,,4.8,2.1,24.96,85.25,0.666667,
82298,16/02/2014,1200,0,,20.6,,,,,,
82298,17/02/2014,0000,,32,,8.3,1.4,25.88,82.5,1.666667,
82298,17/02/2014,1200,26.6,,21.4,,,,,,
82298,18/02/2014,0000,,32.2,,4.8,2.5,26.36,79.75,1,
82298,18/02/2014,1200,0,,22.2,,,,,,
82298,19/02/2014,0000,,32,,3.7,2,25.72,86.25,0.666667,
82298,19/02/2014,1200,0,,22.2,,,,,,
82298,20/02/2014,0000,,30.4,,1.1,1,24.48,88.5,0,
82298,20/02/2014,1200,23.4,,21,,,,,,
