Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82882,01/01/2014,0000,,34,,11.6,,,53,4.11552,
82882,31/01/2014,0000,,35,,,,,,2.5722,
82882,01/02/2014,0000,,34,,11.6,13.8,29.2,53,5.3,
82882,01/02/2014,1200,0,,24.6,,,,,,
82882,02/02/2014,0000,,36,,11.7,9.2,29.92,47,4.35,
82882,02/02/2014,1200,0,,23.6,,,,,,
82882,03/02/2014,0000,,36,,7.7,9.5,30.28,51,3.45,
82882,03/02/2014,1200,0,,25.4,,,,,,
82882,04/02/2014,0000,,35.6,,9.8,10.7,29.88,44,3.2,
82882,04/02/2014,1200,0,,24.4,,,,,,
82882,05/02/2014,0000,,34,,6.9,10.2,28.6,53,3.7,
82882,05/02/2014,1200,0,,21,,,,,,
82882,06/02/2014,0000,,35.2,,9.6,11.4,29.96,44,5.4,
82882,06/02/2014,1200,0,,24,,,,,,
82882,07/02/2014,0000,,34,,6.5,11,28.2,55,3.55,
82882,07/02/2014,1200,0.2,,22.8,,,,,,
82882,08/02/2014,0000,,35.6,,11,8.8,29.88,55,3.3,
82882,08/02/2014,1200,0,,23.8,,,,,,
82882,09/02/2014,0000,,34.8,,7.5,9.5,29.56,52,4.6,
82882,09/02/2014,1200,0,,24.8,,,,,,
82882,10/02/2014,0000,,35,,9.3,10.4,29.8,51,3.65,
82882,10/02/2014,1200,0,,24.6,,,,,,
82882,11/02/2014,0000,,34.8,,6.5,10.5,29.44,54,3.5,
82882,11/02/2014,1200,0,,24.6,,,,,,
82882,12/02/2014,0000,,34.6,,7.6,8.3,30.26,44,4.3,
82882,12/02/2014,1200,0,,24.8,,,,,,
82882,13/02/2014,0000,,35.8,,10,9.5,30.64,45,2.7,
82882,13/02/2014,1200,0,,25.2,,,,,,
82882,14/02/2014,0000,,34.8,,5.5,7,28.8,66,2.8,
82882,14/02/2014,1200,0,,25.8,,,,,,
82882,15/02/2014,0000,,27.8,,0.9,3,24.24,88,2.4,
82882,15/02/2014,1200,46,,20.4,,,,,,
82882,16/02/2014,0000,,26,,0.7,0.2,22.84,95,1.05,
82882,16/02/2014,1200,124.8,,20.2,,,,,,
82882,17/02/2014,0000,,26.2,,0.8,0.8,23.52,93,1.7,
82882,17/02/2014,1200,23.2,,20.6,,,,,,
82882,18/02/2014,0000,,32.6,,9.7,0.3,25.24,88,3.1,
82882,18/02/2014,1200,2.5,,21.8,,,,,,
82882,19/02/2014,0000,,28,,1.4,3,24.52,95,0.25,
82882,19/02/2014,1200,16.1,,21.4,,,,,,
82882,20/02/2014,0000,,27,,0.5,0.4,24,88,0.55,
82882,20/02/2014,1200,17.1,,20.8,,,,,,
82882,21/02/2014,0000,,27.9,,0.5,1,24.38,88,2.6,
82882,21/02/2014,1200,1.6,,20.6,,,,,,
82882,22/02/2014,0000,,30.2,,6.8,2.7,25.88,75,2.85,
82882,22/02/2014,1200,0,,22.6,,,,,,
82882,23/02/2014,0000,,32,,7,4.5,26.88,74,3.15,
82882,23/02/2014,1200,0,,23.2,,,,,,
82882,24/02/2014,0000,,32.4,,9.9,3.4,27.2,72,4.25,
82882,24/02/2014,1200,0,,24.2,,,,,,
82882,25/02/2014,0000,,32.6,,10.9,3.6,27.44,63,2.8,
82882,25/02/2014,1200,0,,23.8,,,,,,
82882,26/02/2014,0000,,30.6,,6.5,4.7,26.36,71,4.3,
82882,26/02/2014,1200,0,,23.4,,,,,,
82882,27/02/2014,0000,,29.8,,1.6,2.6,25.76,78,2.15,
82882,27/02/2014,1200,0,,22.8,,,,,,
82882,28/02/2014,0000,,31.4,,4.3,1.8,27.04,75,1.3,
82882,28/02/2014,1200,0,,23.6,,,,,,
82882,01/03/2014,0000,,32.4,,5,2.2,28.08,72,1.85,
82882,01/03/2014,1200,0,,24.8,,,,,,
82882,02/03/2014,0000,,31.1,,4.3,2,26.62,78,1.8,
82882,02/03/2014,1200,0,,23.4,,,,,,
82882,03/03/2014,0000,,29.4,,3.9,2,25.28,85,3.5,
82882,03/03/2014,1200,0,,22.6,,,,,,
82882,04/03/2014,0000,,26.2,,1.8,1.9,24.12,92,2.65,
82882,04/03/2014,1200,20.8,,22.4,,,,,,
82882,05/03/2014,0000,,30.2,,9.7,1,26.24,81,3.3,
82882,05/03/2014,1200,3,,22.6,,,,,,
82882,06/03/2014,0000,,31,,11.2,3,26.2,74,4.15,
82882,06/03/2014,1200,0,,22.8,,,,,,
82882,07/03/2014,0000,,31,,8.8,4.6,26.44,75,2.25,
82882,07/03/2014,1200,0,,22.8,,,,,,
82882,08/03/2014,0000,,32.4,,10.2,1,27.04,70,3.4,
82882,08/03/2014,1200,0,,22,,,,,,
82882,09/03/2014,0000,,30.7,,5.1,3.4,26.22,81,1.4,
82882,09/03/2014,1200,0,,22.4,,,,,,
82882,10/03/2014,0000,,31,,3.6,2.1,26.4,77,2.6,
82882,10/03/2014,1200,0,,22.4,,,,,,
82882,11/03/2014,0000,,32.8,,9.3,3.3,27.48,70,2.15,
82882,11/03/2014,1200,0,,23.8,,,,,,
82882,12/03/2014,0000,,31.8,,8,4.2,26.72,72,3.1,
82882,12/03/2014,1200,0,,22.8,,,,,,
82882,13/03/2014,0000,,33,,10.8,3.5,27.36,66,4.15,
82882,13/03/2014,1200,0,,23.2,,,,,,
82882,14/03/2014,0000,,30.8,,3.5,4,26.84,66,3.3,
82882,14/03/2014,1200,0,,23.6,,,,,,
82882,15/03/2014,0000,,31.4,,4.7,5.5,27.6,67,2.5,
82882,15/03/2014,1200,0,,24,,,,,,
82882,16/03/2014,0000,,31.8,,7,4.5,27.36,69,2.5,
82882,16/03/2014,1200,0,,24.4,,,,,,
82882,17/03/2014,0000,,29,,0.8,4,25.72,80,2.85,
82882,17/03/2014,1200,0,,23.6,,,,,,
82882,18/03/2014,0000,,33,,8.6,1.3,27.8,68,2.9,
82882,18/03/2014,1200,0,,23.8,,,,,,
82882,19/03/2014,0000,,32.6,,9.8,4.7,27.36,70,2.55,
82882,19/03/2014,1200,0,,23.4,,,,,,
82882,20/03/2014,0000,,34.4,,10.7,3.8,28.76,65,3.05,
82882,20/03/2014,1200,0,,23.8,,,,,,
82882,21/03/2014,0000,,35,,6.1,4.7,29.16,68,3.15,
82882,21/03/2014,1200,0,,25.2,,,,,,
82882,22/03/2014,0000,,35,,10.2,6.4,29.68,62,3.45,
82882,22/03/2014,1200,0,,25.6,,,,,,
82882,23/03/2014,0000,,35,,9.2,6.5,29.36,63,2.8,
82882,23/03/2014,1200,0,,25.6,,,,,,
82882,24/03/2014,0000,,35,,11,7.7,29.16,64,2.5,
82882,24/03/2014,1200,0,,24.2,,,,,,
82882,25/03/2014,0000,,35.4,,11.2,8.1,29.2,57,2.9,
82882,25/03/2014,1200,0,,25.2,,,,,,
82882,26/03/2014,0000,,35.8,,10.8,10.6,29.44,62,3.1,
82882,26/03/2014,1200,0,,25.2,,,,,,
82882,27/03/2014,0000,,33,,6.4,6.4,26.4,87,2.1,
82882,27/03/2014,1200,0.5,,23,,,,,,
