Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82480,01/01/2014,0000,,37,,11.4,12.3,30.04,48.5,1.4,
82480,01/01/2014,1200,0,,22.4,,,,,,
82480,02/01/2014,0000,,37.8,,10,10.7,28.8,62,1.866667,
82480,02/01/2014,1200,0,,22.4,,,,,,
82480,03/01/2014,0000,,36,,6.8,9.3,28.96,65,2.966667,
82480,03/01/2014,1200,0,,24.2,,,,,,
82480,04/01/2014,0000,,36,,10.1,8.3,28.52,63.25,3,
82480,04/01/2014,1200,0,,23.6,,,,,,
82480,05/01/2014,0000,,36.6,,9.9,8.5,28.84,61.5,3.233333,
82480,05/01/2014,1200,0,,22.8,,,,,,
82480,06/01/2014,0000,,36,,8.8,7.4,27.08,67.25,1.366667,
82480,06/01/2014,1200,0,,23.4,,,,,,
82480,07/01/2014,0000,,31.4,,1.5,1.9,25.64,81.5,2.166667,
82480,07/01/2014,1200,3.4,,22.2,,,,,,
82480,08/01/2014,0000,,35.2,,8.4,0.2,26,76.25,1.166667,
82480,08/01/2014,1200,0,,21.4,,,,,,
82480,09/01/2014,0000,,32.8,,5.2,1.2,26.32,74.25,1.566667,
82480,09/01/2014,1200,10.6,,22.6,,,,,,
82480,10/01/2014,0000,,34.4,,8.1,1,27.68,66.5,2.533333,
82480,10/01/2014,1200,0,,23,,,,,,
82480,11/01/2014,0000,,36.2,,6.7,6.5,29.16,62.25,2.333333,
82480,11/01/2014,1200,0,,23.8,,,,,,
82480,12/01/2014,0000,,33.8,,5.7,7.9,26.32,80,1.8,
82480,12/01/2014,1200,0,,22.4,,,,,,
82480,13/01/2014,0000,,34.2,,6.3,3.1,26,80,1.333333,
82480,13/01/2014,1200,31,,22,,,,,,
82480,14/01/2014,0000,,33.4,,7.5,4.1,27.68,77.25,2.666667,
82480,14/01/2014,1200,1.4,,23.2,,,,,,
82480,15/01/2014,0000,,35.6,,7.6,5.7,27.48,76,1.366667,
82480,15/01/2014,1200,0,,24,,,,,,
82480,16/01/2014,0000,,35,,7.1,4.9,26.92,71.25,1.933333,
82480,16/01/2014,1200,14.3,,21,,,,,,
82480,17/01/2014,0000,,34.6,,10.3,5.9,28.2,67.5,2.133333,
82480,17/01/2014,1200,0,,23.4,,,,,,
82480,18/01/2014,0000,,35.2,,10.8,5.1,28.48,66.25,3.066667,
82480,18/01/2014,1200,0,,23.4,,,,,,
82480,19/01/2014,0000,,35.8,,9.7,7,28.28,70.75,1.5,
82480,19/01/2014,1200,0,,23.8,,,,,,
82480,20/01/2014,0000,,33.8,,8.5,4.8,27.12,74.75,2.633333,
82480,20/01/2014,1200,2.4,,23.8,,,,,,
82480,21/01/2014,0000,,35,,10.3,5.9,28.28,61.75,2.5,
82480,21/01/2014,1200,0,,23.2,,,,,,
82480,22/01/2014,0000,,36,,9.8,2.9,27.72,63.75,2.166667,
82480,22/01/2014,1200,0,,21.4,,,,,,
82480,23/01/2014,0000,,35,,8.3,5,27.68,71,1.833333,
82480,23/01/2014,1200,4.6,,23.6,,,,,,
82480,24/01/2014,0000,,34,,6.3,4.5,27.6,69.25,2.466667,
82480,24/01/2014,1200,0,,22.8,,,,,,
82480,25/01/2014,0000,,31.8,,0.9,5.3,26.32,79.25,2,
82480,25/01/2014,1200,0,,23.8,,,,,,
82480,26/01/2014,0000,,36,,6.7,5.2,26.88,71.25,1.733333,
82480,26/01/2014,1200,0,,22.2,,,,,,
82480,27/01/2014,0000,,34.2,,6.9,5.2,26.16,76.25,2.366667,
82480,27/01/2014,1200,10.3,,23,,,,,,
82480,28/01/2014,0000,,32.4,,5.3,3.9,26.52,78,2.2,
82480,28/01/2014,1200,7.7,,23,,,,,,
82480,29/01/2014,0000,,34.4,,7.6,0.3,27.68,49.5,1.133333,
82480,29/01/2014,1200,0,,23.4,,,,,,
82480,30/01/2014,0000,,32.2,,4.8,9.1,24.72,93,1,
82480,30/01/2014,1200,0,,21.6,,,,,,
82480,31/01/2014,0000,,33.2,,7.3,1.7,26,78.25,1.1,
82480,31/01/2014,1200,37.8,,21.2,,,,,,
82480,01/02/2014,0000,,33,,3.9,3.1,27.12,76,1.966667,
82480,01/02/2014,1200,0.4,,23.4,,,,,,
82480,02/02/2014,0000,,28.8,,0.5,2.9,25.32,95.25,1.933333,
82480,02/02/2014,1200,5.7,,24.2,,,,,,
82480,03/02/2014,0000,,32.8,,5.2,0.7,27.44,80,2.966667,
82480,03/02/2014,1200,12.4,,24,,,,,,
82480,04/02/2014,0000,,31.6,,4.1,2,26.56,80.25,1.966667,
82480,04/02/2014,1200,0.9,,23.6,,,,,,
82480,05/02/2014,0000,,33.2,,8.5,2,26.72,74.75,1.266667,
82480,05/02/2014,1200,2.9,,22,,,,,,
82480,06/02/2014,0000,,34.2,,8.3,3.5,27.6,67.25,2.033333,
82480,06/02/2014,1200,1,,22.6,,,,,,
82480,07/02/2014,0000,,33.2,,5.7,4.9,25.76,82.75,1,
82480,07/02/2014,1200,0.6,,23,,,,,,
82480,08/02/2014,0000,,34.6,,7.9,2.6,25.64,79.75,1.266667,
82480,08/02/2014,1200,5.5,,22,,,,,,
82480,09/02/2014,0000,,32.4,,4.6,2.8,25.88,81.5,2.166667,
82480,09/02/2014,1200,9.3,,21.8,,,,,,
82480,10/02/2014,0000,,33,,6.2,2.2,27.8,70.25,2.633333,
82480,10/02/2014,1200,0,,23.2,,,,,,
82480,11/02/2014,0000,,33.6,,8,4.2,25.76,78.5,2.233333,
82480,11/02/2014,1200,0,,21.8,,,,,,
82480,12/02/2014,0000,,30.6,,4.1,3.5,25.88,86.75,1.8,
82480,12/02/2014,1200,46.6,,21.6,,,,,,
82480,13/02/2014,0000,,32,,4.4,2.7,25.76,86.75,1.633333,
82480,13/02/2014,1200,3.2,,23.6,,,,,,
82480,14/02/2014,0000,,32,,5.5,1.8,24.72,82.25,1.533333,
82480,14/02/2014,1200,8,,21.4,,,,,,
82480,15/02/2014,0000,,31.2,,4,2.1,24.84,80.75,1.6,
82480,15/02/2014,1200,38.2,,21.4,,,,,,
82480,16/02/2014,0000,,31.4,,2.4,2.9,25.08,91.5,1.466667,
82480,16/02/2014,1200,9.2,,22.6,,,,,,
82480,17/02/2014,0000,,32.2,,7.1,0.9,25.24,85.5,1.666667,
82480,17/02/2014,1200,12.9,,22.6,,,,,,
82480,18/02/2014,0000,,33.2,,6.2,2.3,26.48,78.5,0.8,
82480,18/02/2014,1200,15.6,,22.4,,,,,,
82480,19/02/2014,0000,,30.8,,1.2,1.2,25.04,84.5,1.233333,
82480,19/02/2014,1200,0,,22.8,,,,,,
82480,20/02/2014,0000,,32,,2.4,1,25.4,85.5,1.1,
82480,20/02/2014,1200,70.8,,22.6,,,,,,
