Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82879,01/01/2014,0000,,34.2,,11.6,7.4,28.16,47,1.35,
82879,01/01/2014,1200,0,,21.4,,,,,,
82879,02/01/2014,0000,,34.4,,11.9,7.6,28.2,74,1.9,
82879,02/01/2014,1200,0,,21.6,,,,,,
82879,03/01/2014,0000,,34,,10.2,8.4,28.44,55,2.5,
82879,03/01/2014,1200,0,,22.6,,,,,,
82879,04/01/2014,0000,,34.4,,11.1,8,28.12,54,2.8,
82879,04/01/2014,1200,0,,22,,,,,,
82879,05/01/2014,0000,,34.4,,11.9,8,27.72,51,2.9,
82879,05/01/2014,1200,0,,21,,,,,,
82879,06/01/2014,0000,,33.8,,11.9,9.4,27.36,55,1.9,
82879,06/01/2014,1200,0,,20.8,,,,,,
82879,07/01/2014,0000,,34,,11.8,8.4,27.8,52,1.95,
82879,07/01/2014,1200,0,,22.2,,,,,,
82879,08/01/2014,0000,,35.2,,11.7,9.2,27.84,51,2.35,
82879,08/01/2014,1200,0,,20.4,,,,,,
82879,09/01/2014,0000,,35,,11.4,11,28.04,54,1.95,
82879,09/01/2014,1200,0,,22,,,,,,
82879,10/01/2014,0000,,32,,2.5,9.4,26.4,73,0.9,
82879,10/01/2014,1200,1.2,,23.8,,,,,,
82879,11/01/2014,0000,,34.8,,6.4,4.4,29.08,55,2.45,
82879,11/01/2014,1200,0,,23.8,,,,,,
82879,12/01/2014,0000,,34.2,,9.9,10.1,29.16,58,3.55,
82879,12/01/2014,1200,0,,25,,,,,,
82879,13/01/2014,0000,,33.8,,7.5,9.1,28.64,56,2.15,
82879,13/01/2014,1200,0,,22.8,,,,,,
82879,14/01/2014,0000,,33.2,,5.4,8.3,28.2,59,2.2,
82879,14/01/2014,1200,0,,24,,,,,,
82879,15/01/2014,0000,,33.2,,4,8.3,28.24,59,2.2,
82879,15/01/2014,1200,0,,24,,,,,,
82879,16/01/2014,0000,,36.2,,11.4,7,29.64,52,1.75,
82879,16/01/2014,1200,0,,23,,,,,,
82879,17/01/2014,0000,,36.2,,8.9,9.5,30.08,54,2.3,
82879,17/01/2014,1200,0,,23.2,,,,,,
82879,18/01/2014,0000,,37.4,,10.9,7.3,30.4,52,1.45,
82879,18/01/2014,1200,0,,23.8,,,,,,
82879,19/01/2014,0000,,36.4,,7.2,9.4,30,65,2.8,
82879,19/01/2014,1200,0,,25.8,,,,,,
82879,20/01/2014,0000,,36.2,,8.1,5.2,29.36,69,3.3,
82879,20/01/2014,1200,0,,23.6,,,,,,
82879,21/01/2014,0000,,31.6,,3.8,3.9,26.44,84,0.6,
82879,21/01/2014,1200,6.8,,22.8,,,,,,
82879,22/01/2014,0000,,35.8,,10.2,2.3,28.96,57,1.55,
82879,22/01/2014,1200,0,,22.6,,,,,,
82879,23/01/2014,0000,,36.6,,11.3,4.5,29.48,57,2.25,
82879,23/01/2014,1200,0,,22.4,,,,,,
82879,24/01/2014,0000,,33.4,,1.9,4.5,28.68,62,2.55,
82879,24/01/2014,1200,0,,22.6,,,,,,
82879,25/01/2014,0000,,32.6,,4.7,4.1,26.72,75,2.7,
82879,25/01/2014,1200,0,,23.6,,,,,,
82879,26/01/2014,0000,,34.6,,7.1,2,27.52,63,0.95,
82879,26/01/2014,1200,1.9,,22.2,,,,,,
82879,27/01/2014,0000,,35.8,,9.2,4.6,28.8,66,2.5,
82879,27/01/2014,1200,0,,23.2,,,,,,
82879,28/01/2014,0000,,33.8,,4.8,9,28.68,54,2.15,
82879,28/01/2014,1200,0,,24.6,,,,,,
82879,29/01/2014,0000,,35.2,,9.6,5.9,29.4,58,2.65,
82879,29/01/2014,1200,0,,24.8,,,,,,
82879,30/01/2014,0000,,35.2,,6.7,9.8,29.12,53,1.85,
82879,30/01/2014,1200,0,,23.8,,,,,,
82879,31/01/2014,0000,,35,,8,8.2,29.52,43.25,2.866667,
82879,31/01/2014,1200,0,,24.4,,,,,,
82879,01/02/2014,0000,,35.6,,10.1,9.6,30.36,47,2.833333,
82879,01/02/2014,1200,0,,25.2,,,,,,
82879,02/02/2014,0000,,37,,11.3,5.4,30.12,44.5,2.9,
82879,02/02/2014,1200,0,,24.6,,,,,,
82879,03/02/2014,0000,,35.8,,9.1,4.3,29.84,48,2.4,
82879,03/02/2014,1200,0,,25.4,,,,,,
82879,04/02/2014,0000,,36.4,,10.8,9.5,29.8,41.75,2.866667,
82879,04/02/2014,1200,0,,25,,,,,,
82879,05/02/2014,0000,,35.6,,6,10.2,29.76,45.75,2.4,
82879,05/02/2014,1200,0,,24.8,,,,,,
82879,06/02/2014,0000,,36.3,,8.6,11.4,30.38,43,3.5,
82879,06/02/2014,1200,0,,26.2,,,,,,
82879,07/02/2014,0000,,34.8,,4.8,9.7,28.8,52,1.5,
82879,07/02/2014,1200,0.5,,23.8,,,,,,
82879,08/02/2014,0000,,36.2,,7.8,7.6,30.16,46.5,2.3,
82879,08/02/2014,1200,0,,25,,,,,,
82879,09/02/2014,0000,,35.2,,6.3,7.2,29.88,46.25,2.066667,
82879,09/02/2014,1200,0,,25.6,,,,,,
82879,10/02/2014,0000,,37.4,,10.9,5.5,30.92,42.5,2.533333,
82879,10/02/2014,1200,0,,25,,,,,,
82879,11/02/2014,0000,,37,,8.4,12.1,30.56,41.75,2.533333,
82879,11/02/2014,1200,0,,24.6,,,,,,
82879,12/02/2014,0000,,37.2,,10.6,10.8,30.4,41.75,2.2,
82879,12/02/2014,1200,0,,22.8,,,,,,
82879,13/02/2014,0000,,37,,7.2,11.7,29.76,48.75,2.2,
82879,13/02/2014,1200,0,,25,,,,,,
82879,14/02/2014,0000,,30.6,,1,9.3,26.16,78.5,1.866667,
82879,14/02/2014,1200,0,,24.6,,,,,,
82879,15/02/2014,0000,,25.2,,0,3,23.28,95.75,1.3,
82879,15/02/2014,1200,53.6,,21.2,,,,,,
82879,16/02/2014,0000,,23.9,,0,0.2,22.86,95.5,2,
82879,16/02/2014,1200,61.2,,21,,,,,,
82879,17/02/2014,0000,,27,,0.2,0.2,23.96,90.75,1.2,
82879,17/02/2014,1200,63.6,,21.4,,,,,,
82879,18/02/2014,0000,,31,,3.2,1.1,26.28,81.5,1.866667,
82879,18/02/2014,1200,7.6,,22,,,,,,
82879,19/02/2014,0000,,27.4,,0,2.3,24.52,90.75,0.6,
82879,19/02/2014,1200,0.4,,22,,,,,,
82879,20/02/2014,0000,,25.4,,0.1,1.3,23.32,94.5,0.7,
82879,20/02/2014,1200,41,,21.6,,,,,,
82879,21/02/2014,0000,,30.2,,1.6,0.3,25.2,78.5,1.3,
82879,21/02/2014,1200,4.6,,21.4,,,,,,
82879,22/02/2014,0000,,30.6,,3,3.4,26.16,69.5,1.933333,
82879,22/02/2014,1200,0,,21.8,,,,,,
82879,23/02/2014,0000,,32.6,,8.7,4.3,27.36,65,2.433333,
82879,23/02/2014,1200,0,,21.6,,,,,,
82879,24/02/2014,0000,,33.8,,11,5.2,28.16,60.75,2.466667,
82879,24/02/2014,1200,0,,23,,,,,,
82879,25/02/2014,0000,,33.6,,10,6.4,28.08,58,2.1,
82879,25/02/2014,1200,0,,23.2,,,,,,
82879,26/02/2014,0000,,32.2,,7,6.7,27.16,66.75,2.1,
82879,26/02/2014,1200,0,,22.6,,,,,,
82879,27/02/2014,0000,,31.2,,3.9,4.3,26.76,66.5,1.833333,
82879,27/02/2014,1200,0,,22.4,,,,,,
82879,28/02/2014,0000,,32.4,,4.2,4.3,27.32,74,1.166667,
82879,28/02/2014,1200,0,,23.8,,,,,,
82879,01/03/2014,0000,,31.6,,2.6,3.8,26.2,77.25,2.1,
82879,01/03/2014,1200,0.4,,22.2,,,,,,
82879,02/03/2014,0000,,32.2,,7.5,3,26.96,72,2.1,
82879,02/03/2014,1200,0,,23.2,,,,,,
82879,03/03/2014,0000,,30.6,,4.4,3.7,25.76,86.5,1.966667,
82879,03/03/2014,1200,5.6,,23,,,,,,
82879,04/03/2014,0000,,30.6,,7.7,1.8,26.92,75.5,1.766667,
82879,04/03/2014,1200,7.6,,23.8,,,,,,
82879,05/03/2014,0000,,31.2,,8.5,3.2,27.04,74.5,2.6,
82879,05/03/2014,1200,0.2,,23.6,,,,,,
82879,06/03/2014,0000,,32.2,,11.4,4.6,27.16,66.25,1.8,
82879,06/03/2014,1200,0,,22.4,,,,,,
82879,07/03/2014,0000,,32.4,,8.7,4.2,26.52,74.25,0.933333,
82879,07/03/2014,1200,0,,21,,,,,,
82879,08/03/2014,0000,,33,,9.7,3.2,27.4,70.5,0.966667,
82879,08/03/2014,1200,1.2,,23.4,,,,,,
82879,09/03/2014,0000,,29.4,,4.3,3.3,25.92,80.25,1.233333,
82879,09/03/2014,1200,0,,23,,,,,,
