Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82578,01/01/2014,0000,,37.3,,10.5,4.8,,57.75,1.233333,
82578,01/01/2014,1200,0,,,,,,,,
82578,02/01/2014,0000,,36.7,,9.4,7,,62.25,1.666667,
82578,02/01/2014,1200,0,,,,,,,,
82578,03/01/2014,0000,,35.9,,7.5,5.4,,64.75,2.333333,
82578,03/01/2014,1200,5.2,,,,,,,,
82578,04/01/2014,0000,,35.3,,8.6,5.5,,65.5,1.166667,
82578,04/01/2014,1200,0,,,,,,,,
82578,05/01/2014,0000,,36.1,,10.8,4.9,,66.25,1.933333,
82578,05/01/2014,1200,0,,,,,,,,
82578,06/01/2014,0000,,33.9,,9,5.2,,70,2.266667,
82578,06/01/2014,1200,6.1,,,,,,,,
82578,07/01/2014,0000,,29,,1.9,3.8,,86.5,1.266667,
82578,07/01/2014,1200,24.2,,,,,,,,
82578,08/01/2014,0000,,32.7,,8.4,1.6,,78.75,0.966667,
82578,08/01/2014,1200,0.1,,,,,,,,
82578,09/01/2014,0000,,33.1,,6.7,4,,77.75,2.7,
82578,09/01/2014,1200,0,,,,,,,,
82578,10/01/2014,0000,,33,,7,2.5,,79.75,2.266667,
82578,10/01/2014,1200,0.4,,,,,,,,
82578,11/01/2014,0000,,33.1,,5.7,3,,79.75,0.633333,
82578,11/01/2014,1200,10.2,,,,,,,,
82578,12/01/2014,0000,,32.8,,4,2.7,,84.5,0.933333,
82578,12/01/2014,1200,0.1,,,,,,,,
82578,13/01/2014,0000,,31.7,,3.4,2.7,,87,0.766667,
82578,13/01/2014,1200,96.4,,,,,,,,
82578,14/01/2014,0000,,31.4,,2.1,1.8,,84.75,0.6,
82578,14/01/2014,1200,33.7,,,,,,,,
82578,15/01/2014,0000,,32.2,,5.2,2.2,,82.25,1.566667,
82578,15/01/2014,1200,10,,,,,,,,
82578,16/01/2014,0000,,31.8,,6.6,1.7,,85,0.266667,
82578,16/01/2014,1200,1.1,,,,,,,,
82578,17/01/2014,0000,,34.4,,10.1,1.1,,69.5,2.033333,
82578,17/01/2014,1200,0,,,,,,,,
82578,18/01/2014,0000,,34.4,,10.7,4,,79,0.9,
82578,18/01/2014,1200,0,,,,,,,,
82578,19/01/2014,0000,,34.2,,7.4,3.2,,79.75,0.466667,
82578,19/01/2014,1200,0,,,,,,,,
82578,20/01/2014,0000,,31.8,,1.2,3,,85.25,1.2,
82578,20/01/2014,1200,0,,,,,,,,
82578,21/01/2014,0000,,32.4,,7.8,1.9,,82.75,1,
82578,21/01/2014,1200,20,,,,,,,,
82578,22/01/2014,0000,,32.5,,5.9,2.4,,79.75,0.533333,
82578,22/01/2014,1200,0,,,,,,,,
82578,23/01/2014,0000,,32.2,,5.7,2.6,,82.75,0.733333,
